seed,generation,graph_size,max_size,environment,solver,run_id
1,799,24.0,61,hopper,cgp,9i011yqb
5,1699,18.0,61,hopper,cgp,9i011yqb
7,3999,17.0,61,hopper,cgp,9i011yqb
6,4399,18.0,61,hopper,cgp,9i011yqb
3,3199,18.0,61,hopper,cgp,9i011yqb
6,4199,15.0,61,hopper,cgp,9i011yqb
2,3799,14.0,61,hopper,cgp,9i011yqb
6,499,26.0,61,hopper,cgp,9i011yqb
2,4899,18.0,61,hopper,cgp,9i011yqb
8,3199,24.0,61,hopper,cgp,9i011yqb
4,3599,23.0,61,hopper,cgp,9i011yqb
5,799,20.0,61,hopper,cgp,9i011yqb
8,799,23.0,61,hopper,cgp,9i011yqb
4,699,29.0,61,hopper,cgp,9i011yqb
8,1499,20.0,61,hopper,cgp,9i011yqb
9,3199,14.0,61,hopper,cgp,9i011yqb
3,3699,19.0,61,hopper,cgp,9i011yqb
5,4299,20.0,61,hopper,cgp,9i011yqb
4,2999,16.0,61,hopper,cgp,9i011yqb
1,2999,23.0,61,hopper,cgp,9i011yqb
1,3699,19.0,61,hopper,cgp,9i011yqb
9,399,17.0,61,hopper,cgp,9i011yqb
2,3899,13.0,61,hopper,cgp,9i011yqb
8,399,24.0,61,hopper,cgp,9i011yqb
8,3599,16.0,61,hopper,cgp,9i011yqb
4,1499,21.0,61,hopper,cgp,9i011yqb
0,4399,21.0,61,hopper,cgp,9i011yqb
8,4599,20.0,61,hopper,cgp,9i011yqb
3,4599,23.0,61,hopper,cgp,9i011yqb
9,4399,15.0,61,hopper,cgp,9i011yqb
3,699,20.0,61,hopper,cgp,9i011yqb
7,1399,17.0,61,hopper,cgp,9i011yqb
4,2699,22.0,61,hopper,cgp,9i011yqb
0,3099,25.0,61,hopper,cgp,9i011yqb
7,1899,16.0,61,hopper,cgp,9i011yqb
1,3499,26.0,61,hopper,cgp,9i011yqb
1,3399,23.0,61,hopper,cgp,9i011yqb
9,2499,21.0,61,hopper,cgp,9i011yqb
6,1599,19.0,61,hopper,cgp,9i011yqb
6,3499,15.0,61,hopper,cgp,9i011yqb
8,4499,29.0,61,hopper,cgp,9i011yqb
8,1899,19.0,61,hopper,cgp,9i011yqb
6,3599,17.0,61,hopper,cgp,9i011yqb
6,3199,20.0,61,hopper,cgp,9i011yqb
1,1899,16.0,61,hopper,cgp,9i011yqb
8,4699,17.0,61,hopper,cgp,9i011yqb
8,2599,25.0,61,hopper,cgp,9i011yqb
0,599,21.0,61,hopper,cgp,9i011yqb
4,1299,19.0,61,hopper,cgp,9i011yqb
7,2399,24.0,61,hopper,cgp,9i011yqb
2,2999,15.0,61,hopper,cgp,9i011yqb
6,99,16.0,61,hopper,cgp,9i011yqb
5,2099,14.0,61,hopper,cgp,9i011yqb
5,899,18.0,61,hopper,cgp,9i011yqb
1,199,21.0,61,hopper,cgp,9i011yqb
4,399,17.0,61,hopper,cgp,9i011yqb
8,999,21.0,61,hopper,cgp,9i011yqb
2,2099,15.0,61,hopper,cgp,9i011yqb
7,199,21.0,61,hopper,cgp,9i011yqb
9,2099,19.0,61,hopper,cgp,9i011yqb
3,3499,17.0,61,hopper,cgp,9i011yqb
0,3799,25.0,61,hopper,cgp,9i011yqb
9,2199,18.0,61,hopper,cgp,9i011yqb
4,3199,29.0,61,hopper,cgp,9i011yqb
1,4299,22.0,61,hopper,cgp,9i011yqb
5,2799,22.0,61,hopper,cgp,9i011yqb
5,2899,23.0,61,hopper,cgp,9i011yqb
2,4099,17.0,61,hopper,cgp,9i011yqb
0,2099,24.0,61,hopper,cgp,9i011yqb
3,2499,22.0,61,hopper,cgp,9i011yqb
3,3799,17.0,61,hopper,cgp,9i011yqb
7,399,15.0,61,hopper,cgp,9i011yqb
0,2799,26.0,61,hopper,cgp,9i011yqb
0,1199,23.0,61,hopper,cgp,9i011yqb
4,3699,21.0,61,hopper,cgp,9i011yqb
0,1699,21.0,61,hopper,cgp,9i011yqb
8,2799,16.0,61,hopper,cgp,9i011yqb
2,4999,18.0,61,hopper,cgp,9i011yqb
7,2199,17.0,61,hopper,cgp,9i011yqb
8,1099,21.0,61,hopper,cgp,9i011yqb
2,199,17.0,61,hopper,cgp,9i011yqb
5,3399,19.0,61,hopper,cgp,9i011yqb
1,3999,19.0,61,hopper,cgp,9i011yqb
9,1399,17.0,61,hopper,cgp,9i011yqb
6,1999,18.0,61,hopper,cgp,9i011yqb
4,299,19.0,61,hopper,cgp,9i011yqb
3,1999,17.0,61,hopper,cgp,9i011yqb
4,599,19.0,61,hopper,cgp,9i011yqb
6,199,16.0,61,hopper,cgp,9i011yqb
6,3799,20.0,61,hopper,cgp,9i011yqb
9,1799,22.0,61,hopper,cgp,9i011yqb
0,1299,26.0,61,hopper,cgp,9i011yqb
0,99,26.0,61,hopper,cgp,9i011yqb
4,4999,23.0,61,hopper,cgp,9i011yqb
4,4799,22.0,61,hopper,cgp,9i011yqb
6,1699,19.0,61,hopper,cgp,9i011yqb
6,4999,13.0,61,hopper,cgp,9i011yqb
5,2599,19.0,61,hopper,cgp,9i011yqb
6,4299,19.0,61,hopper,cgp,9i011yqb
7,4399,26.0,61,hopper,cgp,9i011yqb
3,99,19.0,61,hopper,cgp,9i011yqb
8,1299,16.0,61,hopper,cgp,9i011yqb
5,4099,30.0,61,hopper,cgp,9i011yqb
9,2799,25.0,61,hopper,cgp,9i011yqb
0,1099,23.0,61,hopper,cgp,9i011yqb
0,1899,20.0,61,hopper,cgp,9i011yqb
3,799,20.0,61,hopper,cgp,9i011yqb
2,4199,14.0,61,hopper,cgp,9i011yqb
4,99,16.0,61,hopper,cgp,9i011yqb
1,4399,20.0,61,hopper,cgp,9i011yqb
5,299,16.0,61,hopper,cgp,9i011yqb
1,1499,16.0,61,hopper,cgp,9i011yqb
6,2699,17.0,61,hopper,cgp,9i011yqb
9,2299,23.0,61,hopper,cgp,9i011yqb
2,799,22.0,61,hopper,cgp,9i011yqb
9,3599,23.0,61,hopper,cgp,9i011yqb
3,2199,17.0,61,hopper,cgp,9i011yqb
2,2599,16.0,61,hopper,cgp,9i011yqb
0,4699,19.0,61,hopper,cgp,9i011yqb
4,3299,18.0,61,hopper,cgp,9i011yqb
5,4799,30.0,61,hopper,cgp,9i011yqb
4,799,29.0,61,hopper,cgp,9i011yqb
6,2199,17.0,61,hopper,cgp,9i011yqb
7,2299,16.0,61,hopper,cgp,9i011yqb
8,4799,24.0,61,hopper,cgp,9i011yqb
7,3199,16.0,61,hopper,cgp,9i011yqb
4,499,17.0,61,hopper,cgp,9i011yqb
1,4799,24.0,61,hopper,cgp,9i011yqb
7,1499,13.0,61,hopper,cgp,9i011yqb
2,1699,14.0,61,hopper,cgp,9i011yqb
2,4699,16.0,61,hopper,cgp,9i011yqb
1,3199,22.0,61,hopper,cgp,9i011yqb
7,1999,15.0,61,hopper,cgp,9i011yqb
3,4499,20.0,61,hopper,cgp,9i011yqb
3,1899,16.0,61,hopper,cgp,9i011yqb
7,4299,16.0,61,hopper,cgp,9i011yqb
1,1399,19.0,61,hopper,cgp,9i011yqb
7,2999,16.0,61,hopper,cgp,9i011yqb
7,4599,19.0,61,hopper,cgp,9i011yqb
5,99,17.0,61,hopper,cgp,9i011yqb
8,4299,21.0,61,hopper,cgp,9i011yqb
4,3099,19.0,61,hopper,cgp,9i011yqb
9,3699,18.0,61,hopper,cgp,9i011yqb
2,4299,16.0,61,hopper,cgp,9i011yqb
5,2299,18.0,61,hopper,cgp,9i011yqb
1,3599,26.0,61,hopper,cgp,9i011yqb
8,4199,15.0,61,hopper,cgp,9i011yqb
3,1699,17.0,61,hopper,cgp,9i011yqb
7,2799,17.0,61,hopper,cgp,9i011yqb
7,1199,17.0,61,hopper,cgp,9i011yqb
5,699,15.0,61,hopper,cgp,9i011yqb
2,2499,17.0,61,hopper,cgp,9i011yqb
7,3599,17.0,61,hopper,cgp,9i011yqb
8,1599,20.0,61,hopper,cgp,9i011yqb
2,1499,14.0,61,hopper,cgp,9i011yqb
5,2999,21.0,61,hopper,cgp,9i011yqb
5,2499,18.0,61,hopper,cgp,9i011yqb
6,1299,18.0,61,hopper,cgp,9i011yqb
0,3699,26.0,61,hopper,cgp,9i011yqb
1,1699,15.0,61,hopper,cgp,9i011yqb
4,3499,20.0,61,hopper,cgp,9i011yqb
4,1899,21.0,61,hopper,cgp,9i011yqb
0,4999,21.0,61,hopper,cgp,9i011yqb
8,899,19.0,61,hopper,cgp,9i011yqb
0,4899,18.0,61,hopper,cgp,9i011yqb
4,1799,21.0,61,hopper,cgp,9i011yqb
8,499,19.0,61,hopper,cgp,9i011yqb
5,499,15.0,61,hopper,cgp,9i011yqb
9,1499,25.0,61,hopper,cgp,9i011yqb
1,2699,26.0,61,hopper,cgp,9i011yqb
6,4699,18.0,61,hopper,cgp,9i011yqb
0,2599,22.0,61,hopper,cgp,9i011yqb
4,4399,19.0,61,hopper,cgp,9i011yqb
3,599,24.0,61,hopper,cgp,9i011yqb
4,4099,22.0,61,hopper,cgp,9i011yqb
7,4499,13.0,61,hopper,cgp,9i011yqb
7,4899,19.0,61,hopper,cgp,9i011yqb
8,199,15.0,61,hopper,cgp,9i011yqb
6,2999,17.0,61,hopper,cgp,9i011yqb
6,1799,18.0,61,hopper,cgp,9i011yqb
2,3099,14.0,61,hopper,cgp,9i011yqb
1,1799,15.0,61,hopper,cgp,9i011yqb
7,3099,16.0,61,hopper,cgp,9i011yqb
5,3799,24.0,61,hopper,cgp,9i011yqb
5,4199,19.0,61,hopper,cgp,9i011yqb
9,4199,18.0,61,hopper,cgp,9i011yqb
2,4399,15.0,61,hopper,cgp,9i011yqb
1,4099,21.0,61,hopper,cgp,9i011yqb
8,1399,17.0,61,hopper,cgp,9i011yqb
6,4899,15.0,61,hopper,cgp,9i011yqb
5,599,15.0,61,hopper,cgp,9i011yqb
4,2399,21.0,61,hopper,cgp,9i011yqb
1,2499,22.0,61,hopper,cgp,9i011yqb
0,2699,20.0,61,hopper,cgp,9i011yqb
9,4999,21.0,61,hopper,cgp,9i011yqb
2,1899,14.0,61,hopper,cgp,9i011yqb
1,1999,18.0,61,hopper,cgp,9i011yqb
5,399,16.0,61,hopper,cgp,9i011yqb
2,3299,22.0,61,hopper,cgp,9i011yqb
9,4299,20.0,61,hopper,cgp,9i011yqb
5,3599,20.0,61,hopper,cgp,9i011yqb
9,1899,18.0,61,hopper,cgp,9i011yqb
8,2999,19.0,61,hopper,cgp,9i011yqb
6,4499,13.0,61,hopper,cgp,9i011yqb
2,299,25.0,61,hopper,cgp,9i011yqb
5,3999,27.0,61,hopper,cgp,9i011yqb
5,999,15.0,61,hopper,cgp,9i011yqb
6,3299,15.0,61,hopper,cgp,9i011yqb
6,899,18.0,61,hopper,cgp,9i011yqb
2,599,20.0,61,hopper,cgp,9i011yqb
9,3899,21.0,61,hopper,cgp,9i011yqb
4,2299,18.0,61,hopper,cgp,9i011yqb
0,1799,18.0,61,hopper,cgp,9i011yqb
4,1399,17.0,61,hopper,cgp,9i011yqb
4,2899,24.0,61,hopper,cgp,9i011yqb
1,699,19.0,61,hopper,cgp,9i011yqb
1,4699,27.0,61,hopper,cgp,9i011yqb
0,1399,20.0,61,hopper,cgp,9i011yqb
5,4599,24.0,61,hopper,cgp,9i011yqb
0,1599,25.0,61,hopper,cgp,9i011yqb
9,2899,19.0,61,hopper,cgp,9i011yqb
5,2199,14.0,61,hopper,cgp,9i011yqb
2,4499,14.0,61,hopper,cgp,9i011yqb
9,2699,20.0,61,hopper,cgp,9i011yqb
6,3999,17.0,61,hopper,cgp,9i011yqb
0,199,17.0,61,hopper,cgp,9i011yqb
7,3899,18.0,61,hopper,cgp,9i011yqb
8,3799,29.0,61,hopper,cgp,9i011yqb
1,2799,28.0,61,hopper,cgp,9i011yqb
3,4899,27.0,61,hopper,cgp,9i011yqb
9,2999,18.0,61,hopper,cgp,9i011yqb
3,2999,18.0,61,hopper,cgp,9i011yqb
0,2299,21.0,61,hopper,cgp,9i011yqb
0,3399,25.0,61,hopper,cgp,9i011yqb
8,4999,21.0,61,hopper,cgp,9i011yqb
3,4999,27.0,61,hopper,cgp,9i011yqb
8,1699,16.0,61,hopper,cgp,9i011yqb
7,99,17.0,61,hopper,cgp,9i011yqb
5,1999,13.0,61,hopper,cgp,9i011yqb
2,2299,22.0,61,hopper,cgp,9i011yqb
5,4399,28.0,61,hopper,cgp,9i011yqb
3,2399,27.0,61,hopper,cgp,9i011yqb
1,99,23.0,61,hopper,cgp,9i011yqb
6,599,17.0,61,hopper,cgp,9i011yqb
2,99,19.0,61,hopper,cgp,9i011yqb
4,199,18.0,61,hopper,cgp,9i011yqb
4,999,20.0,61,hopper,cgp,9i011yqb
7,1699,20.0,61,hopper,cgp,9i011yqb
1,4899,22.0,61,hopper,cgp,9i011yqb
1,1299,15.0,61,hopper,cgp,9i011yqb
8,3099,25.0,61,hopper,cgp,9i011yqb
4,4499,20.0,61,hopper,cgp,9i011yqb
9,899,23.0,61,hopper,cgp,9i011yqb
9,3799,26.0,61,hopper,cgp,9i011yqb
0,4299,21.0,61,hopper,cgp,9i011yqb
5,4699,22.0,61,hopper,cgp,9i011yqb
5,3699,23.0,61,hopper,cgp,9i011yqb
4,3399,27.0,61,hopper,cgp,9i011yqb
9,4899,24.0,61,hopper,cgp,9i011yqb
8,599,18.0,61,hopper,cgp,9i011yqb
4,1699,22.0,61,hopper,cgp,9i011yqb
5,1499,20.0,61,hopper,cgp,9i011yqb
0,4599,18.0,61,hopper,cgp,9i011yqb
3,4399,22.0,61,hopper,cgp,9i011yqb
8,2199,19.0,61,hopper,cgp,9i011yqb
