_timestamp,training.top_k_fit.top_2_fit,training.fitness_std,training.fitness_median,training.top_k_fit.top_0_fit,training.top_k_fit.top_1_fit,training.fitness_mean,training.evaluation_time,_step,_runtime,training.run_id,training.generation,training.fitness_1q,training.fitness_3q,solver,environment
1686363264.2824674,996.9664916992188,213.63768005371094,916.56494140625,997.2476806640625,997.1098022460938,806.430419921875,4.7635579109191895,10799,5314.008801460266,9,1079,995.4764404296875,652.509765625,cgp,ant
1686374852.7380874,707.7684326171875,244.06222534179688,575.1068725585938,997.7254638671875,997.36181640625,609.5689086914062,4.710827827453613,34371,16902.464421510696,1,3437,707.6698608398438,444.0625,cgp,ant
1686375590.1884031,998.2477416992188,207.6710205078125,996.90234375,998.9804077148438,998.4129638671875,862.0213012695312,4.72376823425293,35888,17639.91473722458,8,3588,998.0106811523438,755.684326171875,cgp,ant
1686357974.099018,763.9033203125,303.274658203125,433.953125,925.5601806640625,811.5558471679688,473.8228454589844,20.46682357788086,3,23.82535219192505,3,0,748.2935791015625,257.7492980957031,cgp,ant
1686369308.9575918,997.090087890625,267.8506164550781,816.74658203125,997.427978515625,997.22021484375,747.7403564453125,4.760087490081787,23087,11358.68392586708,7,2308,997.0805053710938,551.7174072265625,cgp,ant
1686359314.1088471,996.546142578125,249.71864318847656,842.32666015625,996.950927734375,996.739013671875,775.8399658203125,4.769089698791504,2739,1363.835181236267,9,273,992.7853393554688,706.7957153320312,cgp,ant
1686376843.3730888,996.183349609375,181.1264190673828,963.671630859375,997.4697265625,996.4172973632812,852.8654174804688,4.737617015838623,38448,18893.09942293167,8,3844,994.4901733398438,688.226806640625,cgp,ant
1686366635.0848777,997.8299560546875,97.55528259277344,977.094970703125,1002.3350219726562,997.9852905273438,926.8734741210938,4.794356822967529,17640,8684.811211824417,0,1764,997.1508178710938,913.9652099609375,cgp,ant
1686378068.7732003,986.509521484375,372.2861328125,670.0186767578125,1197.30078125,1188.87158203125,690.963134765625,4.7723565101623535,40949,20118.499534368515,9,4094,969.3173828125,495.19970703125,cgp,ant
1686365355.0805178,993.5245361328125,234.2223663330078,792.7677001953125,999.751953125,996.975830078125,758.1617431640625,4.791653156280518,15043,7404.806851863861,3,1504,986.9868774414062,603.1642456054688,cgp,ant
1686374965.4065993,993.5179443359375,289.2152404785156,679.136474609375,998.7047119140625,996.6885986328125,686.4044189453125,4.752462863922119,34604,17015.13293337822,4,3460,993.01318359375,465.2587890625,cgp,ant
