seed,generation,graph_size,max_size,environment,solver,run_id
4,999,29.0,68.0,halfcheetah,cgp,1xeens3i
4,699,28.0,68.0,halfcheetah,cgp,1xeens3i
3,599,32.0,68.0,halfcheetah,cgp,0zb7i6rg
3,99,29.0,68.0,halfcheetah,cgp,0zb7i6rg
3,199,30.0,68.0,halfcheetah,cgp,0zb7i6rg
3,799,21.0,68.0,halfcheetah,cgp,0zb7i6rg
3,399,25.0,68.0,halfcheetah,cgp,0zb7i6rg
3,299,22.0,68.0,halfcheetah,cgp,0zb7i6rg
3,899,24.0,68.0,halfcheetah,cgp,0zb7i6rg
3,499,26.0,68.0,halfcheetah,cgp,0zb7i6rg
3,999,26.0,68.0,halfcheetah,cgp,0zb7i6rg
3,699,26.0,68.0,halfcheetah,cgp,0zb7i6rg
1,599,26.0,68.0,halfcheetah,cgp,ygbhr2ii
1,99,29.0,68.0,halfcheetah,cgp,ygbhr2ii
1,199,30.0,68.0,halfcheetah,cgp,ygbhr2ii
1,799,26.0,68.0,halfcheetah,cgp,ygbhr2ii
1,399,21.0,68.0,halfcheetah,cgp,ygbhr2ii
1,299,24.0,68.0,halfcheetah,cgp,ygbhr2ii
1,899,27.0,68.0,halfcheetah,cgp,ygbhr2ii
1,499,23.0,68.0,halfcheetah,cgp,ygbhr2ii
1,999,32.0,68.0,halfcheetah,cgp,ygbhr2ii
1,699,27.0,68.0,halfcheetah,cgp,ygbhr2ii
2,599,18.0,61.0,hopper,cgp,qoj1i9jp
2,99,27.0,61.0,hopper,cgp,qoj1i9jp
2,199,25.0,61.0,hopper,cgp,qoj1i9jp
2,799,18.0,61.0,hopper,cgp,qoj1i9jp
2,399,17.0,61.0,hopper,cgp,qoj1i9jp
2,299,25.0,61.0,hopper,cgp,qoj1i9jp
2,899,18.0,61.0,hopper,cgp,qoj1i9jp
2,499,18.0,61.0,hopper,cgp,qoj1i9jp
2,999,18.0,61.0,hopper,cgp,qoj1i9jp
2,699,18.0,61.0,hopper,cgp,qoj1i9jp
9,599,24.0,68.0,halfcheetah,cgp,zgwtklwi
9,99,31.0,68.0,halfcheetah,cgp,zgwtklwi
9,199,25.0,68.0,halfcheetah,cgp,zgwtklwi
9,799,34.0,68.0,halfcheetah,cgp,zgwtklwi
9,399,23.0,68.0,halfcheetah,cgp,zgwtklwi
9,299,26.0,68.0,halfcheetah,cgp,zgwtklwi
9,899,29.0,68.0,halfcheetah,cgp,zgwtklwi
9,499,27.0,68.0,halfcheetah,cgp,zgwtklwi
9,999,30.0,68.0,halfcheetah,cgp,zgwtklwi
9,699,26.0,68.0,halfcheetah,cgp,zgwtklwi
8,599,88.0,137.0,ant,cgp,1onnqswz
8,99,90.0,137.0,ant,cgp,1onnqswz
8,199,89.0,137.0,ant,cgp,1onnqswz
8,799,88.0,137.0,ant,cgp,1onnqswz
8,399,89.0,137.0,ant,cgp,1onnqswz
8,299,88.0,137.0,ant,cgp,1onnqswz
8,899,89.0,137.0,ant,cgp,1onnqswz
8,499,89.0,137.0,ant,cgp,1onnqswz
8,999,88.0,137.0,ant,cgp,1onnqswz
8,699,88.0,137.0,ant,cgp,1onnqswz
7,599,91.0,137.0,ant,cgp,il0y1ps9
7,99,88.0,137.0,ant,cgp,il0y1ps9
7,199,89.0,137.0,ant,cgp,il0y1ps9
7,799,89.0,137.0,ant,cgp,il0y1ps9
7,399,91.0,137.0,ant,cgp,il0y1ps9
7,299,89.0,137.0,ant,cgp,il0y1ps9
7,899,89.0,137.0,ant,cgp,il0y1ps9
7,499,90.0,137.0,ant,cgp,il0y1ps9
7,999,89.0,137.0,ant,cgp,il0y1ps9
7,699,90.0,137.0,ant,cgp,il0y1ps9
6,599,92.0,137.0,ant,cgp,mltb3x5m
6,99,93.0,137.0,ant,cgp,mltb3x5m
6,199,93.0,137.0,ant,cgp,mltb3x5m
6,799,92.0,137.0,ant,cgp,mltb3x5m
6,399,92.0,137.0,ant,cgp,mltb3x5m
6,299,97.0,137.0,ant,cgp,mltb3x5m
6,899,92.0,137.0,ant,cgp,mltb3x5m
6,499,92.0,137.0,ant,cgp,mltb3x5m
6,999,94.0,137.0,ant,cgp,mltb3x5m
6,699,92.0,137.0,ant,cgp,mltb3x5m
3,599,89.0,137.0,ant,cgp,lwhjkpnu
3,99,93.0,137.0,ant,cgp,lwhjkpnu
3,199,90.0,137.0,ant,cgp,lwhjkpnu
3,799,89.0,137.0,ant,cgp,lwhjkpnu
3,399,89.0,137.0,ant,cgp,lwhjkpnu
3,299,89.0,137.0,ant,cgp,lwhjkpnu
3,899,88.0,137.0,ant,cgp,lwhjkpnu
3,499,88.0,137.0,ant,cgp,lwhjkpnu
3,999,89.0,137.0,ant,cgp,lwhjkpnu
3,699,88.0,137.0,ant,cgp,lwhjkpnu
5,599,17.0,61.0,hopper,cgp,e8ob5kmx
5,99,14.0,61.0,hopper,cgp,e8ob5kmx
5,199,17.0,61.0,hopper,cgp,e8ob5kmx
5,799,17.0,61.0,hopper,cgp,e8ob5kmx
5,399,17.0,61.0,hopper,cgp,e8ob5kmx
5,299,17.0,61.0,hopper,cgp,e8ob5kmx
5,899,15.0,61.0,hopper,cgp,e8ob5kmx
5,499,17.0,61.0,hopper,cgp,e8ob5kmx
5,999,15.0,61.0,hopper,cgp,e8ob5kmx
5,699,17.0,61.0,hopper,cgp,e8ob5kmx
6,599,18.0,61.0,hopper,cgp,7z9wgei7
6,99,18.0,61.0,hopper,cgp,7z9wgei7
6,199,18.0,61.0,hopper,cgp,7z9wgei7
6,799,15.0,61.0,hopper,cgp,7z9wgei7
6,399,18.0,61.0,hopper,cgp,7z9wgei7
6,299,18.0,61.0,hopper,cgp,7z9wgei7
6,899,15.0,61.0,hopper,cgp,7z9wgei7
6,499,18.0,61.0,hopper,cgp,7z9wgei7
6,999,18.0,61.0,hopper,cgp,7z9wgei7
6,699,17.0,61.0,hopper,cgp,7z9wgei7
