training.run_id,training.fitness_1q,training.generation,training.fitness_std,training.fitness_median,_runtime,training.fitness_3q,training.fitness_mean,training.evaluation_time,training.top_k_fit.top_1_fit,_step,_timestamp,training.top_k_fit.top_0_fit,training.top_k_fit.top_2_fit
8,0.9987499713897705,373,0.47227510809898376,0.0637499988079071,595.2015693187714,0.02187499962747097,0.4207499921321869,2.130634069442749,0.9987499713897705,3738,1685706350.8028333,0.9987499713897705,0.9987499713897705
9,0.6000000238418579,163,0.35684633255004883,0.11499999463558197,185.80874252319336,0.05812499672174454,0.32725000381469727,1.1046051979064941,0.8549999594688416,1639,1685705941.4100065,0.9975000023841858,0.7024999856948853
0,0.7902500629425049,468,0.43051421642303467,0.1120000034570694,860.7467291355133,0.020000001415610313,0.3461000621318817,2.666398763656616,0.999000072479248,4680,1685706616.3479931,0.999000072479248,0.999000072479248
6,0.46562501788139343,102,0.2077648788690567,0.10999999940395355,109.12493467330933,0.0793749988079071,0.24000000953674316,1.1032593250274658,0.5349999666213989,1026,1685705864.7261987,0.5450000166893005,0.4975000023841858
4,0.26250001788139343,0,0.10833282023668289,0.1899999976158142,24.112884759902954,0.05999999865889549,0.17800000309944153,12.115938186645508,0.32999998331069946,4,1685705779.7141488,0.3349999785423279,0.2750000059604645
1,0.999000072479248,432,0.47296464443206787,0.6000000238418579,757.4492430686951,0.02850000187754631,0.5288001298904419,2.7366440296173096,0.999000072479248,4321,1685706513.050507,0.999000072479248,0.999000072479248
6,0.26125001907348633,0,0.2646700441837311,0.10249999165534973,24.713404655456543,0.05999999865889549,0.21850000321865082,12.115938186645508,0.3050000071525574,6,1685705780.3146687,0.9649999737739563,0.2849999964237213
6,0.48875001072883606,231,0.1952711045742035,0.46666666865348816,296.31926250457764,0.12666666507720947,0.3264999985694885,1.6076737642288208,0.49166667461395264,2316,1685706051.9205265,0.5066666603088379,0.49166667461395264
8,0.7671874761581421,363,0.4474477171897888,0.014999999664723873,572.3498022556305,0.014999999664723873,0.31575003266334534,2.152404546737671,0.9987499713897705,3638,1685706327.9510663,0.9987499713897705,0.9987499713897705
8,0.8045833110809326,232,0.4342617094516754,0.05833333358168602,298.094899892807,0.019999999552965164,0.3413333594799042,1.6090435981750488,0.9983333349227905,2328,1685706053.696164,0.9983333349227905,0.9983333349227905
