evaluation,fitness,test_accuracy,time
0,-1.6261262893676758,0.91
0,-1.6261262893676758,-1.4967817068099976,1.21
100,-1.6261262893676758,-1.4967817068099976,1.21
200,-1.6261262893676758,-1.4967817068099976,1.21
300,-0.20687240362167358,-0.13141179084777832,1.21
400,-0.20687240362167358,-0.13141179084777832,1.21
500,-0.20687240362167358,-0.13141179084777832,1.21
600,-0.20687240362167358,-0.13141179084777832,1.21
700,-0.20687240362167358,-0.13141179084777832,1.21
800,-0.20687240362167358,-0.13141179084777832,1.21
900,-0.20687240362167358,-0.13141179084777832,1.21
1000,-0.20687240362167358,-0.13141179084777832,1.21
1100,-0.20687240362167358,-0.13141179084777832,1.21
1200,-0.20687240362167358,-0.13141179084777832,1.21
1300,-0.20687240362167358,-0.13141179084777832,1.21
1400,-0.20687240362167358,-0.13141179084777832,1.21
1500,-0.20687240362167358,-0.13141179084777832,1.21
1600,-0.20687240362167358,-0.13141179084777832,1.21
1700,-0.20687240362167358,-0.13141179084777832,1.21
1800,-0.20687240362167358,-0.13141179084777832,1.21
1900,-0.20687240362167358,-0.13141179084777832,1.21
2000,-0.20687240362167358,-0.13141179084777832,1.21
2100,-0.20687240362167358,-0.13141179084777832,1.21
2200,-0.20687240362167358,-0.13141179084777832,1.21
2300,-0.20687240362167358,-0.13141179084777832,1.21
2400,-0.20687240362167358,-0.13141179084777832,1.21
2500,-0.20687240362167358,-0.13141179084777832,1.21
2600,-0.20687240362167358,-0.13141179084777832,1.21
2700,-0.20687240362167358,-0.13141179084777832,1.21
2800,-0.20687240362167358,-0.13141179084777832,1.21
2900,-0.20687240362167358,-0.13141179084777832,1.21
3000,-0.20687240362167358,-0.13141179084777832,1.21
3100,-0.1266782283782959,-0.1537359356880188,1.21
3200,-0.1266782283782959,-0.1537359356880188,1.21
3300,-0.1266782283782959,-0.1537359356880188,1.21
3400,-0.1266782283782959,-0.1537359356880188,1.21
3500,-0.1266782283782959,-0.1537359356880188,1.21
3600,-0.1266782283782959,-0.1537359356880188,1.21
3700,-0.1266782283782959,-0.1537359356880188,1.21
3800,-0.1266782283782959,-0.1537359356880188,1.21
3900,-0.1266782283782959,-0.1537359356880188,1.21
4000,-0.1266782283782959,-0.1537359356880188,1.21
4100,-0.1266782283782959,-0.1537359356880188,1.21
4200,-0.1266782283782959,-0.1537359356880188,1.21
4300,-0.1266782283782959,-0.1537359356880188,1.21
4400,-0.1266782283782959,-0.1537359356880188,1.21
4500,-0.1266782283782959,-0.1537359356880188,1.21
4600,-0.1266782283782959,-0.1537359356880188,1.21
4700,-0.1266782283782959,-0.1537359356880188,1.21
4800,-0.1266782283782959,-0.1537359356880188,1.21
4900,-0.1266782283782959,-0.1537359356880188,1.21
5000,-0.1266782283782959,-0.1537359356880188,1.21
5100,-0.1266782283782959,-0.1537359356880188,1.21
5231,-0.1266782283782959,-0.1537359356880188,0.76
5331,-0.09567838907241821,-0.11419692635536194,0.76
5431,-0.09567838907241821,-0.11419692635536194,0.76
5531,-0.09567838907241821,-0.11419692635536194,0.76
5631,-0.09567838907241821,-0.11419692635536194,0.76
5731,-0.09567838907241821,-0.11419692635536194,0.76
5831,-0.011182129383087158,-0.0017356276512145996,0.76
5931,-0.011182129383087158,-0.0017356276512145996,0.76
6031,-0.011182129383087158,-0.0017356276512145996,0.76
6131,-0.011182129383087158,-0.0017356276512145996,0.76
6231,-0.011182129383087158,-0.0017356276512145996,0.76
6331,-0.011182129383087158,-0.0017356276512145996,0.76
6431,-0.011182129383087158,-0.0017356276512145996,0.76
6531,-0.011182129383087158,-0.0017356276512145996,0.76
6631,-0.011182129383087158,-0.0017356276512145996,0.76
6731,-0.011182129383087158,-0.0017356276512145996,0.76
6831,-0.011182129383087158,-0.0017356276512145996,0.76
6931,-0.011182129383087158,-0.0017356276512145996,0.76
7031,-0.011182129383087158,-0.0017356276512145996,0.76
7131,0.2605912983417511,0.2267395257949829,0.76
7231,0.2605912983417511,0.2267395257949829,0.76
7331,0.2605912983417511,0.2267395257949829,0.76
7431,0.2605912983417511,0.2267395257949829,0.76
7531,0.2605912983417511,0.2267395257949829,0.76
7631,0.2605912983417511,0.2267395257949829,0.76
7731,0.2605912983417511,0.2267395257949829,0.76
7831,0.2605912983417511,0.2267395257949829,0.76
7931,0.2605912983417511,0.2267395257949829,0.76
8031,0.2605912983417511,0.2267395257949829,0.76
8131,0.2605912983417511,0.2267395257949829,0.76
8231,0.2605912983417511,0.2267395257949829,0.76
8331,0.2605912983417511,0.2267395257949829,0.76
8431,0.2605912983417511,0.2267395257949829,0.76
8531,0.2605912983417511,0.2267395257949829,0.76
8631,0.2605912983417511,0.2267395257949829,0.76
8731,0.2605912983417511,0.2267395257949829,0.76
8831,0.2605912983417511,0.2267395257949829,0.76
8931,0.2605912983417511,0.2267395257949829,0.76
9031,0.2605912983417511,0.2267395257949829,0.76
9131,0.2605912983417511,0.2267395257949829,0.76
9231,0.2605912983417511,0.2267395257949829,0.76
9331,0.2605912983417511,0.2267395257949829,0.76
9431,0.2605912983417511,0.2267395257949829,0.76
9531,0.2605912983417511,0.2267395257949829,0.76
9631,0.2605912983417511,0.2267395257949829,0.76
9731,0.2605912983417511,0.2267395257949829,0.76
9831,0.2605912983417511,0.2267395257949829,0.76
9931,0.2605912983417511,0.2267395257949829,0.76
10031,0.2605912983417511,0.2267395257949829,0.76
10131,0.2605912983417511,0.2267395257949829,0.76
10231,0.2605912983417511,0.2267395257949829,0.76
10331,0.2605912983417511,0.2267395257949829,0.76
10946,0.2605912983417511,0.2267395257949829,0.72
11046,0.2605912983417511,0.2267395257949829,0.72
11146,0.2605912983417511,0.2267395257949829,0.72
11246,0.2605912983417511,0.2267395257949829,0.72
11346,0.2605912983417511,0.2267395257949829,0.72
11446,0.2605912983417511,0.2267395257949829,0.72
11546,0.3681683838367462,0.4231010377407074,0.72
11646,0.3681683838367462,0.4231010377407074,0.72
11746,0.3681683838367462,0.4231010377407074,0.72
11846,0.3681683838367462,0.4231010377407074,0.72
11946,0.3681683838367462,0.4231010377407074,0.72
12046,0.3681683838367462,0.4231010377407074,0.72
12146,0.3681683838367462,0.4231010377407074,0.72
12246,0.3681683838367462,0.4231010377407074,0.72
12346,0.3681683838367462,0.4231010377407074,0.72
12446,0.3681683838367462,0.4231010377407074,0.72
12546,0.3681683838367462,0.4231010377407074,0.72
12646,0.3681683838367462,0.4231010377407074,0.72
12746,0.3681683838367462,0.4231010377407074,0.72
12846,0.3681683838367462,0.4231010377407074,0.72
12946,0.3681683838367462,0.4231010377407074,0.72
13046,0.3681683838367462,0.4231010377407074,0.72
13146,0.3681683838367462,0.4231010377407074,0.72
13246,0.3681683838367462,0.4231010377407074,0.72
13346,0.3681683838367462,0.4231010377407074,0.72
13446,0.3681683838367462,0.4231010377407074,0.72
13546,0.3681683838367462,0.4231010377407074,0.72
13646,0.3681683838367462,0.4231010377407074,0.72
13746,0.5619564056396484,0.6125596165657043,0.72
13846,0.5619564056396484,0.6125596165657043,0.72
13946,0.5619564056396484,0.6125596165657043,0.72
14046,0.5619564056396484,0.6125596165657043,0.72
14146,0.5619564056396484,0.6125596165657043,0.72
14246,0.5619564056396484,0.6125596165657043,0.72
14346,0.5619564056396484,0.6125596165657043,0.72
14446,0.5619564056396484,0.6125596165657043,0.72
14546,0.5619564056396484,0.6125596165657043,0.72
14646,0.5619564056396484,0.6125596165657043,0.72
14746,0.5619564056396484,0.6125596165657043,0.72
14846,0.5619564056396484,0.6125596165657043,0.72
14946,0.5619564056396484,0.6125596165657043,0.72
15046,0.5619564056396484,0.6125596165657043,0.72
15146,0.5619564056396484,0.6125596165657043,0.72
15246,0.5619564056396484,0.6125596165657043,0.72
15346,0.5619564056396484,0.6125596165657043,0.72
15446,0.5619564056396484,0.6125596165657043,0.72
15546,0.5619564056396484,0.6125596165657043,0.72
15646,0.5619564056396484,0.6125596165657043,0.72
15746,0.5619564056396484,0.6125596165657043,0.72
15846,0.5619564056396484,0.6125596165657043,0.72
