iteration,fitness,test_accuracy,time
0,0.8224955797195435,0.26
0,0.8224955797195435,0.5350877046585083,0.75
1,0.8224955797195435,0.5350877046585083,0.75
2,0.8224955797195435,0.5350877046585083,0.75
3,0.8224955797195435,0.5350877046585083,0.75
4,0.8224955797195435,0.5350877046585083,0.75
5,0.8224955797195435,0.5350877046585083,0.75
6,0.8224955797195435,0.5350877046585083,0.75
7,0.8224955797195435,0.5350877046585083,0.75
8,0.8224955797195435,0.5350877046585083,0.75
9,0.8224955797195435,0.5350877046585083,0.75
10,0.8347978591918945,0.5,0.75
11,0.8347978591918945,0.5,0.75
12,0.885764479637146,0.6842105388641357,0.75
13,0.885764479637146,0.6842105388641357,0.75
14,0.885764479637146,0.6842105388641357,0.75
15,0.885764479637146,0.6842105388641357,0.75
16,0.885764479637146,0.6842105388641357,0.75
17,0.885764479637146,0.6842105388641357,0.75
18,0.885764479637146,0.6842105388641357,0.75
19,0.885764479637146,0.6842105388641357,0.75
20,0.885764479637146,0.6842105388641357,0.75
21,0.885764479637146,0.6842105388641357,0.75
22,0.885764479637146,0.6842105388641357,0.75
23,0.885764479637146,0.6842105388641357,0.75
24,0.885764479637146,0.6842105388641357,0.75
25,0.885764479637146,0.6842105388641357,0.75
26,0.885764479637146,0.6842105388641357,0.75
27,0.885764479637146,0.6842105388641357,0.75
28,0.885764479637146,0.6842105388641357,0.75
29,0.885764479637146,0.6842105388641357,0.75
30,0.885764479637146,0.6842105388641357,0.75
31,0.885764479637146,0.6842105388641357,0.75
32,0.885764479637146,0.6842105388641357,0.75
33,0.885764479637146,0.6842105388641357,0.75
34,0.885764479637146,0.6842105388641357,0.75
35,0.885764479637146,0.6842105388641357,0.75
36,0.885764479637146,0.6842105388641357,0.75
37,0.885764479637146,0.6842105388641357,0.75
38,0.885764479637146,0.6842105388641357,0.75
39,0.885764479637146,0.6842105388641357,0.75
40,0.885764479637146,0.6842105388641357,0.75
41,0.885764479637146,0.6842105388641357,0.75
42,0.885764479637146,0.6842105388641357,0.75
43,0.885764479637146,0.6842105388641357,0.75
44,0.885764479637146,0.6842105388641357,0.75
45,0.885764479637146,0.6842105388641357,0.75
46,0.885764479637146,0.6842105388641357,0.75
47,0.885764479637146,0.6842105388641357,0.75
48,0.885764479637146,0.6842105388641357,0.75
49,0.885764479637146,0.6842105388641357,0.75
50,0.885764479637146,0.6842105388641357,0.75
51,0.885764479637146,0.6842105388641357,0.75
52,0.885764479637146,0.6842105388641357,0.75
53,0.885764479637146,0.6842105388641357,0.75
54,0.885764479637146,0.6842105388641357,0.75
55,0.885764479637146,0.6842105388641357,0.75
56,0.885764479637146,0.6842105388641357,0.75
57,0.885764479637146,0.6842105388641357,0.75
58,0.885764479637146,0.6842105388641357,0.75
59,0.885764479637146,0.6842105388641357,0.75
60,0.885764479637146,0.6842105388641357,0.75
61,0.885764479637146,0.6842105388641357,0.75
62,0.885764479637146,0.6842105388641357,0.75
63,0.885764479637146,0.6842105388641357,0.75
64,0.885764479637146,0.6842105388641357,0.75
65,0.885764479637146,0.6842105388641357,0.75
66,0.885764479637146,0.6842105388641357,0.75
67,0.885764479637146,0.6842105388641357,0.75
68,0.885764479637146,0.6842105388641357,0.75
69,0.885764479637146,0.6842105388641357,0.75
70,0.885764479637146,0.6842105388641357,0.75
71,0.885764479637146,0.6842105388641357,0.75
72,0.885764479637146,0.6842105388641357,0.75
73,0.885764479637146,0.6842105388641357,0.75
74,0.885764479637146,0.6842105388641357,0.75
75,0.885764479637146,0.6842105388641357,0.75
