iteration,fitness,time
0,-124.80000305175781,12.89
0,-124.80000305175781,4.97
1,-124.80000305175781,4.97
2,-124.80000305175781,4.97
3,-124.80000305175781,4.97
4,-117.5999984741211,4.97
5,-103.80000305175781,4.97
6,-103.80000305175781,4.97
7,-103.80000305175781,4.97
8,-103.80000305175781,4.97
9,-103.80000305175781,4.97
10,-103.80000305175781,4.97
11,-103.80000305175781,4.97
12,-103.80000305175781,4.97
13,-103.80000305175781,4.97
14,-103.80000305175781,4.97
15,-102.0,4.97
16,-102.0,4.97
17,-99.4000015258789,4.97
18,-99.4000015258789,4.97
19,-99.4000015258789,4.97
20,-99.4000015258789,4.97
21,-99.4000015258789,4.97
22,-99.4000015258789,4.97
23,-99.4000015258789,4.97
24,-99.4000015258789,4.97
25,-99.4000015258789,4.97
26,-99.4000015258789,4.97
27,-91.4000015258789,4.97
28,-91.4000015258789,4.97
29,-91.4000015258789,4.97
30,-91.4000015258789,4.97
31,-91.4000015258789,4.97
32,-91.4000015258789,4.97
33,-91.4000015258789,4.97
34,-91.4000015258789,4.97
35,-91.4000015258789,4.97
36,-91.4000015258789,4.97
37,-91.4000015258789,4.97
38,-91.4000015258789,4.97
39,-91.4000015258789,4.97
40,-91.4000015258789,4.97
41,-91.4000015258789,4.97
42,-91.4000015258789,4.97
43,-91.4000015258789,4.97
44,-91.4000015258789,4.97
45,-91.4000015258789,4.97
46,-91.4000015258789,4.97
47,-91.4000015258789,4.97
48,-91.4000015258789,4.97
49,-91.4000015258789,4.97
50,-91.4000015258789,4.97
51,-91.4000015258789,4.97
52,-91.4000015258789,4.97
53,-91.4000015258789,4.97
54,-91.4000015258789,4.97
55,-91.4000015258789,4.97
56,-91.4000015258789,4.97
57,-91.4000015258789,4.97
58,-91.4000015258789,4.97
59,-91.4000015258789,4.97
60,-91.4000015258789,4.97
61,-91.4000015258789,4.97
62,-91.4000015258789,4.97
63,-91.4000015258789,4.97
64,-91.4000015258789,4.97
65,-91.4000015258789,4.97
66,-91.4000015258789,4.97
67,-91.4000015258789,4.97
68,-91.4000015258789,4.97
69,-91.4000015258789,4.97
70,-91.4000015258789,4.97
71,-91.4000015258789,4.97
72,-91.4000015258789,4.97
73,-91.4000015258789,4.97
74,-91.4000015258789,4.97
75,-91.4000015258789,4.97
76,-91.4000015258789,4.97
77,-91.4000015258789,4.97
78,-91.4000015258789,4.97
79,-91.4000015258789,4.97
80,-91.4000015258789,4.97
81,-91.4000015258789,4.97
82,-91.4000015258789,4.97
83,-91.4000015258789,4.97
84,-91.4000015258789,4.97
85,-91.4000015258789,4.97
86,-91.4000015258789,4.97
87,-91.4000015258789,4.97
88,-91.4000015258789,4.97
89,-91.4000015258789,4.97
90,-91.4000015258789,4.97
91,-91.4000015258789,4.97
92,-91.4000015258789,4.97
93,-91.4000015258789,4.97
94,-91.4000015258789,4.97
95,-91.4000015258789,4.97
96,-91.4000015258789,4.97
97,-91.4000015258789,4.97
98,-91.4000015258789,4.97
99,-91.4000015258789,4.97
100,-91.4000015258789,4.97
101,-91.4000015258789,4.97
102,-91.4000015258789,4.97
103,-91.4000015258789,4.97
104,-91.4000015258789,4.97
105,-91.4000015258789,4.97
106,-91.4000015258789,4.97
107,-91.0,4.97
108,-91.0,4.97
109,-91.0,4.97
110,-91.0,4.97
111,-91.0,4.97
112,-91.0,4.97
113,-91.0,4.97
114,-91.0,4.97
115,-91.0,4.97
116,-91.0,4.97
117,-91.0,4.97
118,-91.0,4.97
119,-91.0,4.97
120,-91.0,4.97
121,-91.0,4.97
122,-91.0,4.97
123,-91.0,4.97
124,-91.0,4.97
125,-91.0,4.97
126,-91.0,4.97
127,-91.0,4.97
128,-91.0,4.97
129,-91.0,4.97
130,-91.0,4.97
131,-91.0,4.97
132,-91.0,4.97
133,-91.0,4.97
134,-91.0,4.97
135,-91.0,4.97
136,-91.0,4.97
137,-91.0,4.97
138,-91.0,4.97
139,-91.0,4.97
140,-90.5999984741211,4.97
141,-90.5999984741211,4.97
142,-90.5999984741211,4.97
143,-90.5999984741211,4.97
144,-90.5999984741211,4.97
145,-90.5999984741211,4.97
146,-90.5999984741211,4.97
147,-90.5999984741211,4.97
148,-90.5999984741211,4.97
149,-90.5999984741211,4.97
150,-90.5999984741211,4.97
151,-90.5999984741211,4.97
152,-90.5999984741211,4.97
153,-90.5999984741211,4.97
154,-90.5999984741211,4.97
155,-90.5999984741211,4.97
156,-90.5999984741211,4.97
157,-90.5999984741211,4.97
158,-90.5999984741211,4.97
159,-90.5999984741211,4.97
160,-90.5999984741211,4.97
161,-90.5999984741211,4.97
162,-90.5999984741211,4.97
163,-90.5999984741211,4.97
164,-90.5999984741211,4.97
165,-90.5999984741211,4.97
166,-90.5999984741211,4.97
167,-90.5999984741211,4.97
168,-90.5999984741211,4.97
169,-90.5999984741211,4.97
170,-90.5999984741211,4.97
171,-90.5999984741211,4.97
172,-90.5999984741211,4.97
173,-90.5999984741211,4.97
174,-90.5999984741211,4.97
175,-90.5999984741211,4.97
176,-90.5999984741211,4.97
177,-90.5999984741211,4.97
178,-90.5999984741211,4.97
179,-90.5999984741211,4.97
180,-90.5999984741211,4.97
181,-90.5999984741211,4.97
182,-90.5999984741211,4.97
183,-90.5999984741211,4.97
184,-87.4000015258789,4.97
185,-87.4000015258789,4.97
186,-87.4000015258789,4.97
187,-87.4000015258789,4.97
188,-87.4000015258789,4.97
189,-87.4000015258789,4.97
190,-87.4000015258789,4.97
191,-87.4000015258789,4.97
192,-87.4000015258789,4.97
193,-87.4000015258789,4.97
194,-87.4000015258789,4.97
195,-87.4000015258789,4.97
196,-87.4000015258789,4.97
197,-87.4000015258789,4.97
198,-87.4000015258789,4.97
199,-87.4000015258789,4.97
200,-87.4000015258789,4.97
201,-87.4000015258789,4.97
202,-87.4000015258789,4.97
203,-87.4000015258789,4.97
204,-87.4000015258789,4.97
205,-87.4000015258789,4.97
206,-87.4000015258789,4.97
207,-87.4000015258789,4.97
208,-87.4000015258789,4.97
209,-87.4000015258789,4.97
210,-87.4000015258789,4.97
211,-87.4000015258789,4.97
212,-87.4000015258789,4.97
213,-87.4000015258789,4.97
214,-87.4000015258789,4.97
215,-87.4000015258789,4.97
216,-87.4000015258789,4.97
217,-87.4000015258789,4.97
218,-87.4000015258789,4.97
219,-87.4000015258789,4.97
220,-87.4000015258789,4.97
221,-87.4000015258789,4.97
222,-87.4000015258789,4.97
223,-87.4000015258789,4.97
224,-87.4000015258789,4.97
225,-87.4000015258789,4.97
226,-87.4000015258789,4.97
227,-87.4000015258789,4.97
228,-87.4000015258789,4.97
229,-87.4000015258789,4.97
230,-87.4000015258789,4.97
231,-87.4000015258789,4.97
232,-87.4000015258789,4.97
233,-87.4000015258789,4.97
234,-87.4000015258789,4.97
235,-87.4000015258789,4.97
236,-87.4000015258789,4.97
237,-87.4000015258789,4.97
238,-87.4000015258789,4.97
239,-87.4000015258789,4.97
240,-87.4000015258789,4.97
241,-87.4000015258789,4.97
242,-87.4000015258789,4.97
243,-87.4000015258789,4.97
244,-87.4000015258789,4.97
245,-87.4000015258789,4.97
246,-87.4000015258789,4.97
247,-87.4000015258789,4.97
248,-87.4000015258789,4.97
249,-87.4000015258789,4.97
250,-87.4000015258789,4.97
251,-87.4000015258789,4.97
252,-87.4000015258789,4.97
253,-87.4000015258789,4.97
254,-87.4000015258789,4.97
255,-87.4000015258789,4.97
256,-87.4000015258789,4.97
257,-87.4000015258789,4.97
258,-87.4000015258789,4.97
259,-87.4000015258789,4.97
260,-87.4000015258789,4.97
261,-87.4000015258789,4.97
262,-87.4000015258789,4.97
263,-87.4000015258789,4.97
264,-87.4000015258789,4.97
265,-87.4000015258789,4.97
266,-87.4000015258789,4.97
267,-87.4000015258789,4.97
268,-87.4000015258789,4.97
269,-87.4000015258789,4.97
270,-87.4000015258789,4.97
271,-87.4000015258789,4.97
272,-87.4000015258789,4.97
273,-87.4000015258789,4.97
274,-87.4000015258789,4.97
275,-87.4000015258789,4.97
276,-87.4000015258789,4.97
277,-87.4000015258789,4.97
278,-87.4000015258789,4.97
279,-87.4000015258789,4.97
280,-87.4000015258789,4.97
281,-87.4000015258789,4.97
282,-87.4000015258789,4.97
283,-87.4000015258789,4.97
284,-87.4000015258789,4.97
285,-87.4000015258789,4.97
286,-87.4000015258789,4.97
287,-87.4000015258789,4.97
288,-87.4000015258789,4.97
289,-87.4000015258789,4.97
290,-87.4000015258789,4.97
291,-87.4000015258789,4.97
292,-87.4000015258789,4.97
293,-87.4000015258789,4.97
294,-87.4000015258789,4.97
295,-87.4000015258789,4.97
296,-87.4000015258789,4.97
297,-87.4000015258789,4.97
298,-87.4000015258789,4.97
299,-87.4000015258789,4.97
300,-87.4000015258789,4.97
301,-87.4000015258789,4.97
302,-87.4000015258789,4.97
303,-87.4000015258789,4.97
