iteration,fitness,time
0,-106.5999984741211,3.00
1,-152.8000030517578,1.52
2,-103.80000305175781,1.52
3,-102.4000015258789,1.44
4,-100.20000457763672,1.51
5,-93.0,1.56
6,-113.4000015258789,1.50
7,-99.20000457763672,1.56
8,-89.5999984741211,1.54
9,-103.5999984741211,1.62
10,-102.5999984741211,1.60
11,-103.5999984741211,1.58
12,-104.0,1.48
13,-106.4000015258789,1.56
14,-101.4000015258789,1.55
15,-101.5999984741211,1.57
16,-91.5999984741211,1.55
17,-101.5999984741211,1.57
18,-108.80000305175781,1.41
19,-89.5999984741211,1.46
20,-95.4000015258789,1.54
21,-116.0,1.50
22,-102.0,1.54
23,-94.4000015258789,1.53
24,-119.0,1.53
25,-105.80000305175781,1.56
26,-111.5999984741211,1.56
27,-115.20000457763672,1.49
28,-104.5999984741211,1.53
29,-91.20000457763672,1.55
30,-93.0,1.58
31,-92.80000305175781,1.61
32,-88.4000015258789,1.59
33,-103.4000015258789,1.67
34,-91.80000305175781,1.62
35,-100.4000015258789,1.53
36,-103.0,1.50
37,-97.0,1.59
38,-93.4000015258789,1.47
39,-104.20000457763672,1.63
40,-102.0,1.41
41,-92.20000457763672,1.59
42,-110.5999984741211,1.54
43,-88.80000305175781,1.55
44,-101.20000457763672,1.45
45,-93.0,1.60
46,-106.0,1.53
47,-101.20000457763672,1.68
48,-89.80000305175781,1.62
49,-115.5999984741211,1.60
