evaluation,fitness,test_accuracy,time
0,-1.5636513233184814,1.27
0,-1.5636513233184814,-2.2824454307556152,0.80
100,-1.5636513233184814,-2.2824454307556152,0.80
200,-1.5636513233184814,-2.2824454307556152,0.80
300,-1.5636513233184814,-2.2824454307556152,0.80
400,-1.5636513233184814,-2.2824454307556152,0.80
500,-1.5636513233184814,-2.2824454307556152,0.80
600,-1.5636513233184814,-2.2824454307556152,0.80
700,-1.5636513233184814,-2.2824454307556152,0.80
800,-1.5636513233184814,-2.2824454307556152,0.80
900,-1.5636513233184814,-2.2824454307556152,0.80
1000,-1.5636513233184814,-2.2824454307556152,0.80
1100,-1.5636513233184814,-2.2824454307556152,0.80
1200,-1.5636513233184814,-2.2824454307556152,0.80
1300,-1.5636513233184814,-2.2824454307556152,0.80
1400,-0.49394577741622925,-9.077534675598145,0.80
1500,-0.49394577741622925,-9.077534675598145,0.80
1600,-0.49394577741622925,-9.077534675598145,0.80
1700,-0.49394577741622925,-9.077534675598145,0.80
1800,-0.49394577741622925,-9.077534675598145,0.80
1900,-0.49394577741622925,-9.077534675598145,0.80
2000,-0.49394577741622925,-9.077534675598145,0.80
2100,-0.49394577741622925,-9.077534675598145,0.80
2200,-0.49394577741622925,-9.077534675598145,0.80
2300,-0.49394577741622925,-9.077534675598145,0.80
2400,-0.49394577741622925,-9.077534675598145,0.80
2500,-0.49394577741622925,-9.077534675598145,0.80
2600,-0.49394577741622925,-9.077534675598145,0.80
2700,-0.49394577741622925,-9.077534675598145,0.80
2800,-0.49394577741622925,-9.077534675598145,0.80
2900,-0.49394577741622925,-9.077534675598145,0.80
3000,-0.49394577741622925,-9.077534675598145,0.80
3100,-0.49394577741622925,-9.077534675598145,0.80
3200,-0.49394577741622925,-9.077534675598145,0.80
3300,-0.49394577741622925,-9.077534675598145,0.80
3400,-0.49394577741622925,-9.077534675598145,0.80
3500,-0.49394577741622925,-9.077534675598145,0.80
3600,-0.49394577741622925,-9.077534675598145,0.80
3700,-0.47718632221221924,-0.8054970502853394,0.80
3800,-0.47718632221221924,-0.8054970502853394,0.80
3900,-0.47718632221221924,-0.8054970502853394,0.80
4000,-0.47718632221221924,-0.8054970502853394,0.80
4100,-0.47718632221221924,-0.8054970502853394,0.80
4200,-0.47718632221221924,-0.8054970502853394,0.80
4300,-0.47718632221221924,-0.8054970502853394,0.80
4400,-0.47718632221221924,-0.8054970502853394,0.80
4500,-0.47718632221221924,-0.8054970502853394,0.80
4600,-0.47718632221221924,-0.8054970502853394,0.80
4700,-0.47718632221221924,-0.8054970502853394,0.80
4800,-0.47718632221221924,-0.8054970502853394,0.80
4900,-0.47718632221221924,-0.8054970502853394,0.80
5000,-0.47718632221221924,-0.8054970502853394,0.80
5100,-0.47718632221221924,-0.8054970502853394,0.80
5200,-0.47718632221221924,-6.397390365600586,0.72
5300,-0.47718632221221924,-6.397390365600586,0.72
5400,-0.47718632221221924,-6.397390365600586,0.72
5500,-0.47718632221221924,-6.397390365600586,0.72
5600,-0.47718632221221924,-6.397390365600586,0.72
5700,-0.47718632221221924,-6.397390365600586,0.72
5800,-0.47718632221221924,-6.397390365600586,0.72
5900,-0.47718632221221924,-6.397390365600586,0.72
6000,-0.47718632221221924,-6.397390365600586,0.72
6100,0.21139231324195862,0.2512624263763428,0.72
6200,0.21139231324195862,0.2512624263763428,0.72
6300,0.21139231324195862,0.2512624263763428,0.72
6400,0.21139231324195862,0.2512624263763428,0.72
6500,0.21139231324195862,0.2512624263763428,0.72
6600,0.21139231324195862,0.2512624263763428,0.72
6700,0.21139231324195862,0.2512624263763428,0.72
6800,0.21139231324195862,0.2512624263763428,0.72
6900,0.21139231324195862,0.2512624263763428,0.72
7000,0.21139231324195862,0.2512624263763428,0.72
7100,0.21139231324195862,0.2512624263763428,0.72
7200,0.21139231324195862,0.2512624263763428,0.72
7300,0.21139231324195862,0.2512624263763428,0.72
7400,0.21139231324195862,0.2512624263763428,0.72
7500,0.21139231324195862,0.2512624263763428,0.72
7600,0.21139231324195862,0.2512624263763428,0.72
7700,0.21139231324195862,0.2512624263763428,0.72
7800,0.21139231324195862,0.2512624263763428,0.72
7900,0.21139231324195862,0.2512624263763428,0.72
8000,0.21139231324195862,0.2512624263763428,0.72
8100,0.21139231324195862,0.2512624263763428,0.72
8200,0.21139231324195862,0.2512624263763428,0.72
8300,0.21139231324195862,0.2512624263763428,0.72
8400,0.21139231324195862,0.2512624263763428,0.72
8500,0.21139231324195862,0.2512624263763428,0.72
8600,0.21139231324195862,0.2512624263763428,0.72
8700,0.21139231324195862,0.2512624263763428,0.72
8800,0.21139231324195862,0.2512624263763428,0.72
8900,0.21139231324195862,0.2512624263763428,0.72
9000,0.21139231324195862,0.2512624263763428,0.72
9100,0.21139231324195862,0.2512624263763428,0.72
9200,0.21139231324195862,0.2512624263763428,0.72
9300,0.21139231324195862,0.2512624263763428,0.72
9400,0.21139231324195862,0.2512624263763428,0.72
9500,0.21139231324195862,0.2512624263763428,0.72
9600,0.21139231324195862,0.2512624263763428,0.72
9700,0.21139231324195862,0.2512624263763428,0.72
9800,0.21139231324195862,0.2512624263763428,0.72
9900,0.21139231324195862,0.2512624263763428,0.72
10000,0.21139231324195862,0.2512624263763428,0.72
10100,0.21139231324195862,0.2512624263763428,0.72
10200,0.21139231324195862,0.2512624263763428,0.72
10300,0.21139231324195862,0.2512624263763428,0.72
10400,0.21139231324195862,-5.179058074951172,0.72
10500,0.21139231324195862,-5.179058074951172,0.72
10600,0.21139231324195862,-5.179058074951172,0.72
10700,0.21139231324195862,-5.179058074951172,0.72
10800,0.21139231324195862,-5.179058074951172,0.72
10900,0.21139231324195862,-5.179058074951172,0.72
11000,0.21139231324195862,-5.179058074951172,0.72
11100,0.21139231324195862,-5.179058074951172,0.72
11200,0.21139231324195862,-5.179058074951172,0.72
11300,0.21139231324195862,-5.179058074951172,0.72
11400,0.21139231324195862,-5.179058074951172,0.72
11500,0.21139231324195862,-5.179058074951172,0.72
11600,0.21139231324195862,-5.179058074951172,0.72
11700,0.21139231324195862,-5.179058074951172,0.72
11800,0.21139231324195862,-5.179058074951172,0.72
11900,0.21139231324195862,-5.179058074951172,0.72
12000,0.21139231324195862,-5.179058074951172,0.72
12100,0.21139231324195862,-5.179058074951172,0.72
12200,0.21139231324195862,-5.179058074951172,0.72
12300,0.21139231324195862,-5.179058074951172,0.72
12400,0.21139231324195862,-5.179058074951172,0.72
12500,0.21139231324195862,-5.179058074951172,0.72
12600,0.21139231324195862,-5.179058074951172,0.72
12700,0.21139231324195862,-5.179058074951172,0.72
12800,0.21139231324195862,-5.179058074951172,0.72
12900,0.21139231324195862,-5.179058074951172,0.72
13000,0.21139231324195862,-5.179058074951172,0.72
13100,0.21139231324195862,-5.179058074951172,0.72
13200,0.21139231324195862,-5.179058074951172,0.72
13300,0.21139231324195862,-5.179058074951172,0.72
13400,0.21139231324195862,-5.179058074951172,0.72
13500,0.21139231324195862,-5.179058074951172,0.72
13600,0.21139231324195862,-5.179058074951172,0.72
13700,0.21139231324195862,-5.179058074951172,0.72
13800,0.21139231324195862,-5.179058074951172,0.72
13900,0.21139231324195862,-5.179058074951172,0.72
14000,0.21139231324195862,-5.179058074951172,0.72
14100,0.21139231324195862,-5.179058074951172,0.72
14200,0.21139231324195862,-5.179058074951172,0.72
14300,0.21139231324195862,-5.179058074951172,0.72
14400,0.21139231324195862,-5.179058074951172,0.72
14500,0.21139231324195862,-5.179058074951172,0.72
14600,0.21139231324195862,-5.179058074951172,0.72
14700,0.21139231324195862,-5.179058074951172,0.72
14800,0.21139231324195862,-5.179058074951172,0.72
14900,0.21139231324195862,-5.179058074951172,0.72
15000,0.21139231324195862,-5.179058074951172,0.72
15100,0.21139231324195862,-5.179058074951172,0.72
15200,0.21139231324195862,-5.179058074951172,0.72
15300,0.21139231324195862,-5.179058074951172,0.72
15400,0.21139231324195862,-5.179058074951172,0.72
15500,0.21139231324195862,-5.179058074951172,0.72
15600,0.21139231324195862,-5.179058074951172,0.75
15700,0.21139231324195862,-5.179058074951172,0.75
15800,0.21139231324195862,-5.179058074951172,0.75
15900,0.21139231324195862,-5.179058074951172,0.75
16000,0.21139231324195862,-5.179058074951172,0.75
16100,0.21139231324195862,-5.179058074951172,0.75
16200,0.21139231324195862,-5.179058074951172,0.75
16300,0.21139231324195862,-5.179058074951172,0.75
16400,0.21139231324195862,-5.179058074951172,0.75
16500,0.21139231324195862,-5.179058074951172,0.75
16600,0.21139231324195862,-5.179058074951172,0.75
16700,0.21139231324195862,-5.179058074951172,0.75
16800,0.21139231324195862,-5.179058074951172,0.75
16900,0.21139231324195862,-5.179058074951172,0.75
17000,0.21139231324195862,-5.179058074951172,0.75
17100,0.21139231324195862,-5.179058074951172,0.75
17200,0.21139231324195862,-5.179058074951172,0.75
17300,0.21139231324195862,-5.179058074951172,0.75
17400,0.21139231324195862,-5.179058074951172,0.75
17500,0.21139231324195862,-5.179058074951172,0.75
17600,0.21139231324195862,-5.179058074951172,0.75
17700,0.21139231324195862,-5.179058074951172,0.75
17800,0.21139231324195862,-5.179058074951172,0.75
17900,0.21139231324195862,-5.179058074951172,0.75
18000,0.21139231324195862,-5.179058074951172,0.75
18100,0.21139231324195862,-5.179058074951172,0.75
18200,0.21139231324195862,-5.179058074951172,0.75
18300,0.21139231324195862,-5.179058074951172,0.75
18400,0.21139231324195862,-5.179058074951172,0.75
18500,0.21139231324195862,-5.179058074951172,0.75
18600,0.21139231324195862,-5.179058074951172,0.75
18700,0.21139231324195862,-5.179058074951172,0.75
18800,0.21139231324195862,-5.179058074951172,0.75
18900,0.21139231324195862,-5.179058074951172,0.75
19000,0.21139231324195862,-5.179058074951172,0.75
19100,0.21139231324195862,-5.179058074951172,0.75
19200,0.21139231324195862,-5.179058074951172,0.75
19300,0.21139231324195862,-5.179058074951172,0.75
19400,0.21139231324195862,-5.179058074951172,0.75
19500,0.21139231324195862,-5.179058074951172,0.75
19600,0.21139231324195862,-5.179058074951172,0.75
19700,0.21139231324195862,-5.179058074951172,0.75
19800,0.21139231324195862,-5.179058074951172,0.75
19900,0.21139231324195862,-5.179058074951172,0.75
20000,0.21139231324195862,-5.179058074951172,0.75
20100,0.21139231324195862,-5.179058074951172,0.75
20200,0.21139231324195862,-5.179058074951172,0.75
20300,0.21139231324195862,-5.179058074951172,0.75
20400,0.21139231324195862,-5.179058074951172,0.75
20500,0.21139231324195862,-5.179058074951172,0.75
20600,0.21139231324195862,-5.179058074951172,0.75
20700,0.21139231324195862,-5.179058074951172,0.75
20800,0.21139231324195862,-5.179058074951172,0.74
20900,0.21139231324195862,-5.179058074951172,0.74
21000,0.21139231324195862,-5.179058074951172,0.74
21100,0.21139231324195862,-5.179058074951172,0.74
21200,0.21139231324195862,-5.179058074951172,0.74
21300,0.21139231324195862,-5.179058074951172,0.74
21400,0.21139231324195862,-5.179058074951172,0.74
21500,0.21139231324195862,-5.179058074951172,0.74
21600,0.21139231324195862,-5.179058074951172,0.74
21700,0.21139231324195862,-5.179058074951172,0.74
21800,0.21139231324195862,-5.179058074951172,0.74
21900,0.21139231324195862,-5.179058074951172,0.74
22000,0.21139231324195862,-5.179058074951172,0.74
22100,0.21139231324195862,-5.179058074951172,0.74
22200,0.21139231324195862,-5.179058074951172,0.74
22300,0.21139231324195862,-5.179058074951172,0.74
22400,0.21139231324195862,-5.179058074951172,0.74
22500,0.21139231324195862,-5.179058074951172,0.74
22600,0.21139231324195862,-5.179058074951172,0.74
22700,0.21139231324195862,-5.179058074951172,0.74
22800,0.21139231324195862,-5.179058074951172,0.74
22900,0.21139231324195862,-5.179058074951172,0.74
23000,0.21139231324195862,-5.179058074951172,0.74
23100,0.21139231324195862,-5.179058074951172,0.74
23200,0.21139231324195862,-5.179058074951172,0.74
23300,0.21139231324195862,-5.179058074951172,0.74
23400,0.21139231324195862,-5.179058074951172,0.74
23500,0.21139231324195862,-5.179058074951172,0.74
23600,0.21139231324195862,-5.179058074951172,0.74
23700,0.21139231324195862,-5.179058074951172,0.74
23800,0.21139231324195862,-5.179058074951172,0.74
23900,0.21139231324195862,-5.179058074951172,0.74
24000,0.21139231324195862,-5.179058074951172,0.74
24100,0.21139231324195862,-5.179058074951172,0.74
24200,0.21139231324195862,-5.179058074951172,0.74
24300,0.21139231324195862,-5.179058074951172,0.74
24400,0.21139231324195862,-5.179058074951172,0.74
24500,0.21139231324195862,-5.179058074951172,0.74
24600,0.21139231324195862,-5.179058074951172,0.74
24700,0.21139231324195862,-5.179058074951172,0.74
24800,0.21139231324195862,-5.179058074951172,0.74
24900,0.21139231324195862,-5.179058074951172,0.74
25000,0.21139231324195862,-5.179058074951172,0.74
25100,0.21139231324195862,-5.179058074951172,0.74
