evaluation,fitness,time
0,208.96221923828125,44.44
0,219.5133819580078,12.21
100,245.47975158691406,12.21
200,250.07110595703125,12.21
300,250.07110595703125,12.21
400,256.8523254394531,12.21
500,256.8523254394531,12.21
600,301.3481140136719,12.21
700,335.8369445800781,12.21
800,335.8369445800781,12.21
900,335.8369445800781,12.21
1000,344.9194641113281,12.21
1100,344.9194641113281,12.21
1200,344.9194641113281,12.21
1300,373.8780822753906,12.21
1400,467.9308776855469,12.21
1500,478.8088684082031,12.21
1600,478.8088684082031,12.21
1700,478.8088684082031,12.21
1800,478.8088684082031,12.21
1900,488.1982727050781,12.21
2000,488.1982727050781,12.21
2100,488.1982727050781,12.21
2200,678.4600830078125,12.21
2300,678.4600830078125,12.21
2400,678.4600830078125,12.21
2500,742.4886474609375,12.21
2600,742.4886474609375,12.21
2700,742.4886474609375,12.21
2800,742.4886474609375,12.21
2900,742.4886474609375,12.21
3000,742.4886474609375,12.21
3100,742.4886474609375,12.21
3200,742.4886474609375,12.21
3300,742.4886474609375,12.21
3400,742.4886474609375,12.21
3500,742.4886474609375,12.21
3600,742.4886474609375,12.21
3700,742.4886474609375,12.21
3800,742.4886474609375,12.21
3900,742.4886474609375,12.21
4000,742.4886474609375,12.21
4100,742.4886474609375,12.21
4200,742.4886474609375,12.21
4300,742.4886474609375,12.21
4400,742.4886474609375,12.21
4500,742.4886474609375,12.21
4600,742.4886474609375,12.21
4700,742.4886474609375,12.21
4800,742.4886474609375,12.21
4900,742.4886474609375,12.21
5000,742.4886474609375,12.21
5100,742.4886474609375,12.21
5200,742.4886474609375,12.21
5300,742.4886474609375,12.21
5400,742.4886474609375,12.21
5500,742.4886474609375,12.21
5600,742.4886474609375,12.21
5700,742.4886474609375,12.21
5800,742.4886474609375,12.21
5900,742.4886474609375,12.21
6000,998.3677368164062,12.21
6100,998.3677368164062,12.21
6200,1005.8447265625,12.21
6300,1005.8447265625,12.21
6400,1005.8447265625,12.21
6500,1018.6641235351562,12.21
6600,1018.6641235351562,12.21
6700,1018.6641235351562,12.21
6800,1018.6641235351562,12.21
6900,1018.6641235351562,12.21
7000,1018.6641235351562,12.21
7100,1018.6641235351562,12.21
7200,1018.6641235351562,12.21
7300,1018.6641235351562,12.21
7400,1018.6641235351562,12.21
7500,1018.6641235351562,12.21
7600,1018.6641235351562,12.21
7700,1018.6641235351562,12.21
7800,1026.1942138671875,12.21
7900,1026.1942138671875,12.21
8000,1026.1942138671875,12.21
8100,1026.1942138671875,12.21
8200,1026.1942138671875,12.21
8300,1026.1942138671875,12.21
8400,1026.1942138671875,12.21
8500,1026.1942138671875,12.21
8600,1026.1942138671875,12.21
8700,1026.1942138671875,12.21
