evaluation,fitness,time
0,0.7028946876525879,0.45
0,0.7028946876525879,0.5901872515678406,0.42
100,0.7028946876525879,0.5901872515678406,0.42
200,0.7028946876525879,0.5901872515678406,0.42
300,0.7028946876525879,0.5901872515678406,0.42
400,0.7028946876525879,0.5901872515678406,0.42
500,0.7028946876525879,0.5901872515678406,0.42
600,0.7028946876525879,0.5901872515678406,0.42
700,0.7028946876525879,0.5901872515678406,0.42
800,0.7028946876525879,0.5901872515678406,0.42
900,0.7028946876525879,0.5901872515678406,0.42
1000,0.7039378881454468,0.7157870531082153,0.42
1100,0.7039378881454468,0.7157870531082153,0.42
1200,0.7039378881454468,0.7157870531082153,0.42
1300,0.7039378881454468,0.7157870531082153,0.42
1400,0.7039378881454468,0.7157870531082153,0.42
1500,0.7039378881454468,0.7157870531082153,0.42
1600,0.7039378881454468,0.7157870531082153,0.42
1700,0.7239455580711365,0.5863743424415588,0.42
1800,0.7239455580711365,0.5863743424415588,0.42
1900,0.7610480189323425,0.8405072689056396,0.42
2000,0.7610480189323425,0.8405072689056396,0.42
2100,0.7610480189323425,0.8405072689056396,0.42
2200,0.7610480189323425,0.8405072689056396,0.42
2300,0.7610480189323425,0.8405072689056396,0.42
2400,0.7610480189323425,0.8405072689056396,0.42
2500,0.7610480189323425,0.8405072689056396,0.42
2600,0.7610480189323425,0.8405072689056396,0.42
2700,0.7610480189323425,0.8405072689056396,0.42
2800,0.7610480189323425,0.8405072689056396,0.42
2900,0.7610480189323425,0.8405072689056396,0.42
3000,0.7610480189323425,0.8405072689056396,0.42
3100,0.7610480189323425,0.8405072689056396,0.42
3200,0.7610480189323425,0.8405072689056396,0.42
3300,0.7610480189323425,0.8405072689056396,0.42
3400,0.7610480189323425,0.8405072689056396,0.42
3500,0.7610480189323425,0.8405072689056396,0.42
3600,0.7610480189323425,0.8405072689056396,0.42
3700,0.7610480189323425,0.8405072689056396,0.42
3800,0.7610480189323425,0.8405072689056396,0.42
3900,0.7610480189323425,0.8405072689056396,0.42
4000,0.7610480189323425,0.8405072689056396,0.42
4100,0.7610480189323425,0.8405072689056396,0.42
4200,0.7610480189323425,0.8405072689056396,0.42
4300,0.7610480189323425,0.8405072689056396,0.42
4400,0.7610480189323425,0.8405072689056396,0.42
4500,0.7610480189323425,0.8405072689056396,0.42
4600,0.7610480189323425,0.8405072689056396,0.42
4700,0.7610480189323425,0.8405072689056396,0.42
4800,0.7610480189323425,0.8405072689056396,0.42
4900,0.7610480189323425,0.8405072689056396,0.42
5000,0.7610480189323425,0.8405072689056396,0.42
5100,0.7610480189323425,0.8405072689056396,0.42
5200,0.7610480189323425,0.8405072689056396,0.42
5300,0.7610480189323425,0.8405072689056396,0.42
5400,0.7610480189323425,0.8405072689056396,0.42
5500,0.7610480189323425,0.8405072689056396,0.42
5600,0.7610480189323425,0.8405072689056396,0.42
5700,0.7610480189323425,0.8405072689056396,0.42
5800,0.7610480189323425,0.8405072689056396,0.42
5900,0.7627916932106018,0.7849838733673096,0.42
6000,0.7627916932106018,0.7849838733673096,0.42
6100,0.7627916932106018,0.7849838733673096,0.42
6200,0.7627916932106018,0.7849838733673096,0.42
6300,0.7627916932106018,0.7849838733673096,0.42
6400,0.7627916932106018,0.7849838733673096,0.42
6500,0.7627916932106018,0.7849838733673096,0.42
6600,0.768710732460022,0.8049507141113281,0.42
6700,0.8427743911743164,0.8659294843673706,0.42
6800,0.8427743911743164,0.8659294843673706,0.42
6900,0.8427743911743164,0.8659294843673706,0.42
7000,0.8427743911743164,0.8659294843673706,0.42
7100,0.8427743911743164,0.8659294843673706,0.42
7200,0.8427743911743164,0.8659294843673706,0.42
7300,0.8427743911743164,0.8659294843673706,0.42
7400,0.8427743911743164,0.8659294843673706,0.42
7500,0.8427743911743164,0.8659294843673706,0.42
7600,0.8427743911743164,0.8659294843673706,0.42
7700,0.8427743911743164,0.8659294843673706,0.42
7800,0.8427743911743164,0.8659294843673706,0.42
7900,0.8427743911743164,0.8659294843673706,0.42
