healthy,ctrl,forward,total,cumulative,cumulative_healthy,cumulative_ctrl,cumulative_forward
1.0,-0.0017400518991053104,-0.03316088393330574,0.9650990962982178,1136.5952,999.0,-1.7481956,139.34402
1.0,-0.0017329344991594553,-0.00680824788287282,0.9914588332176208,1136.5952,999.0,-1.7481956,139.34402
1.0,-0.0017337099416181445,-0.06732731312513351,0.9309389591217041,1136.5952,999.0,-1.7481956,139.34402
1.0,-0.0016954779857769608,-0.11432356387376785,0.8839809894561768,1136.5952,999.0,-1.7481956,139.34402
1.0,-0.0017315411241725087,-0.12572897970676422,0.8725395202636719,1136.5952,999.0,-1.7481956,139.34402
1.0,-0.0017393921734765172,-0.17872484028339386,0.8195357918739319,1136.5952,999.0,-1.7481956,139.34402
1.0,-0.001717864302918315,-0.2175707370042801,0.7807114124298096,1136.5952,999.0,-1.7481956,139.34402
1.0,-0.001739016966894269,-0.26301309466362,0.7352478504180908,1136.5952,999.0,-1.7481956,139.34402
1.0,-0.00173912663012743,-0.2866261601448059,0.7116346955299377,1136.5952,999.0,-1.7481956,139.34402
1.0,-0.00173418247140944,-0.33069515228271484,0.6675706505775452,1136.5952,999.0,-1.7481956,139.34402
1.0,-0.0017390318680554628,-0.37637001276016235,0.6218909621238708,1136.5952,999.0,-1.7481956,139.34402
1.0,-0.0017359599005430937,-0.39407235383987427,0.6041916608810425,1136.5952,999.0,-1.7481956,139.34402
1.0,-0.001736251637339592,-0.4405837655067444,0.5576800107955933,1136.5952,999.0,-1.7481956,139.34402
1.0,-0.0017366346437484026,-0.4743328094482422,0.523930549621582,1136.5952,999.0,-1.7481956,139.34402
1.0,-0.0017356525640934706,-0.5024557113647461,0.4958086311817169,1136.5952,999.0,-1.7481956,139.34402
1.0,-0.001739619649015367,-0.5571427345275879,0.44111764430999756,1136.5952,999.0,-1.7481956,139.34402
1.0,-0.0017405565595254302,-0.5758972764015198,0.42236217856407166,1136.5952,999.0,-1.7481956,139.34402
1.0,-0.0017406317638233304,-0.6160465478897095,0.3822128176689148,1136.5952,999.0,-1.7481956,139.34402
1.0,-0.0017434009350836277,-0.6613260507583618,0.3369305431842804,1136.5952,999.0,-1.7481956,139.34402
1.0,-0.0017379731871187687,-0.6851441860198975,0.3131178319454193,1136.5952,999.0,-1.7481956,139.34402
1.0,-0.0017386843683198094,-0.6968937516212463,0.30136755108833313,1136.5952,999.0,-1.7481956,139.34402
1.0,-0.001741796382702887,-0.3820168673992157,0.6162413358688354,1136.5952,999.0,-1.7481956,139.34402
1.0,-0.0017466276185587049,-0.3346893787384033,0.6635639667510986,1136.5952,999.0,-1.7481956,139.34402
1.0,-0.001750872004777193,-0.4570046067237854,0.5412445068359375,1136.5952,999.0,-1.7481956,139.34402
1.0,-0.0017532056663185358,-0.3946032226085663,0.603643536567688,1136.5952,999.0,-1.7481956,139.34402
1.0,-0.0017516795778647065,-0.35168227553367615,0.6465660333633423,1136.5952,999.0,-1.7481956,139.34402
1.0,-0.0017540410626679659,-0.3074742555618286,0.6907716989517212,1136.5952,999.0,-1.7481956,139.34402
1.0,-0.0017375845927745104,-0.2833082973957062,0.714954137802124,1136.5952,999.0,-1.7481956,139.34402
1.0,-0.001739328377880156,-0.2525038719177246,0.7457568049430847,1136.5952,999.0,-1.7481956,139.34402
1.0,-0.001755687058903277,-0.3113541603088379,0.6868901252746582,1136.5952,999.0,-1.7481956,139.34402
1.0,-0.0014940808760002255,-0.3317939043045044,0.6667119860649109,1136.5952,999.0,-1.7481956,139.34402
1.0,-0.0016835741698741913,-0.34144333004951477,0.6568731069564819,1136.5952,999.0,-1.7481956,139.34402
1.0,-0.0013305217726156116,-0.3933170437812805,0.6053524613380432,1136.5952,999.0,-1.7481956,139.34402
1.0,-0.0017333683790639043,-0.34727340936660767,0.6509932279586792,1136.5952,999.0,-1.7481956,139.34402
1.0,-0.0017515755025669932,-0.2600718140602112,0.7381765842437744,1136.5952,999.0,-1.7481956,139.34402
1.0,-0.0015473166713491082,-0.15441793203353882,0.844034731388092,1136.5952,999.0,-1.7481956,139.34402
1.0,-0.0017704826314002275,-0.19724945724010468,0.8009800314903259,1136.5952,999.0,-1.7481956,139.34402
1.0,-0.0017754293512552977,-0.2853926122188568,0.7128319144248962,1136.5952,999.0,-1.7481956,139.34402
1.0,-0.0017749496037140489,-0.27853062748908997,0.7196944355964661,1136.5952,999.0,-1.7481956,139.34402
1.0,-0.0016931756399571896,-0.22570881247520447,0.7725979685783386,1136.5952,999.0,-1.7481956,139.34402
1.0,-0.0017800999339669943,-0.16618984937667847,0.8320300579071045,1136.5952,999.0,-1.7481956,139.34402
1.0,-0.0017259415471926332,-0.16416235268115997,0.834111750125885,1136.5952,999.0,-1.7481956,139.34402
1.0,-0.0017819874919950962,-0.17779412865638733,0.8204239010810852,1136.5952,999.0,-1.7481956,139.34402
1.0,-0.0017766355304047465,-0.17246882617473602,0.8257545232772827,1136.5952,999.0,-1.7481956,139.34402
1.0,-0.0017868370050564408,-0.13340449333190918,0.8648086786270142,1136.5952,999.0,-1.7481956,139.34402
1.0,-0.0017770786071196198,-0.11444463580846786,0.8837783336639404,1136.5952,999.0,-1.7481956,139.34402
1.0,-0.0017864418914541602,-0.09542330354452133,0.9027902483940125,1136.5952,999.0,-1.7481956,139.34402
1.0,-0.001787498127669096,-0.07458216696977615,0.9236303567886353,1136.5952,999.0,-1.7481956,139.34402
1.0,-0.0017887394642457366,-0.06346217542886734,0.9347490668296814,1136.5952,999.0,-1.7481956,139.34402
1.0,-0.0017892085015773773,-0.04625506326556206,0.9519557356834412,1136.5952,999.0,-1.7481956,139.34402
1.0,-0.0017814773600548506,-0.029507091268897057,0.9687114357948303,1136.5952,999.0,-1.7481956,139.34402
1.0,-0.0017879881197586656,-0.020053235813975334,0.9781588315963745,1136.5952,999.0,-1.7481956,139.34402
1.0,-0.001786101027391851,0.06615369766950607,1.0643675327301025,1136.5952,999.0,-1.7481956,139.34402
1.0,-0.0017810672288760543,0.22333672642707825,1.2215555906295776,1136.5952,999.0,-1.7481956,139.34402
1.0,-0.0017705823993310332,0.39417293667793274,1.3924022912979126,1136.5952,999.0,-1.7481956,139.34402
1.0,-0.001782811596058309,0.5242209434509277,1.5224381685256958,1136.5952,999.0,-1.7481956,139.34402
