healthy,ctrl,forward,total,cumulative
1.0,-0.00231765559874475,-0.0010755974799394608,0.996606707572937,1061.5673
1.0,-0.00316177261993289,0.09892392158508301,1.0957621335983276,1061.5673
1.0,-0.0031878387089818716,0.008144626393914223,1.0049567222595215,1061.5673
1.0,-0.002617618767544627,-0.029355155304074287,0.9680272340774536,1061.5673
1.0,-0.002279705135151744,-0.04987860843539238,0.9478417038917542,1061.5673
1.0,-0.002300311578437686,-0.05560075119137764,0.9420989155769348,1061.5673
1.0,-0.002166772959753871,-0.0656074583530426,0.9322258234024048,1061.5673
1.0,-0.0021688181441277266,-0.0962262973189354,0.9016048908233643,1061.5673
1.0,-0.00219385395757854,-0.10119269043207169,0.8966134190559387,1061.5673
1.0,-0.002161538228392601,-0.13878151774406433,0.8590568900108337,1061.5673
1.0,-0.002161448122933507,-0.15847373008728027,0.8393648266792297,1061.5673
1.0,-0.0021613326389342546,-0.18183188140392303,0.8160067796707153,1061.5673
1.0,-0.002162148477509618,-0.19499804079532623,0.8028398156166077,1061.5673
1.0,-0.0027403368148952723,-0.20444229245185852,0.7928174138069153,1061.5673
1.0,-0.002742453943938017,-0.23154191672801971,0.7657155990600586,1061.5673
1.0,-0.002734118839725852,-0.6974384188652039,0.2998274564743042,1061.5673
1.0,-0.0021638022735714912,-1.0086987018585205,-0.010862504132091999,1061.5673
1.0,-0.0022412233520299196,-0.7914548516273499,0.2063039243221283,1061.5673
1.0,-0.002779422327876091,-0.7432070374488831,0.2540135383605957,1061.5673
1.0,-0.002849116688594222,-0.6503420472145081,0.34680885076522827,1061.5673
1.0,-0.0039529381319880486,-0.3042435050010681,0.6918035745620728,1061.5673
1.0,-0.003801776794716716,-0.25472602248191833,0.7414721846580505,1061.5673
1.0,-0.004110405687242746,-0.2329065352678299,0.7629830837249756,1061.5673
1.0,-0.0026863657403737307,-0.17821834981441498,0.819095253944397,1061.5673
1.0,-0.0024175364524126053,-0.08363509178161621,0.913947343826294,1061.5673
1.0,-0.0034108737017959356,-0.15781818330287933,0.8387709259986877,1061.5673
1.0,-0.0025066835805773735,-0.24789197742938995,0.7496013641357422,1061.5673
1.0,-0.0026235596742480993,-0.05742115527391434,0.9399552941322327,1061.5673
1.0,-0.002840972039848566,-0.04002824053168297,0.9571307897567749,1061.5673
1.0,-0.003051934065297246,0.008415895514190197,1.0053640604019165,1061.5673
1.0,-0.0026034724432975054,0.07397448271512985,1.0713709592819214,1061.5673
1.0,-0.0022299170959740877,0.13551999628543854,1.1332900524139404,1061.5673
1.0,-0.002337672747671604,0.20055517554283142,1.198217511177063,1061.5673
1.0,-0.0028706290759146214,0.25066593289375305,1.2477952241897583,1061.5673
1.0,-0.0034751056227833033,0.25589483976364136,1.2524198293685913,1061.5673
1.0,-0.0038328170776367188,0.2419976443052292,1.2381647825241089,1061.5673
1.0,-0.003379787551239133,0.12067937850952148,1.1172995567321777,1061.5673
1.0,-0.0024202472995966673,-0.04748161509633064,0.9500981569290161,1061.5673
1.0,-0.0023469345178455114,-0.04913610965013504,0.9485169649124146,1061.5673
1.0,-0.002573928330093622,-0.019892117008566856,0.9775339961051941,1061.5673
1.0,-0.0021822317503392696,0.04892656207084656,1.0467443466186523,1061.5673
