healthy,ctrl,forward,total,cumulative,cumulative_healthy,cumulative_ctrl,cumulative_forward
1.0,-0.0015800351975485682,-0.030351197347044945,0.9680687189102173,861.14185,542.0,-1.045137,320.18683
1.0,-0.0016881367191672325,-0.029999680817127228,0.9683122038841248,861.14185,542.0,-1.045137,320.18683
1.0,-0.001160812214948237,-0.08072668313980103,0.9181125164031982,861.14185,542.0,-1.045137,320.18683
1.0,-0.0017284859204664826,-0.03554214909672737,0.9627293944358826,861.14185,542.0,-1.045137,320.18683
1.0,-0.0017304730135947466,0.010295013897120953,1.0085645914077759,861.14185,542.0,-1.045137,320.18683
1.0,-0.0017451053718104959,0.018541932106018066,1.0167968273162842,861.14185,542.0,-1.045137,320.18683
1.0,-0.0017515838844701648,0.043162912130355835,1.0414113998413086,861.14185,542.0,-1.045137,320.18683
1.0,-0.0017137413378804922,0.05710941553115845,1.0553956031799316,861.14185,542.0,-1.045137,320.18683
1.0,-0.0018035715911537409,0.06350608170032501,1.0617026090621948,861.14185,542.0,-1.045137,320.18683
1.0,-0.0018691481091082096,0.11910038441419601,1.1172311305999756,861.14185,542.0,-1.045137,320.18683
1.0,-0.0017068353481590748,0.15324148535728455,1.1515346765518188,861.14185,542.0,-1.045137,320.18683
1.0,-0.001678001368418336,0.16390380263328552,1.1622258424758911,861.14185,542.0,-1.045137,320.18683
1.0,-0.0016726981848478317,0.1783962845802307,1.1767234802246094,861.14185,542.0,-1.045137,320.18683
1.0,-0.0016389102675020695,0.18378515541553497,1.1821463108062744,861.14185,542.0,-1.045137,320.18683
1.0,-0.0016218164237216115,0.19750678539276123,1.1958849430084229,861.14185,542.0,-1.045137,320.18683
1.0,-0.0016134690959006548,0.19772407412528992,1.1961106061935425,861.14185,542.0,-1.045137,320.18683
1.0,-0.0016165541019290686,0.20905256271362305,1.207435965538025,861.14185,542.0,-1.045137,320.18683
1.0,-0.0016827209619805217,0.21435260772705078,1.212669849395752,861.14185,542.0,-1.045137,320.18683
1.0,-0.0016960432985797524,0.2384234517812729,1.2367274761199951,861.14185,542.0,-1.045137,320.18683
1.0,-0.0017553846118971705,0.2304914891719818,1.228736162185669,861.14185,542.0,-1.045137,320.18683
1.0,-0.002108578337356448,0.25452160835266113,1.252413034439087,861.14185,542.0,-1.045137,320.18683
1.0,-0.0021432810463011265,0.2862510681152344,1.2841078042984009,861.14185,542.0,-1.045137,320.18683
1.0,-0.00229769223369658,0.29168811440467834,1.2893904447555542,861.14185,542.0,-1.045137,320.18683
1.0,-0.002586075570434332,0.32763344049453735,1.325047254562378,861.14185,542.0,-1.045137,320.18683
1.0,-0.002616907935589552,0.36034661531448364,1.3577296733856201,861.14185,542.0,-1.045137,320.18683
1.0,-0.0026849661953747272,0.3694186210632324,1.3667336702346802,861.14185,542.0,-1.045137,320.18683
1.0,-0.0027440835256129503,0.40284356474876404,1.400099515914917,861.14185,542.0,-1.045137,320.18683
1.0,-0.0027597127482295036,0.42096149921417236,1.4182018041610718,861.14185,542.0,-1.045137,320.18683
1.0,-0.0027611677069216967,0.4461789131164551,1.4434177875518799,861.14185,542.0,-1.045137,320.18683
1.0,-0.0018599580507725477,0.46378791332244873,1.4619280099868774,861.14185,542.0,-1.045137,320.18683
1.0,-0.0017621173756197095,0.5251601934432983,1.5233980417251587,861.14185,542.0,-1.045137,320.18683
1.0,-0.0016351320082321763,0.5258284211158752,1.524193286895752,861.14185,542.0,-1.045137,320.18683
1.0,-0.001703761168755591,0.10250089317560196,1.100797176361084,861.14185,542.0,-1.045137,320.18683
1.0,-0.0017666483763605356,-0.43155065178871155,0.566682755947113,861.14185,542.0,-1.045137,320.18683
1.0,-0.002410436747595668,-0.6439476013183594,0.35364195704460144,861.14185,542.0,-1.045137,320.18683
1.0,-0.0033146163914352655,-0.6365882754325867,0.36009711027145386,861.14185,542.0,-1.045137,320.18683
1.0,-0.0033065101597458124,-0.6037409901618958,0.39295250177383423,861.14185,542.0,-1.045137,320.18683
1.0,-0.003307750914245844,-0.537754476070404,0.45893776416778564,861.14185,542.0,-1.045137,320.18683
1.0,-0.0030107831116765738,-0.43968552350997925,0.5573036670684814,861.14185,542.0,-1.045137,320.18683
1.0,-0.002996195573359728,-0.38428089022636414,0.6127228736877441,861.14185,542.0,-1.045137,320.18683
1.0,-0.0031757086981087923,-0.3376798629760742,0.659144401550293,861.14185,542.0,-1.045137,320.18683
1.0,-0.0025524289812892675,-0.2630627453327179,0.7343848347663879,861.14185,542.0,-1.045137,320.18683
1.0,-0.002442470984533429,-0.178009033203125,0.819548487663269,861.14185,542.0,-1.045137,320.18683
1.0,-0.002322014421224594,-0.10300636291503906,0.894671618938446,861.14185,542.0,-1.045137,320.18683
1.0,-0.0021493711974471807,-0.04339590296149254,0.954454779624939,861.14185,542.0,-1.045137,320.18683
1.0,-0.0021430884953588247,0.035941366106271744,1.0337982177734375,861.14185,542.0,-1.045137,320.18683
1.0,-0.0018535220297053456,0.09658023715019226,1.094726800918579,861.14185,542.0,-1.045137,320.18683
1.0,-0.0016048477264121175,0.1435871124267578,1.1419823169708252,861.14185,542.0,-1.045137,320.18683
1.0,-0.0015871047507971525,0.17000757157802582,1.168420433998108,861.14185,542.0,-1.045137,320.18683
1.0,-0.0015719879884272814,-0.020922159776091576,0.9775058031082153,861.14185,542.0,-1.045137,320.18683
1.0,-0.003059839829802513,-0.21603050827980042,0.7809096574783325,861.14185,542.0,-1.045137,320.18683
1.0,-0.002474369714036584,-0.42354685068130493,0.5739787817001343,861.14185,542.0,-1.045137,320.18683
1.0,-0.0029940269887447357,-0.40384507179260254,0.5931609272956848,861.14185,542.0,-1.045137,320.18683
1.0,-0.002771774772554636,-0.2874017059803009,0.7098265290260315,861.14185,542.0,-1.045137,320.18683
1.0,-0.002144918078556657,-0.24971015751361847,0.7481449246406555,861.14185,542.0,-1.045137,320.18683
1.0,-0.0022606300190091133,-0.19739747047424316,0.8003419041633606,861.14185,542.0,-1.045137,320.18683
1.0,-0.0021858045365661383,-0.12483266741037369,0.8729814887046814,861.14185,542.0,-1.045137,320.18683
1.0,-0.0020291220862418413,-0.12650829553604126,0.8714625835418701,861.14185,542.0,-1.045137,320.18683
1.0,-0.0021330115851014853,-0.09366729855537415,0.9041997194290161,861.14185,542.0,-1.045137,320.18683
1.0,-0.002143362071365118,-0.14038656651973724,0.8574700355529785,861.14185,542.0,-1.045137,320.18683
1.0,-0.002082404913380742,-0.2407323569059372,0.7571852207183838,861.14185,542.0,-1.045137,320.18683
1.0,-0.0020499329548329115,-0.20994499325752258,0.7880051136016846,861.14185,542.0,-1.045137,320.18683
1.0,-0.0027135449927300215,0.13396994769573212,1.131256341934204,861.14185,542.0,-1.045137,320.18683
1.0,-0.0025660672690719366,0.5859761834144592,1.5834100246429443,861.14185,542.0,-1.045137,320.18683
1.0,-0.002727735321968794,0.8199817538261414,1.8172540664672852,861.14185,542.0,-1.045137,320.18683
1.0,-0.002725430531427264,0.9783667325973511,1.9756412506103516,861.14185,542.0,-1.045137,320.18683
1.0,-0.0026193163357675076,1.0290727615356445,2.0264534950256348,861.14185,542.0,-1.045137,320.18683
1.0,-0.00251858145929873,1.1412907838821411,2.1387720108032227,861.14185,542.0,-1.045137,320.18683
1.0,-0.002360147889703512,1.1614896059036255,2.1591293811798096,861.14185,542.0,-1.045137,320.18683
1.0,-0.002165783429518342,1.181862711906433,2.179697036743164,861.14185,542.0,-1.045137,320.18683
1.0,-0.0018190736882388592,1.2543600797653198,2.2525410652160645,861.14185,542.0,-1.045137,320.18683
1.0,-0.0016879639588296413,1.3489516973495483,2.347263813018799,861.14185,542.0,-1.045137,320.18683
1.0,-0.0019495581509545445,1.3888561725616455,2.386906623840332,861.14185,542.0,-1.045137,320.18683
1.0,-0.0022868956439197063,1.410482406616211,2.4081954956054688,861.14185,542.0,-1.045137,320.18683
1.0,-0.0023780695628374815,1.1428827047348022,2.140504837036133,861.14185,542.0,-1.045137,320.18683
1.0,-0.001962850568816066,0.8916388750076294,1.8896759748458862,861.14185,542.0,-1.045137,320.18683
1.0,-0.0032724086195230484,0.8538569808006287,1.850584626197815,861.14185,542.0,-1.045137,320.18683
1.0,-0.0032669154461473227,0.9116622805595398,1.9083954095840454,861.14185,542.0,-1.045137,320.18683
1.0,-0.0021554434206336737,1.014722466468811,2.0125668048858643,861.14185,542.0,-1.045137,320.18683
1.0,-0.0019535766914486885,1.0289474725723267,2.026993751525879,861.14185,542.0,-1.045137,320.18683
1.0,-0.0016842742916196585,0.9584780335426331,1.9567936658859253,861.14185,542.0,-1.045137,320.18683
1.0,-0.0008461115066893399,1.0315234661102295,2.030677318572998,861.14185,542.0,-1.045137,320.18683
1.0,-0.000923522689845413,1.0185091495513916,2.017585515975952,861.14185,542.0,-1.045137,320.18683
1.0,-0.0012640607310459018,1.072646975517273,2.071382999420166,861.14185,542.0,-1.045137,320.18683
