healthy,ctrl,forward,cumulative
1.0,-0.0012699009384959936,0.03364241495728493,1070.2426
1.0,-0.0012387459864839911,0.0821840912103653,1070.2426
1.0,-0.0022992135491222143,0.020254969596862793,1070.2426
1.0,-0.0022947608958929777,0.02165778912603855,1070.2426
1.0,-0.0023021448869258165,0.06863409280776978,1070.2426
1.0,-0.0023170229978859425,0.05074085295200348,1070.2426
1.0,-0.0023216058034449816,0.04237945377826691,1070.2426
1.0,-0.0023309257812798023,0.0698174387216568,1070.2426
1.0,-0.002340644132345915,0.07277555018663406,1070.2426
1.0,-0.0023489724844694138,0.06864839047193527,1070.2426
1.0,-0.0023576365783810616,0.10975833982229233,1070.2426
1.0,-0.0023727554362267256,0.09808932989835739,1070.2426
1.0,-0.0023786479141563177,0.10366714000701904,1070.2426
1.0,-0.002387305488809943,0.13966141641139984,1070.2426
1.0,-0.0024047568440437317,0.13939359784126282,1070.2426
1.0,-0.002414962975308299,0.15828943252563477,1070.2426
1.0,-0.002436521463096142,0.1940145045518875,1070.2426
1.0,-0.0024471445940434933,0.19685351848602295,1070.2426
1.0,-0.0024573267437517643,0.21798837184906006,1070.2426
1.0,-0.0024817665107548237,0.262452632188797,1070.2426
1.0,-0.002494166139513254,0.27167049050331116,1070.2426
1.0,-0.002507193014025688,0.31389760971069336,1070.2426
1.0,-0.0025439721066504717,0.34497326612472534,1070.2426
1.0,-0.0025468647945672274,0.3678519129753113,1070.2426
1.0,-0.002557842992246151,0.42245277762413025,1070.2426
1.0,-0.0025839186273515224,0.4616374671459198,1070.2426
1.0,-0.002601088723167777,0.5017560720443726,1070.2426
1.0,-0.0026152762584388256,0.559987485408783,1070.2426
1.0,-0.0026523589622229338,0.6039067506790161,1070.2426
1.0,-0.0026494592893868685,0.6558829545974731,1070.2426
1.0,-0.002679212251678109,0.7248660326004028,1070.2426
1.0,-0.002692152513191104,0.787629246711731,1070.2426
1.0,-0.0027150451205670834,0.7431348562240601,1070.2426
1.0,-0.0020423701498657465,0.24893970787525177,1070.2426
1.0,-0.0023570831399410963,-0.4310859143733978,1070.2426
1.0,-0.00265346746891737,-0.7118414640426636,1070.2426
1.0,-0.0020710143726319075,-0.6901537775993347,1070.2426
1.0,-0.001953598577529192,-0.6187120079994202,1070.2426
1.0,-0.0018417228711768985,-0.5202260613441467,1070.2426
1.0,-0.001713992445729673,-0.4328591525554657,1070.2426
1.0,-0.0015895526157692075,-0.35234957933425903,1070.2426
1.0,-0.001485593500547111,-0.28001049160957336,1070.2426
1.0,-0.0014087507734075189,-0.21523654460906982,1070.2426
1.0,-0.0013434926513582468,-0.17942161858081818,1070.2426
1.0,-0.0013337790733203292,-0.2745436429977417,1070.2426
1.0,-0.0015766213182359934,-0.2641277313232422,1070.2426
1.0,-0.001185735804028809,-0.22343498468399048,1070.2426
1.0,-0.0015212988946586847,-0.176727294921875,1070.2426
1.0,-0.0013910741545259953,-0.21826428174972534,1070.2426
1.0,-0.0015498960856348276,-0.3715238869190216,1070.2426
1.0,-0.0009541078470647335,-0.295240193605423,1070.2426
1.0,-0.0007984711555764079,-0.25186336040496826,1070.2426
1.0,-0.0008744180086068809,-0.22977332770824432,1070.2426
1.0,-0.0007604415877722204,-0.20143131911754608,1070.2426
1.0,-0.0006454563699662685,-0.1878819763660431,1070.2426
1.0,-0.0009027428459376097,-0.17312029004096985,1070.2426
1.0,-0.0008731572888791561,-0.22329284250736237,1070.2426
1.0,-0.0007410580292344093,-0.23989738523960114,1070.2426
1.0,-0.0007480659405700862,-0.20794278383255005,1070.2426
1.0,-0.0007389833335764706,-0.1846119910478592,1070.2426
1.0,-0.000731342937797308,-0.2071840465068817,1070.2426
1.0,-0.0007163924165070057,-0.21678638458251953,1070.2426
1.0,-0.0005175462574698031,-0.3369370102882385,1070.2426
1.0,-0.0015804783906787634,-0.39347344636917114,1070.2426
1.0,-0.0015769315650686622,-0.5322285890579224,1070.2426
1.0,-0.0017207334749400616,-0.5567767024040222,1070.2426
1.0,-0.0031591698061674833,-0.6386505961418152,1070.2426
1.0,-0.0022961546201258898,-0.5535332560539246,1070.2426
1.0,-0.0021173558197915554,-0.38757988810539246,1070.2426
1.0,-0.0018985547358170152,-0.3318008780479431,1070.2426
1.0,-0.002020757645368576,-0.3316725790500641,1070.2426
1.0,-0.003001586766913533,-0.2972075939178467,1070.2426
1.0,-0.0028801215812563896,-0.18923495709896088,1070.2426
1.0,-0.002834080718457699,-0.12696346640586853,1070.2426
1.0,-0.002801082329824567,-0.05109281837940216,1070.2426
1.0,-0.00275037856772542,0.004606320988386869,1070.2426
1.0,-0.0023314598947763443,0.0173496063798666,1070.2426
1.0,-0.002065344713628292,0.04500988498330116,1070.2426
1.0,-0.002163605997338891,-0.15920957922935486,1070.2426
1.0,-0.0022972808219492435,-0.06852857023477554,1070.2426
1.0,-0.0019762651063501835,0.053411345928907394,1070.2426
1.0,-0.0018751105526462197,0.10375025868415833,1070.2426
1.0,-0.0018506605410948396,0.19279679656028748,1070.2426
1.0,-0.0016828019870445132,0.27839720249176025,1070.2426
1.0,-0.0016173048643395305,0.3978709876537323,1070.2426
1.0,-0.0015935851261019707,0.5096303820610046,1070.2426
1.0,-0.0015496915439143777,0.48502251505851746,1070.2426
1.0,-0.0012517512077465653,-0.15745264291763306,1070.2426
1.0,-0.0013609622837975621,-0.2952005863189697,1070.2426
1.0,-0.0013976271729916334,-0.42309632897377014,1070.2426
1.0,-0.0008181919110938907,-0.37482982873916626,1070.2426
1.0,-0.001008891616947949,-0.28893139958381653,1070.2426
1.0,-0.000944738567341119,-0.19451159238815308,1070.2426
1.0,-0.0008305065566673875,-0.13278284668922424,1070.2426
1.0,-0.0008991517242975533,-0.08776643872261047,1070.2426
1.0,-0.0010968194110319018,0.011874827556312084,1070.2426
1.0,-0.001813002279959619,0.14055193960666656,1070.2426
1.0,-0.001433072262443602,0.27149146795272827,1070.2426
1.0,-0.0017225341871380806,0.40316882729530334,1070.2426
1.0,-0.00221818033605814,0.5270747542381287,1070.2426
1.0,-0.0024723801761865616,0.637475848197937,1070.2426
1.0,-0.002574241254478693,0.7311308979988098,1070.2426
1.0,-0.0026244402397423983,0.8099976181983948,1070.2426
1.0,-0.002939038211479783,0.8017823696136475,1070.2426
1.0,-0.002789344871416688,0.6831982731819153,1070.2426
1.0,-0.002406036015599966,0.49183380603790283,1070.2426
1.0,-0.0021959219593554735,0.49841076135635376,1070.2426
1.0,-0.00228698062710464,0.5451719760894775,1070.2426
1.0,-0.0023567674215883017,0.6274529099464417,1070.2426
1.0,-0.0024581383913755417,0.6450353860855103,1070.2426
1.0,-0.0022710419725626707,0.46109965443611145,1070.2426
1.0,-0.0015138988383114338,0.36458203196525574,1070.2426
1.0,-0.0015511272940784693,0.1807766854763031,1070.2426
1.0,-0.0015936357667669654,0.1938878446817398,1070.2426
1.0,-0.0014817867195233703,0.1374306082725525,1070.2426
1.0,-0.0014117882819846272,0.17079104483127594,1070.2426
1.0,-0.0014975899830460548,0.3230520188808441,1070.2426
1.0,-0.0021634427830576897,0.5139707922935486,1070.2426
1.0,-0.002540060319006443,0.6625838279724121,1070.2426
1.0,-0.002868778770789504,0.8080130815505981,1070.2426
1.0,-0.0030490511562675238,0.9405137300491333,1070.2426
1.0,-0.0030658345203846693,1.0085421800613403,1070.2426
1.0,-0.0031449520029127598,1.0165050029754639,1070.2426
1.0,-0.0028368046041578054,0.9557483196258545,1070.2426
