healthy,ctrl,forward,total,cumulative
1.0,-3.206871923566723e-08,2.7222829885431565e-05,1.0000271797180176,4197.906
1.0,-5.031911314290483e-07,2.3666186734772054e-06,1.0000019073486328,4197.906
1.0,-8.06687785370741e-06,-0.0017414864851161838,0.9982504844665527,4197.906
1.0,-0.00011951132182730362,-0.014235609211027622,0.9856448769569397,4197.906
1.0,-0.0006555789732374251,-0.0486217737197876,0.9507226347923279,4197.906
1.0,-0.0009871461661532521,-0.09056659787893295,0.9084462523460388,4197.906
1.0,-0.0009999270550906658,-0.13590657711029053,0.8630934953689575,4197.906
1.0,-0.0010002965573221445,-0.18328221142292023,0.8157175183296204,4197.906
1.0,-0.0010003038914874196,-0.23112136125564575,0.7678783535957336,4197.906
1.0,-0.001000558608211577,-0.27584022283554077,0.7231591939926147,4197.906
1.0,-0.0010007970267906785,-0.32087740302085876,0.6781217455863953,4197.906
1.0,-0.0010013463906943798,-0.36711791157722473,0.6318807601928711,4197.906
1.0,-0.001001180149614811,-0.4154699742794037,0.5835288166999817,4197.906
1.0,-0.0010015375446528196,-0.46744078397750854,0.5315576791763306,4197.906
1.0,-0.0010029305703938007,-0.5261597633361816,0.47283729910850525,4197.906
1.0,-0.0010036533931270242,-0.5963006615638733,0.4026956856250763,4197.906
1.0,-0.001003204844892025,-0.6829848885536194,0.316011905670166,4197.906
1.0,-0.001002745470032096,-0.9091477394104004,0.08984951674938202,4197.906
1.0,-0.0010675654048100114,-1.8211345672607422,-0.8222021460533142,4197.906
1.0,-0.0012413804652169347,-2.0780651569366455,-1.0793064832687378,4197.906
1.0,-0.001474732649512589,-1.5143388509750366,-0.5158135890960693,4197.906
1.0,-0.001003490062430501,-1.414441466331482,-0.4154449701309204,4197.906
1.0,-0.0011416185880079865,-1.5742284059524536,-0.5753700137138367,4197.906
1.0,-0.001249278662726283,-1.4256815910339355,-0.42693087458610535,4197.906
1.0,-0.0010365034686401486,-1.1298478841781616,-0.13088439404964447,4197.906
1.0,-0.0020983421709388494,-0.4199351966381073,0.5779664516448975,4197.906
1.0,-0.0023799845948815346,0.5137249231338501,1.5113449096679688,4197.906
1.0,-0.00299588474445045,1.2065730094909668,2.2035770416259766,4197.906
1.0,-0.002999379299581051,2.0707993507385254,3.0678000450134277,4197.906
1.0,-0.00298110768198967,4.037896633148193,5.034915447235107,4197.906
1.0,-0.0029998370446264744,5.192702293395996,6.18970251083374,4197.906
1.0,-0.0029999753460288048,6.052614688873291,7.049614906311035,4197.906
1.0,-0.002999988617375493,7.311372756958008,8.308372497558594,4197.906
1.0,-0.0029999997932463884,8.66797924041748,9.664978981018066,4197.906
1.0,-0.0029999997932463884,9.651636123657227,10.648635864257812,4197.906
1.0,-0.0029999997932463884,9.565584182739258,10.562583923339844,4197.906
1.0,-0.0027383938431739807,2.9596571922302246,3.956918716430664,4197.906
1.0,-0.002999422838911414,-2.584371566772461,-1.5873709917068481,4197.906
1.0,-0.0029998961836099625,-0.6619467735290527,0.33505332469940186,4197.906
1.0,-0.0029999997932463884,0.4308670461177826,1.42786705493927,4197.906
1.0,-0.0029999997932463884,-1.0160430669784546,-0.01904306747019291,4197.906
1.0,-0.0029999995604157448,-1.3143084049224854,-0.3173083961009979,4197.906
1.0,-0.0029668963979929686,-0.5071125626564026,0.4899205267429352,4197.906
1.0,-0.0029368933755904436,-0.15027819573879242,0.8467848896980286,4197.906
1.0,-0.002806331031024456,0.14131887257099152,1.1385126113891602,4197.906
1.0,-0.0029998088721185923,0.6273649334907532,1.6243650913238525,4197.906
1.0,-0.0022129430435597897,0.5015357732772827,1.499322772026062,4197.906
