,training.top_k_healthy_reward.top_1_healthy_reward,_step,_runtime,training.run_id,training.top_k_reward.top_0_reward,training.top_k_forward_reward.top_0_forward_reward,training.generation,training.fitness_mean,training.evaluation_time,training.top_k_fit.top_1_fit,training.top_k_forward_reward.top_2_forward_reward,training.top_k_fit.top_2_fit,training.top_k_reward.top_2_reward,training.top_k_ctrl_reward.top_0_ctrl_reward,_timestamp,training.fitness_1q,training.fitness_3q,training.fitness_std,training.top_k_fit.top_0_fit,training.top_k_healthy_reward.top_2_healthy_reward,training.top_k_healthy_reward.top_0_healthy_reward,training.fitness_median,training.top_k_reward.top_1_reward,training.top_k_ctrl_reward.top_1_ctrl_reward,training.top_k_ctrl_reward.top_2_ctrl_reward,training.top_k_forward_reward.top_1_forward_reward,solver,ea,fitness,environment,seed,training.evaluation
0,131.1999969482422,0,24.29035973548889,0,222.0390167236328,83.31148529052734,0,-30.044185638427734,16.330970764160156,8.471202850341797,-9.673558235168457,-1.7513657808303833,75.95833587646484,-0.2724400460720062,1688565545.3493948,-9.278465270996094,-35.340999603271484,35.498592376708984,95.27233123779297,85.80000305175781,139.0,-18.583297729492188,130.35354614257812,-0.28221604228019714,-0.1681162267923355,-0.5642654299736023,cgp,mu+lambda-ga,weighted-0-1-1-unhealthy_termination,walker2d,0,0
1,121.80000305175781,1,26.777199268341064,0,176.9073486328125,62.72532272338867,1,-11.577536582946777,2.2051925659179688,38.90045928955078,18.926130294799805,20.717710494995117,132.78477478027344,-0.41798773407936096,1688565547.8362343,-4.79499626159668,-15.17221736907959,16.67517852783203,46.64952850341797,114.20000457763672,114.5999984741211,-7.782466411590576,175.13296508789062,-0.2388819456100464,-0.3414026200771332,53.57184982299805,cgp,mu+lambda-ga,weighted-0-1-1-unhealthy_termination,walker2d,0,100
2,195.1999969482422,2,29.022555112838745,0,384.3395690917969,106.10408782958984,2,-17.008325576782227,2.208500862121582,128.1112823486328,62.619537353515625,76.95804595947266,180.89901733398438,-0.5645367503166199,1688565550.0815902,-4.036277770996094,-26.82358169555664,41.46307373046875,151.7020721435547,118.5999984741211,278.8000183105469,-8.766839981079102,283.22222900390625,-0.32580700516700745,-0.3205440044403076,88.34801483154297,cgp,mu+lambda-ga,weighted-0-1-1-unhealthy_termination,walker2d,0,200
3,197.1999969482422,3,31.267659425735474,0,485.3783264160156,159.24217224121094,3,-10.05628776550293,2.209470748901367,158.7610321044922,87.26860046386719,144.0789031982422,341.2201232910156,-0.46387749910354614,1688565552.3266945,-3.082380771636963,-22.902196884155273,54.132911682128906,159.48782348632812,254.40000915527344,326.6000061035156,-12.696296691894531,283.68414306640625,-0.38255903124809265,-0.44847002625465393,86.86666107177734,cgp,mu+lambda-ga,weighted-0-1-1-unhealthy_termination,walker2d,0,300
4,266.20001220703125,4,33.50914764404297,0,377.4374694824219,127.14128875732422,4,-5.122483253479004,2.206458568572998,160.91665649414062,160.85098266601562,156.27938842773438,476.1845703125,-0.5038670897483826,1688565554.5681827,-3.8127188682556152,-26.94759178161621,56.83591842651367,166.1544952392578,315.8000183105469,250.8000030517578,-13.308530807495117,395.5148010253906,-0.4071741998195648,-0.466387003660202,129.72198486328125,cgp,mu+lambda-ga,weighted-0-1-1-unhealthy_termination,walker2d,0,400
5,305.20001220703125,5,35.83391070365906,0,765.4529418945312,118.11512756347656,5,13.06200122833252,2.2748773097991943,172.29978942871094,103.9216537475586,168.13194274902344,515.0459594726562,-1.262320876121521,1688565556.8929458,32.38105773925781,-21.59566879272461,79.41487884521484,172.86073303222656,411.8000183105469,648.6000366210938,-10.42215633392334,469.01446533203125,-0.47724443674087524,-0.6756594181060791,164.29161071777344,cgp,mu+lambda-ga,weighted-0-1-1-unhealthy_termination,walker2d,0,500
6,249.0,6,38.118947982788086,0,446.1355895996094,135.44105529785156,6,20.298194885253906,2.1837549209594727,175.22967529296875,163.2806396484375,172.24070739746094,606.5084228515625,-0.5054829120635986,1688565559.177983,86.88882446289062,-22.091814041137695,83.77734375,176.85101318359375,444.20001220703125,311.20001220703125,-10.438482284545898,414.44482421875,-0.320866197347641,-0.972254753112793,165.76573181152344,cgp,mu+lambda-ga,weighted-0-1-1-unhealthy_termination,walker2d,0,600
7,279.6000061035156,7,40.35665464401245,0,428.12255859375,142.3141326904297,7,34.86867904663086,2.18210506439209,170.77352905273438,120.22867584228516,170.21343994140625,516.3479614257812,-0.39158305525779724,1688565561.4156897,138.2745819091797,-17.218097686767578,87.1284408569336,173.0018768310547,397.0,286.20001220703125,-6.996486663818359,450.01171875,-0.4529743194580078,-0.8807187080383301,170.86471557617188,cgp,mu+lambda-ga,weighted-0-1-1-unhealthy_termination,walker2d,0,700
8,285.20001220703125,8,42.621959924697876,0,438.4922790527344,182.64544677734375,8,29.19121742248535,2.2281746864318848,182.40194702148438,125.1127700805664,164.3956756591797,434.7485046386719,-0.35317540168762207,1688565563.680995,141.37728881835938,-17.33763313293457,83.40495300292969,184.8715057373047,310.20001220703125,256.20001220703125,-6.85854434967041,464.3763732910156,-0.5666240453720093,-0.5642949938774109,179.74295043945312,cgp,mu+lambda-ga,weighted-0-1-1-unhealthy_termination,walker2d,0,800
9,285.3999938964844,9,44.86582159996033,0,504.11602783203125,196.73301696777344,9,13.71976089477539,2.2094335556030273,189.00747680664062,176.0839385986328,179.58258056640625,611.524658203125,-0.616942822933197,1688565565.9248567,128.99490356445312,-32.90553665161133,93.12698364257812,203.20895385742188,436.0,308.0,-12.361370086669922,483.046875,-0.55758136510849,-0.5593330264091492,198.20449829101562,cgp,mu+lambda-ga,weighted-0-1-1-unhealthy_termination,walker2d,0,900
