,_timestamp,training.fitness_std,training.evaluation_time,_runtime,training.fitness_mean,training.top_k_fit.top_2_fit,training.top_k_fit.top_1_fit,_step,training.fitness_1q,training.generation,training.fitness_median,training.run_id,training.fitness_3q,training.top_k_fit.top_0_fit,solver,ea,fitness,environment,seed,training.evaluation,training.top_k_reward.top_0_reward,training.top_k_reward.top_1_reward,training.top_k_reward.top_2_reward
0,1687033534.6009433,288.3480224609375,20.974618911743164,21.939751386642456,480.6413269042969,948.9888916015625,994.9725952148438,0,705.6074829101562,0,495.698974609375,0,278.6923522949219,996.5458984375,cgp,mu+lambda,reward,ant,8,0,996.5458984375,994.9725952148438,948.9888916015625
1,1687033539.5242271,215.4878692626953,4.767509460449219,26.863035202026367,706.2529296875,994.29736328125,995.384033203125,1,863.759765625,1,763.6552734375,0,562.560546875,996.7765502929688,cgp,mu+lambda,reward,ant,8,100,996.7765502929688,995.384033203125,994.29736328125
2,1687033544.3115516,250.9476776123047,4.769518852233887,31.650359630584717,713.67919921875,994.7276000976562,994.8508911132812,2,909.47314453125,2,777.3473510742188,0,574.8333129882812,995.5237426757812,cgp,mu+lambda,reward,ant,8,200,995.5237426757812,994.8508911132812,994.7276000976562
3,1687033549.101851,208.37493896484375,4.773561477661133,36.440659046173096,786.4236450195312,995.3920288085938,995.73974609375,3,974.4241333007812,3,868.681396484375,0,639.65673828125,996.9315795898438,cgp,mu+lambda,reward,ant,8,300,996.9315795898438,995.73974609375,995.3920288085938
4,1687033553.8888865,217.65121459960938,4.769608974456787,41.227694511413574,815.4931030273438,996.9451904296875,997.2193603515625,4,989.1226806640625,4,917.7623901367188,0,669.8782348632812,997.3749389648438,cgp,mu+lambda,reward,ant,8,400,997.3749389648438,997.2193603515625,996.9451904296875
5,1687033558.6740954,219.67144775390625,4.768385887145996,46.012903451919556,822.8929443359375,997.0245971679688,997.2240600585938,5,994.1322021484375,5,916.7430419921875,0,694.5167846679688,997.3805541992188,cgp,mu+lambda,reward,ant,8,500,997.3805541992188,997.2240600585938,997.0245971679688
6,1687033563.4627087,262.54302978515625,4.77122163772583,50.80151677131653,783.6844482421875,997.517333984375,997.6260375976562,6,995.1172485351562,6,896.7486572265625,0,663.72802734375,997.7944946289062,cgp,mu+lambda,reward,ant,8,600,997.7944946289062,997.6260375976562,997.517333984375
7,1687033568.2510805,185.69960021972656,4.769801616668701,55.58988857269287,854.5436401367188,997.3535766601562,997.3720092773438,7,996.7051391601562,7,946.7943115234375,0,736.0773315429688,998.50048828125,cgp,mu+lambda,reward,ant,8,700,998.50048828125,997.3720092773438,997.3535766601562
8,1687033573.0188115,202.82618713378906,4.750050067901611,60.357619524002075,859.5612182617188,997.4082641601562,997.62109375,8,996.8472290039062,8,990.2723999023438,0,709.482177734375,998.4257202148438,cgp,mu+lambda,reward,ant,8,800,998.4257202148438,997.62109375,997.4082641601562
9,1687033577.7830422,211.53643798828125,4.747115612030029,65.12185025215149,846.7965698242188,997.5521240234375,997.70263671875,9,996.804931640625,9,960.4522705078125,0,714.720458984375,997.9161987304688,cgp,mu+lambda,reward,ant,8,900,997.9161987304688,997.70263671875,997.5521240234375
