,_step,_runtime,training.run_id,training.fitness_3q,training.top_k_fit.top_0_fit,training.top_k_fit.top_2_fit,training.evaluation_time,_timestamp,training.fitness_mean,training.top_k_fit.top_1_fit,training.fitness_1q,training.generation,training.fitness_std,training.fitness_median,solver,ea,environment,seed,training.evaluation,training.top_k_reward.top_0_reward,training.top_k_reward.top_1_reward,training.top_k_reward.top_2_reward
0,0,16.917483806610107,2,32.61132049560547,392.4634704589844,304.5483703613281,15.681007385253906,1687187554.3463058,-917.5250854492188,312.6755676269531,100.25459289550781,0,9958.443359375,56.20282745361328,cgp,mu+lambda,walker2d,2,0,392.4634704589844,312.6755676269531,304.5483703613281
1,1,19.23448395729065,2,34.8208122253418,554.8782958984375,415.1731262207031,2.1575396060943604,1687187556.663306,115.12037658691406,522.7180786132812,163.34255981445312,1,112.74457550048828,74.63851928710938,cgp,mu+lambda,walker2d,2,100,554.8782958984375,522.7180786132812,415.1731262207031
2,2,21.449877738952637,2,51.47679901123047,998.6702880859375,481.0799255371094,2.188194990158081,1687187558.8786998,149.1459503173828,499.24224853515625,191.7093963623047,2,147.98509216308594,94.90431213378906,cgp,mu+lambda,walker2d,2,200,998.6702880859375,499.24224853515625,481.0799255371094
3,3,23.657556772232056,2,58.02945327758789,1005.62841796875,867.6660766601562,2.1808419227600098,1687187561.0863788,185.8728485107422,1003.5564575195312,277.6678466796875,3,194.8838653564453,111.13243103027344,cgp,mu+lambda,walker2d,2,300,1005.62841796875,1003.5564575195312,867.6660766601562
4,4,25.862223386764526,2,57.781978607177734,1007.4268188476562,1002.42822265625,2.177396059036255,1687187563.2910454,-779.3630981445312,1005.085205078125,317.74462890625,4,9975.0341796875,120.38188171386719,cgp,mu+lambda,walker2d,2,400,1007.4268188476562,1005.085205078125,1002.42822265625
5,5,28.060566186904907,2,78.77922058105469,1008.8203125,1005.246337890625,2.170916795730591,1687187565.4893882,334.7779541015625,1005.7970581054688,456.9896545410156,5,317.8770446777344,270.17877197265625,cgp,mu+lambda,walker2d,2,500,1008.8203125,1005.7970581054688,1005.246337890625
6,6,30.261687517166138,2,94.92912292480469,1009.597900390625,1006.45458984375,2.174790859222412,1687187567.6905096,361.77459716796875,1006.572265625,498.4599914550781,6,329.0010070800781,192.85610961914062,cgp,mu+lambda,walker2d,2,600,1009.597900390625,1006.572265625,1006.45458984375
7,7,32.464951038360596,2,74.24144744873047,1014.8117065429688,1006.931640625,2.175990581512451,1687187569.893773,329.53924560546875,1007.7264404296875,459.4920959472656,7,363.65948486328125,138.4900360107422,cgp,mu+lambda,walker2d,2,700,1014.8117065429688,1007.7264404296875,1006.931640625
8,8,34.6653151512146,2,56.677818298339844,1023.98779296875,1008.2553100585938,2.175276756286621,1687187572.0941372,-672.2607421875,1009.0439453125,467.9512023925781,8,9989.15234375,147.114990234375,cgp,mu+lambda,walker2d,2,800,1023.98779296875,1009.0439453125,1008.2553100585938
9,9,36.86962556838989,2,90.47706604003906,1028.17919921875,1025.7879638671875,2.1782264709472656,1687187574.2984476,465.82281494140625,1028.140625,1001.4171752929688,9,421.20166015625,212.36053466796875,cgp,mu+lambda,walker2d,2,900,1028.17919921875,1028.140625,1025.7879638671875
10,10,39.075605154037476,2,80.21318054199219,1039.583984375,1027.08544921875,2.1717329025268555,1687187576.5044272,449.5744323730469,1031.959716796875,1003.3575439453125,10,426.05401611328125,196.43997192382812,cgp,mu+lambda,walker2d,2,1000,1039.583984375,1031.959716796875,1027.08544921875
11,11,41.324262857437134,2,71.15487670898438,1025.869873046875,1023.31689453125,2.197533369064331,1687187578.753085,384.9783020019531,1024.600341796875,985.6102905273438,11,398.6588439941406,163.3650360107422,cgp,mu+lambda,walker2d,2,1100,1025.869873046875,1024.600341796875,1023.31689453125
12,12,43.54193663597107,2,73.70130920410156,1024.0382080078125,1022.6052856445312,2.1816704273223877,1687187580.9707587,420.2076721191406,1022.7599487304688,1006.0316162109375,12,407.19342041015625,232.82379150390625,cgp,mu+lambda,walker2d,2,1200,1024.0382080078125,1022.7599487304688,1022.6052856445312
13,13,45.7551531791687,2,81.7041244506836,1032.1875,1028.78271484375,2.192620277404785,1687187583.1839752,437.5330810546875,1029.6998291015625,1009.981201171875,13,425.6040344238281,160.8358917236328,cgp,mu+lambda,walker2d,2,1300,1032.1875,1029.6998291015625,1028.78271484375
14,14,47.97650504112244,2,70.80744934082031,1033.28271484375,1025.121826171875,2.1896963119506836,1687187585.405327,-588.8314208984375,1032.468994140625,1004.8661499023438,14,9999.572265625,189.46017456054688,cgp,mu+lambda,walker2d,2,1400,1033.28271484375,1032.468994140625,1025.121826171875
15,15,50.186466455459595,2,74.27836608886719,1030.4266357421875,1026.5531005859375,2.177637815475464,1687187587.6152885,410.7662353515625,1026.6226806640625,1002.8717651367188,15,394.5928649902344,209.86224365234375,cgp,mu+lambda,walker2d,2,1500,1030.4266357421875,1026.6226806640625,1026.5531005859375
16,16,52.39318060874939,2,77.60533905029297,1029.510986328125,1025.18505859375,2.187419891357422,1687187589.8220026,-545.8257446289062,1026.1021728515625,1006.8825073242188,16,10004.287109375,207.83822631835938,cgp,mu+lambda,walker2d,2,1600,1029.510986328125,1026.1021728515625,1025.18505859375
17,17,54.65285778045654,2,99.7765121459961,1031.72900390625,1024.7415771484375,2.229445457458496,1687187592.0816798,424.5946044921875,1025.832763671875,1000.2705078125,17,402.5443420410156,201.07626342773438,cgp,mu+lambda,walker2d,2,1700,1031.72900390625,1025.832763671875,1024.7415771484375
18,18,56.86351180076599,2,85.92645263671875,1029.7515869140625,1028.049560546875,2.1889286041259766,1687187594.2923338,447.9431457519531,1028.854736328125,1014.0606079101562,18,428.1797790527344,187.96060180664062,cgp,mu+lambda,walker2d,2,1800,1029.7515869140625,1028.854736328125,1028.049560546875
19,19,59.06762170791626,2,96.32935333251953,1036.967529296875,1025.7470703125,2.173755407333374,1687187596.4964437,-581.089599609375,1026.5570068359375,1005.588134765625,19,10000.02734375,186.05654907226562,cgp,mu+lambda,walker2d,2,1900,1036.967529296875,1026.5570068359375,1025.7470703125
20,20,61.270798206329346,2,75.45259857177734,1033.82861328125,1029.1236572265625,2.1796767711639404,1687187598.6996202,421.3242492675781,1030.82177734375,1008.2349853515625,20,403.5967712402344,214.30990600585938,cgp,mu+lambda,walker2d,2,2000,1033.82861328125,1030.82177734375,1029.1236572265625
21,21,63.4725079536438,2,92.30621337890625,1038.411376953125,1030.8126220703125,2.184016704559326,1687187600.90133,-571.6431274414062,1031.0103759765625,1009.9943237304688,21,10001.09765625,172.54298400878906,cgp,mu+lambda,walker2d,2,2100,1038.411376953125,1031.0103759765625,1030.8126220703125
22,22,65.67079877853394,2,75.02972412109375,1036.0670166015625,1025.9390869140625,2.180367946624756,1687187603.0996208,405.7452697753906,1029.7777099609375,803.6890869140625,22,384.15191650390625,211.1766357421875,cgp,mu+lambda,walker2d,2,2200,1036.0670166015625,1029.7777099609375,1025.9390869140625
23,23,67.87104845046997,2,84.24523162841797,1044.7237548828125,1025.458984375,2.1824560165405273,1687187605.2998705,419.9457702636719,1031.852783203125,1002.1405029296875,23,397.2794189453125,219.6543731689453,cgp,mu+lambda,walker2d,2,2300,1044.7237548828125,1031.852783203125,1025.458984375
24,24,70.07542276382446,2,73.51626586914062,1028.45166015625,1026.7100830078125,2.185919761657715,1687187607.5042448,372.8718566894531,1026.9578857421875,666.0325317382812,24,389.41864013671875,155.3369140625,cgp,mu+lambda,walker2d,2,2400,1028.45166015625,1026.9578857421875,1026.7100830078125
25,25,72.27813029289246,2,94.36170959472656,1085.16357421875,1030.1917724609375,2.1845717430114746,1687187609.7069523,414.38427734375,1031.544189453125,1002.85791015625,25,394.0013427734375,198.15496826171875,cgp,mu+lambda,walker2d,2,2500,1085.16357421875,1031.544189453125,1030.1917724609375
26,26,74.47845387458801,2,86.3796157836914,1030.9000244140625,1025.615478515625,2.1822166442871094,1687187611.907276,427.482177734375,1027.787841796875,1005.406005859375,26,408.6850280761719,180.74981689453125,cgp,mu+lambda,walker2d,2,2600,1030.9000244140625,1027.787841796875,1025.615478515625
27,27,76.67934560775757,2,107.0475082397461,1048.6087646484375,1029.104736328125,2.1823062896728516,1687187614.1081676,482.4371643066406,1040.314697265625,1013.7723388671875,27,411.5320129394531,344.1620178222656,cgp,mu+lambda,walker2d,2,2700,1048.6087646484375,1040.314697265625,1029.104736328125
28,28,78.87816095352173,2,56.447181701660156,1031.6324462890625,1026.825439453125,2.181471824645996,1687187616.306983,377.17431640625,1029.8084716796875,984.4352416992188,28,409.2088317871094,125.40377807617188,cgp,mu+lambda,walker2d,2,2800,1031.6324462890625,1029.8084716796875,1026.825439453125
29,29,81.07767128944397,2,85.0286636352539,1031.5872802734375,1026.3876953125,2.1805245876312256,1687187618.5064933,404.5883483886719,1027.0111083984375,1009.4337768554688,29,406.3080749511719,146.79483032226562,cgp,mu+lambda,walker2d,2,2900,1031.5872802734375,1027.0111083984375,1026.3876953125
30,30,83.27580237388611,2,71.5465316772461,1031.2398681640625,1026.5223388671875,2.180140495300293,1687187620.7046244,362.6985168457031,1027.2935791015625,790.7655029296875,30,399.29345703125,130.99911499023438,cgp,mu+lambda,walker2d,2,3000,1031.2398681640625,1027.2935791015625,1026.5223388671875
31,31,85.47402143478394,2,62.624305725097656,1062.2030029296875,1034.1517333984375,2.180511474609375,1687187622.9028435,385.7397155761719,1036.4573974609375,1011.8734741210938,31,415.1537170410156,143.087158203125,cgp,mu+lambda,walker2d,2,3100,1062.2030029296875,1036.4573974609375,1034.1517333984375
32,32,87.67167401313782,2,68.4442138671875,1027.5325927734375,1023.527587890625,2.179827928543091,1687187625.100496,446.0612487792969,1023.5626831054688,1016.4047241210938,32,427.3011474609375,181.5384063720703,cgp,mu+lambda,walker2d,2,3200,1027.5325927734375,1023.5626831054688,1023.527587890625
33,33,89.86979174613953,2,86.4151840209961,1028.95751953125,1027.3131103515625,2.180483341217041,1687187627.2986138,434.8402099609375,1027.7066650390625,1005.2648315429688,33,405.4278259277344,220.98092651367188,cgp,mu+lambda,walker2d,2,3300,1028.95751953125,1027.7066650390625,1027.3131103515625
34,34,92.0685601234436,2,84.59590911865234,1043.1702880859375,1031.1856689453125,2.180596113204956,1687187629.4973822,-547.3009643554688,1036.7353515625,1015.5698852539062,34,10004.169921875,198.5307159423828,cgp,mu+lambda,walker2d,2,3400,1043.1702880859375,1036.7353515625,1031.1856689453125
35,35,94.26611161231995,2,78.48074340820312,1028.781982421875,1028.18115234375,2.1803464889526367,1687187631.6949337,374.81781005859375,1028.569091796875,988.8019409179688,35,397.3091125488281,143.6059112548828,cgp,mu+lambda,walker2d,2,3500,1028.781982421875,1028.569091796875,1028.18115234375
