,_runtime,_timestamp,training.run_id,training.fitness_median,training.top_k_fit.top_1_fit,training.fitness_3q,training.evaluation_time,training.top_k_fit.top_0_fit,training.top_k_fit.top_2_fit,training.fitness_mean,_step,training.fitness_1q,training.generation,training.fitness_std,solver,ea,fitness,environment,seed,training.evaluation,training.top_k_reward.top_0_reward,training.top_k_reward.top_1_reward,training.top_k_reward.top_2_reward
0,21.839473724365234,1687014293.0123758,0,519.5768432617188,996.9884033203125,140.06019592285156,20.8961124420166,997.505615234375,993.15087890625,442.8279724121094,0,702.4990234375,0,403.6512756347656,cgp,mu+lambda,reward,ant,4,0,997.505615234375,996.9884033203125,993.15087890625
1,26.73397731781006,1687014297.9068794,0,678.4537963867188,997.269287109375,547.64453125,4.740766525268555,997.3529052734375,996.9251708984375,664.8839111328125,1,865.84228515625,1,242.23863220214844,cgp,mu+lambda,reward,ant,4,100,997.3529052734375,997.269287109375,996.9251708984375
2,31.503565549850464,1687014302.6764677,0,878.09765625,997.0995483398438,685.53955078125,4.746325969696045,997.1846313476562,996.81396484375,790.9655151367188,2,952.84228515625,2,219.78848266601562,cgp,mu+lambda,reward,ant,4,200,997.1846313476562,997.0995483398438,996.81396484375
3,36.277124643325806,1687014307.4500268,0,971.7422485351562,997.3143310546875,809.8408813476562,4.7528228759765625,997.3431396484375,997.2340087890625,860.6594848632812,3,987.6211547851562,3,201.73065185546875,cgp,mu+lambda,reward,ant,4,300,997.3431396484375,997.3143310546875,997.2340087890625
4,41.04651665687561,1687014312.2194188,0,981.9805908203125,997.2444458007812,734.8692016601562,4.746092796325684,997.3017578125,997.2009887695312,864.9072265625,4,995.9716796875,4,187.35699462890625,cgp,mu+lambda,reward,ant,4,400,997.3017578125,997.2444458007812,997.2009887695312
5,45.84316849708557,1687014317.0160706,0,971.681884765625,997.3871459960938,710.2796020507812,4.774140357971191,997.40576171875,997.366455078125,855.0916748046875,5,996.831298828125,5,203.3558349609375,cgp,mu+lambda,reward,ant,4,500,997.40576171875,997.3871459960938,997.366455078125
6,50.63645267486572,1687014321.8093548,0,943.8297119140625,997.66357421875,698.2860107421875,4.772308349609375,997.8182983398438,997.2852783203125,829.8116455078125,6,996.8217163085938,6,202.2071990966797,cgp,mu+lambda,reward,ant,4,600,997.8182983398438,997.66357421875,997.2852783203125
7,55.42559885978699,1687014326.598501,0,972.4449462890625,997.4917602539062,707.9718017578125,4.7670979499816895,997.5685424804688,997.3972778320312,841.2274169921875,7,996.7252807617188,7,201.5142059326172,cgp,mu+lambda,reward,ant,4,700,997.5685424804688,997.4917602539062,997.3972778320312
8,60.21709060668945,1687014331.3899927,0,966.5891723632812,997.61083984375,701.3851318359375,4.769374370574951,997.830810546875,997.6009521484375,826.964111328125,8,996.9208374023438,8,236.68138122558594,cgp,mu+lambda,reward,ant,4,800,997.830810546875,997.61083984375,997.6009521484375
9,65.00630474090576,1687014336.1792068,0,983.6564331054688,997.8740844726562,707.2144775390625,4.767295837402344,998.3985595703125,997.8185424804688,859.2222290039062,9,996.8915405273438,9,213.44236755371094,cgp,mu+lambda,reward,ant,4,900,998.3985595703125,997.8740844726562,997.8185424804688
10,69.79649376869202,1687014340.9693959,0,974.4595336914062,998.03759765625,711.1119995117188,4.767837047576904,998.3353881835938,997.8081665039062,862.4819946289062,10,996.9139404296875,10,185.32125854492188,cgp,mu+lambda,reward,ant,4,1000,998.3353881835938,998.03759765625,997.8081665039062
11,74.58680248260498,1687014345.7597046,0,984.0045166015625,997.990966796875,707.2996826171875,4.76790189743042,998.13916015625,997.9493408203125,868.6317749023438,11,997.1986083984375,11,199.70240783691406,cgp,mu+lambda,reward,ant,4,1100,998.13916015625,997.990966796875,997.9493408203125
12,79.37718439102173,1687014350.5500865,0,989.06201171875,998.5419921875,743.5859985351562,4.769186973571777,998.8905029296875,998.4264526367188,863.3131103515625,12,997.2591552734375,12,197.31607055664062,cgp,mu+lambda,reward,ant,4,1200,998.8905029296875,998.5419921875,998.4264526367188
13,84.16735816001892,1687014355.3402603,0,977.102294921875,998.0787353515625,762.6240234375,4.7679619789123535,998.1124267578125,997.9647827148438,863.5037231445312,13,997.0014038085938,13,197.80014038085938,cgp,mu+lambda,reward,ant,4,1300,998.1124267578125,998.0787353515625,997.9647827148438
14,88.95654630661011,1687014360.1294484,0,971.73681640625,998.4584350585938,735.4118041992188,4.759970664978027,998.474365234375,998.0963134765625,866.8407592773438,14,997.1203002929688,14,172.50241088867188,cgp,mu+lambda,reward,ant,4,1400,998.474365234375,998.4584350585938,998.0963134765625
15,93.74817419052124,1687014364.9210763,0,949.5391845703125,998.0452270507812,706.499755859375,4.765005111694336,998.2726440429688,997.9241333007812,851.828125,15,997.289306640625,15,186.68878173828125,cgp,mu+lambda,reward,ant,4,1500,998.2726440429688,998.0452270507812,997.9241333007812
16,98.54197072982788,1687014369.7148728,0,985.9620971679688,997.77099609375,707.4229125976562,4.742221832275391,997.939697265625,997.7320556640625,857.7188720703125,16,997.287353515625,16,202.3131561279297,cgp,mu+lambda,reward,ant,4,1600,997.939697265625,997.77099609375,997.7320556640625
17,103.33474779129028,1687014374.50765,0,988.3140869140625,998.4552001953125,763.032958984375,4.7464399337768555,999.4987182617188,997.9801025390625,863.290283203125,17,997.1395874023438,17,214.1904296875,cgp,mu+lambda,reward,ant,4,1700,999.4987182617188,998.4552001953125,997.9801025390625
18,108.12616991996765,1687014379.299072,0,993.7669677734375,998.4288330078125,789.490478515625,4.749818801879883,999.063232421875,998.4218139648438,898.5137329101562,18,997.420654296875,18,159.34193420410156,cgp,mu+lambda,reward,ant,4,1800,999.063232421875,998.4288330078125,998.4218139648438
19,112.91754961013794,1687014384.0904517,0,985.2100219726562,998.605712890625,758.2728271484375,4.755157947540283,998.85009765625,998.5808715820312,877.25732421875,19,997.3218994140625,19,180.29034423828125,cgp,mu+lambda,reward,ant,4,1900,998.85009765625,998.605712890625,998.5808715820312
