,training.top_k_forward_reward.top_1_forward_reward,training.top_k_healthy_reward.top_1_healthy_reward,training.run_id,training.fitness_1q,training.evaluation_time,training.top_k_fit.top_1_fit,training.top_k_ctrl_reward.top_0_ctrl_reward,training.top_k_forward_reward.top_0_forward_reward,training.top_k_healthy_reward.top_2_healthy_reward,training.top_k_ctrl_reward.top_1_ctrl_reward,training.top_k_ctrl_reward.top_2_ctrl_reward,_step,training.fitness_3q,training.generation,training.fitness_mean,training.top_k_fit.top_0_fit,training.top_k_fit.top_2_fit,training.fitness_median,training.top_k_reward.top_0_reward,training.top_k_healthy_reward.top_0_healthy_reward,_runtime,_timestamp,training.fitness_std,training.top_k_reward.top_1_reward,training.top_k_reward.top_2_reward,training.top_k_forward_reward.top_2_forward_reward,solver,ea,fitness,environment,seed,training.evaluation
0,-28.955123901367188,281.0,3,49.94974899291992,15.283161163330078,232.24185180664062,-0.31296563148498535,5.935474395751953,204.1999969482422,-0.5885159373283386,-0.05212543159723282,0,11.671407699584961,0,41.994712829589844,235.42088317871094,228.72244262695312,24.31101417541504,234.4224853515625,228.8000030517578,18.398110151290894,1688469842.6982172,49.621952056884766,251.4563751220703,232.20335388183594,28.05549430847168,cgp,mu+lambda-ga,reward-unhealthy_termination,hopper,3,0
1,87.69973754882812,164.1999969482422,3,102.74754333496094,1.9953033924102783,287.89227294921875,-0.6776782870292664,-28.865270614624023,243.8000030517578,-0.1153777614235878,-0.011314595118165016,1,32.965084075927734,1,84.14533233642578,309.84381103515625,282.16253662109375,56.97395324707031,312.05706787109375,341.6000061035156,20.54463005065918,1688469844.844737,76.29911041259766,251.7843780517578,271.7041931152344,27.91554069519043,cgp,mu+lambda-ga,reward-unhealthy_termination,hopper,3,100
2,26.369070053100586,331.6000061035156,3,209.13302612304688,1.995137095451355,458.2149353027344,-1.2421433925628662,-15.88640308380127,449.3999938964844,-0.4271674156188965,-0.9362356066703796,2,48.193939208984375,2,130.69935607910156,984.2810668945312,367.2086181640625,94.6318588256836,975.8715209960938,993.0,22.570074796676636,1688469846.8701818,125.83705139160156,357.5418395996094,440.018798828125,-8.445005416870117,cgp,mu+lambda-ga,reward-unhealthy_termination,hopper,3,200
3,-3.1442108154296875,967.6000366210938,3,226.66256713867188,1.9949504137039185,984.6876220703125,-1.1008884906768799,-9.520119667053223,841.0,-1.2116494178771973,-0.5243512392044067,3,36.979671478271484,3,150.24880981445312,990.2366943359375,934.0421752929688,92.5130615234375,988.3790893554688,999.0,24.595825672149658,1688469848.8959327,177.63275146484375,963.2442626953125,833.6409301757812,-6.834725379943848,cgp,mu+lambda-ga,reward-unhealthy_termination,hopper,3,300
4,-18.399921417236328,984.6000366210938,3,234.7161865234375,1.9947010278701782,982.446533203125,-1.086588740348816,-17.252986907958984,984.4000244140625,-1.0741322040557861,-1.2298485040664673,4,62.950286865234375,4,183.38424682617188,985.5403442382812,981.7792358398438,182.05616760253906,967.8604736328125,986.2000122070312,26.621365785598755,1688469850.9214728,183.15789794921875,965.1256713867188,965.3895874023438,-17.78029441833496,cgp,mu+lambda-ga,reward-unhealthy_termination,hopper,3,400
5,-12.475811958312988,991.4000244140625,3,259.3323974609375,1.9937137365341187,988.2671508789062,-0.5940641760826111,-5.967702388763428,927.4000244140625,-0.8723886609077454,-0.5829614400863647,5,46.066932678222656,5,214.0010528564453,992.1137084960938,988.228759765625,132.0235595703125,992.4381713867188,999.0,28.6462185382843,1688469852.9463255,255.35902404785156,978.0520629882812,913.9384765625,-12.878436088562012,cgp,mu+lambda-ga,reward-unhealthy_termination,hopper,3,500
6,-3.924463987350464,961.2000122070312,3,453.1139831542969,1.9942017793655396,988.4470825195312,-1.085208773612976,-12.8142671585083,992.4000244140625,-1.0622590780258179,-1.1529732942581177,6,51.39619445800781,6,320.6583557128906,991.2158203125,987.510986328125,203.25038146972656,974.9008178710938,988.7999877929688,30.67135524749756,1688469854.9714622,344.4576110839844,956.2135009765625,976.6016845703125,-14.645464897155762,cgp,mu+lambda-ga,reward-unhealthy_termination,hopper,3,600
7,-14.886812210083008,990.7999877929688,3,938.74609375,1.997850775718689,989.9805908203125,-1.0669841766357422,-6.8208489418029785,991.0,-0.868664562702179,-1.0902278423309326,7,50.79387283325195,7,407.6974792480469,992.83984375,989.390380859375,180.20480346679688,929.5118408203125,937.4000244140625,32.69896745681763,1688469856.9990745,419.2352600097656,975.0447387695312,977.4213256835938,-12.488454818725586,cgp,mu+lambda-ga,reward-unhealthy_termination,hopper,3,700
8,-0.7047542929649353,966.7999877929688,3,952.9104614257812,1.9974485635757446,989.4927368164062,-1.0508445501327515,-7.2429728507995605,982.7999877929688,-1.0700273513793945,-0.7603147029876709,8,39.201438903808594,8,401.54388427734375,991.936767578125,988.7733764648438,111.32290649414062,990.7058715820312,999.0,34.72660779953003,1688469859.0267148,431.51617431640625,965.0252075195312,966.2904663085938,-15.74937629699707,cgp,mu+lambda-ga,reward-unhealthy_termination,hopper,3,800
9,-7.9753851890563965,989.4000244140625,3,979.3765869140625,1.995561122894287,998.3057250976562,-0.7758970260620117,-1.7547367811203003,991.6000366210938,-0.5094420313835144,-0.7358242273330688,9,34.86149215698242,9,454.59124755859375,999.3728637695312,990.4247436523438,101.5247573852539,839.2694702148438,841.7999877929688,36.75262928009033,1688469861.0527363,455.8221740722656,980.9152221679688,980.6237182617188,-10.240478515625,cgp,mu+lambda-ga,reward-unhealthy_termination,hopper,3,900
