,iteration,front_size,reward,simplicity
167,54,3,1076.2091,0.8666667
168,54,3,1070.1243,0.93333334
169,55,3,321.2521,1.0
170,55,3,1076.2091,0.8666667
171,55,3,1070.1243,0.93333334
172,56,3,321.2521,1.0
173,56,3,1076.2091,0.8666667
174,56,3,1070.1243,0.93333334
175,57,2,321.2521,1.0
176,57,2,1070.1243,0.93333334
177,58,2,321.2521,1.0
178,58,2,1050.4858,0.93333334
179,59,2,321.2521,1.0
180,59,2,1050.4858,0.93333334
181,60,2,321.2521,1.0
182,60,2,1050.4858,0.93333334
183,61,2,321.2521,1.0
184,61,2,1050.4858,0.93333334
185,62,2,321.2521,1.0
186,62,2,1050.4858,0.93333334
187,63,2,321.2521,1.0
188,63,2,1042.21,0.93333334
189,64,2,321.2521,1.0
190,64,2,1039.978,0.93333334
191,65,2,321.2521,1.0
192,65,2,1039.978,0.93333334
193,66,2,321.2521,1.0
194,66,2,975.48785,0.93333334
195,67,2,321.2521,1.0
196,67,2,966.11334,0.93333334
197,68,2,321.2521,1.0
198,68,2,956.3568,0.93333334
199,69,2,321.2521,1.0
200,69,2,947.13336,0.93333334
201,70,2,321.2521,1.0
202,70,2,947.13336,0.93333334
203,71,2,321.2521,1.0
204,71,2,976.2193,0.93333334
205,72,2,321.2521,1.0
206,72,2,947.13336,0.93333334
207,73,2,321.2521,1.0
208,73,2,947.13336,0.93333334
209,74,3,321.2521,1.0
210,74,3,1041.9026,0.8666667
211,74,3,947.3258,0.93333334
212,75,3,321.2521,1.0
213,75,3,1041.9026,0.8666667
214,75,3,1023.0341,0.93333334
215,76,3,321.2521,1.0
216,76,3,1041.9026,0.8666667
217,76,3,1023.0341,0.93333334
218,77,3,321.2521,1.0
219,77,3,1041.9026,0.8666667
220,77,3,1023.0341,0.93333334
221,78,2,321.2521,1.0
222,78,2,1023.0341,0.93333334
223,79,2,321.2521,1.0
224,79,2,1023.0341,0.93333334
225,80,2,321.2521,1.0
226,80,2,975.6269,0.93333334
227,81,2,321.2521,1.0
228,81,2,974.6753,0.93333334
229,82,2,321.2521,1.0
230,82,2,947.3258,0.93333334
231,83,2,321.2521,1.0
232,83,2,947.3258,0.93333334
233,84,2,321.2521,1.0
234,84,2,947.3258,0.93333334
235,85,2,321.2521,1.0
236,85,2,947.3258,0.93333334
237,86,2,947.3258,0.93333334
238,86,2,330.8076,1.0
239,87,2,947.3258,0.93333334
240,87,2,330.8076,1.0
241,88,2,947.3258,0.93333334
242,88,2,330.8076,1.0
243,89,2,947.3258,0.93333334
244,89,2,330.8076,1.0
245,90,2,947.3258,0.93333334
246,90,2,330.8076,1.0
247,91,2,330.8076,1.0
248,91,2,975.57935,0.93333334
249,92,2,947.3258,0.93333334
250,92,2,330.8076,1.0
251,93,2,947.13336,0.93333334
252,93,2,330.8076,1.0
253,94,2,937.8305,0.93333334
254,94,2,330.8076,1.0
255,95,3,937.8305,0.93333334
256,95,3,330.8076,1.0
257,95,3,965.8395,0.79999995
258,96,3,330.8076,1.0
259,96,3,965.8395,0.79999995
260,96,3,937.9021,0.93333334
261,97,2,330.1248,1.0
262,97,2,946.9811,0.93333334
263,98,2,330.1248,1.0
264,98,2,937.9021,0.93333334
265,99,2,330.1248,1.0
266,99,2,937.9021,0.93333334
267,100,2,330.1248,1.0
268,100,2,945.9164,0.93333334
269,101,2,330.1248,1.0
270,101,2,945.9164,0.93333334
271,102,2,937.036,0.93333334
272,102,2,330.1248,1.0
273,103,2,937.036,0.93333334
274,103,2,330.1248,1.0
275,104,2,330.1248,1.0
276,104,2,928.2832,0.93333334
277,105,2,927.6049,0.93333334
278,105,2,368.4833,1.0
279,106,2,918.4796,0.93333334
280,106,2,368.4833,1.0
281,107,2,918.4796,0.93333334
282,107,2,368.4833,1.0
283,108,2,916.7953,0.93333334
284,108,2,368.4833,1.0
285,109,2,908.724,0.93333334
286,109,2,368.4833,1.0
287,110,2,368.4833,1.0
288,110,2,899.3177,0.93333334
289,111,2,368.4833,1.0
290,111,2,899.3177,0.93333334
291,112,2,889.83826,0.93333334
292,112,2,368.4833,1.0
293,113,3,889.83826,0.93333334
294,113,3,368.4833,1.0
295,113,3,936.87604,0.8666667
296,114,2,368.4833,1.0
297,114,2,889.87335,0.93333334
298,115,2,368.4833,1.0
299,115,2,889.87335,0.93333334
300,116,2,368.4833,1.0
301,116,2,889.87335,0.93333334
302,117,2,368.4833,1.0
303,117,2,889.87335,0.93333334
304,118,3,368.4833,1.0
305,118,3,889.87335,0.93333334
306,118,3,966.25146,0.8666667
307,119,3,368.4833,1.0
308,119,3,889.87335,0.93333334
309,119,3,966.25146,0.8666667
310,120,3,368.4833,1.0
311,120,3,889.87335,0.93333334
312,120,3,966.25146,0.8666667
313,121,3,368.4833,1.0
314,121,3,889.87335,0.93333334
315,121,3,966.25146,0.8666667
316,122,3,368.4833,1.0
317,122,3,889.87335,0.93333334
318,122,3,966.25146,0.8666667
319,123,3,368.4833,1.0
320,123,3,889.87335,0.93333334
321,123,3,966.25146,0.8666667
322,124,3,368.4833,1.0
323,124,3,889.87335,0.93333334
324,124,3,966.25146,0.8666667
325,125,3,368.4833,1.0
326,125,3,889.87335,0.93333334
327,125,3,966.25146,0.8666667
328,126,3,368.4833,1.0
329,126,3,889.87335,0.93333334
330,126,3,966.25146,0.8666667
331,127,2,368.4833,1.0
332,127,2,889.87335,0.93333334
333,128,2,368.4833,1.0
334,128,2,889.87335,0.93333334
335,129,3,368.4833,1.0
336,129,3,909.07,0.46666664
337,129,3,890.65375,0.93333334
338,130,2,368.4833,1.0
339,130,2,890.65375,0.93333334
340,131,3,368.4833,1.0
341,131,3,1004.46576,0.8666667
342,131,3,917.3444,0.93333334
343,132,3,368.4833,1.0
344,132,3,1004.46576,0.8666667
345,132,3,917.3444,0.93333334
346,133,3,368.4833,1.0
347,133,3,1004.46576,0.8666667
348,133,3,917.3444,0.93333334
349,134,2,368.4833,1.0
350,134,2,917.3444,0.93333334
351,135,2,368.4833,1.0
352,135,2,907.89764,0.93333334
353,136,2,368.4833,1.0
354,136,2,898.2293,0.93333334
355,137,2,368.4833,1.0
356,137,2,898.2293,0.93333334
357,138,2,368.4833,1.0
358,138,2,890.65375,0.93333334
359,139,2,368.4833,1.0
360,139,2,888.84766,0.93333334
361,140,2,368.4833,1.0
362,140,2,888.84766,0.93333334
363,141,2,878.1202,0.93333334
364,141,2,368.4833,1.0
365,142,2,878.1202,0.93333334
366,142,2,368.4833,1.0
367,143,2,368.4833,1.0
368,143,2,880.5207,0.93333334
369,144,3,368.4833,1.0
370,144,3,955.7442,0.79999995
371,144,3,887.5248,0.93333334
372,145,2,368.4833,1.0
373,145,2,966.1164,0.93333334
374,146,2,368.4833,1.0
375,146,2,909.3521,0.93333334
376,147,2,368.4833,1.0
377,147,2,899.74744,0.93333334
378,148,2,368.4833,1.0
379,148,2,899.74744,0.93333334
380,149,2,368.4833,1.0
381,149,2,909.10895,0.93333334
382,150,2,368.4833,1.0
383,150,2,899.74744,0.93333334
384,151,2,368.4833,1.0
385,151,2,899.74744,0.93333334
386,152,2,368.4833,1.0
387,152,2,887.5248,0.93333334
388,153,2,368.4833,1.0
389,153,2,887.5248,0.93333334
390,154,2,368.4833,1.0
391,154,2,887.5248,0.93333334
392,155,3,368.4833,1.0
393,155,3,887.5248,0.93333334
394,155,3,909.1494,0.8666667
395,156,3,368.4833,1.0
396,156,3,887.5248,0.93333334
