,training.top_k_ctrl_reward.top_2_ctrl_reward,training.top_k_forward_reward.top_0_forward_reward,training.top_k_healthy_reward.top_1_healthy_reward,training.run_id,training.fitness_3q,training.fitness_median,training.evaluation_time,_step,training.top_k_reward.top_0_reward,training.fitness_mean,training.top_k_ctrl_reward.top_1_ctrl_reward,training.fitness_1q,training.generation,training.fitness_std,training.top_k_healthy_reward.top_0_healthy_reward,_runtime,training.top_k_healthy_reward.top_2_healthy_reward,training.top_k_reward.top_2_reward,_timestamp,training.top_k_fit.top_2_fit,training.top_k_forward_reward.top_2_forward_reward,training.top_k_fit.top_0_fit,training.top_k_fit.top_1_fit,training.top_k_reward.top_1_reward,training.top_k_ctrl_reward.top_0_ctrl_reward,training.top_k_forward_reward.top_1_forward_reward,solver,ea,fitness,environment,seed,training.evaluation
0,0,0,0,0,37.34546661376953,55.98482131958008,13.170028686523438,0,701.8928833007812,-2871.20654296875,0,184.23678588867188,0,17081.982421875,0,21.784141063690186,0,696.83837890625,1689150724.945625,624.340087890625,0,765.878173828125,700.4861450195312,707.08544921875,0,0,cgp-long,mu+lambda-ga1,reward-unhealthy_termination,inverted_double_pendulum,0,0
1,0,0,0,0,37.008426666259766,37.02416229248047,2.97232985496521,1,669.1204223632812,-880.59912109375,0,219.72218322753906,1,9962.9677734375,0,25.02622961997986,0,688.6151733398438,1689150728.1877136,596.260986328125,0,671.304443359375,634.318603515625,695.0323486328125,0,0,cgp-long,mu+lambda-ga1,reward-unhealthy_termination,inverted_double_pendulum,0,100
2,0,0,0,0,555.79150390625,582.0892333984375,2.976358652114868,2,819.751953125,-486.2476806640625,0,624.5719604492188,2,10003.8076171875,0,28.034754991531372,0,813.9672241210938,1689150731.196239,840.308349609375,0,867.050048828125,861.7211303710938,801.2974243164062,0,0,cgp-long,mu+lambda-ga1,reward-unhealthy_termination,inverted_double_pendulum,0,200
3,0,0,0,0,266.89813232421875,577.2623291015625,2.9815871715545654,3,724.0214233398438,-1525.3292236328125,0,608.0455322265625,3,14069.6435546875,0,31.048032760620117,0,749.8712158203125,1689150734.2095168,803.1598510742188,0,820.0925903320312,805.5309448242188,754.6441650390625,0,0,cgp-long,mu+lambda-ga1,reward-unhealthy_termination,inverted_double_pendulum,0,300
4,0,0,0,0,243.17066955566406,577.5316162109375,2.966291904449463,4,823.1838989257812,-1528.9586181640625,0,615.12939453125,4,14069.2451171875,0,34.046574115753174,0,811.753173828125,1689150737.208058,804.4962768554688,0,862.2726440429688,852.7659912109375,768.18212890625,0,0,cgp-long,mu+lambda-ga1,reward-unhealthy_termination,inverted_double_pendulum,0,400
5,0,0,0,0,97.96546936035156,572.5970458984375,2.981489896774292,5,822.4529418945312,-566.302978515625,0,624.7963256835938,5,9997.0087890625,0,37.06050372123718,0,740.8136596679688,1689150740.2219877,805.7222290039062,0,891.2813720703125,824.7435913085938,815.9208374023438,0,0,cgp-long,mu+lambda-ga1,reward-unhealthy_termination,inverted_double_pendulum,0,500
6,0,0,0,0,548.8429565429688,577.432861328125,2.986022472381592,6,814.4127807617188,511.93865966796875,0,624.6505737304688,6,224.05775451660156,0,40.08037781715393,0,819.1564331054688,1689150743.2418618,803.0342407226562,0,919.31494140625,815.3074951171875,794.7068481445312,0,0,cgp-long,mu+lambda-ga1,reward-unhealthy_termination,inverted_double_pendulum,0,600
7,0,0,0,0,252.61981201171875,586.7047119140625,2.9752843379974365,7,763.9620361328125,-508.6351013183594,0,624.8140869140625,7,10002.103515625,0,43.086618185043335,0,807.7189331054688,1689150746.2481022,837.8889770507812,0,862.61083984375,858.5480346679688,749.24951171875,0,0,cgp-long,mu+lambda-ga1,reward-unhealthy_termination,inverted_double_pendulum,0,700
8,0,0,0,0,484.79156494140625,596.265625,2.983353853225708,8,827.68896484375,-1488.372802734375,0,655.9068603515625,8,14075.4033203125,0,46.10018467903137,0,837.0935668945312,1689150749.2616687,841.5748291015625,0,908.9166259765625,872.6017456054688,813.3776245117188,0,0,cgp-long,mu+lambda-ga1,reward-unhealthy_termination,inverted_double_pendulum,0,800
9,0,0,0,0,99.03785705566406,595.997802734375,2.972247838973999,9,888.6427001953125,-4529.24169921875,0,646.1559448242188,9,21903.96875,0,49.10244083404541,0,820.0762939453125,1689150752.2639248,829.44189453125,0,900.899658203125,841.9332885742188,776.18505859375,0,0,cgp-long,mu+lambda-ga1,reward-unhealthy_termination,inverted_double_pendulum,0,900
10,0,0,0,0,548.597900390625,596.434326171875,2.9772162437438965,10,756.1627807617188,516.9591674804688,0,643.2134399414062,10,225.9992218017578,0,52.11220645904541,0,724.4412231445312,1689150755.2736905,785.7159423828125,0,815.2784423828125,801.1448974609375,790.04638671875,0,0,cgp-long,mu+lambda-ga1,reward-unhealthy_termination,inverted_double_pendulum,0,1000
11,0,0,0,0,167.5782470703125,577.3128662109375,2.9534382820129395,11,857.3695678710938,-1539.1458740234375,0,646.0244750976562,11,14068.330078125,0,55.09582781791687,0,754.1127319335938,1689150758.2573118,810.351318359375,0,872.00341796875,849.3687744140625,751.6006469726562,0,0,cgp-long,mu+lambda-ga1,reward-unhealthy_termination,inverted_double_pendulum,0,1100
12,0,0,0,0,548.78466796875,586.6484375,2.978022813796997,12,875.37158203125,-1480.34375,0,636.5322265625,12,14076.1005859375,0,58.103291749954224,0,773.2479858398438,1689150761.2647758,822.9005126953125,0,850.3554077148438,833.6300659179688,792.8681030273438,0,0,cgp-long,mu+lambda-ga1,reward-unhealthy_termination,inverted_double_pendulum,0,1200
13,0,0,0,0,340.53497314453125,587.00244140625,2.969130039215088,13,757.952880859375,-1492.4366455078125,0,643.4943237304688,13,14074.474609375,0,61.10281157493591,0,737.7490234375,1689150764.2642956,824.534912109375,0,834.1932983398438,825.0172729492188,769.9384155273438,0,0,cgp-long,mu+lambda-ga1,reward-unhealthy_termination,inverted_double_pendulum,0,1300
14,0,0,0,0,567.530029296875,596.263427734375,2.9800431728363037,14,838.5142822265625,550.9363403320312,0,662.5667114257812,14,212.8774871826172,0,64.11335825920105,0,762.1220092773438,1689150767.2748423,830.851318359375,0,891.38525390625,853.4527587890625,783.28857421875,0,0,cgp-long,mu+lambda-ga1,reward-unhealthy_termination,inverted_double_pendulum,0,1400
15,0,0,0,0,132.04037475585938,577.3238525390625,2.9277637004852295,15,804.31298828125,-553.542236328125,0,615.1261596679688,15,9998.0625,0,67.08413887023926,0,813.3157958984375,1689150770.2456229,790.1228637695312,0,814.739501953125,813.0641479492188,766.5687866210938,0,0,cgp-long,mu+lambda-ga1,reward-unhealthy_termination,inverted_double_pendulum,0,1500
16,0,0,0,0,214.79202270507812,577.3082885742188,2.9027678966522217,16,829.9596557617188,-2546.7998046875,0,605.8306884765625,16,17140.068359375,0,70.03187012672424,0,739.695068359375,1689150773.1933541,766.6625366210938,0,872.5440673828125,794.1135864257812,734.9909057617188,0,0,cgp-long,mu+lambda-ga1,reward-unhealthy_termination,inverted_double_pendulum,0,1600
17,0,0,0,0,548.6870727539062,586.7861328125,2.903646230697632,17,753.6512451171875,506.6814880371094,0,636.718994140625,17,246.45022583007812,0,72.97233271598816,0,740.3342895507812,1689150776.1338167,805.0604858398438,0,861.3260498046875,848.7726440429688,740.8739624023438,0,0,cgp-long,mu+lambda-ga1,reward-unhealthy_termination,inverted_double_pendulum,0,1700
