iteration,front_size,reward,simplicity,seed,environment,solver
0,1,799.75964,0.8333333,9,inverted_double_pendulum,cgp
1,1,799.75964,0.8333333,9,inverted_double_pendulum,cgp
2,1,799.75964,0.8333333,9,inverted_double_pendulum,cgp
3,1,789.8402,0.8333333,9,inverted_double_pendulum,cgp
4,1,789.8402,0.8333333,9,inverted_double_pendulum,cgp
5,1,784.3645,0.8333333,9,inverted_double_pendulum,cgp
6,1,802.581,0.8333333,9,inverted_double_pendulum,cgp
7,1,850.6626,0.8333333,9,inverted_double_pendulum,cgp
8,1,842.09564,0.8333333,9,inverted_double_pendulum,cgp
9,1,841.3471,0.8333333,9,inverted_double_pendulum,cgp
10,1,828.8571,0.8333333,9,inverted_double_pendulum,cgp
11,1,838.41986,0.8333333,9,inverted_double_pendulum,cgp
12,1,828.8571,0.8333333,9,inverted_double_pendulum,cgp
13,1,824.07916,0.8333333,9,inverted_double_pendulum,cgp
14,1,824.07916,0.8333333,9,inverted_double_pendulum,cgp
15,1,812.0916,0.8333333,9,inverted_double_pendulum,cgp
16,1,804.128,0.8333333,9,inverted_double_pendulum,cgp
17,1,831.6161,0.8333333,9,inverted_double_pendulum,cgp
18,1,831.6161,0.8333333,9,inverted_double_pendulum,cgp
19,1,815.07855,0.8333333,9,inverted_double_pendulum,cgp
20,1,814.25446,0.8333333,9,inverted_double_pendulum,cgp
21,1,814.25446,0.8333333,9,inverted_double_pendulum,cgp
22,1,814.25446,0.8333333,9,inverted_double_pendulum,cgp
23,1,814.25446,0.8333333,9,inverted_double_pendulum,cgp
24,1,811.0216,0.8333333,9,inverted_double_pendulum,cgp
25,1,804.128,0.8333333,9,inverted_double_pendulum,cgp
26,1,794.2555,0.8333333,9,inverted_double_pendulum,cgp
27,1,812.45013,0.8333333,9,inverted_double_pendulum,cgp
28,1,909.95496,0.8333333,9,inverted_double_pendulum,cgp
29,1,831.71796,0.8333333,9,inverted_double_pendulum,cgp
30,1,831.71796,0.8333333,9,inverted_double_pendulum,cgp
31,1,831.71796,0.8333333,9,inverted_double_pendulum,cgp
32,1,824.28253,0.8333333,9,inverted_double_pendulum,cgp
33,1,824.28253,0.8333333,9,inverted_double_pendulum,cgp
34,1,828.68066,0.8333333,9,inverted_double_pendulum,cgp
