,training.top_k_forward_reward.top_1_forward_reward,training.top_k_healthy_reward.top_1_healthy_reward,training.generation,training.top_k_forward_reward.top_0_forward_reward,training.fitness_1q,training.top_k_reward.top_2_reward,training.top_k_forward_reward.top_2_forward_reward,training.top_k_healthy_reward.top_2_healthy_reward,training.fitness_median,training.top_k_fit.top_0_fit,training.top_k_fit.top_2_fit,training.top_k_reward.top_0_reward,training.top_k_reward.top_1_reward,training.fitness_3q,training.top_k_ctrl_reward.top_0_ctrl_reward,training.top_k_healthy_reward.top_0_healthy_reward,_step,training.top_k_fit.top_1_fit,training.evaluation_time,training.fitness_std,_runtime,training.top_k_ctrl_reward.top_2_ctrl_reward,training.fitness_mean,training.top_k_ctrl_reward.top_1_ctrl_reward,_timestamp,training.run_id,solver,ea,fitness,environment,seed,training.evaluation
0,28.50947380065918,621.7999877929688,0,12.815585136413574,59.374305725097656,375.80133056640625,129.6141357421875,247.0,34.78851318359375,1001.158203125,360.0756530761719,728.41259765625,648.4606323242188,12.134132385253906,-1.2030237913131714,716.7999877929688,0,637.337890625,16.701122283935547,32519.912109375,22.39544367790222,-0.8127848505973816,-11936.294921875,-1.8486835956573486,1689156714.7733977,0,cgp-long,mu+lambda-ga1,reward-unhealthy_termination,walker2d,0,0
1,77.64327239990234,471.0,1,15.102716445922852,61.97645568847656,451.39385986328125,17.35947608947754,435.0,36.381813049316406,1011.0064697265625,439.2776794433594,1012.4226684570312,547.5595092773438,18.61175537109375,-1.6799653768539429,999.0,1,493.77178955078125,2.4256153106689453,33657.08203125,25.09154772758484,-0.9656373858451843,-12931.392578125,-1.083929181098938,1689156717.4695017,0,cgp-long,mu+lambda-ga1,reward-unhealthy_termination,walker2d,0,100
2,68.93733978271484,742.6000366210938,2,71.2437973022461,162.63629150390625,1008.3585205078125,11.029555320739746,999.0,83.45856475830078,1016.0003662109375,1009.0482177734375,806.2027587890625,810.1934814453125,29.089500427246094,-1.2410244941711426,736.2000122070312,2,1009.1967163085938,2.4176828861236572,19637.603515625,27.541913986206055,-1.6711559295654297,-3805.01611328125,-1.343779444694519,1689156719.919868,0,cgp-long,mu+lambda-ga1,reward-unhealthy_termination,walker2d,0,200
3,15.507829666137695,999.0,3,39.197235107421875,447.74737548828125,839.1976928710938,68.71839904785156,772.2000122070312,118.45138549804688,1012.0237426757812,1010.1520385742188,901.1389770507812,1012.9000244140625,45.84579849243164,-1.4583189487457275,863.4000244140625,3,1011.50732421875,2.425114393234253,9981.623046875,30.001043796539307,-1.7207955121994019,-734.7059326171875,-1.6079046726226807,1689156722.3789978,0,cgp-long,mu+lambda-ga1,reward-unhealthy_termination,walker2d,0,300
4,11.645567893981934,999.0,4,24.830524444580078,181.38841247558594,788.0631713867188,65.27877044677734,724.0,97.27082061767578,1016.0570068359375,1008.35205078125,1021.9962158203125,1008.9794921875,32.889892578125,-1.834485411643982,999.0,4,1008.895263671875,2.43280029296875,14034.0810546875,32.465126752853394,-1.2152988910675049,-1783.54296875,-1.6661518812179565,1689156724.8430808,0,cgp-long,mu+lambda-ga1,reward-unhealthy_termination,walker2d,0,400
5,-11.836268424987793,837.6000366210938,5,143.70309448242188,461.56024169921875,1011.4912109375,14.161662101745605,999.0,88.05673217773438,1101.2689208984375,1011.722412109375,825.05517578125,824.3192749023438,35.6712760925293,-1.2478893995285034,682.6000366210938,5,1015.149169921875,2.432941436767578,9987.2998046875,34.93062663078308,-1.6703462600708008,-703.2771606445312,-1.4446715116500854,1689156727.3085806,0,cgp-long,mu+lambda-ga1,reward-unhealthy_termination,walker2d,0,500
6,19.762866973876953,999.0,6,61.380706787109375,438.69189453125,951.5299072265625,59.87240219116211,893.0,87.14105987548828,1022.1034545898438,1016.6889038085938,936.3798828125,1017.2032470703125,33.29472732543945,-1.6008440256118774,876.6000366210938,6,1017.7613525390625,2.436418294906616,19653.908203125,37.39952731132507,-1.3427618741989136,-3730.373779296875,-1.5594185590744019,1689156729.7774813,0,cgp-long,mu+lambda-ga1,reward-unhealthy_termination,walker2d,0,600
7,43.329505920410156,865.2000122070312,7,55.699737548828125,131.55453491210938,1013.0492553710938,15.678421020507812,999.0,53.113609313964844,1026.6578369140625,1016.317138671875,1043.8402099609375,906.9461059570312,25.008777618408203,-1.4599450826644897,989.6000366210938,7,1016.4752197265625,2.4234066009521484,17094.953125,39.85506820678711,-1.6289913654327393,-2808.897216796875,-1.5831851959228516,1689156732.2330222,0,cgp-long,mu+lambda-ga1,reward-unhealthy_termination,walker2d,0,700
8,-4.6071062088012695,666.0,8,33.062591552734375,523.5162963867188,1018.78271484375,21.574365615844727,999.0,106.16334533691406,1031.8818359375,1019.22021484375,1030.0169677734375,660.3580932617188,46.03363800048828,-2.0451953411102295,999.0,8,1021.074462890625,2.4360413551330566,14052.8818359375,42.3236768245697,-1.7921146154403687,-1667.2183837890625,-1.034789800643921,1689156734.7016308,0,cgp-long,mu+lambda-ga1,reward-unhealthy_termination,walker2d,0,800
9,22.615812301635742,999.0,9,76.6505126953125,398.7517395019531,912.5470581054688,52.0905647277832,861.7999877929688,83.72602081298828,1030.067626953125,1019.875732421875,946.1795043945312,1020.1085205078125,35.29446029663086,-1.4709358215332031,871.0,9,1020.6040649414062,2.3918440341949463,14045.6826171875,44.74831748008728,-1.343598484992981,-1715.6446533203125,-1.507559061050415,1689156737.1262715,0,cgp-long,mu+lambda-ga1,reward-unhealthy_termination,walker2d,0,900
