,training.fitness_3q,training.generation,training.fitness_mean,training.top_k_fit.top_1_fit,training.top_k_fit.top_2_fit,_timestamp,training.fitness_std,training.fitness_median,training.evaluation_time,training.run_id,_runtime,training.fitness_1q,training.top_k_fit.top_0_fit,_step,solver,ea,fitness,environment,seed,training.evaluation,training.top_k_reward.top_0_reward,training.top_k_reward.top_1_reward,training.top_k_reward.top_2_reward
0,27.719051361083984,0,74.0172348022461,276.7218322753906,243.3548126220703,1687244653.5032952,71.58141326904297,56.224937438964844,15.549345970153809,7,16.741297245025635,94.51245880126953,282.5440368652344,0,lgp,mu+lambda,reward,hopper,7,0,282.5440368652344,276.7218322753906,243.3548126220703
1,52.727684020996094,1,129.46600341796875,358.7852478027344,348.6455383300781,1687244655.1060283,93.86997985839844,106.19774627685547,1.4403517246246338,7,18.344030380249023,206.6769256591797,376.0091552734375,1,lgp,mu+lambda,reward,hopper,7,100,376.0091552734375,358.7852478027344,348.6455383300781
2,53.03133010864258,2,140.10984802246094,385.4378662109375,371.3464660644531,1687244656.5374093,97.51261901855469,126.02737426757812,1.4101985692977905,7,19.775411367416382,223.35708618164062,460.3410339355469,2,lgp,mu+lambda,reward,hopper,7,200,460.3410339355469,385.4378662109375,371.3464660644531
3,72.71470642089844,3,149.4285888671875,327.8924255371094,293.0560607910156,1687244657.9788232,87.84709167480469,130.97048950195312,1.4134998321533203,7,21.216825246810913,231.70919799804688,350.7900085449219,3,lgp,mu+lambda,reward,hopper,7,300,350.7900085449219,327.8924255371094,293.0560607910156
4,68.07544708251953,4,162.72105407714844,360.27862548828125,357.9220886230469,1687244659.411443,99.28376770019531,169.54055786132812,1.409969449043274,7,22.649445056915283,243.2213134765625,378.0897216796875,4,lgp,mu+lambda,reward,hopper,7,400,378.0897216796875,360.27862548828125,357.9220886230469
5,60.61569595336914,5,155.60177612304688,364.4523620605469,361.3789367675781,1687244660.84546,109.52177429199219,122.58148193359375,1.4131094217300415,7,24.08346199989319,241.9313507080078,407.51104736328125,5,lgp,mu+lambda,reward,hopper,7,500,407.51104736328125,364.4523620605469,361.3789367675781
6,68.62393951416016,6,182.45472717285156,407.4097900390625,385.3084411621094,1687244662.2783089,119.09207153320312,204.7825927734375,1.4129695892333984,7,25.516310930252075,290.69464111328125,425.2075500488281,6,lgp,mu+lambda,reward,hopper,7,600,425.2075500488281,407.4097900390625,385.3084411621094
7,56.656497955322266,7,189.9617156982422,605.53173828125,424.58172607421875,1687244663.7129486,146.41810607910156,191.94412231445312,1.4128470420837402,7,26.950950622558594,294.54119873046875,827.7473754882812,7,lgp,mu+lambda,reward,hopper,7,700,827.7473754882812,605.53173828125,424.58172607421875
8,58.617313385009766,8,169.7431182861328,392.1452941894531,390.9348449707031,1687244665.1479967,130.71580505371094,181.521484375,1.41228449344635,7,28.385998725891113,276.0651550292969,396.97857666015625,8,lgp,mu+lambda,reward,hopper,7,800,396.97857666015625,392.1452941894531,390.9348449707031
9,65.0501708984375,9,177.89784240722656,425.9105529785156,415.5367736816406,1687244666.581257,124.9431381225586,157.50888061523438,1.4106837511062622,7,29.81925916671753,286.72430419921875,446.05059814453125,9,lgp,mu+lambda,reward,hopper,7,900,446.05059814453125,425.9105529785156,415.5367736816406
10,53.65555953979492,10,167.69290161132812,431.3824157714844,427.2353820800781,1687244668.0148406,153.66064453125,104.98170471191406,1.4124115705490112,7,31.252842664718628,261.7049560546875,991.1270141601562,10,lgp,mu+lambda,reward,hopper,7,1000,991.1270141601562,431.3824157714844,427.2353820800781
