,_step,training.fitness_3q,training.fitness_mean,training.top_k_fit.top_0_fit,training.top_k_fit.top_2_fit,_timestamp,training.run_id,training.fitness_median,training.evaluation_time,_runtime,training.fitness_std,training.top_k_fit.top_1_fit,training.fitness_1q,training.generation,solver,ea,fitness,environment,seed,training.evaluation,training.top_k_reward.top_0_reward,training.top_k_reward.top_1_reward,training.top_k_reward.top_2_reward
0,0,-168.48361206054688,43.701541900634766,1555.2493896484375,819.5211791992188,1687205412.8722308,0,-49.226829528808594,26.50493812561035,27.901392698287964,334.8901062011719,962.6587524414062,201.147705078125,0,lgp,mu+lambda,reward,halfcheetah,0,0,1555.2493896484375,962.6587524414062,819.5211791992188
1,1,-66.73622131347656,251.780029296875,1701.38232421875,816.41796875,1687205419.1506288,0,308.01336669921875,6.076011657714844,34.17979073524475,362.2340393066406,1195.49365234375,499.2255554199219,1,lgp,mu+lambda,reward,halfcheetah,0,100,1701.38232421875,1195.49365234375,816.41796875
2,2,-27.870256423950195,386.3342590332031,1840.0076904296875,1548.0418701171875,1687205425.2870195,0,444.16778564453125,6.119915962219238,40.31618142127991,474.0443115234375,1548.065673828125,617.576416015625,2,lgp,mu+lambda,reward,halfcheetah,0,200,1840.0076904296875,1548.065673828125,1548.0418701171875
3,3,156.751220703125,574.0294189453125,2927.826416015625,2043.107421875,1687205431.4380817,0,564.4844360351562,6.128012180328369,46.467243671417236,591.6716918945312,2080.18017578125,794.525390625,3,lgp,mu+lambda,reward,halfcheetah,0,300,2927.826416015625,2080.18017578125,2043.107421875
4,4,149.4562530517578,683.49951171875,3322.00390625,2290.304931640625,1687205437.59186,0,573.6567993164062,6.110711574554443,52.62102198600769,757.7546997070312,2481.386962890625,1102.91064453125,4,lgp,mu+lambda,reward,halfcheetah,0,400,3322.00390625,2481.386962890625,2290.304931640625
5,5,311.38623046875,833.4251098632812,3259.8564453125,2510.347900390625,1687205443.7147386,0,594.4506225585938,6.080166339874268,58.743900537490845,838.4411010742188,2552.66796875,1500.6802978515625,5,lgp,mu+lambda,reward,halfcheetah,0,500,3259.8564453125,2552.66796875,2510.347900390625
6,6,-26.843074798583984,738.6029663085938,3319.778076171875,2776.946533203125,1687205449.8089895,0,473.5976257324219,6.040198802947998,64.83815145492554,909.2210083007812,3283.437255859375,1238.758056640625,6,lgp,mu+lambda,reward,halfcheetah,0,600,3319.778076171875,3283.437255859375,2776.946533203125
7,7,386.535400390625,950.2547607421875,3311.051513671875,2904.945556640625,1687205455.952981,0,648.3450927734375,6.1079254150390625,70.98214292526245,887.1026000976562,3157.7314453125,1761.33056640625,7,lgp,mu+lambda,reward,halfcheetah,0,700,3311.051513671875,3157.7314453125,2904.945556640625
8,8,398.9332275390625,1230.994873046875,4615.32373046875,3303.302978515625,1687205462.1598117,0,907.59619140625,6.174030303955078,77.18897366523743,1122.2183837890625,3636.62744140625,2057.66748046875,8,lgp,mu+lambda,reward,halfcheetah,0,800,4615.32373046875,3636.62744140625,3303.302978515625
9,9,82.18721008300781,1032.0546875,3929.04296875,3197.308837890625,1687205468.336287,0,536.4768676757812,6.1602020263671875,83.36544895172119,1194.371337890625,3268.760498046875,2322.704345703125,9,lgp,mu+lambda,reward,halfcheetah,0,900,3929.04296875,3268.760498046875,3197.308837890625
