,training.top_k_fit.top_0_fit,training.fitness_3q,training.run_id,training.fitness_std,training.evaluation_time,training.top_k_fit.top_2_fit,_step,training.fitness_1q,training.generation,_runtime,training.fitness_mean,training.fitness_median,training.top_k_fit.top_1_fit,_timestamp,solver,ea,environment,seed
0,1592.319580078125,-230.72256469726562,0,9951.384765625,27.206525802612305,551.3324584960938,0,94.09736633300781,0,27.781102418899536,-1023.1392822265625,-65.90968322753906,554.5048828125,1686934375.1318984,cgp,mu+lambda,halfcheetah,1
1,1655.9088134765625,-101.93107604980469,0,9957.3671875,6.678840160369873,555.1011352539062,1,154.05288696289062,1,34.61311054229736,-962.0784301757812,-12.531342506408691,612.2047729492188,1686934381.9639065,cgp,mu+lambda,halfcheetah,1
2,2556.632568359375,-54.291168212890625,0,861.5272216796875,6.674741268157959,2329.114990234375,2,1265.7752685546875,2,41.30815672874451,520.6371459960938,334.14251708984375,2483.031494140625,1686934388.6589527,cgp,mu+lambda,halfcheetah,1
3,2308.6162109375,-100.03961181640625,0,10058.3115234375,6.678743839263916,2221.885009765625,3,1615.4007568359375,3,48.00382614135742,-348.3082275390625,262.7592468261719,2295.589599609375,1686934395.3546221,cgp,mu+lambda,halfcheetah,1
4,2761.06787109375,102.25210571289062,0,1103.884033203125,6.652393817901611,2642.386474609375,4,2103.238037109375,4,54.687164306640625,1020.3932495117188,728.78857421875,2655.031982421875,1686934402.0379603,cgp,mu+lambda,halfcheetah,1
5,5629.10546875,137.84718322753906,0,10153.2421875,6.669888496398926,3351.7841796875,5,2395.24072265625,5,61.38600492477417,149.2156219482422,545.807861328125,3392.814697265625,1686934408.736801,cgp,mu+lambda,halfcheetah,1
6,5049.9208984375,165.11619567871094,0,14249.603515625,6.680448532104492,3439.047119140625,6,2549.8681640625,6,68.08442211151123,-677.1734008789062,873.959228515625,4732.96435546875,1686934415.435218,cgp,mu+lambda,halfcheetah,1
7,6028.61669921875,158.96044921875,0,1786.4178466796875,6.66707181930542,5365.9189453125,7,2860.96533203125,7,74.76984906196594,1755.0362548828125,1225.3428955078125,5376.84033203125,1686934422.120645,cgp,mu+lambda,halfcheetah,1
8,6099.9794921875,24.262889862060547,0,2042.9173583984375,6.680002212524414,5374.3798828125,8,3410.731689453125,8,81.4666109085083,1663.549072265625,534.948486328125,6094.556640625,1686934428.817407,cgp,mu+lambda,halfcheetah,1
9,6371.10400390625,47.73126983642578,0,2151.525634765625,6.674426078796387,5889.44189453125,9,3758.7646484375,9,88.1598207950592,1692.582275390625,381.2446594238281,6091.7333984375,1686934435.5106168,cgp,mu+lambda,halfcheetah,1
10,6450.01953125,105.54170227050781,0,2256.630126953125,6.6801323890686035,5870.57763671875,10,4806.22412109375,10,94.85925269126892,2037.0814208984375,776.5674438476562,5942.8681640625,1686934442.2100487,cgp,mu+lambda,halfcheetah,1
11,6373.4453125,54.32138442993164,0,10439.587890625,6.6823554039001465,6051.11279296875,11,4932.10888671875,11,101.56107902526855,1122.8165283203125,519.80322265625,6187.970703125,1686934448.911875,cgp,mu+lambda,halfcheetah,1
12,6604.64453125,100.15325927734375,0,2341.514892578125,6.681598663330078,6379.5693359375,12,4870.92626953125,12,108.25929474830627,2187.41845703125,1343.209228515625,6484.5029296875,1686934455.6100907,cgp,mu+lambda,halfcheetah,1
13,6385.12451171875,50.19215774536133,0,2352.845703125,6.64743185043335,6264.017578125,13,4726.865234375,13,114.9355161190033,1921.9359130859375,608.8619384765625,6331.31640625,1686934462.286312,cgp,mu+lambda,halfcheetah,1
14,6546.73828125,71.60491180419922,0,14467.7939453125,6.665585517883301,6367.19384765625,14,4400.23828125,14,121.62145113945007,-58.63179397583008,518.2394409179688,6380.17626953125,1686934468.9722471,cgp,mu+lambda,halfcheetah,1
15,6443.912109375,211.63551330566406,0,2457.2021484375,6.797421455383301,6303.2265625,15,4788.9267578125,15,128.45995664596558,2177.107421875,910.9930419921875,6422.97265625,1686934475.8107526,cgp,mu+lambda,halfcheetah,1
16,6504.0458984375,8.073681831359863,0,2316.562255859375,6.684361457824707,6413.84033203125,16,3490.0576171875,16,135.17150950431824,1907.3980712890625,509.55462646484375,6440.29443359375,1686934482.5223055,cgp,mu+lambda,halfcheetah,1
