,training.fitness_1q,training.fitness_3q,training.fitness_median,training.evaluation_time,training.top_k_fit.top_1_fit,_runtime,training.fitness_std,_step,training.generation,training.fitness_mean,training.top_k_fit.top_2_fit,_timestamp,training.run_id,training.top_k_fit.top_0_fit,solver,ea,environment,seed
0,111.37568664550781,42.89582824707031,77.35441589355469,15.094198226928711,651.8674926757812,16.34910011291504,138.13426208496094,0,0,111.83943176269531,527.0489501953125,1687175993.4041002,1,1005.6641845703125,lgp,mu+lambda,walker2d,1
1,195.57965087890625,61.112831115722656,105.40342712402344,1.6522949934005737,1000.66064453125,18.1474609375,185.91909790039062,1,1,166.37631225585938,999.8522338867188,1687175995.202461,1,1004.2356567382812,lgp,mu+lambda,walker2d,1
2,332.5022888183594,72.86384582519531,121.42311096191406,1.6483782529830933,1003.6649780273438,19.815044403076172,9975.138671875,2,2,-775.6493530273438,1003.2206420898438,1687175996.8700445,1,1008.8158569335938,lgp,mu+lambda,walker2d,1
3,365.43426513671875,77.38895416259766,126.69068908691406,1.6469454765319824,1002.8701782226562,21.481773376464844,244.3076171875,3,3,233.21449279785156,1002.6161499023438,1687175998.5367734,1,1002.9450073242188,lgp,mu+lambda,walker2d,1
4,416.2015380859375,91.45619201660156,130.76510620117188,1.6488213539123535,1001.6787719726562,23.149572372436523,247.731689453125,4,4,250.6654052734375,1001.4945678710938,1687176000.2045724,1,1002.236083984375,lgp,mu+lambda,walker2d,1
5,441.9642639160156,81.51103973388672,169.81082153320312,1.645797610282898,1006.791748046875,24.814034700393677,316.1047058105469,5,5,310.4501037597656,1006.2578735351562,1687176001.8690348,1,1007.6878051757812,lgp,mu+lambda,walker2d,1
6,444.162841796875,85.60930633544922,127.32655334472656,1.64811372756958,1008.4895629882812,26.479869842529297,311.07977294921875,6,6,291.0823059082031,1001.8558349609375,1687176003.53487,1,1011.5325927734375,lgp,mu+lambda,walker2d,1
7,503.841064453125,96.38895416259766,180.20803833007812,1.64581298828125,1006.8104248046875,28.144179821014404,350.7122497558594,7,7,363.22161865234375,1005.8778686523438,1687176005.19918,1,1006.9559936523438,lgp,mu+lambda,walker2d,1
8,729.578125,74.38876342773438,130.48733520507812,1.6471343040466309,1009.3013305664062,29.81009554862976,388.98297119140625,8,8,362.9421691894531,1007.391357421875,1687176006.8650956,1,1009.8313598632812,lgp,mu+lambda,walker2d,1
9,634.2044677734375,85.35118865966797,178.97454833984375,1.6478314399719238,1008.2442626953125,31.47656774520874,372.7989501953125,9,9,378.8946838378906,1008.0718383789062,1687176008.5315678,1,1031.6046142578125,lgp,mu+lambda,walker2d,1
10,995.36962890625,70.28436279296875,138.42721557617188,1.6493200063705444,1019.9916381835938,33.143677711486816,399.17376708984375,10,10,372.8580322265625,1016.3931884765625,1687176010.1986778,1,1024.3443603515625,lgp,mu+lambda,walker2d,1
11,999.4617309570312,82.79460144042969,149.52349853515625,1.6490478515625,1022.9334716796875,34.81141924858093,408.6042785644531,11,11,400.92315673828125,1021.6351318359375,1687176011.8664193,1,1041.2591552734375,lgp,mu+lambda,walker2d,1
