,training.evaluation_time,training.run_id,training.generation,training.fitness_median,_step,training.fitness_mean,training.top_k_fit.top_1_fit,_timestamp,training.fitness_std,training.top_k_fit.top_0_fit,training.top_k_fit.top_2_fit,_runtime,training.fitness_1q,training.fitness_3q,solver,ea,environment,seed,training.evaluation,training.top_k_reward.top_0_reward,training.top_k_reward.top_1_reward,training.top_k_reward.top_2_reward
0,21.16267967224121,0,0,474.28717041015625,0,439.9871826171875,981.4386596679688,1687019097.4405987,366.6420593261719,995.0836791992188,975.2111206054688,21.906409740447998,744.5088500976562,204.74761962890625,cgp,mu+lambda,ant,5,0,995.0836791992188,981.4386596679688,975.2111206054688
1,4.710489273071289,0,1,780.22607421875,1,729.1282348632812,989.8004760742188,1687019102.3051941,217.9625244140625,995.9391479492188,985.5208129882812,26.771005153656006,889.0227661132812,595.5966796875,cgp,mu+lambda,ant,5,100,995.9391479492188,989.8004760742188,985.5208129882812
2,4.704131126403809,0,2,847.8607177734375,2,785.6895141601562,996.1923828125,1687019107.0308821,190.7826690673828,996.1985473632812,988.4338989257812,31.49669313430786,951.5165405273438,682.6480102539062,cgp,mu+lambda,ant,5,200,996.1985473632812,996.1923828125,988.4338989257812
3,4.751734733581543,0,3,930.2816162109375,3,824.3695068359375,997.1173095703125,1687019111.8027685,221.43833923339844,997.120849609375,996.5030517578125,36.26857948303223,971.9730224609375,762.9862670898438,cgp,mu+lambda,ant,5,300,997.120849609375,997.1173095703125,996.5030517578125
4,4.7494282722473145,0,4,955.9730834960938,4,807.7548217773438,997.2394409179688,1687019116.5722218,253.18902587890625,997.3042602539062,997.1837158203125,41.03803277015686,989.2975463867188,705.3567504882812,cgp,mu+lambda,ant,5,400,997.3042602539062,997.2394409179688,997.1837158203125
5,4.753586292266846,0,5,913.43896484375,5,812.3516845703125,997.0142211914062,1687019121.347032,221.09136962890625,997.1635131835938,996.9305419921875,45.81284308433533,992.9268798828125,690.5962524414062,cgp,mu+lambda,ant,5,500,997.1635131835938,997.0142211914062,996.9305419921875
6,4.749299049377441,0,6,961.65576171875,6,847.6163330078125,997.4508056640625,1687019126.1165993,200.1338348388672,997.4534912109375,997.126708984375,50.58241033554077,995.1382446289062,708.71533203125,cgp,mu+lambda,ant,5,600,997.4534912109375,997.4508056640625,997.126708984375
7,4.746725559234619,0,7,947.4050903320312,7,841.9453125,997.5573120117188,1687019130.8965604,185.23635864257812,997.9661254882812,997.2777099609375,55.36237144470215,995.7930908203125,704.3262329101562,cgp,mu+lambda,ant,5,700,997.9661254882812,997.5573120117188,997.2777099609375
8,4.765145301818848,0,8,961.9407958984375,8,835.0701293945312,997.9323120117188,1687019135.692034,231.2307586669922,998.853515625,997.6477661132812,60.15784502029419,996.784912109375,694.4005737304688,cgp,mu+lambda,ant,5,800,998.853515625,997.9323120117188,997.6477661132812
9,4.76846981048584,0,9,962.27001953125,9,845.7188720703125,998.106689453125,1687019140.491494,204.40216064453125,998.7614135742188,997.9404907226562,64.95730495452881,996.940185546875,708.34521484375,cgp,mu+lambda,ant,5,900,998.7614135742188,998.106689453125,997.9404907226562
