,training.run_id,training.fitness_mean,training.generation,training.top_k_fit.top_0_fit,training.top_k_fit.top_1_fit,training.top_k_fit.top_2_fit,_step,_runtime,_timestamp,training.fitness_1q,training.fitness_3q,training.fitness_std,training.fitness_median,training.evaluation_time,solver,ea,environment,seed
0,3,106.25318145751953,0,1079.322998046875,445.4804382324219,318.59356689453125,0,16.678105354309082,1687179370.2857103,115.71869659423828,55.366546630859375,118.4595947265625,84.49639892578125,15.18958854675293,lgp,mu+lambda,walker2d,3
1,3,141.21961975097656,1,1006.6737060546875,612.7400512695312,473.7376708984375,1,18.45665192604065,1687179372.064257,167.20985412597656,78.13177490234375,128.6407470703125,108.4006118774414,1.630926489830017,lgp,mu+lambda,walker2d,3
2,3,160.8500518798828,2,1006.3299560546875,987.005615234375,894.770751953125,2,20.10950756072998,1687179373.7171125,212.1832275390625,57.147850036621094,176.82180786132812,97.92838287353516,1.632185459136963,lgp,mu+lambda,walker2d,3
3,3,173.56671142578125,3,1007.4771728515625,1005.6809692382812,998.59326171875,3,21.75598645210266,1687179375.3635914,212.25820922851562,53.97464370727539,196.90997314453125,98.43692779541016,1.626706600189209,lgp,mu+lambda,walker2d,3
4,3,183.3778076171875,4,1006.64501953125,1005.42236328125,737.3728637695312,4,23.420456409454346,1687179377.0280614,235.40203857421875,67.78038024902344,184.04571533203125,125.46560668945312,1.6450018882751465,lgp,mu+lambda,walker2d,3
5,3,188.92880249023438,5,1006.35302734375,1001.3314819335938,679.7374877929688,5,25.09179949760437,1687179378.6994045,302.2980651855469,57.98123550415039,189.6419677734375,112.1510009765625,1.6522990465164185,lgp,mu+lambda,walker2d,3
6,3,240.06370544433594,6,1009.1752319335938,1008.4207153320312,1006.0662231445312,6,26.76147484779358,1687179380.3690798,350.939208984375,67.09066772460938,228.92640686035156,152.40533447265625,1.6501160860061646,lgp,mu+lambda,walker2d,3
7,3,246.11978149414062,7,1012.619384765625,1009.1326293945312,1005.5185546875,7,28.429802179336548,1687179382.0374072,403.3443298339844,69.42002868652344,249.85202026367188,123.59233856201172,1.6492493152618408,lgp,mu+lambda,walker2d,3
8,3,289.5387268066406,8,1021.218017578125,1014.6002807617188,1010.4422607421875,8,30.09806537628174,1687179383.7056704,453.155029296875,70.9547348022461,301.92657470703125,145.64260864257812,1.6491303443908691,lgp,mu+lambda,walker2d,3
9,3,304.6958312988281,9,1022.2922973632812,1012.4511108398438,1008.2462768554688,9,31.76636266708374,1687179385.3739676,430.6968994140625,73.32485961914062,308.9784240722656,159.5541229248047,1.6487168073654175,lgp,mu+lambda,walker2d,3
