,_timestamp,training.fitness_3q,training.top_k_fit.top_1_fit,training.top_k_fit.top_2_fit,training.fitness_mean,training.fitness_median,training.evaluation_time,training.top_k_fit.top_0_fit,_step,training.run_id,training.fitness_1q,training.generation,training.fitness_std,_runtime,solver,ea,environment,seed
16,1687028796.4682875,707.4932861328125,998.4512329101562,998.4085693359375,862.9130249023438,990.1834716796875,4.772312164306641,998.5223999023438,16,0,997.2828369140625,16,214.79632568359375,98.72165536880493,cgp,mu+lambda,ant,7
17,1687028801.2596757,701.51318359375,998.3527221679688,998.2411499023438,846.0123901367188,969.3831787109375,4.77347993850708,998.6046142578125,17,0,997.3526611328125,17,203.5757293701172,103.51304364204407,cgp,mu+lambda,ant,7
18,1687028806.0516858,714.637939453125,998.64599609375,998.5501098632812,869.43310546875,978.349853515625,4.774923324584961,998.6763916015625,18,0,997.38232421875,18,179.74366760253906,108.3050537109375,cgp,mu+lambda,ant,7
19,1687028810.8420608,695.4734497070312,998.5767822265625,998.5472412109375,843.3296508789062,983.6934814453125,4.773179054260254,998.6188354492188,19,0,997.7440795898438,19,218.24038696289062,113.09542870521545,cgp,mu+lambda,ant,7
20,1687028815.6326919,795.4837036132812,998.6121826171875,998.542724609375,866.1795043945312,992.3436279296875,4.771249771118164,998.76953125,20,0,997.8388061523438,20,216.14346313476562,117.88605976104736,cgp,mu+lambda,ant,7
21,1687028820.4278314,706.5369873046875,998.6097412109375,998.5927734375,852.770263671875,982.5897216796875,4.775665283203125,998.8597412109375,21,0,997.6243286132812,21,210.53965759277344,122.68119931221008,cgp,mu+lambda,ant,7
22,1687028825.2165158,706.85595703125,998.771240234375,998.5997924804688,844.1546630859375,969.7628173828125,4.770083427429199,999.0642700195312,22,0,997.7703857421875,22,225.17117309570312,127.46988368034363,cgp,mu+lambda,ant,7
23,1687028830.00596,707.737060546875,998.7683715820312,998.6463623046875,870.3143310546875,987.5618896484375,4.769068717956543,999.5818481445312,23,0,997.72412109375,23,178.0653839111328,132.25932788848877,cgp,mu+lambda,ant,7
24,1687028834.7896392,709.6339111328125,998.9935302734375,998.93798828125,854.3784790039062,973.9591064453125,4.756737232208252,999.619873046875,24,0,997.8506469726562,24,214.53041076660156,137.04300713539124,cgp,mu+lambda,ant,7
25,1687028839.5641546,721.996337890625,998.9088134765625,998.8770141601562,867.9657592773438,986.9354248046875,4.743335247039795,999.0433349609375,25,0,998.1292114257812,25,201.33753967285156,141.81752252578735,cgp,mu+lambda,ant,7
26,1687028844.4941971,709.9471435546875,998.8471069335938,998.65966796875,871.5504760742188,980.2921142578125,4.901249408721924,998.8692626953125,26,0,997.5880126953125,26,194.10623168945312,146.74756503105164,cgp,mu+lambda,ant,7
27,1687028849.5477853,709.2516479492188,998.9798583984375,998.9108276367188,869.9901123046875,983.3941650390625,5.024784088134766,999.4317626953125,27,0,997.9152221679688,27,201.78585815429688,151.8011531829834,cgp,mu+lambda,ant,7
28,1687028854.4273064,709.1187133789062,999.23388671875,999.1890869140625,859.6103515625,974.867431640625,4.862795829772949,999.6192016601562,28,0,997.9365234375,28,208.05909729003906,156.6806743144989,cgp,mu+lambda,ant,7
29,1687028859.213675,704.9511108398438,998.933837890625,998.8736572265625,815.320556640625,892.3350830078125,4.76674747467041,998.95703125,29,0,997.3739013671875,29,234.30918884277344,161.46704292297363,cgp,mu+lambda,ant,7
30,1687028864.0003135,680.0084228515625,999.6115112304688,999.3179321289062,807.4857788085938,968.0589599609375,4.767943382263184,999.6502075195312,30,0,997.8016357421875,30,231.35198974609375,166.2536814212799,cgp,mu+lambda,ant,7
31,1687028868.7827961,722.82080078125,999.6007690429688,999.1288452148438,874.978271484375,988.3302001953125,4.764657497406006,999.7933959960938,31,0,997.9899291992188,31,174.8561553955078,171.03616404533386,cgp,mu+lambda,ant,7
32,1687028873.5682616,703.1121826171875,999.5897827148438,999.0469970703125,829.2738647460938,950.8260498046875,4.767068386077881,999.6785888671875,32,0,997.7704467773438,32,209.6512451171875,175.82162952423096,cgp,mu+lambda,ant,7
33,1687028878.3512254,812.521728515625,999.2428588867188,999.213623046875,878.201171875,984.8106079101562,4.764554500579834,999.2848510742188,33,0,998.1639404296875,33,198.7343292236328,180.60459327697754,cgp,mu+lambda,ant,7
34,1687028883.1327977,706.7867431640625,999.6607666015625,999.5271606445312,826.2969360351562,948.1676025390625,4.764334678649902,1034.7579345703125,34,0,997.6716918945312,34,231.91732788085938,185.38616561889648,cgp,mu+lambda,ant,7
35,1687028887.9149122,712.2553100585938,999.752197265625,999.6083984375,873.2044067382812,964.0203857421875,4.764050483703613,1035.4945068359375,35,0,997.1619873046875,35,170.32589721679688,190.1682801246643,cgp,mu+lambda,ant,7
36,1687028892.6993618,710.1989135742188,1021.9115600585938,999.1927490234375,856.0493774414062,987.54931640625,4.765390872955322,1033.38916015625,36,0,997.8955078125,36,218.8917236328125,194.95272970199585,cgp,mu+lambda,ant,7
37,1687028897.4813688,707.3692626953125,1020.6439819335938,1020.42333984375,842.1932373046875,971.6600341796875,4.764530181884766,1030.9720458984375,37,0,997.5213623046875,37,214.61990356445312,199.7347366809845,cgp,mu+lambda,ant,7
38,1687028902.2633677,707.500244140625,1031.8817138671875,1021.1720581054688,844.6582641601562,963.30029296875,4.764004707336426,1034.06103515625,38,0,997.538818359375,38,213.20970153808594,204.51673555374146,cgp,mu+lambda,ant,7
39,1687028907.0561256,704.0767822265625,1034.7313232421875,1019.8580322265625,820.05078125,922.0751953125,4.774196147918701,1035.633544921875,39,0,997.6666259765625,39,219.94288635253906,209.30949354171753,cgp,mu+lambda,ant,7
40,1687028911.8464732,719.7398681640625,1035.86279296875,1032.1748046875,856.6793823242188,985.9088745117188,4.772189140319824,1037.7650146484375,40,0,997.8432006835938,40,241.1001739501953,214.0998411178589,cgp,mu+lambda,ant,7
41,1687028916.630317,706.6271362304688,1032.421875,1030.908935546875,829.4090576171875,985.6849365234375,4.764904022216797,1036.35693359375,41,0,998.2537841796875,41,254.62118530273438,218.88368487358093,cgp,mu+lambda,ant,7
42,1687028921.413694,708.018798828125,1033.7169189453125,1033.4580078125,873.3641967773438,981.888916015625,4.7647175788879395,1034.9986572265625,42,0,998.1010131835938,42,173.49642944335938,223.6670618057251,cgp,mu+lambda,ant,7
43,1687028926.2324314,720.1624145507812,1030.7542724609375,1029.259521484375,852.591064453125,994.0874633789062,4.801171779632568,1034.2115478515625,43,0,998.24560546875,43,231.6668243408203,228.48579931259155,cgp,mu+lambda,ant,7
44,1687028931.0478356,706.0146484375,1031.4091796875,1025.710693359375,834.1873779296875,929.31005859375,4.796490669250488,1036.190185546875,44,0,997.8087768554688,44,200.2882843017578,233.3012034893036,cgp,mu+lambda,ant,7
45,1687028935.8631868,702.5139770507812,1032.8094482421875,1032.659423828125,842.2249145507812,954.367919921875,4.79718542098999,1035.7901611328125,45,0,997.9365844726562,45,217.51565551757812,238.11655473709106,cgp,mu+lambda,ant,7
46,1687028940.6761682,709.664794921875,1031.3397216796875,1030.488525390625,856.2788696289062,935.3011474609375,4.794768333435059,1033.921142578125,46,0,996.8020629882812,46,180.196533203125,242.92953610420227,cgp,mu+lambda,ant,7
47,1687028945.4907835,707.50390625,1034.6263427734375,1031.17724609375,854.5548095703125,985.6553955078125,4.795547962188721,1035.1484375,47,0,998.53076171875,47,209.5811004638672,247.74415135383606,cgp,mu+lambda,ant,7
48,1687028950.3031235,701.680908203125,1035.093505859375,1033.1348876953125,820.397705078125,908.277587890625,4.793670177459717,1035.9669189453125,48,0,998.1510009765625,48,226.50979614257812,252.55649137496948,cgp,mu+lambda,ant,7
49,1687028955.1156638,706.759521484375,1032.5303955078125,1029.8765869140625,847.0366821289062,970.2008056640625,4.793458461761475,1034.881103515625,49,0,997.3399047851562,49,221.96743774414062,257.36903166770935,cgp,mu+lambda,ant,7
50,1687028959.9307399,705.6535034179688,1030.215087890625,1028.4166259765625,824.0817260742188,935.6279296875,4.796791076660156,1036.2808837890625,50,0,997.9091796875,50,247.09646606445312,262.18410778045654,cgp,mu+lambda,ant,7
51,1687028964.7459397,706.3165283203125,1032.022705078125,1027.4090576171875,842.752197265625,945.7843017578125,4.795936584472656,1034.5101318359375,51,0,997.8868408203125,51,218.33428955078125,266.9993076324463,cgp,mu+lambda,ant,7
52,1687028969.5589077,750.3280639648438,1033.7103271484375,1031.8721923828125,877.486083984375,978.2283325195312,4.79416036605835,1036.3165283203125,52,0,998.182373046875,52,172.30796813964844,271.81227564811707,cgp,mu+lambda,ant,7
53,1687028974.3691962,705.9320068359375,1034.2056884765625,1033.8031005859375,840.0053100585938,894.8314208984375,4.7928547859191895,1034.400146484375,53,0,997.4262084960938,53,188.3174591064453,276.6225640773773,cgp,mu+lambda,ant,7
54,1687028979.1824338,707.3302612304688,1035.0814208984375,1033.450439453125,844.2427368164062,972.7153930664062,4.7947773933410645,1035.696044921875,54,0,997.48486328125,54,243.5854949951172,281.43580174446106,cgp,mu+lambda,ant,7
55,1687028983.994384,702.540771484375,1035.21484375,1033.5595703125,814.7386474609375,946.7884521484375,4.792949676513672,1038.6024169921875,55,0,997.9534912109375,55,282.4621276855469,286.24775195121765,cgp,mu+lambda,ant,7
56,1687028988.8023539,712.2877197265625,1035.384765625,1034.9892578125,852.626220703125,966.1923217773438,4.790248394012451,1035.47509765625,56,0,1016.04736328125,56,230.03086853027344,291.05572175979614,cgp,mu+lambda,ant,7
57,1687028993.6158993,700.5475463867188,1036.237548828125,1036.003662109375,829.2283935546875,947.6304931640625,4.794564723968506,1038.569580078125,57,0,1001.7470092773438,57,238.76280212402344,295.8692672252655,cgp,mu+lambda,ant,7
58,1687028998.426282,703.6823120117188,1033.4139404296875,1032.731689453125,845.501708984375,937.0765991210938,4.791832447052002,1035.59228515625,58,0,996.773681640625,58,193.86178588867188,300.6796498298645,cgp,mu+lambda,ant,7
59,1687029003.2353299,702.5306396484375,1034.7857666015625,1034.5423583984375,825.0416870117188,924.3316650390625,4.791154861450195,1035.5537109375,59,0,998.032470703125,59,219.45472717285156,305.4886977672577,cgp,mu+lambda,ant,7
60,1687029008.053443,708.2008056640625,1034.2049560546875,1033.8580322265625,843.6619873046875,944.6588745117188,4.788013458251953,1035.1812744140625,60,0,996.8856201171875,60,223.40719604492188,310.3068108558655,cgp,mu+lambda,ant,7
61,1687029012.8777173,679.0685424804688,1034.145751953125,1033.3421630859375,814.1585693359375,946.4532470703125,4.789919376373291,1034.6033935546875,61,0,997.2960205078125,61,248.1146240234375,315.1310851573944,cgp,mu+lambda,ant,7
62,1687029017.695935,696.2889404296875,1033.0743408203125,1033.04248046875,825.130126953125,950.042236328125,4.78546142578125,1036.1751708984375,62,0,996.8873291015625,62,249.44818115234375,319.9493029117584,cgp,mu+lambda,ant,7
63,1687029022.5115407,702.1402587890625,1035.8275146484375,1035.318359375,840.4549560546875,962.618896484375,4.797482013702393,1036.091796875,63,0,997.434326171875,63,229.46560668945312,324.7649085521698,cgp,mu+lambda,ant,7
64,1687029027.3266532,693.876953125,1034.157470703125,1033.9501953125,842.7801513671875,966.416748046875,4.796509742736816,1036.2745361328125,64,0,1023.5697631835938,64,210.7499542236328,329.5800211429596,cgp,mu+lambda,ant,7
65,1687029032.1444116,825.5828857421875,1034.8480224609375,1034.747802734375,882.0531005859375,984.3863525390625,4.799938678741455,1035.19140625,65,0,1018.92724609375,65,201.30963134765625,334.3977794647217,cgp,mu+lambda,ant,7
66,1687029036.958804,847.8439331054688,1035.9246826171875,1035.78564453125,894.7637329101562,989.2855224609375,4.795792102813721,1035.9931640625,66,0,1005.7162475585938,66,172.79884338378906,339.212171792984,cgp,mu+lambda,ant,7
67,1687029041.7746043,746.2819213867188,1036.6314697265625,1034.35107421875,871.0701293945312,955.169921875,4.797828674316406,1036.8511962890625,67,0,996.9259033203125,67,188.7633514404297,344.0279722213745,cgp,mu+lambda,ant,7
68,1687029046.5894184,762.3338623046875,1034.2662353515625,1033.968017578125,877.5538330078125,949.3685302734375,4.797079563140869,1035.396484375,68,0,996.5045776367188,68,166.40379333496094,348.84278631210327,cgp,mu+lambda,ant,7
69,1687029051.403508,722.97802734375,1035.381591796875,1034.8717041015625,881.6448974609375,970.8974609375,4.795806884765625,1036.87255859375,69,0,997.265869140625,69,169.68226623535156,353.65687584877014,cgp,mu+lambda,ant,7
70,1687029056.2190304,687.5873413085938,1035.854736328125,1034.7703857421875,821.556396484375,945.7783813476562,4.797202110290527,1036.181640625,70,0,997.5792846679688,70,229.84136962890625,358.4723982810974,cgp,mu+lambda,ant,7
71,1687029061.0344021,709.6054077148438,1034.8619384765625,1034.635498046875,874.6409301757812,982.9766235351562,4.797800064086914,1035.337158203125,71,0,1013.571533203125,71,200.0933074951172,363.2877700328827,cgp,mu+lambda,ant,7
72,1687029065.8480349,710.1419067382812,1035.391845703125,1034.7708740234375,861.802490234375,984.06201171875,4.795801162719727,1035.80859375,72,0,1000.45947265625,72,219.56900024414062,368.101402759552,cgp,mu+lambda,ant,7
73,1687029070.664635,811.7769165039062,1034.7197265625,1034.499267578125,893.4702758789062,980.7200927734375,4.795425891876221,1035.87841796875,73,0,997.0877685546875,73,165.0430145263672,372.9180028438568,cgp,mu+lambda,ant,7
74,1687029075.4841566,755.7322387695312,1035.481689453125,1033.9608154296875,868.880615234375,975.5595703125,4.796004772186279,1035.6444091796875,74,0,1000.5801391601562,74,201.54074096679688,377.73752450942993,cgp,mu+lambda,ant,7
75,1687029080.3087661,706.3448486328125,1035.6051025390625,1035.1585693359375,845.6507568359375,956.943603515625,4.802751064300537,1036.2261962890625,75,0,1007.7583618164062,75,223.41197204589844,382.5621340274811,cgp,mu+lambda,ant,7
76,1687029085.1256661,718.4994506835938,1034.235107421875,1033.892578125,857.0803833007812,948.7176513671875,4.789767265319824,1035.8895263671875,76,0,996.77880859375,76,208.05007934570312,387.3790340423584,cgp,mu+lambda,ant,7
77,1687029089.9443126,708.008056640625,1035.4320068359375,1034.2593994140625,861.6775512695312,952.2896728515625,4.796156883239746,1035.844970703125,77,0,997.0430297851562,77,201.99818420410156,392.19768047332764,cgp,mu+lambda,ant,7
78,1687029094.74577,709.7965087890625,1034.794921875,1033.655029296875,866.8538208007812,970.92041015625,4.773925304412842,1036.775390625,78,0,1026.434326171875,78,200.44676208496094,396.99913787841797,cgp,mu+lambda,ant,7
79,1687029099.5375075,824.3265991210938,1034.993896484375,1034.261474609375,887.5491943359375,983.338134765625,4.763173580169678,1035.889892578125,79,0,1005.1849365234375,79,190.28045654296875,401.7908754348755,cgp,mu+lambda,ant,7
80,1687029104.326908,706.896728515625,1034.796875,1033.8927001953125,857.7575073242188,949.6384887695312,4.761500835418701,1035.766845703125,80,0,997.0726318359375,80,204.6812744140625,406.58027601242065,cgp,mu+lambda,ant,7
81,1687029109.1259627,708.2777709960938,1033.337890625,1033.2713623046875,858.6082763671875,939.298583984375,4.772713661193848,1035.6357421875,81,0,997.5653686523438,81,201.99542236328125,411.3793306350708,cgp,mu+lambda,ant,7
82,1687029113.9460065,711.770751953125,1036.0452880859375,1035.2001953125,859.400390625,961.8343505859375,4.797759532928467,1037.36279296875,82,0,1021.3043212890625,82,208.1461181640625,416.19937443733215,cgp,mu+lambda,ant,7
83,1687029118.7626097,811.521728515625,1036.0528564453125,1035.85986328125,893.758056640625,968.5489501953125,4.7950873374938965,1097.421142578125,83,0,997.388916015625,83,164.4333038330078,421.0159776210785,cgp,mu+lambda,ant,7
84,1687029123.5672233,707.8511352539062,1036.4676513671875,1036.4388427734375,871.2852783203125,959.7901611328125,4.760092258453369,1078.8629150390625,84,0,1005.4864501953125,84,199.5936737060547,425.82059121131897,cgp,mu+lambda,ant,7
85,1687029128.3584785,779.236572265625,1051.63671875,1037.3966064453125,887.893310546875,983.3275146484375,4.773813724517822,1062.3841552734375,85,0,1022.906005859375,85,182.59207153320312,430.61184644699097,cgp,mu+lambda,ant,7
86,1687029133.1462634,705.572509765625,1095.855224609375,1037.396728515625,857.0480346679688,939.4378662109375,4.770650386810303,1123.78759765625,86,0,996.6588745117188,86,187.33897399902344,435.39963126182556,cgp,mu+lambda,ant,7
87,1687029137.9362478,685.795654296875,1037.54443359375,1036.8326416015625,833.2373046875,936.8539428710938,4.773894786834717,1071.92529296875,87,0,996.60107421875,87,222.35037231445312,440.18961572647095,cgp,mu+lambda,ant,7
88,1687029142.722913,715.70361328125,1076.0655517578125,1062.849365234375,864.833740234375,945.2366943359375,4.769496917724609,1111.2716064453125,88,0,1028.6954345703125,88,201.1786651611328,444.9762809276581,cgp,mu+lambda,ant,7
89,1687029147.5087612,724.7421264648438,1086.1864013671875,1078.2562255859375,869.246826171875,972.22265625,4.767951488494873,1105.9722900390625,89,0,1020.00830078125,89,219.1121368408203,449.76212906837463,cgp,mu+lambda,ant,7
90,1687029152.2934365,707.6849975585938,1082.0172119140625,1050.8477783203125,861.1293334960938,953.4927978515625,4.768640995025635,1118.0662841796875,90,0,1021.5995483398438,90,210.8931427001953,454.5468044281006,cgp,mu+lambda,ant,7
91,1687029157.073071,705.93408203125,1088.0322265625,1081.8927001953125,875.0319213867188,976.8197021484375,4.762624740600586,1090.695068359375,91,0,1028.2203369140625,91,193.45411682128906,459.3264389038086,cgp,mu+lambda,ant,7
92,1687029161.8532085,772.7018432617188,1106.5948486328125,1103.723388671875,884.3652954101562,972.2813110351562,4.763064384460449,1115.8623046875,92,0,1029.302978515625,92,208.32272338867188,464.1065764427185,cgp,mu+lambda,ant,7
93,1687029166.6329756,701.0296020507812,1110.078369140625,1105.6326904296875,845.675537109375,921.4694213867188,4.763370037078857,1116.9068603515625,93,0,1005.1810302734375,93,224.98956298828125,468.8863434791565,cgp,mu+lambda,ant,7
94,1687029171.4115472,705.2886962890625,1117.9180908203125,1112.1947021484375,860.2459106445312,933.87255859375,4.761301040649414,1124.1876220703125,94,0,1015.6883544921875,94,211.4373016357422,473.66491508483887,cgp,mu+lambda,ant,7
95,1687029176.1931624,695.8894653320312,1110.748779296875,1106.565673828125,838.841796875,910.0160522460938,4.763723850250244,1120.882568359375,95,0,1017.5616455078125,95,213.49237060546875,478.44653034210205,cgp,mu+lambda,ant,7
96,1687029180.9722989,709.8533935546875,1118.878662109375,1116.4674072265625,857.8084716796875,941.5662841796875,4.762820243835449,1122.4476318359375,96,0,996.9781494140625,96,223.8007049560547,483.2256667613983,cgp,mu+lambda,ant,7
97,1687029185.7500906,704.560791015625,1116.20361328125,1111.1282958984375,862.3541870117188,949.375244140625,4.760672569274902,1122.8316650390625,97,0,1005.0792236328125,97,242.3710174560547,488.00345849990845,cgp,mu+lambda,ant,7
98,1687029190.5297778,771.4867553710938,1113.4407958984375,1112.1998291015625,893.1105346679688,965.4928588867188,4.762349605560303,1115.4368896484375,98,0,1003.6619873046875,98,180.7989501953125,492.78314566612244,cgp,mu+lambda,ant,7
99,1687029195.3105462,679.6007080078125,1113.8629150390625,1113.46142578125,816.1763305664062,889.2159423828125,4.762010097503662,1128.8961181640625,99,0,990.9642333984375,99,241.88047790527344,497.56391406059265,cgp,mu+lambda,ant,7
100,1687029200.0905433,730.4002685546875,1124.8497314453125,1121.808837890625,885.5491333007812,967.1099243164062,4.76346492767334,1125.3046875,100,0,1047.555419921875,100,204.64796447753906,502.3439111709595,cgp,mu+lambda,ant,7
101,1687029204.870156,703.69873046875,1113.2381591796875,1112.3370361328125,854.1063232421875,908.1181640625,4.764260768890381,1113.4085693359375,101,0,996.1475830078125,101,204.8601531982422,507.1235239505768,cgp,mu+lambda,ant,7
102,1687029209.6515884,701.0684814453125,1109.9588623046875,1108.781494140625,863.7471923828125,959.4356689453125,4.765527248382568,1113.06689453125,102,0,997.7359619140625,102,226.05714416503906,511.9049563407898,cgp,mu+lambda,ant,7
103,1687029214.4302652,717.1279907226562,1119.67529296875,1118.0838623046875,871.578125,932.57861328125,4.763453960418701,1122.501220703125,103,0,1012.7821044921875,103,197.73251342773438,516.6836330890656,cgp,mu+lambda,ant,7
104,1687029219.2098765,693.2041015625,1114.4710693359375,1113.0709228515625,834.9385986328125,897.5040893554688,4.76392126083374,1116.5655517578125,104,0,1034.992919921875,104,244.77159118652344,521.4632444381714,cgp,mu+lambda,ant,7
105,1687029223.992917,698.8143310546875,1116.3592529296875,1116.25537109375,860.42529296875,958.7992553710938,4.767273426055908,1116.682861328125,105,0,1057.693603515625,105,240.4208526611328,526.2462849617004,cgp,mu+lambda,ant,7
106,1687029228.7743094,703.0813598632812,1115.1708984375,1110.5040283203125,864.6094360351562,973.795654296875,4.766738414764404,1116.4063720703125,106,0,1055.1038818359375,106,243.27716064453125,531.0276772975922,cgp,mu+lambda,ant,7
107,1687029233.5569677,661.74755859375,1114.037109375,1110.69775390625,846.6876220703125,953.5582275390625,4.7661614418029785,1117.765380859375,107,0,1044.7794189453125,107,232.76951599121094,535.8103356361389,cgp,mu+lambda,ant,7
108,1687029238.3345132,754.517822265625,1110.1058349609375,1108.1148681640625,873.7297973632812,940.6255493164062,4.761467456817627,1116.5418701171875,108,0,1039.56982421875,108,215.15313720703125,540.5878810882568,cgp,mu+lambda,ant,7
109,1687029243.1120486,764.3237915039062,1120.5650634765625,1116.4298095703125,867.4883422851562,951.485595703125,4.762732028961182,1121.1163330078125,109,0,997.2102661132812,109,218.14508056640625,545.3654165267944,cgp,mu+lambda,ant,7
110,1687029247.893478,760.4287109375,1126.8282470703125,1117.1214599609375,849.3677368164062,938.9021606445312,4.763111114501953,1127.471435546875,110,0,1014.8785400390625,110,261.3280029296875,550.1468458175659,cgp,mu+lambda,ant,7
111,1687029252.7035658,704.645751953125,1114.330078125,1112.9678955078125,867.478759765625,967.3563232421875,4.793211936950684,1119.9869384765625,111,0,997.1452026367188,111,227.3584442138672,554.9569337368011,cgp,mu+lambda,ant,7
112,1687029257.5131786,810.0389404296875,1110.7686767578125,1109.2266845703125,898.64453125,962.07470703125,4.793338298797607,1117.03466796875,112,0,1051.3369140625,112,192.0363311767578,559.7665464878082,cgp,mu+lambda,ant,7
113,1687029262.322223,655.6251831054688,1112.878173828125,1112.5010986328125,832.1889038085938,915.0445556640625,4.792163848876953,1113.939453125,113,0,996.4478149414062,113,237.40478515625,564.5755908489227,cgp,mu+lambda,ant,7
114,1687029267.1295154,706.9978637695312,1115.9822998046875,1112.901123046875,853.70703125,942.0872802734375,4.789975166320801,1126.2904052734375,114,0,1006.4871826171875,114,224.57078552246094,569.382883310318,cgp,mu+lambda,ant,7
115,1687029271.9369733,705.471435546875,1113.7584228515625,1112.911865234375,862.46875,927.9581909179688,4.791952610015869,1128.5267333984375,115,0,1042.1868896484375,115,220.61268615722656,574.1903412342072,cgp,mu+lambda,ant,7
116,1687029276.742317,730.084228515625,1115.25048828125,1113.9805908203125,865.2858276367188,951.89111328125,4.788355350494385,1115.2508544921875,116,0,999.0884399414062,116,219.5580291748047,578.9956848621368,cgp,mu+lambda,ant,7
117,1687029281.55067,687.4278564453125,1113.184814453125,1109.2279052734375,832.38037109375,906.6773071289062,4.7916579246521,1116.6683349609375,117,0,999.5950927734375,117,274.3655700683594,583.804037809372,cgp,mu+lambda,ant,7
118,1687029286.359293,730.31787109375,1116.76416015625,1108.4146728515625,868.6759033203125,963.5010986328125,4.792745590209961,1117.3580322265625,118,0,1057.446533203125,118,234.61265563964844,588.6126608848572,cgp,mu+lambda,ant,7
119,1687029291.1670072,699.5601806640625,1112.5284423828125,1110.86181640625,833.717529296875,884.0965576171875,4.790462017059326,1121.6055908203125,119,0,996.768798828125,119,241.82730102539062,593.4203751087189,cgp,mu+lambda,ant,7
120,1687029295.9759302,722.5681762695312,1121.5340576171875,1120.879638671875,877.45703125,962.0848388671875,4.791937828063965,1123.5654296875,120,0,1054.190185546875,120,221.23785400390625,598.2292981147766,cgp,mu+lambda,ant,7
121,1687029300.781988,705.71533203125,1116.597900390625,1115.3233642578125,854.6978759765625,935.7120361328125,4.790302753448486,1116.7908935546875,121,0,1005.9237670898438,121,236.66656494140625,603.0353558063507,cgp,mu+lambda,ant,7
