,_timestamp,training.fitness_3q,training.top_k_fit.top_1_fit,training.top_k_fit.top_2_fit,training.fitness_mean,training.fitness_median,training.evaluation_time,training.top_k_fit.top_0_fit,_step,training.run_id,training.fitness_1q,training.generation,training.fitness_std,_runtime,solver,ea,environment,seed
0,1687028719.7066793,207.96981811523438,986.6602783203125,966.9973754882812,412.1799011230469,487.48828125,21.09882164001465,996.7739868164062,0,0,684.0807495117188,0,363.4295959472656,21.960047245025635,cgp,mu+lambda,ant,7
1,1687028724.6057327,636.9305419921875,996.8583984375,996.8526000976562,710.9945068359375,796.5560302734375,4.717080593109131,996.8919067382812,1,0,877.8978881835938,1,264.2171630859375,26.859100580215454,cgp,mu+lambda,ant,7
2,1687028729.3820827,696.7503051757812,997.09619140625,996.9605712890625,819.642822265625,900.170166015625,4.733303070068359,997.2833251953125,2,0,976.662109375,2,190.84823608398438,31.63545060157776,cgp,mu+lambda,ant,7
3,1687028734.1786306,664.7913818359375,997.0440673828125,996.9615478515625,796.9055786132812,877.6935424804688,4.7786664962768555,997.3887329101562,3,0,992.513916015625,3,224.7237548828125,36.43199849128723,cgp,mu+lambda,ant,7
4,1687028738.9685745,650.9791259765625,997.0764770507812,997.0718994140625,793.2098388671875,909.4694213867188,4.770661354064941,997.1293334960938,4,0,996.1011352539062,4,232.04800415039062,41.22194242477417,cgp,mu+lambda,ant,7
5,1687028743.7626739,624.0233154296875,997.21240234375,997.1924438476562,750.7664184570312,833.0504150390625,4.774111270904541,997.3087768554688,5,0,996.4392700195312,5,284.33477783203125,46.01604175567627,cgp,mu+lambda,ant,7
6,1687028748.5570748,624.4373779296875,997.2388916015625,997.1904296875,777.9963989257812,931.7564086914062,4.776088714599609,997.2945556640625,6,0,996.806884765625,6,278.2434997558594,50.81044268608093,cgp,mu+lambda,ant,7
7,1687028753.3517017,674.9894409179688,997.2080688476562,997.1574096679688,808.6137084960938,944.32763671875,4.775566577911377,997.4761962890625,7,0,996.762939453125,7,263.7834777832031,55.605069637298584,cgp,mu+lambda,ant,7
8,1687028758.1440787,689.4839477539062,997.3179931640625,997.2623291015625,792.0274658203125,881.5344848632812,4.773036479949951,997.5338134765625,8,0,996.7666625976562,8,247.78668212890625,60.397446632385254,cgp,mu+lambda,ant,7
9,1687028762.9347441,697.8775024414062,997.6417236328125,997.4456176757812,804.2353515625,930.784912109375,4.771641254425049,997.7393188476562,9,0,996.8023681640625,9,268.7666931152344,65.18811202049255,cgp,mu+lambda,ant,7
10,1687028767.7247145,708.1268310546875,997.6412353515625,997.5685424804688,823.4515991210938,977.0370483398438,4.7700581550598145,998.1465454101562,10,0,996.8687133789062,10,276.2825012207031,69.97808241844177,cgp,mu+lambda,ant,7
11,1687028772.5161822,706.7576904296875,997.4673461914062,997.4468994140625,822.0765991210938,951.9171142578125,4.770665645599365,997.528564453125,11,0,996.7672729492188,11,249.4060821533203,74.76955008506775,cgp,mu+lambda,ant,7
12,1687028777.3047721,702.5965576171875,998.066162109375,997.930419921875,822.6976928710938,938.1190185546875,4.770449161529541,998.5234375,12,0,996.9923706054688,12,232.45462036132812,79.55814003944397,cgp,mu+lambda,ant,7
13,1687028782.0952573,682.5418701171875,998.4562377929688,998.2745971679688,819.21875,950.9199829101562,4.773277282714844,998.5037231445312,13,0,997.0565185546875,13,230.25372314453125,84.34862518310547,cgp,mu+lambda,ant,7
14,1687028786.8871286,705.8067016601562,998.2377319335938,998.1734619140625,833.6046752929688,914.988525390625,4.775479316711426,998.3845825195312,14,0,997.181396484375,14,205.74322509765625,89.14049649238586,cgp,mu+lambda,ant,7
15,1687028791.6785052,707.355712890625,998.2351684570312,998.091796875,847.541259765625,955.572021484375,4.774016857147217,998.2728271484375,15,0,997.0286865234375,15,192.77259826660156,93.93187308311462,cgp,mu+lambda,ant,7
