,training.fitness_1q,training.fitness_mean,training.generation,training.fitness_std,training.top_k_reward.top_0_reward,_timestamp,training.run_id,training.fitness_3q,training.evaluation_time,training.top_k_fit.top_1_fit,_step,_runtime,training.fitness_median,training.top_k_fit.top_0_fit,training.top_k_fit.top_2_fit,training.top_k_reward.top_1_reward,training.top_k_reward.top_2_reward,solver,ea,fitness,environment,seed,training.evaluation
0,0.6099948883056641,0.37359610199928284,0,0.6736190319061279,182.77410888671875,1687674135.796152,2,0.06840764731168747,41.36070251464844,2.3532984256744385,0,44.90476322174072,0.3562068045139313,3.3624508380889893,1.7625616788864136,265.8673400878906,371.0943298339844,cgp-large,mu+lambda,distance,humanoid,2,0
1,1.1077786684036255,0.6973556876182556,1,0.5704177618026733,259.4523620605469,1687674156.5694215,2,0.36282509565353394,20.577655792236328,1.9006344079971313,1,65.67803263664246,0.6102852821350098,1.9820717573165894,1.7683082818984985,246.2818145751953,238.29441833496094,cgp-large,mu+lambda,distance,humanoid,2,100
2,1.0979607105255127,0.7021520733833313,2,0.6936385631561279,195.55792236328125,1687674177.333013,2,0.3146112561225891,20.70992088317871,2.3236641883850098,2,86.4416241645813,0.6325494050979614,2.9932775497436523,2.2192459106445312,310.97607421875,207.26129150390625,cgp-large,mu+lambda,distance,humanoid,2,200
3,1.2026273012161255,0.778260350227356,3,0.7256373167037964,441.8747253417969,1687674197.9456573,2,0.3578551709651947,20.559967041015625,3.0372955799102783,3,107.05426836013794,0.6875729560852051,3.3971006870269775,2.979717493057251,302.27935791015625,227.00192260742188,cgp-large,mu+lambda,distance,humanoid,2,300
4,1.108812689781189,0.7500901818275452,4,0.7197257280349731,170.15286254882812,1687674218.7106748,2,0.41278547048568726,20.73557472229004,2.1232006549835205,4,127.81928586959839,0.7209844589233398,2.4420878887176514,2.0514633655548096,299.563232421875,175.14097595214844,cgp-large,mu+lambda,distance,humanoid,2,400
5,1.4197123050689697,0.8705253601074219,5,0.6604923009872437,227.8358612060547,1687674239.1909406,2,0.3741419315338135,20.436885833740234,2.0704591274261475,5,148.29955172538757,0.9082636833190918,2.087080240249634,2.068646192550659,315.2024230957031,255.1407012939453,cgp-large,mu+lambda,distance,humanoid,2,500
6,0.9867388010025024,0.6710968017578125,6,0.6755169034004211,210.70950317382812,1687674259.944477,2,0.2835071086883545,20.70235824584961,2.3225884437561035,6,169.0530881881714,0.6177390813827515,2.6006417274475098,2.0666728019714355,204.1870880126953,321.16656494140625,cgp-large,mu+lambda,distance,humanoid,2,600
7,1.4683153629302979,0.9363856315612793,7,0.6602157950401306,220.6268310546875,1687674280.436738,2,0.5035527944564819,20.47109031677246,2.1897904872894287,7,189.54534912109375,0.8789139986038208,2.2157413959503174,2.063620090484619,285.529541015625,194.3159942626953,cgp-large,mu+lambda,distance,humanoid,2,700
8,1.292456030845642,0.8875535130500793,8,0.7355079650878906,106.81736755371094,1687674301.2057602,2,0.40134695172309875,20.744691848754883,3.4256300926208496,8,210.31437134742737,0.8258215188980103,3.436725616455078,3.1266863346099854,198.7129669189453,193.26644897460938,cgp-large,mu+lambda,distance,humanoid,2,800
9,1.5090436935424805,0.8391326665878296,9,0.8561320304870605,254.58648681640625,1687674321.7762218,2,0.34971123933792114,20.547237396240234,2.8855326175689697,9,230.8848328590393,0.7863565683364868,3.007939577102661,2.6160569190979004,192.5289764404297,225.89463806152344,cgp-large,mu+lambda,distance,humanoid,2,900
