,_step,training.fitness_1q,training.evaluation_time,training.top_k_fit.top_1_fit,training.run_id,training.generation,_timestamp,training.fitness_3q,training.fitness_mean,training.top_k_fit.top_0_fit,_runtime,training.fitness_std,training.fitness_median,training.top_k_fit.top_2_fit,solver,ea,fitness,environment,seed,training.evaluation,training.top_k_reward.top_0_reward,training.top_k_reward.top_1_reward,training.top_k_reward.top_2_reward
0,0,89.26416778564453,14.914569854736328,370.5852966308594,3,0,1687171356.5365405,31.88823699951172,81.68794250488281,599.014892578125,15.97953748703003,87.2913818359375,57.65677261352539,314.82354736328125,lgp,mu+lambda,reward,hopper,3,0,599.014892578125,370.5852966308594,314.82354736328125
1,1,168.37648010253906,1.4140719175338745,271.1069030761719,3,1,1687171358.0940468,51.869571685791016,110.86597442626953,290.8284606933594,17.537043809890747,86.42950439453125,95.0016860961914,269.1640319824219,lgp,mu+lambda,reward,hopper,3,100,290.8284606933594,271.1069030761719,269.1640319824219
2,2,213.37869262695312,1.4147555828094482,627.4530029296875,3,2,1687171359.5273108,48.527469635009766,131.79046630859375,644.6256713867188,18.97030782699585,110.42295837402344,103.03842163085938,270.6083984375,lgp,mu+lambda,reward,hopper,3,200,644.6256713867188,627.4530029296875,270.6083984375
3,3,230.08078002929688,1.415324091911316,639.4417114257812,3,3,1687171360.9611554,64.42860412597656,155.12136840820312,987.3358764648438,20.404152393341064,135.82952880859375,130.65127563476562,396.65594482421875,lgp,mu+lambda,reward,hopper,3,300,987.3358764648438,639.4417114257812,396.65594482421875
4,4,222.5224609375,1.4148643016815186,389.98876953125,3,4,1687171362.3941157,54.12689971923828,146.2541961669922,981.2642211914062,21.83711266517639,131.8641815185547,103.99844360351562,383.5153503417969,lgp,mu+lambda,reward,hopper,3,400,981.2642211914062,389.98876953125,383.5153503417969
5,5,226.41763305664062,1.4143438339233398,528.7880249023438,3,5,1687171363.8268135,50.32881164550781,154.74630737304688,938.1117553710938,23.269810438156128,139.02023315429688,122.11460876464844,431.92449951171875,lgp,mu+lambda,reward,hopper,3,500,938.1117553710938,528.7880249023438,431.92449951171875
6,6,244.50662231445312,1.4123163223266602,413.5008850097656,3,6,1687171365.2579358,79.24768829345703,187.35023498535156,978.8370361328125,24.70093274116516,134.91810607910156,197.35891723632812,394.4174499511719,lgp,mu+lambda,reward,hopper,3,600,978.8370361328125,413.5008850097656,394.4174499511719
7,7,264.2048645019531,1.4154176712036133,395.95965576171875,3,7,1687171366.6915705,83.82667541503906,191.7561492919922,972.4932861328125,26.134567499160767,133.49307250976562,204.4425048828125,390.3274230957031,lgp,mu+lambda,reward,hopper,3,700,972.4932861328125,395.95965576171875,390.3274230957031
8,8,339.63311767578125,1.4154518842697144,988.067626953125,3,8,1687171368.1254692,62.28502655029297,232.4540252685547,992.2980346679688,27.568466186523438,219.894775390625,187.3359832763672,986.3150634765625,lgp,mu+lambda,reward,hopper,3,800,992.2980346679688,988.067626953125,986.3150634765625
9,9,350.534423828125,1.4151108264923096,991.2482299804688,3,9,1687171369.5582535,60.297767639160156,262.6433410644531,997.424560546875,29.001250505447388,273.5458679199219,203.93038940429688,989.654296875,lgp,mu+lambda,reward,hopper,3,900,997.424560546875,991.2482299804688,989.654296875
10,10,421.71331787109375,1.4131418466567993,996.773681640625,3,10,1687171370.9896822,84.93303680419922,347.7845153808594,998.775634765625,30.432679176330566,343.5524597167969,209.22479248046875,995.9357299804688,lgp,mu+lambda,reward,hopper,3,1000,998.775634765625,996.773681640625,995.9357299804688
11,11,759.1513671875,1.4151333570480347,998.4976196289062,3,11,1687171372.4228017,44.781333923339844,325.4252624511719,1000.3421630859375,31.865798711776733,384.7357482910156,95.58560180664062,998.0700073242188,lgp,mu+lambda,reward,hopper,3,1100,1000.3421630859375,998.4976196289062,998.0700073242188
12,12,952.06201171875,1.4147831201553345,1006.2764892578125,3,12,1687171373.8555622,72.28646850585938,409.7584228515625,1013.4222412109375,33.29855918884277,406.90789794921875,200.848876953125,1003.0100708007812,lgp,mu+lambda,reward,hopper,3,1200,1013.4222412109375,1006.2764892578125,1003.0100708007812
13,13,962.8214111328125,1.4150111675262451,1002.3811645507812,3,13,1687171375.2928576,60.73919677734375,378.9205322265625,1003.6306762695312,34.735854625701904,407.1794738769531,124.18016052246094,1001.0534057617188,lgp,mu+lambda,reward,hopper,3,1300,1003.6306762695312,1002.3811645507812,1001.0534057617188
14,14,988.79052734375,1.421878457069397,1007.0713500976562,3,14,1687171376.7339454,74.81246948242188,396.591552734375,1009.7332763671875,36.176942348480225,402.89154052734375,204.34950256347656,1005.244140625,lgp,mu+lambda,reward,hopper,3,1400,1009.7332763671875,1007.0713500976562,1005.244140625
15,15,997.252685546875,1.420983910560608,1009.2886352539062,3,15,1687171378.1737983,84.23098754882812,417.04339599609375,1011.88671875,37.61679530143738,415.397216796875,186.83621215820312,1009.1007080078125,lgp,mu+lambda,reward,hopper,3,1500,1011.88671875,1009.2886352539062,1009.1007080078125
16,16,997.9503784179688,1.4244989156723022,1012.6908569335938,3,16,1687171379.6145465,67.6932373046875,407.9521789550781,1013.0736083984375,39.05754351615906,419.0196228027344,166.03570556640625,1011.2987060546875,lgp,mu+lambda,reward,hopper,3,1600,1013.0736083984375,1012.6908569335938,1011.2987060546875
17,17,998.12451171875,1.4283841848373413,1010.7179565429688,3,17,1687171381.0591025,63.861061096191406,390.885498046875,1011.263671875,40.50209951400757,417.8392333984375,166.97116088867188,1010.558837890625,lgp,mu+lambda,reward,hopper,3,1700,1011.263671875,1010.7179565429688,1010.558837890625
18,18,994.8790893554688,1.431442379951477,1009.8888549804688,3,18,1687171382.507183,71.6759033203125,374.3070983886719,1011.3778076171875,41.95018005371094,401.472900390625,171.16162109375,1009.3936157226562,lgp,mu+lambda,reward,hopper,3,1800,1011.3778076171875,1009.8888549804688,1009.3936157226562
19,19,999.8629150390625,1.4260777235031128,1011.4036865234375,3,19,1687171383.9492962,72.51551818847656,434.53570556640625,1012.8897705078125,43.392293214797974,429.39892578125,179.7427215576172,1011.3587036132812,lgp,mu+lambda,reward,hopper,3,1900,1012.8897705078125,1011.4036865234375,1011.3587036132812
20,20,1000.9771728515625,1.4271061420440674,1014.666259765625,3,20,1687171385.3926268,57.25457763671875,405.9400329589844,1014.8228759765625,44.8356237411499,436.9470520019531,117.44572448730469,1012.6287841796875,lgp,mu+lambda,reward,hopper,3,2000,1014.8228759765625,1014.666259765625,1012.6287841796875
21,21,1002.7073974609375,1.4325822591781616,1013.8828125,3,21,1687171386.8449285,55.071903228759766,390.3188171386719,1023.2406616210938,46.287925481796265,420.4883728027344,161.14453125,1012.9395751953125,lgp,mu+lambda,reward,hopper,3,2100,1023.2406616210938,1013.8828125,1012.9395751953125
22,22,1000.0010375976562,1.4086076021194458,1012.0428466796875,3,22,1687171388.2775772,64.08612823486328,371.9151611328125,1014.8677368164062,47.720574140548706,410.8895263671875,158.77410888671875,1011.0631713867188,lgp,mu+lambda,reward,hopper,3,2200,1014.8677368164062,1012.0428466796875,1011.0631713867188
23,23,1006.6500854492188,1.414325475692749,1013.9939575195312,3,23,1687171389.71001,62.72327423095703,395.7986755371094,1014.1138916015625,49.15300703048706,441.6209411621094,110.60929107666016,1013.269287109375,lgp,mu+lambda,reward,hopper,3,2300,1014.1138916015625,1013.9939575195312,1013.269287109375
24,24,414.40264892578125,1.4104527235031128,1013.1469116210938,3,24,1687171391.1432858,51.741371154785156,319.12615966796875,1023.6478271484375,50.58628273010254,400.79229736328125,96.63688659667969,1012.4932250976562,lgp,mu+lambda,reward,hopper,3,2400,1023.6478271484375,1013.1469116210938,1012.4932250976562
25,25,1006.5385131835938,1.4122774600982666,1014.543212890625,3,25,1687171392.5770135,70.63172912597656,412.9760437011719,1015.6340942382812,52.020010471343994,422.5342102050781,184.05982971191406,1013.5606079101562,lgp,mu+lambda,reward,hopper,3,2500,1015.6340942382812,1014.543212890625,1013.5606079101562
26,26,1006.3035278320312,1.4076387882232666,1014.5194091796875,3,26,1687171394.0061986,51.095001220703125,419.17999267578125,1014.8204345703125,53.44919562339783,431.27215576171875,185.7476806640625,1014.0457763671875,lgp,mu+lambda,reward,hopper,3,2600,1014.8204345703125,1014.5194091796875,1014.0457763671875
27,27,1006.9884643554688,1.4106032848358154,1013.4194946289062,3,27,1687171395.4381406,67.60908508300781,429.4275817871094,1014.0139770507812,54.88113760948181,435.4562683105469,191.87962341308594,1012.55859375,lgp,mu+lambda,reward,hopper,3,2700,1014.0139770507812,1013.4194946289062,1012.55859375
28,28,1007.8326416015625,1.4112797975540161,1015.5308837890625,3,28,1687171396.8717442,51.28297805786133,380.3425598144531,1016.0819702148438,56.314741134643555,435.2001953125,99.7589111328125,1013.0839233398438,lgp,mu+lambda,reward,hopper,3,2800,1016.0819702148438,1015.5308837890625,1013.0839233398438
29,29,1006.9983520507812,1.4118459224700928,1011.3629150390625,3,29,1687171398.3053017,68.50809478759766,446.79052734375,1014.25341796875,57.74829864501953,438.927978515625,188.48056030273438,1011.2619018554688,lgp,mu+lambda,reward,hopper,3,2900,1014.25341796875,1011.3629150390625,1011.2619018554688
30,30,1007.4270629882812,1.4113717079162598,1014.3980712890625,3,30,1687171399.7384133,54.1415901184082,403.8365173339844,1017.149169921875,59.18141031265259,435.1595153808594,134.7371368408203,1013.6694946289062,lgp,mu+lambda,reward,hopper,3,3000,1017.149169921875,1014.3980712890625,1013.6694946289062
31,31,1005.25830078125,1.4111573696136475,1015.4401245117188,3,31,1687171401.171696,71.32209777832031,400.3026123046875,1019.7880249023438,60.61469292640686,418.0777587890625,155.874267578125,1014.6774291992188,lgp,mu+lambda,reward,hopper,3,3100,1019.7880249023438,1015.4401245117188,1014.6774291992188
32,32,1006.1649780273438,1.4120227098464966,1012.8759155273438,3,32,1687171402.60534,65.75247192382812,420.3072814941406,1013.7490234375,62.04833698272705,432.0906066894531,131.34771728515625,1012.5205078125,lgp,mu+lambda,reward,hopper,3,3200,1013.7490234375,1012.8759155273438,1012.5205078125
