,training.top_k_forward_reward.top_1_forward_reward,training.top_k_reward.top_1_reward,training.top_k_ctrl_reward.top_0_ctrl_reward,_step,_runtime,training.run_id,training.top_k_fit.top_2_fit,training.evaluation_time,training.top_k_healthy_reward.top_0_healthy_reward,training.fitness_std,training.top_k_fit.top_1_fit,training.top_k_reward.top_2_reward,training.fitness_mean,training.top_k_forward_reward.top_2_forward_reward,training.fitness_1q,training.top_k_reward.top_0_reward,training.top_k_healthy_reward.top_1_healthy_reward,training.generation,training.fitness_median,training.top_k_ctrl_reward.top_2_ctrl_reward,training.top_k_forward_reward.top_0_forward_reward,training.top_k_healthy_reward.top_2_healthy_reward,training.fitness_3q,training.top_k_fit.top_0_fit,_timestamp,training.top_k_ctrl_reward.top_1_ctrl_reward,solver,ea,fitness,environment,seed,training.evaluation
0,117.2719497680664,554.4700927734375,-0.5677300095558167,0,19.283135890960693,4,133.87767028808594,15.764713287353516,289.0,44.539485931396484,143.17684936523438,364.871337890625,-21.557292938232422,133.1361846923828,-9.418739318847656,333.9916687011719,437.8000183105469,0,-17.828506469726562,-0.46485814452171326,45.55937576293945,232.1999969482422,-25.720998764038086,144.77447509765625,1688683588.2996988,-0.6017755270004272,lgp,mu+lambda-ga1,weighted-0-1-1-unhealthy_termination,walker2d,4,0
1,133.84922790527344,363.7345275878906,-0.4434376358985901,1,21.12492847442627,4,126.26132202148438,1.674553632736206,263.6000061035156,13997.708984375,132.56443786621094,335.1037292480469,-2016.3524169921875,128.703369140625,-12.811009407043457,298.23016357421875,230.1999969482422,1,-18.142601013183594,-0.3996248245239258,35.07358932495117,206.8000030517578,-21.676551818847656,133.32977294921875,1688683590.1414914,-0.3147175908088684,lgp,mu+lambda-ga1,weighted-0-1-1-unhealthy_termination,walker2d,4,100
2,49.183589935302734,323.3150634765625,-0.3894478380680084,2,22.84417486190796,4,155.2932586669922,1.6747454404830933,313.0,76.85964965820312,156.06210327148438,516.8419799804688,-38.75893783569336,156.6912841796875,-8.586339950561523,418.0206604003906,274.6000061035156,2,-50.89427185058594,-0.6493458151817322,105.41008758544922,360.8000183105469,-107.38677978515625,160.06991577148438,1688683591.8607378,-0.46858763694763184,lgp,mu+lambda-ga1,weighted-0-1-1-unhealthy_termination,walker2d,4,200
3,50.51838302612305,385.4694519042969,-0.8016378283500671,3,24.560112476348877,4,147.30380249023438,1.6743708848953247,441.8000183105469,92.30230712890625,152.51255798339844,538.5297241210938,14.975321769714355,121.101806640625,129.32420349121094,604.6766357421875,335.3999938964844,3,-15.886547088623047,-0.9721950888633728,163.67823791503906,418.3999938964844,-55.08916091918945,164.99949645996094,1688683593.5766754,-0.448970228433609,lgp,mu+lambda-ga1,weighted-0-1-1-unhealthy_termination,walker2d,4,300
4,161.4729461669922,474.4906311035156,-0.16585500538349152,4,26.27862024307251,4,156.10081481933594,1.675750970840454,205.1999969482422,92.28697967529297,160.7958984375,463.26715087890625,-7.366743564605713,100.7301254272461,8.01882553100586,337.309326171875,313.3999938964844,4,-20.56864356994629,-0.4628847539424896,132.27513122558594,363.0,-81.8482894897461,198.44566345214844,1688683595.2951832,-0.38228756189346313,lgp,mu+lambda-ga1,weighted-0-1-1-unhealthy_termination,walker2d,4,400
5,107.80423736572266,461.7618103027344,-0.6797086000442505,5,27.996516704559326,4,159.9898681640625,1.6744437217712402,443.6000061035156,91.69591522216797,160.90728759765625,563.6626586914062,-6.798343181610107,158.7925567626953,-1.0819973945617676,524.9913940429688,354.6000061035156,5,-20.020732879638672,-0.7299358248710632,82.07100677490234,405.6000061035156,-79.46363830566406,162.71315002441406,1688683597.0130796,-0.6423686742782593,lgp,mu+lambda-ga1,weighted-0-1-1-unhealthy_termination,walker2d,4,500
6,164.1583709716797,533.2923583984375,-0.4255332052707672,6,29.716198205947876,4,161.28897094726562,1.6780115365982056,305.6000061035156,80.66841888427734,165.8616943359375,509.5323181152344,1.9471399784088135,161.2726287841797,13.316889762878418,473.9538269042969,369.8000183105469,6,-10.685413360595703,-0.5402793884277344,168.7794647216797,348.8000183105469,-55.13008499145508,168.74990844726562,1688683598.7327611,-0.6661294102668762,lgp,mu+lambda-ga1,weighted-0-1-1-unhealthy_termination,walker2d,4,600
7,109.65499114990234,399.5807189941406,-0.7073065638542175,7,31.448052167892456,4,163.22877502441406,1.690516471862793,491.8000183105469,85.59453582763672,163.41506958007812,435.1735534667969,-28.130287170410156,108.0978775024414,-10.805595397949219,602.0250854492188,290.6000061035156,7,-48.11219787597656,-0.5242910385131836,110.93231201171875,327.6000061035156,-94.63348388671875,164.47430419921875,1688683600.464615,-0.6743050217628479,lgp,mu+lambda-ga1,weighted-0-1-1-unhealthy_termination,walker2d,4,700
8,114.2231674194336,317.9034118652344,-0.3886623978614807,8,33.180726528167725,4,162.51426696777344,1.6913824081420898,260.3999938964844,99.05847930908203,164.08941650390625,435.7713928222656,-24.920801162719727,163.75228881835938,-7.079103946685791,405.6972961425781,204.0,8,-46.747657775878906,-0.3808937072753906,145.6859588623047,272.3999938964844,-104.49223327636719,220.0880889892578,1688683602.1972895,-0.3197490870952606,lgp,mu+lambda-ga1,weighted-0-1-1-unhealthy_termination,walker2d,4,800
9,166.01724243164062,451.0145568847656,-0.350324809551239,9,34.9135000705719,4,165.5115966796875,1.689924716949463,231.8000030517578,87.92711639404297,166.2788848876953,450.25445556640625,-26.887996673583984,163.6554412841797,-9.476278305053711,435.7840270996094,285.3999938964844,9,-27.946369171142578,-0.4009178578853607,204.3343048095703,287.0,-103.29544067382812,193.28298950195312,1688683603.930063,-0.4027026295661926,lgp,mu+lambda-ga1,weighted-0-1-1-unhealthy_termination,walker2d,4,900
