,_step,training.run_id,training.fitness_3q,training.generation,training.fitness_mean,training.evaluation_time,training.fitness_1q,training.top_k_fit.top_0_fit,training.top_k_fit.top_2_fit,training.top_k_fit.top_1_fit,_runtime,_timestamp,training.fitness_std,training.fitness_median,solver,ea,environment,seed,training.evaluation,training.top_k_reward.top_0_reward,training.top_k_reward.top_1_reward,training.top_k_reward.top_2_reward
0,0,0,21.229433059692383,0,67.18987274169922,15.7568998336792,98.50886535644531,416.68634033203125,233.73133850097656,245.94903564453125,16.408748388290405,1686917173.0210714,74.82066345214844,53.860740661621094,cgp,mu+lambda,hopper,5,0,416.68634033203125,245.94903564453125,233.73133850097656
1,1,0,30.12701988220215,1,87.57404327392578,1.9830724000930786,138.4456024169922,299.9379577636719,251.75856018066406,260.4132385253906,18.53565287590027,1686917175.147976,75.11009216308594,49.61510467529297,cgp,mu+lambda,hopper,5,100,299.9379577636719,260.4132385253906,251.75856018066406
2,2,0,51.33305358886719,2,133.97384643554688,2.01908540725708,206.45681762695312,498.67767333984375,343.74810791015625,475.75860595703125,20.570690870285034,1686917177.183014,100.66415405273438,130.3285369873047,cgp,mu+lambda,hopper,5,200,498.67767333984375,475.75860595703125,343.74810791015625
3,3,0,68.59251403808594,3,151.66831970214844,2.016078233718872,227.19561767578125,364.3832092285156,280.11004638671875,334.2479553222656,22.602345943450928,1686917179.214669,88.15007019042969,175.87405395507812,cgp,mu+lambda,hopper,5,300,364.3832092285156,334.2479553222656,280.11004638671875
4,4,0,70.23176574707031,4,161.29493713378906,2.017827272415161,233.31747436523438,413.5630798339844,340.34442138671875,341.2030029296875,24.63538694381714,1686917181.24771,97.9822769165039,193.26837158203125,cgp,mu+lambda,hopper,5,400,413.5630798339844,341.2030029296875,340.34442138671875
5,5,0,63.56592559814453,5,165.51377868652344,2.01619553565979,242.92193603515625,452.7499694824219,360.20050048828125,405.6875915527344,26.66745162010193,1686917183.2797747,107.16852569580078,198.39437866210938,cgp,mu+lambda,hopper,5,500,452.7499694824219,405.6875915527344,360.20050048828125
6,6,0,71.48246765136719,6,-837.7055053710938,2.0242276191711426,241.94720458984375,421.8477783203125,374.00213623046875,407.90045166015625,28.706504583358765,1686917185.3188276,9967.099609375,201.41244506835938,cgp,mu+lambda,hopper,5,600,421.8477783203125,407.90045166015625,374.00213623046875
7,7,0,66.32785034179688,7,179.10308837890625,2.0177159309387207,264.9803771972656,1002.8694458007812,437.3086242675781,478.9761657714844,30.73957324028015,1686917187.3518963,145.0553436279297,170.71261596679688,cgp,mu+lambda,hopper,5,700,1002.8694458007812,478.9761657714844,437.3086242675781
8,8,0,58.52119445800781,8,205.53610229492188,2.017841339111328,296.58056640625,1006.031494140625,533.4971313476562,1000.4425048828125,32.7721164226532,1686917189.3844395,180.2696990966797,163.08999633789062,cgp,mu+lambda,hopper,5,800,1006.031494140625,1000.4425048828125,533.4971313476562
9,9,0,70.56341552734375,9,216.41128540039062,2.0207114219665527,366.5497131347656,1009.2645263671875,620.6810913085938,1001.0347290039062,34.80844736099243,1686917191.4207704,185.7450408935547,161.359619140625,cgp,mu+lambda,hopper,5,900,1009.2645263671875,1001.0347290039062,620.6810913085938
10,10,0,62.240516662597656,10,265.7645568847656,2.0206823348999023,373.347900390625,1006.9550170898438,1003.1538696289062,1003.499755859375,36.84435772895813,1686917193.4566808,275.8209228515625,185.29722595214844,cgp,mu+lambda,hopper,5,1000,1006.9550170898438,1003.499755859375,1003.1538696289062
11,11,0,67.19761657714844,11,330.7334289550781,2.0190253257751465,392.7218933105469,1009.4324951171875,1002.9508666992188,1004.607666015625,38.879225969314575,1686917195.491549,348.9873352050781,208.74256896972656,cgp,mu+lambda,hopper,5,1100,1009.4324951171875,1004.607666015625,1002.9508666992188
12,12,0,63.935462951660156,12,394.7287292480469,2.022986650466919,990.0104370117188,1013.5037841796875,1006.2005615234375,1006.8934936523438,40.91719961166382,1686917197.5295227,406.1011962890625,220.58306884765625,cgp,mu+lambda,hopper,5,1200,1013.5037841796875,1006.8934936523438,1006.2005615234375
13,13,0,72.63645935058594,13,428.8026428222656,2.016619920730591,993.5089721679688,1008.3882446289062,1005.3555908203125,1008.1708984375,42.94966220855713,1686917199.5619853,414.09893798828125,207.87539672851562,cgp,mu+lambda,hopper,5,1300,1008.3882446289062,1008.1708984375,1005.3555908203125
14,14,0,53.83720016479492,14,430.1085510253906,2.0188026428222656,995.8580322265625,1016.207275390625,1009.771484375,1011.5694580078125,44.9837806224823,1686917201.5961037,435.46875,172.9525604248047,cgp,mu+lambda,hopper,5,1400,1016.207275390625,1011.5694580078125,1009.771484375
15,15,0,76.26641845703125,15,489.61676025390625,2.0202479362487793,1001.3525390625,1019.08642578125,1012.1160888671875,1012.8119506835938,47.0197696685791,1686917203.6320927,453.8010559082031,166.8223419189453,cgp,mu+lambda,hopper,5,1500,1019.08642578125,1012.8119506835938,1012.1160888671875
16,16,0,69.34523010253906,16,440.5138244628906,2.0270938873291016,1001.4849853515625,1013.3982543945312,1011.406005859375,1013.0933227539062,49.061290979385376,1686917205.673614,434.3392333984375,153.79405212402344,cgp,mu+lambda,hopper,5,1600,1013.3982543945312,1013.0933227539062,1011.406005859375
17,17,0,72.29783630371094,17,463.0617980957031,2.021287679672241,1001.0067138671875,1016.1549682617188,1010.616455078125,1012.9127807617188,51.09862160682678,1686917207.7109447,444.0059509277344,183.33787536621094,cgp,mu+lambda,hopper,5,1700,1016.1549682617188,1012.9127807617188,1010.616455078125
