,training.run_id,training.fitness_1q,training.fitness_median,_timestamp,training.fitness_3q,training.fitness_std,training.fitness_mean,training.top_k_fit.top_1_fit,training.generation,training.evaluation_time,_step,_runtime,training.top_k_fit.top_0_fit,training.top_k_fit.top_2_fit,solver,ea,environment,seed,training.evaluation,training.top_k_reward.top_0_reward,training.top_k_reward.top_1_reward,training.top_k_reward.top_2_reward
0,0,98.79781341552734,65.88739013671875,1687182869.7844474,40.94057083129883,75.00489044189453,84.75275421142578,365.5301208496094,0,16.335378646850586,0,21.19523549079895,407.5002746582031,361.87664794921875,cgp,mu+lambda,walker2d,0,0,407.5002746582031,365.5301208496094,361.87664794921875
1,0,162.09130859375,84.72468566894531,1687182872.208272,55.57844543457031,9964.08203125,-867.7564086914062,536.3494873046875,1,2.1588659286499023,1,23.619060039520264,974.050537109375,441.179931640625,cgp,mu+lambda,walker2d,0,100,974.050537109375,536.3494873046875,441.179931640625
2,0,189.76670837402344,96.96711730957031,1687182874.3960817,51.415550231933594,119.62610626220703,130.890869140625,456.9585876464844,2,2.164313554763794,2,25.806869745254517,634.7516479492188,442.15399169921875,cgp,mu+lambda,walker2d,0,200,634.7516479492188,456.9585876464844,442.15399169921875
3,0,231.22003173828125,107.14201354980469,1687182876.5839317,59.48723602294922,149.8782958984375,163.3588409423828,459.1696472167969,3,2.1658377647399902,3,27.994719743728638,988.8923950195312,455.4462890625,cgp,mu+lambda,walker2d,0,300,988.8923950195312,459.1696472167969,455.4462890625
4,0,237.26846313476562,103.18846130371094,1687182878.7710667,55.30813217163086,203.03599548339844,183.4187774658203,999.1338500976562,4,2.164177894592285,4,30.181854724884033,1001.9885864257812,985.8748168945312,cgp,mu+lambda,walker2d,0,400,1001.9885864257812,999.1338500976562,985.8748168945312
5,0,333.7050476074219,166.5202178955078,1687182880.960502,69.72422790527344,204.6340789794922,222.0182342529297,997.0062866210938,5,2.164835214614868,5,32.3712899684906,1000.6796264648438,987.978271484375,cgp,mu+lambda,walker2d,0,500,1000.6796264648438,997.0062866210938,987.978271484375
6,0,369.60455322265625,192.150146484375,1687182883.1482701,82.74713134765625,223.0037384033203,245.07994079589844,1002.101318359375,6,2.164588451385498,6,34.55905818939209,1002.200439453125,998.7825317382812,cgp,mu+lambda,walker2d,0,600,1002.200439453125,1002.101318359375,998.7825317382812
7,0,436.8283386230469,185.95947265625,1687182885.3367982,67.48772430419922,272.6791076660156,289.6488342285156,1000.2833251953125,7,2.1661198139190674,7,36.747586250305176,1001.39501953125,1000.1026000976562,cgp,mu+lambda,walker2d,0,700,1001.39501953125,1000.2833251953125,1000.1026000976562
8,0,497.6494445800781,165.08990478515625,1687182887.5249257,74.4083251953125,322.2151794433594,320.7683410644531,1004.910400390625,8,2.1717896461486816,8,38.93571376800537,1007.3969116210938,1004.8307495117188,cgp,mu+lambda,walker2d,0,800,1007.3969116210938,1004.910400390625,1004.8307495117188
9,0,537.2742309570312,144.922607421875,1687182889.7132664,66.94880676269531,349.3218994140625,334.0947570800781,1007.2955322265625,9,2.172091007232666,9,41.12405443191528,1008.9163208007812,1006.8353271484375,cgp,mu+lambda,walker2d,0,900,1008.9163208007812,1007.2955322265625,1006.8353271484375
10,0,550.1923217773438,179.4547119140625,1687182891.9290102,83.58544921875,361.12017822265625,362.43597412109375,1007.5946044921875,10,2.197913885116577,10,43.33979821205139,1007.74072265625,1005.752685546875,cgp,mu+lambda,walker2d,0,1000,1007.74072265625,1007.5946044921875,1005.752685546875
11,0,970.1865844726562,344.4563903808594,1687182894.132019,74.35249328613281,387.3536376953125,444.48468017578125,1009.8170166015625,11,2.1863596439361572,11,45.54280710220337,1031.4473876953125,1009.419921875,cgp,mu+lambda,walker2d,0,1100,1031.4473876953125,1009.8170166015625,1009.419921875
12,0,1000.0526123046875,258.68292236328125,1687182896.335972,76.26520538330078,413.7933349609375,450.5040588378906,1018.3878173828125,12,2.189328908920288,12,47.74676012992859,1025.5869140625,1014.7589721679688,cgp,mu+lambda,walker2d,0,1200,1025.5869140625,1018.3878173828125,1014.7589721679688
13,0,1002.1843872070312,196.83566284179688,1687182898.538399,74.442138671875,408.4937744140625,431.866943359375,1022.3720703125,13,2.1858174800872803,13,49.94918704032898,1033.48583984375,1022.2719116210938,cgp,mu+lambda,walker2d,0,1300,1033.48583984375,1022.3720703125,1022.2719116210938
14,0,999.4315185546875,272.4784851074219,1687182900.741552,76.54944610595703,10000.1904296875,-576.641845703125,1035.4427490234375,14,2.186570405960083,14,52.15234017372131,1048.1160888671875,1033.22119140625,cgp,mu+lambda,walker2d,0,1400,1048.1160888671875,1035.4427490234375,1033.22119140625
15,0,1008.1380615234375,300.8943176269531,1687182902.9398353,77.30451965332031,442.1161804199219,504.8486328125,1035.08056640625,15,2.18098783493042,15,54.35062336921692,1040.1177978515625,1033.1883544921875,cgp,mu+lambda,walker2d,0,1500,1040.1177978515625,1035.08056640625,1033.1883544921875
16,0,1013.870849609375,130.6505126953125,1687182905.142028,59.440338134765625,425.9544982910156,398.7281188964844,1036.5740966796875,16,2.18344783782959,16,56.55281615257263,1041.3795166015625,1033.59326171875,cgp,mu+lambda,walker2d,0,1600,1041.3795166015625,1036.5740966796875,1033.59326171875
