,training.run_id,training.fitness_1q,training.fitness_3q,training.fitness_median,_step,_timestamp,training.evaluation_time,training.top_k_fit.top_1_fit,training.top_k_fit.top_2_fit,_runtime,training.fitness_mean,training.top_k_fit.top_0_fit,training.generation,training.fitness_std,solver,ea,fitness,environment,seed,training.evaluation,training.top_k_reward.top_0_reward,training.top_k_reward.top_1_reward,training.top_k_reward.top_2_reward
0,0,106.12613677978516,24.06619644165039,51.4600830078125,0,1687166945.9350677,15.727457046508789,322.19952392578125,304.7546691894531,20.07418155670166,76.73338317871094,363.8411865234375,0,75.65135192871094,lgp,mu+lambda,reward,hopper,0,0,363.8411865234375,322.19952392578125,304.7546691894531
1,0,154.0251007080078,34.40481185913086,75.42024993896484,1,1687166947.6394136,1.4388633966445923,376.1540832519531,352.3251037597656,21.77852749824524,100.70628356933594,381.12164306640625,1,100.8290786743164,lgp,mu+lambda,reward,hopper,0,100,381.12164306640625,376.1540832519531,352.3251037597656
2,0,247.7686767578125,46.62251663208008,112.33895111083984,2,1687166949.0968263,1.441733717918396,377.0066223144531,364.4493408203125,23.2359402179718,150.1741180419922,378.19140625,2,117.95877075195312,lgp,mu+lambda,reward,hopper,0,200,378.19140625,377.0066223144531,364.4493408203125
3,0,310.7127990722656,59.272220611572266,144.65182495117188,3,1687166950.5493286,1.4364395141601562,388.6233215332031,378.8490295410156,24.68844246864319,176.63018798828125,481.62164306640625,3,126.74957275390625,lgp,mu+lambda,reward,hopper,0,300,481.62164306640625,388.6233215332031,378.8490295410156
4,0,341.4848937988281,51.09815979003906,118.35008239746094,4,1687166951.9962466,1.4314072132110596,422.2572021484375,391.1621398925781,26.13536047935486,181.4640655517578,501.1905517578125,4,142.64332580566406,lgp,mu+lambda,reward,hopper,0,400,501.1905517578125,422.2572021484375,391.1621398925781
5,0,313.67022705078125,47.204708099365234,96.9239273071289,5,1687166953.4486263,1.4357991218566895,390.9189147949219,388.8931579589844,27.587740182876587,161.53759765625,482.91363525390625,5,139.26283264160156,lgp,mu+lambda,reward,hopper,0,500,482.91363525390625,390.9189147949219,388.8931579589844
6,0,269.2874755859375,59.0938720703125,135.00076293945312,6,1687166954.890791,1.4239729642868042,416.5140380859375,408.53961181640625,29.02990484237671,170.47254943847656,477.7383728027344,6,130.37437438964844,lgp,mu+lambda,reward,hopper,0,600,477.7383728027344,416.5140380859375,408.53961181640625
7,0,352.30548095703125,50.72267150878906,132.8363800048828,7,1687166956.3330517,1.4260226488113403,483.1468811035156,461.6947021484375,30.47216558456421,185.7110137939453,531.4798583984375,7,144.7964630126953,lgp,mu+lambda,reward,hopper,0,700,531.4798583984375,483.1468811035156,461.6947021484375
8,0,297.34686279296875,46.68903350830078,111.14097595214844,8,1687166957.7746356,1.42452073097229,462.85882568359375,449.91998291015625,31.91374945640564,176.53140258789062,495.4400634765625,8,145.0897979736328,lgp,mu+lambda,reward,hopper,0,800,495.4400634765625,462.85882568359375,449.91998291015625
9,0,358.8457336425781,55.7833251953125,133.98342895507812,9,1687166959.2172627,1.4269013404846191,488.68560791015625,481.7641296386719,33.35637664794922,193.12062072753906,495.2010192871094,9,151.70448303222656,lgp,mu+lambda,reward,hopper,0,900,495.2010192871094,488.68560791015625,481.7641296386719
10,0,337.15814208984375,34.048255920410156,83.9449462890625,10,1687166960.6897101,1.4568604230880737,490.8136901855469,490.426513671875,34.828824043273926,161.2233428955078,496.2806701660156,10,158.44297790527344,lgp,mu+lambda,reward,hopper,0,1000,496.2806701660156,490.8136901855469,490.426513671875
11,0,355.7048645019531,33.84907150268555,99.80670928955078,11,1687166962.1374218,1.4176632165908813,497.71502685546875,495.32958984375,36.276535749435425,183.60206604003906,992.8828735351562,11,180.93890380859375,lgp,mu+lambda,reward,hopper,0,1100,992.8828735351562,497.71502685546875,495.32958984375
12,0,365.98272705078125,32.1736946105957,123.45890808105469,12,1687166963.572798,1.4099129438400269,501.184814453125,497.41766357421875,37.71191191673279,195.70416259765625,1003.4833984375,12,189.2340850830078,lgp,mu+lambda,reward,hopper,0,1200,1003.4833984375,501.184814453125,497.41766357421875
13,0,384.98992919921875,44.60130310058594,105.06097412109375,13,1687166965.0074577,1.4147202968597412,993.8057861328125,497.31402587890625,39.14657163619995,203.15701293945312,997.7601318359375,13,208.99147033691406,lgp,mu+lambda,reward,hopper,0,1300,997.7601318359375,993.8057861328125,497.31402587890625
14,0,401.4730224609375,36.103519439697266,84.12551879882812,14,1687166966.4443705,1.4168545007705688,1005.8300170898438,1001.6201171875,40.583484411239624,213.8068084716797,1009.2116088867188,14,251.57070922851562,lgp,mu+lambda,reward,hopper,0,1400,1009.2116088867188,1005.8300170898438,1001.6201171875
15,0,424.3546142578125,33.29308319091797,113.4283676147461,15,1687166967.8810349,1.4158929586410522,1004.4889526367188,1004.30810546875,42.02014875411987,223.17616271972656,1005.7589111328125,15,250.18548583984375,lgp,mu+lambda,reward,hopper,0,1500,1005.7589111328125,1004.4889526367188,1004.30810546875
