iteration,front_size,reward,simplicity,seed,environment,solver
0,3,632.3977,0.8666667,4,inverted_double_pendulum,lgp
0,3,709.6185,0.46666664,4,inverted_double_pendulum,lgp
0,3,292.05493,1.0,4,inverted_double_pendulum,lgp
1,4,632.3977,0.8666667,4,inverted_double_pendulum,lgp
1,4,709.6185,0.46666664,4,inverted_double_pendulum,lgp
1,4,292.05493,1.0,4,inverted_double_pendulum,lgp
1,4,330.13043,0.93333334,4,inverted_double_pendulum,lgp
2,4,632.3977,0.8666667,4,inverted_double_pendulum,lgp
2,4,709.6185,0.46666664,4,inverted_double_pendulum,lgp
2,4,330.13043,0.93333334,4,inverted_double_pendulum,lgp
2,4,302.0946,1.0,4,inverted_double_pendulum,lgp
3,5,632.3977,0.8666667,4,inverted_double_pendulum,lgp
3,5,709.6185,0.46666664,4,inverted_double_pendulum,lgp
3,5,302.0946,1.0,4,inverted_double_pendulum,lgp
3,5,595.7533,0.93333334,4,inverted_double_pendulum,lgp
3,5,633.1954,0.79999995,4,inverted_double_pendulum,lgp
4,4,709.6185,0.46666664,4,inverted_double_pendulum,lgp
4,4,302.0946,1.0,4,inverted_double_pendulum,lgp
4,4,651.16223,0.93333334,4,inverted_double_pendulum,lgp
4,4,671.696,0.6666666,4,inverted_double_pendulum,lgp
5,2,302.0946,1.0,4,inverted_double_pendulum,lgp
5,2,651.16223,0.93333334,4,inverted_double_pendulum,lgp
6,2,651.16223,0.93333334,4,inverted_double_pendulum,lgp
6,2,320.7809,1.0,4,inverted_double_pendulum,lgp
7,2,320.7809,1.0,4,inverted_double_pendulum,lgp
7,2,709.88824,0.93333334,4,inverted_double_pendulum,lgp
8,2,651.16223,0.93333334,4,inverted_double_pendulum,lgp
8,2,320.7809,1.0,4,inverted_double_pendulum,lgp
9,2,651.16223,0.93333334,4,inverted_double_pendulum,lgp
9,2,320.7809,1.0,4,inverted_double_pendulum,lgp
10,2,320.7809,1.0,4,inverted_double_pendulum,lgp
10,2,878.8637,0.93333334,4,inverted_double_pendulum,lgp
11,2,330.30856,1.0,4,inverted_double_pendulum,lgp
11,2,839.3011,0.93333334,4,inverted_double_pendulum,lgp
12,2,330.30856,1.0,4,inverted_double_pendulum,lgp
12,2,741.3771,0.93333334,4,inverted_double_pendulum,lgp
13,2,651.16223,0.93333334,4,inverted_double_pendulum,lgp
13,2,330.30856,1.0,4,inverted_double_pendulum,lgp
14,2,624.4501,0.93333334,4,inverted_double_pendulum,lgp
14,2,330.30856,1.0,4,inverted_double_pendulum,lgp
15,3,330.30856,1.0,4,inverted_double_pendulum,lgp
15,3,860.4085,0.6666666,4,inverted_double_pendulum,lgp
15,3,786.1136,0.93333334,4,inverted_double_pendulum,lgp
16,3,330.30856,1.0,4,inverted_double_pendulum,lgp
16,3,860.4085,0.6666666,4,inverted_double_pendulum,lgp
16,3,786.1136,0.93333334,4,inverted_double_pendulum,lgp
17,2,330.30856,1.0,4,inverted_double_pendulum,lgp
17,2,786.1136,0.93333334,4,inverted_double_pendulum,lgp
18,3,330.30856,1.0,4,inverted_double_pendulum,lgp
18,3,786.1136,0.93333334,4,inverted_double_pendulum,lgp
18,3,880.9787,0.8666667,4,inverted_double_pendulum,lgp
19,3,330.30856,1.0,4,inverted_double_pendulum,lgp
19,3,880.9787,0.8666667,4,inverted_double_pendulum,lgp
19,3,794.83154,0.93333334,4,inverted_double_pendulum,lgp
20,3,330.30856,1.0,4,inverted_double_pendulum,lgp
20,3,880.9787,0.8666667,4,inverted_double_pendulum,lgp
20,3,794.83154,0.93333334,4,inverted_double_pendulum,lgp
21,3,330.30856,1.0,4,inverted_double_pendulum,lgp
21,3,880.9787,0.8666667,4,inverted_double_pendulum,lgp
21,3,880.82074,0.93333334,4,inverted_double_pendulum,lgp
22,3,330.30856,1.0,4,inverted_double_pendulum,lgp
22,3,880.9787,0.8666667,4,inverted_double_pendulum,lgp
22,3,880.82074,0.93333334,4,inverted_double_pendulum,lgp
23,3,330.30856,1.0,4,inverted_double_pendulum,lgp
23,3,880.9787,0.8666667,4,inverted_double_pendulum,lgp
23,3,880.82074,0.93333334,4,inverted_double_pendulum,lgp
24,3,330.30856,1.0,4,inverted_double_pendulum,lgp
24,3,880.9787,0.8666667,4,inverted_double_pendulum,lgp
24,3,880.82074,0.93333334,4,inverted_double_pendulum,lgp
25,3,330.30856,1.0,4,inverted_double_pendulum,lgp
25,3,880.9787,0.8666667,4,inverted_double_pendulum,lgp
25,3,880.82074,0.93333334,4,inverted_double_pendulum,lgp
26,3,330.30856,1.0,4,inverted_double_pendulum,lgp
26,3,880.9787,0.8666667,4,inverted_double_pendulum,lgp
26,3,880.5575,0.93333334,4,inverted_double_pendulum,lgp
27,2,330.30856,1.0,4,inverted_double_pendulum,lgp
27,2,880.5575,0.93333334,4,inverted_double_pendulum,lgp
28,2,330.30856,1.0,4,inverted_double_pendulum,lgp
28,2,880.5575,0.93333334,4,inverted_double_pendulum,lgp
29,2,330.30856,1.0,4,inverted_double_pendulum,lgp
29,2,880.5575,0.93333334,4,inverted_double_pendulum,lgp
30,2,330.30856,1.0,4,inverted_double_pendulum,lgp
30,2,877.7754,0.93333334,4,inverted_double_pendulum,lgp
31,2,330.30856,1.0,4,inverted_double_pendulum,lgp
31,2,880.36395,0.93333334,4,inverted_double_pendulum,lgp
32,2,330.30856,1.0,4,inverted_double_pendulum,lgp
32,2,880.36395,0.93333334,4,inverted_double_pendulum,lgp
33,2,330.30856,1.0,4,inverted_double_pendulum,lgp
33,2,880.36395,0.93333334,4,inverted_double_pendulum,lgp
34,2,330.30856,1.0,4,inverted_double_pendulum,lgp
34,2,1032.2998,0.93333334,4,inverted_double_pendulum,lgp
35,2,330.30856,1.0,4,inverted_double_pendulum,lgp
35,2,880.36395,0.93333334,4,inverted_double_pendulum,lgp
36,2,330.30856,1.0,4,inverted_double_pendulum,lgp
36,2,880.36395,0.93333334,4,inverted_double_pendulum,lgp
37,2,880.36395,0.93333334,4,inverted_double_pendulum,lgp
37,2,330.26874,1.0,4,inverted_double_pendulum,lgp
38,2,877.7754,0.93333334,4,inverted_double_pendulum,lgp
38,2,330.26874,1.0,4,inverted_double_pendulum,lgp
39,2,330.26874,1.0,4,inverted_double_pendulum,lgp
39,2,879.34906,0.93333334,4,inverted_double_pendulum,lgp
40,2,870.50226,0.93333334,4,inverted_double_pendulum,lgp
40,2,330.26874,1.0,4,inverted_double_pendulum,lgp
41,2,870.50226,0.93333334,4,inverted_double_pendulum,lgp
41,2,330.26874,1.0,4,inverted_double_pendulum,lgp
42,3,870.50226,0.93333334,4,inverted_double_pendulum,lgp
42,3,330.26874,1.0,4,inverted_double_pendulum,lgp
42,3,899.5565,0.8666667,4,inverted_double_pendulum,lgp
43,4,870.50226,0.93333334,4,inverted_double_pendulum,lgp
43,4,330.26874,1.0,4,inverted_double_pendulum,lgp
43,4,899.5565,0.8666667,4,inverted_double_pendulum,lgp
43,4,994.55096,0.79999995,4,inverted_double_pendulum,lgp
44,3,330.26874,1.0,4,inverted_double_pendulum,lgp
44,3,994.55096,0.79999995,4,inverted_double_pendulum,lgp
44,3,928.2159,0.93333334,4,inverted_double_pendulum,lgp
45,3,330.26874,1.0,4,inverted_double_pendulum,lgp
45,3,994.55096,0.79999995,4,inverted_double_pendulum,lgp
45,3,928.2159,0.93333334,4,inverted_double_pendulum,lgp
46,2,330.26874,1.0,4,inverted_double_pendulum,lgp
46,2,928.2159,0.93333334,4,inverted_double_pendulum,lgp
47,2,330.26874,1.0,4,inverted_double_pendulum,lgp
47,2,928.2159,0.93333334,4,inverted_double_pendulum,lgp
48,2,330.26874,1.0,4,inverted_double_pendulum,lgp
48,2,928.2159,0.93333334,4,inverted_double_pendulum,lgp
49,2,330.26874,1.0,4,inverted_double_pendulum,lgp
49,2,928.2159,0.93333334,4,inverted_double_pendulum,lgp
50,2,330.26874,1.0,4,inverted_double_pendulum,lgp
50,2,918.4255,0.93333334,4,inverted_double_pendulum,lgp
51,2,330.26874,1.0,4,inverted_double_pendulum,lgp
51,2,899.3519,0.93333334,4,inverted_double_pendulum,lgp
52,2,330.26874,1.0,4,inverted_double_pendulum,lgp
52,2,889.5955,0.93333334,4,inverted_double_pendulum,lgp
53,2,330.26874,1.0,4,inverted_double_pendulum,lgp
53,2,898.4099,0.93333334,4,inverted_double_pendulum,lgp
54,2,330.26874,1.0,4,inverted_double_pendulum,lgp
54,2,918.327,0.93333334,4,inverted_double_pendulum,lgp
55,3,330.26874,1.0,4,inverted_double_pendulum,lgp
55,3,918.327,0.93333334,4,inverted_double_pendulum,lgp
55,3,927.78973,0.8666667,4,inverted_double_pendulum,lgp
56,2,330.26874,1.0,4,inverted_double_pendulum,lgp
56,2,918.327,0.93333334,4,inverted_double_pendulum,lgp
57,3,330.26874,1.0,4,inverted_double_pendulum,lgp
57,3,918.327,0.93333334,4,inverted_double_pendulum,lgp
57,3,925.8593,0.8666667,4,inverted_double_pendulum,lgp
58,3,330.26874,1.0,4,inverted_double_pendulum,lgp
58,3,918.327,0.93333334,4,inverted_double_pendulum,lgp
58,3,925.8593,0.8666667,4,inverted_double_pendulum,lgp
59,3,330.26874,1.0,4,inverted_double_pendulum,lgp
59,3,918.327,0.93333334,4,inverted_double_pendulum,lgp
59,3,925.8593,0.8666667,4,inverted_double_pendulum,lgp
60,2,330.26874,1.0,4,inverted_double_pendulum,lgp
60,2,918.327,0.93333334,4,inverted_double_pendulum,lgp
61,2,330.26874,1.0,4,inverted_double_pendulum,lgp
