,training.fitness_std,training.fitness_mean,training.fitness_median,training.evaluation_time,training.top_k_fit.top_0_fit,training.top_k_fit.top_2_fit,_step,_timestamp,training.fitness_3q,training.top_k_fit.top_1_fit,training.fitness_1q,_runtime,training.run_id,training.generation,solver,ea,environment,seed
0,322.89501953125,507.1917419433594,555.8411865234375,21.011449813842773,991.238525390625,956.8369750976562,0,1686995116.3155372,353.3899230957031,987.8909301757812,733.05517578125,22.768035173416138,0,0,cgp,mu+lambda,ant,0
1,253.4460906982422,710.5897216796875,783.9361572265625,4.725030899047852,992.491455078125,990.78271484375,1,1686995121.2422957,591.1408081054688,991.887451171875,881.0735473632812,27.694793701171875,0,1,cgp,mu+lambda,ant,0
2,257.0458984375,747.2849731445312,844.5296630859375,4.722378253936768,991.4368286132812,990.8568115234375,2,1686995125.9836826,597.5615234375,991.1818237304688,950.0819091796875,32.43618059158325,0,2,cgp,mu+lambda,ant,0
3,198.1470184326172,835.2054443359375,927.0201416015625,4.75779914855957,997.07080078125,996.843017578125,3,1686995130.7591066,703.0791015625,996.9134521484375,981.9220581054688,37.211604595184326,0,3,cgp,mu+lambda,ant,0
4,232.53146362304688,851.5446166992188,974.3179931640625,4.7514729499816895,997.065185546875,996.9537353515625,4,1686995135.5289464,749.096435546875,997.014404296875,988.5328369140625,41.981444358825684,0,4,cgp,mu+lambda,ant,0
5,188.08917236328125,837.5960693359375,928.2841796875,4.755232810974121,997.5023193359375,997.2217407226562,5,1686995140.3024542,697.3160400390625,997.2453002929688,991.9457397460938,46.75495219230652,0,5,cgp,mu+lambda,ant,0
6,205.84375,838.7603149414062,955.7344360351562,4.756566524505615,997.3356323242188,997.24560546875,6,1686995145.0769236,703.066162109375,997.248046875,993.4817504882812,51.52942156791687,0,6,cgp,mu+lambda,ant,0
7,212.28599548339844,840.512939453125,964.523193359375,4.75440788269043,997.5597534179688,997.2617797851562,7,1686995149.8498387,702.3699951171875,997.3162231445312,996.563232421875,56.30233669281006,0,7,cgp,mu+lambda,ant,0
8,151.31117248535156,885.8013305664062,984.8892211914062,4.755244731903076,997.890380859375,997.4744873046875,8,1686995154.6231046,784.9886474609375,997.5381469726562,996.800537109375,61.075602531433105,0,8,cgp,mu+lambda,ant,0
9,184.83242797851562,863.4657592773438,968.29345703125,4.7560577392578125,998.0928955078125,997.3488159179688,9,1686995159.395917,738.7844848632812,997.3792114257812,996.903076171875,65.8484148979187,0,9,cgp,mu+lambda,ant,0
10,182.74575805664062,854.5505981445312,961.8427734375,4.758261680603027,997.974853515625,997.5147705078125,10,1686995164.1722946,707.9456787109375,997.7611694335938,996.7193603515625,70.62479257583618,0,10,cgp,mu+lambda,ant,0
11,199.9693145751953,850.3792114257812,978.270751953125,4.7579169273376465,997.2000732421875,997.1382446289062,11,1686995168.9476802,707.1162719726562,997.1898193359375,996.7349853515625,75.40017819404602,0,11,cgp,mu+lambda,ant,0
12,186.40188598632812,856.8104248046875,979.279541015625,4.756165504455566,997.3356323242188,997.17138671875,12,1686995173.7206585,706.344970703125,997.2238159179688,996.7372436523438,80.17315649986267,0,12,cgp,mu+lambda,ant,0
13,213.60841369628906,857.9885864257812,992.7108764648438,4.7545294761657715,998.1497802734375,997.3522338867188,13,1686995178.493655,710.5830078125,997.7570190429688,996.8187866210938,84.94615292549133,0,13,cgp,mu+lambda,ant,0
14,228.2081756591797,837.4088745117188,982.478759765625,4.753349304199219,998.23583984375,998.0216064453125,14,1686995183.2649033,711.011474609375,998.100830078125,996.8502197265625,89.71740126609802,0,14,cgp,mu+lambda,ant,0
15,200.95932006835938,857.1248779296875,986.4067993164062,4.755141258239746,998.2086791992188,997.5872192382812,15,1686995188.0371547,709.0028686523438,997.68115234375,996.9813842773438,94.48965263366699,0,15,cgp,mu+lambda,ant,0
16,214.20318603515625,844.0648193359375,965.92431640625,4.754712104797363,998.4810791015625,997.9815063476562,16,1686995192.8097548,709.18505859375,998.375244140625,996.9168701171875,99.26225280761719,0,16,cgp,mu+lambda,ant,0
17,195.43975830078125,866.6175537109375,993.8487548828125,4.757699966430664,998.8475341796875,998.3215942382812,17,1686995197.585232,710.1590576171875,998.4692993164062,996.9069213867188,104.0377299785614,0,17,cgp,mu+lambda,ant,0
18,179.12030029296875,886.9154663085938,991.2628784179688,4.758057594299316,1000.2564086914062,998.4847412109375,18,1686995202.3600738,829.215087890625,998.5693969726562,996.9677734375,108.81257176399231,0,18,cgp,mu+lambda,ant,0
