,_timestamp,training.run_id,training.top_k_fit.top_2_fit,training.fitness_std,training.fitness_mean,_step,_runtime,training.generation,training.fitness_median,training.top_k_fit.top_0_fit,training.fitness_1q,training.fitness_3q,training.evaluation_time,training.top_k_fit.top_1_fit,solver,ea,environment,seed
0,1687243175.30662,6,231.15567016601562,82.09331512451172,75.2332534790039,0,17.0435688495636,0,57.150672912597656,335.78289794921875,105.2724609375,29.20107078552246,15.939054489135742,241.4896697998047,lgp,mu+lambda,hopper,6
1,1687243176.8891816,6,296.02886962890625,85.48861694335938,113.305419921875,1,18.6261305809021,1,82.63319396972656,364.67828369140625,182.36105346679688,48.0638542175293,1.4395461082458496,317.821533203125,lgp,mu+lambda,hopper,6
2,1687243178.3352263,6,286.137451171875,84.15028381347656,129.92567443847656,2,20.07217526435852,2,112.79258728027344,384.208740234375,213.66319274902344,55.31982421875,1.4309759140014648,306.5988464355469,lgp,mu+lambda,hopper,6
3,1687243179.7763333,6,334.0447082519531,97.2529296875,146.95370483398438,3,21.513282299041748,3,151.5718994140625,383.40838623046875,226.22857666015625,49.59906768798828,1.4240760803222656,382.1626281738281,lgp,mu+lambda,hopper,6
4,1687243181.217042,6,354.0820617675781,99.27012634277344,155.71055603027344,4,22.953990936279297,4,173.5291748046875,395.4543762207031,230.32081604003906,64.0467758178711,1.42368483543396,393.3515930175781,lgp,mu+lambda,hopper,6
5,1687243182.6655555,6,365.7720947265625,109.05589294433594,145.9503936767578,5,24.402504444122314,5,124.92201232910156,566.2857055664062,234.6735076904297,49.13356018066406,1.4341247081756592,366.53643798828125,lgp,mu+lambda,hopper,6
6,1687243184.1065817,6,405.07391357421875,123.18247985839844,164.3917694091797,6,25.843530654907227,6,174.3315887451172,710.7553100585938,240.767578125,56.33149337768555,1.4255235195159912,405.6665954589844,lgp,mu+lambda,hopper,6
7,1687243185.5445123,6,969.5553588867188,187.49122619628906,180.17999267578125,7,27.281461238861084,7,122.13154602050781,984.7940063476562,289.2957458496094,37.51511764526367,1.4207428693771362,975.4530639648438,lgp,mu+lambda,hopper,6
8,1687243186.9907045,6,982.744873046875,249.81515502929688,242.352294921875,8,28.72765350341797,8,206.16708374023438,1003.5346069335938,316.94818115234375,63.15281677246094,1.431473970413208,989.0070190429688,lgp,mu+lambda,hopper,6
9,1687243188.4265697,6,990.1024169921875,327.13519287109375,293.8599853515625,9,30.16351866722107,9,160.69039916992188,1004.016845703125,352.3468933105469,69.40966796875,1.4181164503097534,1002.9647827148438,lgp,mu+lambda,hopper,6
10,1687243189.8591237,6,1002.8565063476562,382.92681884765625,366.3648986816406,10,31.596072673797607,10,155.93331909179688,1004.3260498046875,927.6834716796875,77.48369598388672,1.415239930152893,1003.6415405273438,lgp,mu+lambda,hopper,6
11,1687243191.293436,6,1005.2447509765625,424.673583984375,411.8714294433594,11,33.03038501739502,11,141.76800537109375,1005.7294921875,943.999755859375,55.6466178894043,1.4172800779342651,1005.4778442382812,lgp,mu+lambda,hopper,6
12,1687243192.7285898,6,1004.5761108398438,431.1689453125,428.3785095214844,12,34.46553874015808,12,148.39813232421875,1006.6951293945312,970.4688720703125,61.404151916503906,1.4173476696014404,1004.8333740234375,lgp,mu+lambda,hopper,6
13,1687243194.162836,6,1006.2973022460938,443.8245544433594,437.6203918457031,13,35.89978504180908,13,137.67578125,1007.0288696289062,986.605224609375,55.87372970581055,1.4165146350860596,1006.871337890625,lgp,mu+lambda,hopper,6
14,1687243195.5967813,6,1006.3987426757812,429.4009094238281,405.97186279296875,14,37.33373022079468,14,138.37525939941406,1020.1381225585938,995.6939086914062,61.30298614501953,1.4160346984863281,1006.6273193359375,lgp,mu+lambda,hopper,6
15,1687243197.0163798,6,1006.36767578125,437.72589111328125,450.6075744628906,15,38.753328800201416,15,223.45071411132812,1009.1188354492188,1001.8614501953125,78.84347534179688,1.4016684293746948,1007.0409545898438,lgp,mu+lambda,hopper,6
16,1687243198.4492195,6,1005.4536743164062,436.73236083984375,419.78826904296875,16,40.18616843223572,16,128.9224853515625,1006.1620483398438,1001.3427734375,61.240203857421875,1.4155910015106201,1005.5822143554688,lgp,mu+lambda,hopper,6
17,1687243199.882433,6,1005.995849609375,443.51837158203125,423.9819030761719,17,41.61938190460205,17,159.623046875,1007.7422485351562,1001.76904296875,59.71238708496094,1.4154938459396362,1006.0250854492188,lgp,mu+lambda,hopper,6
18,1687243201.3142095,6,1008.0609741210938,442.2022399902344,456.9035949707031,18,43.05115842819214,18,203.7989501953125,1011.9522094726562,1002.8515625,58.85164260864258,1.4140510559082031,1009.6021728515625,lgp,mu+lambda,hopper,6
19,1687243202.7482653,6,1005.4761352539062,450.1622314453125,527.9777221679688,19,44.48521423339844,19,251.5432586669922,1007.35009765625,1002.8255615234375,76.39942932128906,1.4167028665542603,1005.6741333007812,lgp,mu+lambda,hopper,6
20,1687243204.1819687,6,1004.9826049804688,446.5699768066406,457.1444396972656,20,45.918917655944824,20,152.86697387695312,1005.7244873046875,1002.2271728515625,63.67926025390625,1.416078805923462,1005.2109375,lgp,mu+lambda,hopper,6
21,1687243205.6146383,6,1007.1522216796875,444.0638122558594,431.0285949707031,21,47.35158729553223,21,163.24734497070312,1010.0906982421875,1002.846435546875,60.17015838623047,1.4152263402938843,1008.3167724609375,lgp,mu+lambda,hopper,6
22,1687243207.0476205,6,1006.3460693359375,444.3125305175781,463.2729187011719,22,48.78456950187683,22,196.69644165039062,1012.4310302734375,1002.922119140625,64.62632751464844,1.4163742065429688,1008.8909301757812,lgp,mu+lambda,hopper,6
