,training.top_k_fit.top_2_fit,_runtime,training.evaluation_time,training.top_k_fit.top_1_fit,training.fitness_1q,training.fitness_mean,training.top_k_fit.top_0_fit,_timestamp,training.generation,training.fitness_std,training.fitness_median,_step,training.run_id,training.fitness_3q,solver,ea,fitness,environment,seed,training.evaluation,training.top_k_reward.top_0_reward,training.top_k_reward.top_1_reward,training.top_k_reward.top_2_reward
0,334.32965087890625,16.710331678390503,15.63050651550293,477.4011535644531,99.0811767578125,86.95040893554688,555.903076171875,1687241484.2446966,0,79.13321685791016,73.46601867675781,0,9,44.480613708496094,lgp,mu+lambda,reward,walker2d,9,0,555.903076171875,477.4011535644531,334.32965087890625
1,435.2315368652344,18.492377996444702,1.635145664215088,455.781982421875,156.21331787109375,136.26828002929688,496.1131591796875,1687241486.026743,1,102.78073120117188,103.8333740234375,1,9,74.53246307373047,lgp,mu+lambda,reward,walker2d,9,100,496.1131591796875,455.781982421875,435.2315368652344
2,410.76043701171875,20.157411098480225,1.645153522491455,505.18804931640625,161.50314331054688,133.913330078125,713.527587890625,1687241487.691776,2,118.92488098144531,99.65971374511719,2,9,58.44184494018555,lgp,mu+lambda,reward,walker2d,9,200,713.527587890625,505.18804931640625,410.76043701171875
3,564.7357788085938,21.81961679458618,1.6424260139465332,581.8440551757812,288.9752197265625,186.4899444580078,954.0969848632812,1687241489.3539817,3,165.53944396972656,110.97498321533203,3,9,63.75373077392578,lgp,mu+lambda,reward,walker2d,9,300,954.0969848632812,581.8440551757812,564.7357788085938
4,571.3793334960938,23.482892990112305,1.6435507535934448,624.8632202148438,325.2997741699219,199.7028045654297,654.4990844726562,1687241491.017258,4,165.6676025390625,118.687255859375,4,9,71.03919982910156,lgp,mu+lambda,reward,walker2d,9,400,654.4990844726562,624.8632202148438,571.3793334960938
5,531.4385375976562,25.139453172683716,1.6373282670974731,552.4947509765625,300.536865234375,189.2683563232422,819.7291870117188,1687241492.673818,5,156.70864868164062,124.81747436523438,5,9,78.00270080566406,lgp,mu+lambda,reward,walker2d,9,500,819.7291870117188,552.4947509765625,531.4385375976562
6,536.670654296875,26.80089569091797,1.6419976949691772,674.3936157226562,353.5348205566406,200.39215087890625,705.78662109375,1687241494.3352606,6,160.6368865966797,132.059814453125,6,9,85.78914642333984,lgp,mu+lambda,reward,walker2d,9,600,705.78662109375,674.3936157226562,536.670654296875
7,1000.062744140625,28.4653582572937,1.6449337005615234,1001.7731323242188,379.92437744140625,218.78775024414062,1002.4378662109375,1687241495.9997232,7,214.67381286621094,120.67840576171875,7,9,80.21235656738281,lgp,mu+lambda,reward,walker2d,9,700,1002.4378662109375,1001.7731323242188,1000.062744140625
8,581.83056640625,30.127015113830566,1.64253568649292,657.8968505859375,330.8795471191406,196.91542053222656,1004.6945190429688,1687241497.66138,8,188.96798706054688,102.13371276855469,8,9,73.07918548583984,lgp,mu+lambda,reward,walker2d,9,800,1004.6945190429688,657.8968505859375,581.83056640625
9,985.2709350585938,31.78963875770569,1.6431623697280884,1003.8032836914062,440.6595458984375,236.92355346679688,1029.5469970703125,1687241499.3240037,9,241.0338897705078,106.85455322265625,9,9,74.10943603515625,lgp,mu+lambda,reward,walker2d,9,900,1029.5469970703125,1003.8032836914062,985.2709350585938
10,1004.4552612304688,33.451329469680786,1.641947627067566,1004.7552490234375,462.0778503417969,288.0343933105469,1012.1737060546875,1687241500.9856944,10,302.2713317871094,120.23455810546875,10,9,82.98619079589844,lgp,mu+lambda,reward,walker2d,9,1000,1012.1737060546875,1004.7552490234375,1004.4552612304688
11,1010.2562866210938,35.12240982055664,1.6461902856826782,1010.6676025390625,458.89459228515625,290.1835021972656,1017.0924072265625,1687241502.6567748,11,313.9537048339844,120.74443054199219,11,9,77.47586059570312,lgp,mu+lambda,reward,walker2d,9,1100,1017.0924072265625,1010.6676025390625,1010.2562866210938
12,1009.2057495117188,36.79355764389038,1.6459228992462158,1011.1952514648438,467.679443359375,311.3623352050781,1021.2921752929688,1687241504.3279226,12,349.7538146972656,115.09686279296875,12,9,75.51918029785156,lgp,mu+lambda,reward,walker2d,9,1200,1021.2921752929688,1011.1952514648438,1009.2057495117188
13,1011.408935546875,38.463072061538696,1.6436901092529297,1012.7528076171875,688.5670776367188,361.5182800292969,1021.96435546875,1687241505.997437,13,376.3472900390625,153.43463134765625,13,9,70.03541564941406,lgp,mu+lambda,reward,walker2d,9,1300,1021.96435546875,1012.7528076171875,1011.408935546875
14,1014.9884033203125,40.13206672668457,1.6434375047683716,1023.3609008789062,983.5047607421875,372.5934143066406,1024.1527099609375,1687241507.6664317,14,402.28192138671875,122.6015625,14,9,75.98548889160156,lgp,mu+lambda,reward,walker2d,9,1400,1024.1527099609375,1023.3609008789062,1014.9884033203125
15,1026.0625,41.80179691314697,1.64688241481781,1027.5693359375,997.5452880859375,436.65240478515625,1055.620849609375,1687241509.3361619,15,421.9521179199219,197.300537109375,15,9,72.71876525878906,lgp,mu+lambda,reward,walker2d,9,1500,1055.620849609375,1027.5693359375,1026.0625
16,1007.7857666015625,43.47256660461426,1.645316481590271,1009.4258422851562,995.7291259765625,406.7074890136719,1015.7950439453125,1687241511.0069315,16,393.6848449707031,208.2382049560547,16,9,81.3908462524414,lgp,mu+lambda,reward,walker2d,9,1600,1015.7950439453125,1009.4258422851562,1007.7857666015625
17,1009.611083984375,45.140748739242554,1.6433316469192505,1014.3213500976562,1003.373779296875,416.355224609375,1014.9092407226562,1687241512.6751137,17,425.81298828125,127.90531921386719,17,9,71.50012969970703,lgp,mu+lambda,reward,walker2d,9,1700,1014.9092407226562,1014.3213500976562,1009.611083984375
18,1012.8955078125,46.81126546859741,1.6448649168014526,1013.391845703125,1002.4293212890625,415.34796142578125,1015.810302734375,1687241514.3456304,18,415.062744140625,145.04885864257812,18,9,79.17354583740234,lgp,mu+lambda,reward,walker2d,9,1800,1015.810302734375,1013.391845703125,1012.8955078125
19,1011.6537475585938,48.47977900505066,1.644374132156372,1014.0018920898438,1003.9795532226562,496.1897888183594,1016.8893432617188,1687241516.014144,19,425.1763610839844,365.085693359375,19,9,78.24304962158203,lgp,mu+lambda,reward,walker2d,9,1900,1016.8893432617188,1014.0018920898438,1011.6537475585938
20,1012.1289672851562,50.14563846588135,1.6426457166671753,1014.41943359375,972.7242431640625,359.65869140625,1018.9370727539062,1687241517.6800034,20,403.33233642578125,117.91217803955078,20,9,66.287109375,lgp,mu+lambda,reward,walker2d,9,2000,1018.9370727539062,1014.41943359375,1012.1289672851562
21,1014.8130493164062,51.81310796737671,1.6421070098876953,1015.3399658203125,724.7137451171875,352.36627197265625,1026.132568359375,1687241519.347473,21,383.708740234375,129.30917358398438,21,9,78.60399627685547,lgp,mu+lambda,reward,walker2d,9,2100,1026.132568359375,1015.3399658203125,1014.8130493164062
22,1011.5206298828125,53.48419189453125,1.645544171333313,1013.1213989257812,1003.5838623046875,426.8309326171875,1021.5369873046875,1687241521.0185568,22,413.0398864746094,147.3006591796875,22,9,93.30464935302734,lgp,mu+lambda,reward,walker2d,9,2200,1021.5369873046875,1013.1213989257812,1011.5206298828125
23,1018.642333984375,55.15319061279297,1.643835425376892,1019.2488403320312,1000.3807373046875,381.5908203125,1020.032470703125,1687241522.6875556,23,404.2557373046875,127.77452850341797,23,9,75.73388671875,lgp,mu+lambda,reward,walker2d,9,2300,1020.032470703125,1019.2488403320312,1018.642333984375
