,training.run_id,training.fitness_1q,training.fitness_3q,training.generation,training.fitness_std,training.top_k_fit.top_0_fit,_step,training.top_k_fit.top_1_fit,_runtime,_timestamp,training.evaluation_time,training.fitness_mean,training.fitness_median,training.top_k_fit.top_2_fit,solver,ea,environment,seed,training.evaluation,training.top_k_reward.top_0_reward,training.top_k_reward.top_1_reward,training.top_k_reward.top_2_reward
0,0,200.38812255859375,-236.94601440429688,0,332.5212707519531,1285.09814453125,0,882.6318359375,26.9057035446167,1686954605.3177555,26.589553833007812,-10.035942077636719,-84.73126220703125,640.1923217773438,cgp,mu+lambda,halfcheetah,4,0,1285.09814453125,882.6318359375,640.1923217773438
1,0,263.47747802734375,-132.32098388671875,1,384.43310546875,2632.43310546875,1,1060.87841796875,33.706549644470215,1686954612.1186016,6.636692523956299,81.02690124511719,-10.417752265930176,792.8751831054688,cgp,mu+lambda,halfcheetah,4,100,2632.43310546875,1060.87841796875,792.8751831054688
2,0,817.742431640625,66.06998443603516,2,687.7026977539062,2678.055419921875,2,2220.70166015625,40.4164457321167,1686954618.8284976,6.685700416564941,524.0110473632812,451.65850830078125,2120.41357421875,cgp,mu+lambda,halfcheetah,4,200,2678.055419921875,2220.70166015625,2120.41357421875
3,0,1492.09619140625,164.51235961914062,3,959.1264038085938,3582.33642578125,3,3241.74609375,47.12100696563721,1686954625.533059,6.688101768493652,870.9610595703125,585.786376953125,3176.765869140625,cgp,mu+lambda,halfcheetah,4,300,3582.33642578125,3241.74609375,3176.765869140625
4,0,1875.20458984375,194.37046813964844,4,10111.947265625,4191.265625,4,3270.2138671875,53.828330755233765,1686954632.2403827,6.691162586212158,60.866249084472656,799.97412109375,3202.145263671875,cgp,mu+lambda,halfcheetah,4,400,4191.265625,3270.2138671875,3202.145263671875
5,0,1690.90234375,125.55796813964844,5,1103.4415283203125,3659.171142578125,5,3542.623046875,60.530333280563354,1686954638.9423852,6.685665130615234,942.6033935546875,478.1989440917969,3534.09375,cgp,mu+lambda,halfcheetah,4,500,3659.171142578125,3542.623046875,3534.09375
6,0,1937.317138671875,201.43319702148438,6,10118.91015625,3506.52099609375,6,3335.518310546875,67.22543621063232,1686954645.6374881,6.655453681945801,160.75608825683594,1175.73193359375,3183.155029296875,cgp,mu+lambda,halfcheetah,4,600,3506.52099609375,3335.518310546875,3183.155029296875
7,0,1555.1953125,184.794921875,7,14161.830078125,3788.337890625,7,3544.581787109375,73.9084300994873,1686954652.320482,6.645046234130859,-1105.4888916015625,527.4701538085938,3206.32177734375,cgp,mu+lambda,halfcheetah,4,700,3788.337890625,3544.581787109375,3206.32177734375
8,0,1676.6732177734375,411.299560546875,8,10109.96484375,3447.2138671875,8,3407.369873046875,80.6002414226532,1686954659.0122933,6.675351142883301,122.1850357055664,962.6359252929688,3345.7216796875,cgp,mu+lambda,halfcheetah,4,800,3447.2138671875,3407.369873046875,3345.7216796875
9,0,2384.126220703125,233.46466064453125,9,1382.8502197265625,4869.0615234375,9,4486.63818359375,87.28337335586548,1686954665.6954253,6.666593551635742,1315.2706298828125,827.9957275390625,4378.31494140625,cgp,mu+lambda,halfcheetah,4,900,4869.0615234375,4486.63818359375,4378.31494140625
10,0,2385.11865234375,37.130104064941406,10,10170.462890625,4333.740234375,10,4257.3837890625,93.96828556060791,1686954672.3803375,6.668778896331787,176.43527221679688,702.0059814453125,3928.338623046875,cgp,mu+lambda,halfcheetah,4,1000,4333.740234375,4257.3837890625,3928.338623046875
11,0,2299.57470703125,515.5213012695312,11,1295.8270263671875,5226.67041015625,11,4321.35693359375,100.64954924583435,1686954679.0616012,6.665010452270508,1396.15185546875,1061.2021484375,4207.326171875,cgp,mu+lambda,halfcheetah,4,1100,5226.67041015625,4321.35693359375,4207.326171875
12,0,2371.668212890625,216.85964965820312,12,1389.2037353515625,4767.13037109375,12,4613.5947265625,107.33094358444214,1686954685.7429955,6.6645917892456055,1401.888671875,1062.3050537109375,4514.22265625,cgp,mu+lambda,halfcheetah,4,1200,4767.13037109375,4613.5947265625,4514.22265625
13,0,2201.59912109375,250.4356231689453,13,10157.4462890625,4682.939453125,13,4258.396484375,114.01466059684753,1686954692.4267125,6.668384552001953,227.2379608154297,947.3094482421875,3924.02294921875,cgp,mu+lambda,halfcheetah,4,1300,4682.939453125,4258.396484375,3924.02294921875
14,0,3057.77783203125,120.72200012207031,14,1588.7020263671875,4758.93408203125,14,4694.82666015625,120.69320368766785,1686954699.1052556,6.662808418273926,1459.85400390625,788.1050415039062,4662.88916015625,cgp,mu+lambda,halfcheetah,4,1400,4758.93408203125,4694.82666015625,4662.88916015625
15,0,3181.908203125,339.06854248046875,15,10231.61328125,4767.88720703125,15,4712.47998046875,127.3758978843689,1686954705.7879498,6.667535305023193,620.21484375,1071.8702392578125,4662.29541015625,cgp,mu+lambda,halfcheetah,4,1500,4767.88720703125,4712.47998046875,4662.29541015625
16,0,2685.041259765625,36.6212158203125,16,1599.62744140625,5052.15380859375,16,4708.86572265625,134.12762141227722,1686954712.5396733,6.736553192138672,1468.704345703125,855.431396484375,4638.21630859375,cgp,mu+lambda,halfcheetah,4,1600,5052.15380859375,4708.86572265625,4638.21630859375
17,0,3205.494873046875,215.76251220703125,17,1681.51025390625,4896.2001953125,17,4820.31640625,140.84036540985107,1686954719.2524173,6.696489334106445,1566.6541748046875,936.2717895507812,4762.31005859375,cgp,mu+lambda,halfcheetah,4,1700,4896.2001953125,4820.31640625,4762.31005859375
18,0,2705.864990234375,87.69682312011719,18,10192.908203125,4706.2099609375,18,4525.61328125,147.54906511306763,1686954725.961117,6.691504955291748,343.70550537109375,885.212890625,4504.42578125,cgp,mu+lambda,halfcheetah,4,1800,4706.2099609375,4525.61328125,4504.42578125
19,0,3370.0703125,43.46863555908203,19,1769.6304931640625,5087.2666015625,19,4821.4052734375,154.26054620742798,1686954732.6725981,6.695251941680908,1645.98974609375,1296.20751953125,4717.8076171875,cgp,mu+lambda,halfcheetah,4,1900,5087.2666015625,4821.4052734375,4717.8076171875
20,0,2824.989990234375,52.62538528442383,20,1595.4501953125,5019.47998046875,20,4831.42138671875,160.97373628616333,1686954739.3857882,6.696298122406006,1509.6981201171875,1275.9522705078125,4669.962890625,cgp,mu+lambda,halfcheetah,4,2000,5019.47998046875,4831.42138671875,4669.962890625
21,0,2621.674072265625,-64.95570373535156,21,1638.8150634765625,5105.57666015625,21,4814.84912109375,167.68817687034607,1686954746.1002288,6.697324752807617,1242.7742919921875,723.4241333007812,4687.66748046875,cgp,mu+lambda,halfcheetah,4,2100,5105.57666015625,4814.84912109375,4687.66748046875
22,0,2991.040771484375,41.44129180908203,22,1597.571044921875,4722.13525390625,22,4566.388671875,174.41022658348083,1686954752.8222785,6.705780029296875,1396.18212890625,717.517822265625,4566.0498046875,cgp,mu+lambda,halfcheetah,4,2200,4722.13525390625,4566.388671875,4566.0498046875
23,0,2900.5595703125,97.36376190185547,23,1604.68994140625,4927.427734375,23,4838.20703125,181.1341269016266,1686954759.5461788,6.706888675689697,1500.2474365234375,851.7179565429688,4549.93408203125,cgp,mu+lambda,halfcheetah,4,2300,4927.427734375,4838.20703125,4549.93408203125
