,training.top_k_forward_reward.top_1_forward_reward,training.top_k_reward.top_1_reward,training.top_k_ctrl_reward.top_0_ctrl_reward,_step,_runtime,training.run_id,training.top_k_fit.top_2_fit,training.evaluation_time,training.top_k_healthy_reward.top_0_healthy_reward,training.fitness_std,training.top_k_fit.top_1_fit,training.top_k_reward.top_2_reward,training.fitness_mean,training.top_k_forward_reward.top_2_forward_reward,training.fitness_1q,training.top_k_reward.top_0_reward,training.top_k_healthy_reward.top_1_healthy_reward,training.generation,training.fitness_median,training.top_k_ctrl_reward.top_2_ctrl_reward,training.top_k_forward_reward.top_0_forward_reward,training.top_k_healthy_reward.top_2_healthy_reward,training.fitness_3q,training.top_k_fit.top_0_fit,_timestamp,training.top_k_ctrl_reward.top_1_ctrl_reward,solver,ea,fitness,environment,seed,training.evaluation
20,0,999.0,0,20,40.33395075798035,104,999,1.2690978050231934,0,370.6454162597656,999,999.0,215.13999938964844,0,154.5,999,0,20,32.0,0,0,0,7.0,999,1693558540.1537287,0,lgp-long,mu+lambda-ga,reward-unhealthy_termination,inverted_pendulum,104,2000
21,0,999.0,0,21,41.65354681015015,104,999,1.2787905931472778,0,346.9218444824219,999,999.0,179.4199981689453,0,61.25,999,0,21,29.0,0,0,0,6.0,999,1693558541.4733248,0,lgp-long,mu+lambda-ga,reward-unhealthy_termination,inverted_pendulum,104,2100
22,0,999.0,0,22,42.959413051605225,104,999,1.2653565406799316,0,380.45001220703125,999,999.0,217.4099884033203,0,85.5,999,0,22,31.0,0,0,0,8.0,999,1693558542.779191,0,lgp-long,mu+lambda-ga,reward-unhealthy_termination,inverted_pendulum,104,2200
23,0,999.0,0,23,44.340970277786255,104,999,1.26064932346344,0,389.7894287109375,999,999.0,236.00999450683594,0,162.0,999,0,23,31.5,0,0,0,7.0,999,1693558544.1607482,0,lgp-long,mu+lambda-ga,reward-unhealthy_termination,inverted_pendulum,104,2300
24,0,999.0,0,24,45.68371891975403,104,999,1.29795503616333,0,357.0087585449219,999,999.0,184.22999572753906,0,57.75,999,0,24,28.5,0,0,0,6.0,999,1693558545.503497,0,lgp-long,mu+lambda-ga,reward-unhealthy_termination,inverted_pendulum,104,2400
25,0,999.0,0,25,47.039573192596436,104,999,1.3146679401397705,0,390.8424987792969,999,999.0,235.22000122070312,0,166.25,999,0,25,32.0,0,0,0,6.0,999,1693558546.8593512,0,lgp-long,mu+lambda-ga,reward-unhealthy_termination,inverted_pendulum,104,2500
26,0,999.0,0,26,48.447447299957275,104,999,1.2646194696426392,0,343.8978271484375,999,999.0,185.58999633789062,0,63.0,999,0,26,32.0,0,0,0,7.0,999,1693558548.2672253,0,lgp-long,mu+lambda-ga,reward-unhealthy_termination,inverted_pendulum,104,2600
27,0,999.0,0,27,49.74997901916504,104,999,1.2348052263259888,0,348.80322265625,999,999.0,182.25999450683594,0,64.0,999,0,27,31.0,0,0,0,6.75,999,1693558549.569757,0,lgp-long,mu+lambda-ga,reward-unhealthy_termination,inverted_pendulum,104,2700
28,0,999.0,0,28,51.05266547203064,104,999,1.2407630681991577,0,396.2333068847656,999,999.0,241.8300018310547,0,182.0,999,0,28,29.5,0,0,0,7.0,999,1693558550.8724434,0,lgp-long,mu+lambda-ga,reward-unhealthy_termination,inverted_pendulum,104,2800
29,0,999.0,0,29,52.35388231277466,104,999,1.2443376779556274,0,340.4825439453125,999,999.0,175.97999572753906,0,58.0,999,0,29,29.5,0,0,0,7.0,999,1693558552.1736603,0,lgp-long,mu+lambda-ga,reward-unhealthy_termination,inverted_pendulum,104,2900
