,_step,_runtime,training.fitness_3q,_timestamp,training.run_id,training.generation,training.top_k_fit.top_2_fit,training.fitness_1q,training.fitness_std,training.evaluation_time,training.top_k_fit.top_0_fit,training.fitness_mean,training.fitness_median,training.top_k_fit.top_1_fit,solver,ea,environment,seed
18,18,109.92118215560913,701.85986328125,1687023998.55922,0,18,999.2166748046875,997.5650634765625,272.2489318847656,4.762099266052246,999.7338256835938,807.1646728515625,941.08935546875,999.4288330078125,cgp,mu+lambda,ant,6
19,19,114.71720170974731,706.2564086914062,1687024003.3552396,0,19,999.099853515625,997.3836669921875,274.1619873046875,4.7467122077941895,999.261962890625,822.330078125,958.28369140625,999.1262817382812,cgp,mu+lambda,ant,6
20,20,119.51118683815002,718.6943969726562,1687024008.1492248,0,20,999.2733764648438,997.851318359375,197.60133361816406,4.747893810272217,999.50341796875,858.1068725585938,969.35302734375,999.4426879882812,cgp,mu+lambda,ant,6
21,21,124.32105326652527,698.58740234375,1687024012.9590912,0,21,999.044189453125,997.83203125,238.224365234375,4.772640705108643,1000.2880859375,818.6790161132812,956.7318115234375,999.4404296875,cgp,mu+lambda,ant,6
22,22,129.13658905029297,683.8895263671875,1687024017.774627,0,22,999.411376953125,997.6763916015625,258.71380615234375,4.795883655548096,999.7333374023438,815.1150512695312,943.8171997070312,999.4694213867188,cgp,mu+lambda,ant,6
23,23,133.95345330238342,759.8496704101562,1687024022.5914912,0,23,999.082275390625,997.9710693359375,187.75172424316406,4.797318458557129,999.2940673828125,865.9646606445312,975.2150268554688,999.093017578125,cgp,mu+lambda,ant,6
24,24,138.77189421653748,718.5231323242188,1687024027.4099321,0,24,998.9436645507812,997.9912109375,207.28538513183594,4.800039291381836,999.0206298828125,845.7947998046875,933.4873046875,998.9776000976562,cgp,mu+lambda,ant,6
25,25,143.58794593811035,709.713623046875,1687024032.2259839,0,25,999.33935546875,998.1600341796875,287.47930908203125,4.796985149383545,999.79052734375,831.5919189453125,985.452880859375,999.5533447265625,cgp,mu+lambda,ant,6
26,26,148.4055655002594,808.9429931640625,1687024037.0436034,0,26,999.1929321289062,998.0274658203125,204.4615020751953,4.798769474029541,999.7060546875,870.220458984375,989.502685546875,999.5104370117188,cgp,mu+lambda,ant,6
27,27,153.22255420684814,683.681884765625,1687024041.8605921,0,27,999.2835083007812,997.7420654296875,265.09716796875,4.798725128173828,999.6098022460938,820.8942260742188,946.8224487304688,999.2888793945312,cgp,mu+lambda,ant,6
28,28,158.0387270450592,710.2857055664062,1687024046.676765,0,28,999.0579223632812,997.6672973632812,285.3763732910156,4.797614574432373,999.38232421875,819.91357421875,958.052490234375,999.104248046875,cgp,mu+lambda,ant,6
29,29,162.85415744781494,708.9400024414062,1687024051.4921954,0,29,999.4275512695312,997.805908203125,245.1674041748047,4.796459674835205,999.6420288085938,836.3365478515625,971.1407470703125,999.5460205078125,cgp,mu+lambda,ant,6
30,30,167.66903162002563,706.9368896484375,1687024056.3070695,0,30,999.4725952148438,997.989501953125,213.57080078125,4.796637535095215,999.78369140625,830.1356811523438,952.0481567382812,999.5702514648438,cgp,mu+lambda,ant,6
31,31,172.49408102035522,777.153564453125,1687024061.132119,0,31,999.537841796875,997.7528076171875,210.2630157470703,4.806468963623047,999.7047729492188,852.0215454101562,963.95166015625,999.6209106445312,cgp,mu+lambda,ant,6
32,32,177.31716084480286,667.773681640625,1687024065.9551988,0,32,999.5877075195312,998.01416015625,233.80804443359375,4.80391788482666,999.9859008789062,806.9248046875,919.68505859375,999.6481323242188,cgp,mu+lambda,ant,6
33,33,182.1332631111145,725.8447265625,1687024070.771301,0,33,998.9509887695312,997.84423828125,202.9089813232422,4.796718597412109,999.5269775390625,850.7024536132812,965.806884765625,999.0108642578125,cgp,mu+lambda,ant,6
34,34,186.94769287109375,696.2936401367188,1687024075.5857308,0,34,999.3140258789062,997.9222412109375,230.47499084472656,4.796403884887695,999.3603515625,811.8345947265625,924.5147094726562,999.3374633789062,cgp,mu+lambda,ant,6
35,35,191.76179242134094,703.34228515625,1687024080.3998303,0,35,999.0524291992188,998.0867919921875,223.80824279785156,4.795000076293945,999.3173828125,831.806396484375,947.9607543945312,999.1024780273438,cgp,mu+lambda,ant,6
36,36,196.578679561615,683.0313720703125,1687024085.2167175,0,36,999.5374145507812,997.0419311523438,258.54901123046875,4.798058032989502,999.8641967773438,813.5405883789062,917.51318359375,999.772705078125,cgp,mu+lambda,ant,6
37,37,201.39287781715393,667.9254760742188,1687024090.0309157,0,37,999.3548583984375,998.017333984375,284.6651306152344,4.796634197235107,999.5859375,808.5542602539062,968.2799072265625,999.4009399414062,cgp,mu+lambda,ant,6
38,38,206.20839095115662,838.9703369140625,1687024094.8464289,0,38,999.2605590820312,997.85107421875,195.23385620117188,4.797057628631592,999.5938720703125,876.3462524414062,979.9896240234375,999.5438232421875,cgp,mu+lambda,ant,6
39,39,211.024108171463,828.159912109375,1687024099.662146,0,39,999.0932006835938,998.0422973632812,209.28445434570312,4.796290397644043,999.2056274414062,869.087646484375,986.4644775390625,999.1369018554688,cgp,mu+lambda,ant,6
40,40,215.83875823020935,701.9476928710938,1687024104.4767962,0,40,999.3118896484375,997.88720703125,207.07913208007812,4.79758882522583,999.5283203125,846.7721557617188,979.026611328125,999.5038452148438,cgp,mu+lambda,ant,6
41,41,220.65719866752625,681.4417114257812,1687024109.2952366,0,41,998.878173828125,997.7340087890625,210.94577026367188,4.799249172210693,999.7688598632812,843.6553955078125,973.70849609375,998.9219970703125,cgp,mu+lambda,ant,6
42,42,225.47021579742432,700.992919921875,1687024114.1082537,0,42,999.1727294921875,997.373291015625,198.58941650390625,4.794055461883545,999.9347534179688,839.4776611328125,929.4822387695312,999.2069091796875,cgp,mu+lambda,ant,6
43,43,230.28433465957642,685.9100341796875,1687024118.9223726,0,43,999.33837890625,997.6729736328125,191.94032287597656,4.795151233673096,999.712890625,847.4224853515625,960.4771728515625,999.4945678710938,cgp,mu+lambda,ant,6
44,44,235.09737873077393,688.5291748046875,1687024123.7354167,0,44,999.2811889648438,997.63818359375,303.62420654296875,4.794741153717041,999.4559326171875,781.1079711914062,924.2509155273438,999.406982421875,cgp,mu+lambda,ant,6
45,45,239.90974140167236,716.1511840820312,1687024128.5477793,0,45,999.6664428710938,997.1978759765625,177.74969482421875,4.7936577796936035,999.9815063476562,863.6290283203125,950.6087646484375,999.6990356445312,cgp,mu+lambda,ant,6
46,46,244.7239694595337,678.117919921875,1687024133.3620074,0,46,999.3352661132812,997.8211669921875,214.0826873779297,4.796647071838379,999.599365234375,842.4840698242188,965.6337890625,999.5255737304688,cgp,mu+lambda,ant,6
47,47,249.5379295349121,706.3448486328125,1687024138.1759675,0,47,999.1326293945312,997.6947021484375,199.71340942382812,4.795567989349365,999.6922607421875,863.16748046875,984.77490234375,999.1559448242188,cgp,mu+lambda,ant,6
48,48,254.35217356681824,707.6931762695312,1687024142.9902115,0,48,999.364990234375,998.0089721679688,215.84800720214844,4.795952796936035,999.6965942382812,848.90185546875,974.5332641601562,999.4334716796875,cgp,mu+lambda,ant,6
49,49,259.16696190834045,692.5599975585938,1687024147.8049998,0,49,999.1555786132812,997.867431640625,225.6710205078125,4.797456741333008,999.4911499023438,837.9505004882812,988.453857421875,999.2015380859375,cgp,mu+lambda,ant,6
50,50,263.97986221313477,655.0140380859375,1687024152.6179001,0,50,999.2800903320312,997.66845703125,250.7200164794922,4.794628620147705,999.75244140625,799.5260009765625,954.4662475585938,999.6112670898438,cgp,mu+lambda,ant,6
51,51,268.7959611415863,709.7047729492188,1687024157.433999,0,51,999.1886596679688,998.1273193359375,221.7827911376953,4.797779560089111,1000.0241088867188,851.2759399414062,985.31591796875,999.9754638671875,cgp,mu+lambda,ant,6
52,52,273.60827350616455,688.7047119140625,1687024162.2463114,0,52,999.449462890625,997.5396728515625,208.9951629638672,4.794980049133301,999.7830200195312,836.03515625,961.8603515625,999.533447265625,cgp,mu+lambda,ant,6
53,53,278.42143750190735,693.8455810546875,1687024167.0594754,0,53,999.259033203125,998.2073974609375,221.42864990234375,4.794637680053711,999.3944702148438,837.6832885742188,973.4495239257812,999.3305053710938,cgp,mu+lambda,ant,6
54,54,283.23506355285645,708.593505859375,1687024171.8731015,0,54,998.92236328125,997.9901733398438,230.1430206298828,4.794834136962891,999.7866821289062,846.525146484375,971.7864990234375,999.1914672851562,cgp,mu+lambda,ant,6
55,55,288.04666328430176,711.9884033203125,1687024176.6847012,0,55,999.9281616210938,998.1259155273438,172.26426696777344,4.7941741943359375,1000.068115234375,860.2554321289062,936.1821899414062,1000.0393676757812,cgp,mu+lambda,ant,6
56,56,292.85959339141846,871.9878540039062,1687024181.4976313,0,56,999.5831298828125,998.120361328125,143.65011596679688,4.794119358062744,999.8630981445312,905.2617797851562,984.5526123046875,999.6544189453125,cgp,mu+lambda,ant,6
57,57,297.67998719215393,643.402587890625,1687024186.318025,0,57,999.2123413085938,998.0120849609375,235.38352966308594,4.800755500793457,999.4290771484375,798.7721557617188,920.9427490234375,999.4038696289062,cgp,mu+lambda,ant,6
58,58,302.4945909976959,709.2261962890625,1687024191.132629,0,58,999.459228515625,998.1206665039062,204.97396850585938,4.795966148376465,999.7183227539062,857.2974243164062,982.1519775390625,999.6336669921875,cgp,mu+lambda,ant,6
59,59,307.30947279930115,682.8465576171875,1687024195.9475107,0,59,999.645263671875,996.9512939453125,251.33837890625,4.7971110343933105,999.9187622070312,814.9684448242188,959.911865234375,999.7318115234375,cgp,mu+lambda,ant,6
60,60,312.123361825943,702.6251220703125,1687024200.7613997,0,60,999.4591064453125,997.9249267578125,239.08462524414062,4.795111656188965,1000.1799926757812,827.2752075195312,955.758056640625,999.4934692382812,cgp,mu+lambda,ant,6
61,61,316.94011640548706,799.4550170898438,1687024205.5781543,0,61,999.5316772460938,998.2131958007812,199.14263916015625,4.7980217933654785,1000.3803100585938,869.6868286132812,982.1551513671875,999.7098999023438,cgp,mu+lambda,ant,6
62,62,321.7531189918518,698.2410278320312,1687024210.391157,0,62,999.2821044921875,997.8634643554688,240.84519958496094,4.795146942138672,999.689697265625,821.6795654296875,967.018798828125,999.656005859375,cgp,mu+lambda,ant,6
63,63,326.5637996196747,719.30029296875,1687024215.2018375,0,63,999.7095947265625,998.2333984375,183.0310821533203,4.793331623077393,1000.024658203125,863.4896850585938,965.4862670898438,999.8984375,cgp,mu+lambda,ant,6
64,64,331.3741240501404,832.76708984375,1687024220.012162,0,64,999.6549072265625,998.1425170898438,215.36859130859375,4.792176723480225,999.9776611328125,862.1276245117188,973.0274658203125,999.908935546875,cgp,mu+lambda,ant,6
65,65,336.1847541332245,694.7202758789062,1687024224.822792,0,65,999.765625,998.2445068359375,210.0491943359375,4.793619155883789,1000.0188598632812,836.8784790039062,960.2978515625,999.93212890625,cgp,mu+lambda,ant,6
66,66,340.994948387146,707.7788696289062,1687024229.6329863,0,66,1000.030517578125,998.092041015625,189.20632934570312,4.791322708129883,1000.1826782226562,854.259033203125,958.1832275390625,1000.0676879882812,cgp,mu+lambda,ant,6
67,67,345.81521677970886,702.7646484375,1687024234.4532547,0,67,999.8034057617188,998.0713500976562,192.266357421875,4.801393032073975,1000.6588134765625,860.2068481445312,983.8997802734375,1000.0872802734375,cgp,mu+lambda,ant,6
68,68,350.63630294799805,681.8358764648438,1687024239.2743409,0,68,999.578125,998.2401733398438,191.47142028808594,4.803446292877197,999.8399658203125,840.2774658203125,966.4847412109375,999.78515625,cgp,mu+lambda,ant,6
69,69,355.4558126926422,693.929931640625,1687024244.0938506,0,69,999.466552734375,997.9814453125,253.68548583984375,4.800426959991455,1000.1932983398438,819.40234375,967.3875732421875,999.8536376953125,cgp,mu+lambda,ant,6
70,70,360.2734487056732,747.4110717773438,1687024248.9114866,0,70,999.811279296875,997.75927734375,181.29466247558594,4.799302577972412,1000.3580932617188,872.607666015625,990.4861450195312,1000.15478515625,cgp,mu+lambda,ant,6
71,71,365.0943670272827,708.7984619140625,1687024253.732405,0,71,999.7265625,998.5159912109375,211.8541717529297,4.803172588348389,1000.4564819335938,862.0618286132812,981.15771484375,1000.0341796875,cgp,mu+lambda,ant,6
72,72,369.9125831127167,708.300048828125,1687024258.550621,0,72,999.9227294921875,998.0015869140625,198.8063507080078,4.7998762130737305,1000.5671997070312,845.700927734375,944.84521484375,999.9417724609375,cgp,mu+lambda,ant,6
73,73,374.7342824935913,832.9226684570312,1687024263.3723204,0,73,999.8448486328125,998.2405395507812,213.81858825683594,4.802441120147705,1000.5905151367188,865.7366333007812,971.3367309570312,999.8941040039062,cgp,mu+lambda,ant,6
74,74,379.554429769516,686.9050903320312,1687024268.1924677,0,74,999.7601318359375,997.95166015625,254.56619262695312,4.802412986755371,999.7872924804688,808.2474975585938,952.378173828125,999.78564453125,cgp,mu+lambda,ant,6
75,75,384.3756387233734,690.9449462890625,1687024273.0136766,0,75,999.5072021484375,998.0970458984375,214.6480255126953,4.801601886749268,999.6439208984375,830.7101440429688,969.9820556640625,999.6030883789062,cgp,mu+lambda,ant,6
76,76,389.1922571659088,683.2124633789062,1687024277.830295,0,76,999.64111328125,998.1812744140625,227.751708984375,4.7979021072387695,1000.3460083007812,829.9172973632812,959.7969360351562,999.9877319335938,cgp,mu+lambda,ant,6
77,77,394.0055892467499,726.711181640625,1687024282.6436272,0,77,999.5987548828125,997.8651123046875,215.7488555908203,4.795401573181152,1000.229248046875,846.7244262695312,959.6365356445312,999.6851806640625,cgp,mu+lambda,ant,6
78,78,398.8213863372803,821.6419067382812,1687024287.4594243,0,78,999.750732421875,998.33935546875,240.63645935058594,4.79683256149292,1000.1359252929688,857.056640625,983.759033203125,999.9817504882812,cgp,mu+lambda,ant,6
79,79,403.63839745521545,708.2044067382812,1687024292.2764354,0,79,999.9147338867188,998.1510009765625,224.39308166503906,4.798264026641846,1000.5147094726562,841.0369873046875,940.8577270507812,999.9633178710938,cgp,mu+lambda,ant,6
80,80,408.45498180389404,860.6129760742188,1687024297.0930197,0,80,999.9457397460938,998.230712890625,206.09031677246094,4.798274993896484,1000.7037963867188,882.055908203125,987.9200439453125,1000.0291748046875,cgp,mu+lambda,ant,6
81,81,413.27106165885925,696.2177734375,1687024301.9090996,0,81,999.9707641601562,997.8087158203125,221.90631103515625,4.79755163192749,1000.2835693359375,823.4428100585938,948.725830078125,1000.1369018554688,cgp,mu+lambda,ant,6
82,82,418.08513498306274,652.741455078125,1687024306.723173,0,82,1000.1583251953125,998.4411010742188,296.42547607421875,4.795958995819092,1000.4158935546875,781.798583984375,944.765380859375,1000.3465576171875,cgp,mu+lambda,ant,6
83,83,422.90088963508606,706.4051513671875,1687024311.5389276,0,83,1000.0210571289062,998.570068359375,207.59547424316406,4.798386573791504,1000.2098388671875,862.7018432617188,985.8956298828125,1000.0897827148438,cgp,mu+lambda,ant,6
84,84,427.71849298477173,695.46875,1687024316.356531,0,84,1000.1007690429688,998.4302368164062,230.6087188720703,4.7990288734436035,1000.35693359375,838.892578125,983.3966674804688,1000.2066040039062,cgp,mu+lambda,ant,6
85,85,432.53525972366333,665.8004760742188,1687024321.1732976,0,85,1000.1183471679688,998.3999633789062,222.47906494140625,4.798102378845215,1000.636962890625,818.5709228515625,952.7604370117188,1000.1795043945312,cgp,mu+lambda,ant,6
86,86,437.3509521484375,663.2566528320312,1687024325.98899,0,86,1000.2001342773438,998.1328125,241.06053161621094,4.799656391143799,1000.2332763671875,807.876708984375,975.466552734375,1000.2265014648438,cgp,mu+lambda,ant,6
87,87,442.17163610458374,635.6318359375,1687024330.809674,0,87,1000.2785034179688,997.7575073242188,261.508056640625,4.803593635559082,1000.6466064453125,781.0296630859375,889.3887329101562,1000.3572998046875,cgp,mu+lambda,ant,6
88,88,446.9883635044098,706.478515625,1687024335.6264014,0,88,1000.2388305664062,998.6701049804688,196.05995178222656,4.798974514007568,1000.3551635742188,868.287353515625,989.278076171875,1000.3009033203125,cgp,mu+lambda,ant,6
89,89,451.80006194114685,692.0670166015625,1687024340.4380999,0,89,1000.1134033203125,998.4853515625,256.4598388671875,4.78934907913208,1000.4271850585938,818.4111328125,962.0541381835938,1000.37255859375,cgp,mu+lambda,ant,6
90,90,456.5910143852234,737.7490844726562,1687024345.2290523,0,90,1000.44873046875,998.718994140625,207.83486938476562,4.770094871520996,1000.5473022460938,862.5641479492188,982.9420166015625,1000.4688720703125,cgp,mu+lambda,ant,6
91,91,461.37745428085327,693.5985107421875,1687024350.0154922,0,91,1000.0194702148438,997.2626342773438,250.56234741210938,4.762928485870361,1000.4273071289062,808.0068359375,930.8848876953125,1000.2826538085938,cgp,mu+lambda,ant,6
92,92,466.16364192962646,680.1804809570312,1687024354.8016798,0,92,1000.3497314453125,998.8019409179688,233.67686462402344,4.764283180236816,1001.0439453125,813.2858276367188,934.85693359375,1000.4449462890625,cgp,mu+lambda,ant,6
93,93,470.951872587204,695.0162353515625,1687024359.5899105,0,93,1000.3187255859375,999.1443481445312,265.40826416015625,4.764928340911865,1000.4523315429688,812.5927734375,966.03369140625,1000.3976440429688,cgp,mu+lambda,ant,6
94,94,475.748512506485,686.737548828125,1687024364.3865504,0,94,1000.3247680664062,998.7783203125,248.43414306640625,4.7683515548706055,1000.56201171875,819.0028686523438,968.1656494140625,1000.386474609375,cgp,mu+lambda,ant,6
95,95,480.5450963973999,687.7269897460938,1687024369.1831343,0,95,1000.5166015625,998.3806762695312,240.9507598876953,4.777402877807617,1000.6846923828125,828.181884765625,948.7479248046875,1000.554931640625,cgp,mu+lambda,ant,6
96,96,485.3373558521271,666.2166748046875,1687024373.9753938,0,96,1000.4517211914062,998.8486328125,319.9325866699219,4.775712013244629,1000.5797729492188,759.4027709960938,928.7894287109375,1000.4896240234375,cgp,mu+lambda,ant,6
97,97,490.12429094314575,714.6455078125,1687024378.7623289,0,97,1000.309814453125,999.110595703125,237.23851013183594,4.768365383148193,1000.6871337890625,836.948486328125,968.2657470703125,1000.326171875,cgp,mu+lambda,ant,6
98,98,494.9166157245636,638.3704223632812,1687024383.5546536,0,98,1000.5667114257812,998.413330078125,272.0223388671875,4.761147499084473,1000.5947265625,789.62841796875,944.507080078125,1000.5936889648438,cgp,mu+lambda,ant,6
99,99,499.7182996273041,631.1837158203125,1687024388.3563375,0,99,1000.5185546875,998.4647216796875,10033.498046875,4.771059513092041,1000.8833618164062,-197.2557830810547,977.8749389648438,1000.6473999023438,cgp,mu+lambda,ant,6
100,100,504.5140390396118,707.7171630859375,1687024393.152077,0,100,1000.6016235351562,998.470703125,205.56008911132812,4.767969608306885,1000.9155883789062,837.02099609375,890.0234375,1000.6405029296875,cgp,mu+lambda,ant,6
101,101,509.30208373069763,697.2217407226562,1687024397.9401217,0,101,1000.4505004882812,998.1964111328125,259.2833251953125,4.767675876617432,1000.7689208984375,799.7047729492188,921.2491455078125,1000.5086669921875,cgp,mu+lambda,ant,6
102,102,514.0888020992279,640.3775634765625,1687024402.72684,0,102,1000.60595703125,998.12353515625,301.52130126953125,4.768245697021484,1000.7166137695312,765.2718505859375,930.581298828125,1000.6724243164062,cgp,mu+lambda,ant,6
103,103,518.8758888244629,631.43798828125,1687024407.5139267,0,103,1000.5565185546875,999.6310424804688,287.490234375,4.767682075500488,1000.943115234375,781.7748413085938,956.7357177734375,1000.797119140625,cgp,mu+lambda,ant,6
104,104,523.661771774292,631.611572265625,1687024412.2998097,0,104,1000.450927734375,999.1154174804688,271.180908203125,4.766395092010498,1000.5661010742188,790.5390625,946.7973022460938,1000.5127563476562,cgp,mu+lambda,ant,6
105,105,528.4477558135986,700.3192138671875,1687024417.0857937,0,105,1000.4375,999.077880859375,250.52755737304688,4.76754093170166,1000.705078125,829.8162231445312,974.98828125,1000.4505615234375,cgp,mu+lambda,ant,6
106,106,533.2344295978546,619.9009399414062,1687024421.8724675,0,106,1000.5738525390625,998.39501953125,294.1981506347656,4.767021179199219,1000.6853637695312,767.8560791015625,924.6675415039062,1000.6043090820312,cgp,mu+lambda,ant,6
107,107,538.0215294361115,712.81787109375,1687024426.6595674,0,107,1000.608642578125,998.4362182617188,292.1470031738281,4.7682976722717285,1000.7639770507812,801.2635498046875,945.656982421875,1000.67919921875,cgp,mu+lambda,ant,6
108,108,542.8134443759918,694.2611083984375,1687024431.4514823,0,108,1000.5322265625,998.4068603515625,244.7845916748047,4.761594295501709,1000.6767578125,820.1094970703125,963.1119384765625,1000.6549072265625,cgp,mu+lambda,ant,6
109,109,547.6242835521698,644.543701171875,1687024436.2623215,0,109,1000.6469116210938,999.530029296875,279.4682312011719,4.76825475692749,1000.9882202148438,788.2163696289062,958.9901123046875,1000.7721557617188,cgp,mu+lambda,ant,6
110,110,552.4409337043762,555.4432983398438,1687024441.0789716,0,110,1000.4535522460938,997.5535888671875,10026.5810546875,4.787899017333984,1000.8427124023438,-288.3802185058594,796.2772216796875,1000.6445922851562,cgp,mu+lambda,ant,6
111,111,557.2521395683289,692.6513671875,1687024445.8901775,0,111,1000.6097412109375,998.791259765625,230.1771240234375,4.77703857421875,1000.8213500976562,822.3052978515625,934.0086669921875,1000.6749877929688,cgp,mu+lambda,ant,6
112,112,562.0513560771942,654.3372802734375,1687024450.689394,0,112,1000.372802734375,998.8392333984375,10032.109375,4.771357536315918,1000.4791259765625,-213.31703186035156,932.853515625,1000.4585571289062,cgp,mu+lambda,ant,6
113,113,566.8485333919525,665.2532348632812,1687024455.4865713,0,113,1000.2533569335938,998.923095703125,241.4079132080078,4.778648853302002,1000.6342163085938,805.9329223632812,912.0977172851562,1000.3519287109375,cgp,mu+lambda,ant,6
114,114,571.6369984149933,712.8346557617188,1687024460.2750363,0,114,1000.525634765625,998.2863159179688,225.9815216064453,4.768261909484863,1000.6875,835.29052734375,963.641357421875,1000.5260009765625,cgp,mu+lambda,ant,6
115,115,576.4250183105469,680.396240234375,1687024465.0630562,0,115,1000.678955078125,998.5711669921875,10033.4716796875,4.770606994628906,1000.8529663085938,-202.07456970214844,952.898193359375,1000.7061767578125,cgp,mu+lambda,ant,6
116,116,581.214085817337,683.4722290039062,1687024469.8521237,0,116,1000.5299072265625,999.230224609375,256.1415710449219,4.770010471343994,1000.7109985351562,817.1736450195312,938.0215454101562,1000.6061401367188,cgp,mu+lambda,ant,6
117,117,585.9968292713165,694.4926147460938,1687024474.6348672,0,117,1000.56884765625,997.9867553710938,247.410888671875,4.764394760131836,1000.9710083007812,814.2692260742188,946.2900390625,1000.8169555664062,cgp,mu+lambda,ant,6
118,118,590.7838175296783,682.890625,1687024479.4218554,0,118,1000.5137329101562,999.5026245117188,237.2677764892578,4.7696332931518555,1000.977294921875,817.8162231445312,952.12353515625,1000.9275512695312,cgp,mu+lambda,ant,6
119,119,595.5705783367157,683.3819580078125,1687024484.2086163,0,119,1000.6847534179688,999.3558959960938,216.06036376953125,4.76782751083374,1000.9872436523438,824.7687377929688,940.49462890625,1000.9094848632812,cgp,mu+lambda,ant,6
120,120,600.3563067913055,593.7577514648438,1687024488.9943447,0,120,1000.3720092773438,998.56396484375,303.598876953125,4.767180442810059,1000.789794921875,754.7621459960938,921.0711669921875,1000.3923950195312,cgp,mu+lambda,ant,6
121,121,605.1427578926086,681.5250244140625,1687024493.7807958,0,121,1000.4443359375,999.0252685546875,275.22149658203125,4.768085479736328,1000.57861328125,789.6578979492188,921.6243896484375,1000.573486328125,cgp,mu+lambda,ant,6
122,122,609.9247241020203,668.204345703125,1687024498.562762,0,122,1000.5772705078125,999.2328491210938,262.043701171875,4.763248920440674,1000.8170166015625,811.6100463867188,966.056884765625,1000.6217651367188,cgp,mu+lambda,ant,6
