,_step,_runtime,training.fitness_3q,_timestamp,training.run_id,training.generation,training.top_k_fit.top_2_fit,training.fitness_1q,training.fitness_std,training.evaluation_time,training.top_k_fit.top_0_fit,training.fitness_mean,training.fitness_median,training.top_k_fit.top_1_fit,solver,ea,environment,seed
0,0,23.646783590316772,225.49722290039062,1687023912.2848215,0,0,989.2948608398438,741.8334350585938,361.3148498535156,23.526580810546875,995.0579223632812,455.07177734375,486.93292236328125,989.6607666015625,cgp,mu+lambda,ant,6
1,1,28.565119743347168,595.8568725585938,1687023917.2031577,0,1,989.4999389648438,886.0603637695312,234.86216735839844,4.768965244293213,995.0958251953125,704.8178100585938,713.3201904296875,990.209716796875,cgp,mu+lambda,ant,6
2,2,33.3503623008728,611.76171875,1687023921.9884002,0,2,995.0261840820312,968.3226928710938,252.00759887695312,4.763660907745361,995.244384765625,765.7649536132812,851.8927001953125,995.2254028320312,cgp,mu+lambda,ant,6
3,3,38.138476848602295,684.9136352539062,1687023926.7765148,0,3,994.7405395507812,988.8392333984375,224.66009521484375,4.766038417816162,995.1189575195312,814.993408203125,956.0521850585938,995.0308837890625,cgp,mu+lambda,ant,6
4,4,42.91870737075806,699.7265625,1687023931.5567453,0,4,996.8513793945312,990.40771484375,221.20042419433594,4.758116722106934,997.2264404296875,826.2916870117188,968.92236328125,996.87548828125,cgp,mu+lambda,ant,6
5,5,47.70073986053467,688.7183837890625,1687023936.3387778,0,5,997.1284790039062,993.8187255859375,220.94415283203125,4.7604756355285645,997.317138671875,803.5682373046875,891.6209716796875,997.2979736328125,cgp,mu+lambda,ant,6
6,6,52.4881706237793,675.981689453125,1687023941.1262085,0,6,997.280029296875,995.1513061523438,243.47979736328125,4.76470422744751,997.3093872070312,800.7620849609375,953.1383056640625,997.2883911132812,cgp,mu+lambda,ant,6
7,7,57.28456974029541,719.15869140625,1687023945.9226077,0,7,997.5762939453125,996.67236328125,196.1183319091797,4.77206563949585,999.0284423828125,863.7682495117188,984.34912109375,997.8184814453125,cgp,mu+lambda,ant,6
8,8,62.07318425178528,706.3126831054688,1687023950.7112222,0,8,997.6278076171875,996.695068359375,218.50973510742188,4.765966415405273,999.3756713867188,829.598388671875,958.0222778320312,997.7794189453125,cgp,mu+lambda,ant,6
9,9,66.86068749427795,709.3021850585938,1687023955.4987254,0,9,998.06396484375,996.8074951171875,173.2115020751953,4.766629219055176,998.6348876953125,868.3731689453125,957.1045532226562,998.3109130859375,cgp,mu+lambda,ant,6
10,10,71.64879870414734,863.8532104492188,1687023960.2868366,0,10,998.3902587890625,997.0009155273438,166.75149536132812,4.765856742858887,999.1310424804688,891.7604370117188,984.1641845703125,999.0178833007812,cgp,mu+lambda,ant,6
11,11,76.43274188041687,709.9442138671875,1687023965.0707798,0,11,998.2130126953125,996.9942626953125,183.11392211914062,4.7622575759887695,998.338623046875,867.48193359375,983.8788452148438,998.2662353515625,cgp,mu+lambda,ant,6
12,12,81.2176902294159,741.0748901367188,1687023969.8557281,0,12,998.2930908203125,997.0384521484375,200.8164825439453,4.762718677520752,998.4066162109375,863.0304565429688,978.6693725585938,998.3499145507812,cgp,mu+lambda,ant,6
13,13,86.00175142288208,708.6033935546875,1687023974.6397893,0,13,998.58447265625,996.9588623046875,245.48550415039062,4.762519359588623,998.8063354492188,832.2720336914062,939.0530395507812,998.6848754882812,cgp,mu+lambda,ant,6
14,14,90.78496670722961,710.9482421875,1687023979.4230046,0,14,998.3695678710938,997.0983276367188,241.681640625,4.761590957641602,998.7227783203125,856.2274780273438,980.9979858398438,998.56298828125,cgp,mu+lambda,ant,6
15,15,95.56967210769653,738.4307861328125,1687023984.20771,0,15,998.8621215820312,997.3551025390625,190.5819549560547,4.762882709503174,999.6937866210938,867.3201293945312,982.70458984375,998.9767456054688,cgp,mu+lambda,ant,6
16,16,100.35251116752625,769.7069702148438,1687023988.990549,0,16,998.7356567382812,997.127197265625,182.7604522705078,4.760714054107666,999.8281860351562,870.2442626953125,969.0755615234375,999.274658203125,cgp,mu+lambda,ant,6
17,17,105.13882684707642,709.8622436523438,1687023993.7768648,0,17,998.6456298828125,997.8048706054688,184.92161560058594,4.757449626922607,998.7737426757812,871.222900390625,986.3524780273438,998.6519165039062,cgp,mu+lambda,ant,6
