,training.top_k_reward.top_1_reward,_step,training.run_id,training.generation,training.fitness_mean,training.fitness_median,training.top_k_fit.top_1_fit,training.fitness_std,training.top_k_reward.top_0_reward,_runtime,_timestamp,training.top_k_fit.top_0_fit,training.top_k_reward.top_2_reward,training.fitness_1q,training.fitness_3q,training.evaluation_time,training.top_k_fit.top_2_fit,solver,ea,fitness,environment,seed,training.evaluation
0,-566.30712890625,0,1,0,-1059.6837158203125,-70.44676208496094,929.0144653320312,9954.138671875,950.9998779296875,35.819650173187256,1687598348.8277152,941.5554809570312,918.7780151367188,297.90435791015625,-380.233642578125,32.07981872558594,885.37744140625,cgp-large,mu+lambda,reward,ant,1,0
1,541.3787841796875,1,1,1,401.0093688964844,468.6772155761719,945.1051635742188,400.5412292480469,993.0159912109375,52.992711544036865,1687598366.0007765,979.419677734375,583.4109497070312,657.8761596679688,228.6707763671875,17.033601760864258,942.35986328125,cgp-large,mu+lambda,reward,ant,1,100
2,730.3171997070312,2,1,2,-1582.4661865234375,497.5018310546875,983.3348999023438,14065.4501953125,883.5938720703125,70.0399272441864,1687598383.0479922,990.83251953125,882.58154296875,714.5977783203125,102.31422424316406,17.028444290161133,982.88037109375,cgp-large,mu+lambda,reward,ant,1,200
3,990.8197021484375,3,1,3,527.0352783203125,586.4523315429688,990.9280395507812,378.4307861328125,795.3770751953125,87.06457924842834,1687598400.0726442,990.9905395507812,992.67041015625,874.4133911132812,328.5760192871094,17.00988006591797,990.0615844726562,cgp-large,mu+lambda,reward,ant,1,300
4,991.0490112304688,4,1,4,483.62811279296875,455.17645263671875,991.4356689453125,440.0325012207031,989.78515625,104.09373998641968,1687598417.101805,993.1498413085938,989.94775390625,912.9674072265625,272.74163818359375,17.013471603393555,990.5357055664062,cgp-large,mu+lambda,reward,ant,1,400
5,975.4951782226562,5,1,5,-533.2046508789062,502.78155517578125,990.1464233398438,10005.029296875,895.945068359375,121.14436507225037,1687598434.15243,994.652587890625,986.6934814453125,859.6451416015625,166.61863708496094,17.03481674194336,989.8396606445312,cgp-large,mu+lambda,reward,ant,1,500
6,991.860107421875,6,1,6,-1662.8917236328125,306.2978210449219,992.2256469726562,14055.88671875,993.6846923828125,138.199467420578,1687598451.2075324,993.6846923828125,994.8534545898438,777.1336059570312,-60.38944625854492,17.040056228637695,991.3988037109375,cgp-large,mu+lambda,reward,ant,1,600
7,994.0111083984375,7,1,7,473.8235168457031,479.547607421875,994.0111083984375,414.3350830078125,945.3786010742188,155.2554485797882,1687598468.2635136,995.3544311523438,992.267578125,809.0220336914062,214.84158325195312,17.038713455200195,991.0916137695312,cgp-large,mu+lambda,reward,ant,1,700
8,967.8675537109375,8,1,8,-1486.2633056640625,545.233642578125,995.1881713867188,14079.501953125,995.23095703125,172.30174946784973,1687598485.3098145,995.23095703125,986.2925415039062,956.0086059570312,260.07171630859375,17.03048324584961,993.7407836914062,cgp-large,mu+lambda,reward,ant,1,800
9,995.528076171875,9,1,9,422.46099853515625,413.93414306640625,995.9395751953125,436.98199462890625,996.4551391601562,189.32584238052368,1687598502.3339074,996.9860229492188,889.0775756835938,830.1690673828125,97.67678833007812,17.008060455322266,995.63818359375,cgp-large,mu+lambda,reward,ant,1,900
10,997.1936645507812,10,1,10,505.2551574707031,471.3767395019531,996.3355102539062,397.24139404296875,994.39990234375,206.37527918815613,1687598519.3833442,996.5234375,996.3355102539062,985.8947143554688,173.52767944335938,17.032480239868164,996.3151245117188,cgp-large,mu+lambda,reward,ant,1,1000
11,994.6531372070312,11,1,11,517.5448608398438,501.41070556640625,996.3401489257812,391.884521484375,993.2733154296875,223.7003529071808,1687598536.708418,997.28857421875,919.8657836914062,918.6314697265625,273.29742431640625,17.307994842529297,996.1930541992188,cgp-large,mu+lambda,reward,ant,1,1100
12,993.1671752929688,12,1,12,522.6064453125,621.4214477539062,997.1228637695312,419.7783508300781,997.1461791992188,241.01387667655945,1687598554.0219417,997.1461791992188,992.0704345703125,983.5233764648438,210.20162963867188,17.29691505432129,996.99267578125,cgp-large,mu+lambda,reward,ant,1,1200
13,996.99169921875,13,1,13,462.0596008300781,520.0952758789062,996.99169921875,483.6789855957031,996.9501342773438,258.3557119369507,1687598571.363777,997.1187744140625,996.8931274414062,934.4874877929688,121.93753814697266,17.32668685913086,996.9312744140625,cgp-large,mu+lambda,reward,ant,1,1300
14,996.7249145507812,14,1,14,576.7393188476562,634.4415283203125,997.1182861328125,371.6279296875,996.6563720703125,275.6824369430542,1687598588.690502,997.322509765625,997.0455322265625,990.2398071289062,338.22003173828125,17.3104305267334,997.0342407226562,cgp-large,mu+lambda,reward,ant,1,1400
15,996.4995727539062,15,1,15,565.1522827148438,683.84375,997.2693481445312,406.6536865234375,996.8534545898438,293.0196735858917,1687598606.0277386,997.3870849609375,997.6023559570312,994.2315673828125,256.88763427734375,17.321250915527344,997.154296875,cgp-large,mu+lambda,reward,ant,1,1500
16,997.4366455078125,16,1,16,555.6063232421875,552.09375,997.1384887695312,355.9067077636719,996.9782104492188,310.3417749404907,1687598623.34984,997.357177734375,996.835693359375,969.1468505859375,318.5741271972656,17.305583953857422,997.0921020507812,cgp-large,mu+lambda,reward,ant,1,1600
17,997.3609619140625,17,1,17,551.17333984375,669.624755859375,997.291259765625,418.26812744140625,997.083740234375,327.7000832557678,1687598640.7081482,997.2949829101562,996.2911376953125,987.7900390625,240.79373168945312,17.342239379882812,997.1080932617188,cgp-large,mu+lambda,reward,ant,1,1700
18,996.7967529296875,18,1,18,508.89508056640625,499.1009521484375,997.0047607421875,384.84197998046875,996.9503173828125,345.02626514434814,1687598658.0343301,997.03466796875,997.32666015625,922.8194580078125,212.11407470703125,17.310441970825195,996.97900390625,cgp-large,mu+lambda,reward,ant,1,1800
19,995.4888916015625,19,1,19,571.7684936523438,656.2984619140625,997.4554443359375,383.0644836425781,996.8488159179688,362.3688552379608,1687598675.3769202,997.5969848632812,997.3825073242188,993.218505859375,309.89361572265625,17.325977325439453,997.0809936523438,cgp-large,mu+lambda,reward,ant,1,1900
20,997.661376953125,20,1,20,571.6243286132812,670.5661010742188,997.1387939453125,405.20379638671875,996.9384155273438,379.72789430618286,1687598692.7359593,997.153564453125,996.4525756835938,979.98583984375,311.5555725097656,17.34388542175293,997.1260375976562,cgp-large,mu+lambda,reward,ant,1,2000
21,997.6026000976562,21,1,21,-460.99615478515625,569.2625122070312,997.0517578125,10012.0966796875,996.4830932617188,397.0764112472534,1687598710.0844762,997.1028442382812,997.355712890625,994.3194580078125,226.47274780273438,17.332706451416016,996.9798583984375,cgp-large,mu+lambda,reward,ant,1,2100
22,996.368896484375,22,1,22,529.4795532226562,590.9564208984375,997.1878662109375,406.3542785644531,994.929443359375,414.3992335796356,1687598727.4072986,997.1951904296875,997.03173828125,916.6777954101562,318.5716247558594,17.30644416809082,997.1738891601562,cgp-large,mu+lambda,reward,ant,1,2200
23,997.292724609375,23,1,23,534.6715087890625,587.286376953125,997.1863403320312,418.50372314453125,996.9246826171875,431.73390102386475,1687598744.741966,997.6802978515625,997.5773315429688,995.51611328125,243.63807678222656,17.318593978881836,997.1196899414062,cgp-large,mu+lambda,reward,ant,1,2300
24,996.1719360351562,24,1,24,584.3182983398438,691.21240234375,997.1303100585938,429.9484558105469,996.5657348632812,449.08199310302734,1687598762.090058,997.2908935546875,996.8154296875,995.95751953125,358.767578125,17.33085060119629,997.0302124023438,cgp-large,mu+lambda,reward,ant,1,2400
25,997.2789306640625,25,1,25,520.8876953125,536.3570556640625,997.2716064453125,419.83551025390625,996.76806640625,466.3943667411804,1687598779.4024317,998.6688842773438,997.4588012695312,989.9163208007812,213.46607971191406,17.29572868347168,997.2342529296875,cgp-large,mu+lambda,reward,ant,1,2500
26,997.2152709960938,26,1,26,592.640869140625,686.890625,997.3912963867188,382.0644836425781,997.47998046875,483.7499248981476,1687598796.75799,997.5151977539062,993.8020629882812,996.4915771484375,347.0267333984375,17.34085464477539,997.2152709960938,cgp-large,mu+lambda,reward,ant,1,2600
27,997.610107421875,27,1,27,-410.7484130859375,666.391845703125,997.610107421875,10016.3779296875,994.2144775390625,500.93793416023254,1687598813.9459991,997.7108154296875,997.7779541015625,993.7363891601562,280.9790954589844,17.17283821105957,997.3016967773438,cgp-large,mu+lambda,reward,ant,1,2700
28,996.3487548828125,28,1,28,484.24725341796875,524.2947998046875,997.2302856445312,426.5243225097656,996.8598022460938,518.0048501491547,1687598831.0129151,997.2648315429688,996.8486938476562,988.3350830078125,221.3439483642578,17.049283981323242,997.1327514648438,cgp-large,mu+lambda,reward,ant,1,2800
29,997.0142211914062,29,1,29,527.8203125,503.9826965332031,997.5250244140625,381.661865234375,997.226318359375,535.0809168815613,1687598848.0889819,997.6729736328125,997.4965209960938,979.986328125,211.2647705078125,17.061281204223633,997.4019165039062,cgp-large,mu+lambda,reward,ant,1,2900
30,997.4834594726562,30,1,30,465.7702331542969,416.87994384765625,997.1539916992188,426.9548645019531,997.2080688476562,551.9242508411407,1687598864.9323158,997.4127807617188,997.1199951171875,992.2168579101562,136.28102111816406,16.828393936157227,997.1082153320312,cgp-large,mu+lambda,reward,ant,1,3000
31,996.9085083007812,31,1,31,536.0421752929688,560.8438110351562,997.19970703125,390.3103942871094,996.4821166992188,568.9104461669922,1687598881.9185112,997.3933715820312,996.594482421875,986.6160278320312,272.943603515625,16.972673416137695,997.1925048828125,cgp-large,mu+lambda,reward,ant,1,3100
32,997.5497436523438,32,1,32,520.8716430664062,538.9678344726562,997.2455444335938,423.36016845703125,996.9880981445312,586.2433428764343,1687598899.2514079,997.2598876953125,996.9603271484375,979.61767578125,270.5838623046875,17.317615509033203,997.2214965820312,cgp-large,mu+lambda,reward,ant,1,3200
33,996.3671875,33,1,33,532.67138671875,636.28271484375,997.4902954101562,431.1788024902344,996.8268432617188,603.5587229728699,1687598916.566788,997.6935424804688,994.4664916992188,995.8637084960938,200.9469451904297,17.30120849609375,997.33251953125,cgp-large,mu+lambda,reward,ant,1,3300
34,997.4237060546875,34,1,34,594.4255981445312,694.874755859375,997.2252807617188,393.31591796875,996.6001586914062,620.907826423645,1687598933.9158914,997.2533569335938,996.5979614257812,996.6046752929688,334.2760314941406,17.332914352416992,997.2154541015625,cgp-large,mu+lambda,reward,ant,1,3400
35,997.209228515625,35,1,35,576.8245849609375,623.144287109375,997.4249877929688,371.99615478515625,995.0776977539062,638.2296187877655,1687598951.2376838,997.4404907226562,997.0140380859375,913.8365478515625,359.0497741699219,17.30541229248047,997.3139038085938,cgp-large,mu+lambda,reward,ant,1,3500
36,996.0374145507812,36,1,36,505.0435791015625,583.2015380859375,997.2731323242188,458.1408996582031,997.0933837890625,655.4739043712616,1687598968.4819694,997.819580078125,997.876220703125,983.4794921875,288.9603271484375,17.214324951171875,997.261962890625,cgp-large,mu+lambda,reward,ant,1,3600
37,996.7973022460938,37,1,37,536.97314453125,597.3402709960938,997.3560180664062,418.66412353515625,997.0020141601562,672.5683515071869,1687598985.5764165,997.4171752929688,996.7440185546875,988.861328125,291.35894775390625,17.074398040771484,997.140869140625,cgp-large,mu+lambda,reward,ant,1,3700
38,997.1884155273438,38,1,38,534.8807373046875,595.1124267578125,997.2747802734375,419.7154846191406,996.6983032226562,690.9564578533173,1687599003.9645228,997.5221557617188,996.298095703125,993.1834716796875,270.6758117675781,18.366546630859375,997.2503051757812,cgp-large,mu+lambda,reward,ant,1,3800
39,997.2874755859375,39,1,39,574.8036499023438,681.8026733398438,997.378662109375,393.2367858886719,996.8190307617188,708.8079967498779,1687599021.8160617,997.6419067382812,997.1242065429688,994.6414794921875,322.5231018066406,17.832508087158203,997.3723754882812,cgp-large,mu+lambda,reward,ant,1,3900
40,996.8380737304688,40,1,40,-504.8614807128906,575.4302978515625,997.10205078125,10008.4287109375,996.1309204101562,726.179235458374,1687599039.1873004,997.3267211914062,997.4808959960938,903.6163330078125,137.90249633789062,17.352313995361328,997.0741577148438,cgp-large,mu+lambda,reward,ant,1,4000
41,996.7661743164062,41,1,41,497.72503662109375,511.1850280761719,997.5448608398438,419.34271240234375,996.5850219726562,743.2567529678345,1687599056.264818,997.653076171875,996.5001831054688,989.7345581054688,187.22340393066406,17.0583553314209,997.4209594726562,cgp-large,mu+lambda,reward,ant,1,4100
42,998.1831665039062,42,1,42,586.7767333984375,700.1118774414062,997.5260620117188,424.1793518066406,997.4481201171875,760.1966671943665,1687599073.2047322,998.111328125,996.9910278320312,992.4598388671875,341.17291259765625,16.92021369934082,997.3568115234375,cgp-large,mu+lambda,reward,ant,1,4200
43,997.2200317382812,43,1,43,554.9154663085938,569.8388671875,997.2667846679688,371.5943298339844,994.3767700195312,777.5351512432098,1687599090.5432162,997.385009765625,996.3202514648438,987.5401000976562,277.17529296875,17.319795608520508,997.2200317382812,cgp-large,mu+lambda,reward,ant,1,4300
44,996.7705688476562,44,1,44,-526.3060913085938,455.6402587890625,997.2389526367188,10006.85546875,997.0792236328125,794.8723428249359,1687599107.8804078,997.7310180664062,996.7726440429688,990.677490234375,159.33135986328125,17.31963539123535,997.2069702148438,cgp-large,mu+lambda,reward,ant,1,4400
45,997.9143676757812,45,1,45,662.9645385742188,696.3840942382812,997.3672485351562,344.14599609375,997.2947387695312,812.1558229923248,1687599125.163888,997.8560180664062,996.590576171875,996.7514038085938,435.6126708984375,17.26630210876465,997.26611328125,cgp-large,mu+lambda,reward,ant,1,4500
46,997.0662231445312,46,1,46,590.7318115234375,674.1058349609375,997.271240234375,405.8448181152344,995.5443725585938,829.4946980476379,1687599142.502763,997.4042358398438,997.1139526367188,990.5530395507812,391.00244140625,17.321849822998047,997.2174072265625,cgp-large,mu+lambda,reward,ant,1,4600
47,996.8173217773438,47,1,47,648.5984497070312,739.8935546875,997.2062377929688,383.4951477050781,997.520751953125,846.7876877784729,1687599159.7957528,997.520751953125,996.9742431640625,995.92041015625,415.79034423828125,17.27583885192871,997.1121826171875,cgp-large,mu+lambda,reward,ant,1,4700
48,997.2062377929688,48,1,48,573.9876708984375,608.263671875,997.2062377929688,362.4186096191406,996.8772583007812,864.1204013824463,1687599177.1284664,997.2630615234375,997.0738525390625,900.7991333007812,382.29022216796875,17.315404891967773,997.1869506835938,cgp-large,mu+lambda,reward,ant,1,4800
49,997.55224609375,49,1,49,619.0109252929688,705.5142822265625,997.2612915039062,362.308349609375,997.0693969726562,881.4538140296936,1687599194.461879,997.4807739257812,996.55810546875,996.0927124023438,399.518798828125,17.31716537475586,997.1873779296875,cgp-large,mu+lambda,reward,ant,1,4900
50,997.237060546875,50,1,50,646.6090698242188,705.8087158203125,997.2771606445312,325.41839599609375,997.8960571289062,898.8003866672516,1687599211.8084517,997.4231567382812,997.4231567382812,996.08642578125,399.2095947265625,17.328596115112305,997.237060546875,cgp-large,mu+lambda,reward,ant,1,5000
51,996.6592407226562,51,1,51,581.7036743164062,609.294677734375,997.35302734375,350.69049072265625,997.47998046875,916.113317489624,1687599229.1213825,997.47998046875,996.8372192382812,991.1237182617188,340.29522705078125,17.295705795288086,997.1986083984375,cgp-large,mu+lambda,reward,ant,1,5100
52,997.6895751953125,52,1,52,578.6867065429688,693.2396240234375,997.6026000976562,414.38623046875,997.6026000976562,933.4237811565399,1687599246.4318461,997.83935546875,997.9854125976562,996.6978759765625,214.96414184570312,17.29414939880371,997.3419799804688,cgp-large,mu+lambda,reward,ant,1,5200
53,997.3240356445312,53,1,53,583.4946899414062,659.95263671875,997.1666259765625,436.2803039550781,996.9882202148438,950.7451560497284,1687599263.753221,997.2169189453125,997.0167846679688,995.6717529296875,339.2425537109375,17.302806854248047,997.1132202148438,cgp-large,mu+lambda,reward,ant,1,5300
54,997.6511840820312,54,1,54,493.2369689941406,501.2275390625,997.3062744140625,416.2286682128906,996.988525390625,968.0863265991211,1687599281.0943916,997.6511840820312,996.5444946289062,910.8370361328125,222.96446228027344,17.32364845275879,997.302490234375,cgp-large,mu+lambda,reward,ant,1,5400
55,996.781982421875,55,1,55,626.8887939453125,691.8797607421875,997.3214721679688,348.6385803222656,998.1030883789062,985.3908314704895,1687599298.3988965,997.562255859375,997.2818603515625,994.7547607421875,410.74200439453125,17.285587310791016,997.2818603515625,cgp-large,mu+lambda,reward,ant,1,5500
56,997.0739135742188,56,1,56,586.2271728515625,695.2586669921875,997.2147827148438,446.0539245605469,997.1878051757812,1002.6884515285492,1687599315.6965165,997.2877197265625,997.1598510742188,990.6170654296875,416.3070068359375,17.27861785888672,997.1552734375,cgp-large,mu+lambda,reward,ant,1,5600
57,996.6354370117188,57,1,57,628.821533203125,704.0313720703125,997.2467041015625,370.1603698730469,997.6394653320312,1020.0166563987732,1687599333.0247214,997.3517456054688,997.0626831054688,995.283447265625,417.1551513671875,17.310285568237305,997.141357421875,cgp-large,mu+lambda,reward,ant,1,5700
58,997.322509765625,58,1,58,615.999755859375,625.9400634765625,997.3536376953125,341.0651550292969,997.0114135742188,1037.3393371105194,1687599350.347402,997.4888305664062,996.8171997070312,994.666259765625,390.92376708984375,17.30390739440918,997.3449096679688,cgp-large,mu+lambda,reward,ant,1,5800
59,996.8236083984375,59,1,59,622.45556640625,677.0171508789062,997.3721313476562,360.7488708496094,997.2756958007812,1054.6700534820557,1687599367.6781185,997.4603271484375,997.1043090820312,995.82763671875,353.7691650390625,17.313989639282227,997.2756958007812,cgp-large,mu+lambda,reward,ant,1,5900
60,996.7460327148438,60,1,60,628.8817138671875,679.727294921875,997.1419677734375,323.9084777832031,997.013427734375,1071.9480469226837,1687599384.956112,997.45458984375,996.7364501953125,995.9761962890625,422.80364990234375,17.25999641418457,997.1285400390625,cgp-large,mu+lambda,reward,ant,1,6000
61,997.1069946289062,61,1,61,589.6892700195312,589.29150390625,997.4658203125,344.43212890625,996.6913452148438,1089.229362487793,1687599402.2374275,997.5487060546875,996.8233642578125,982.337890625,389.0325012207031,17.262596130371094,997.2901000976562,cgp-large,mu+lambda,reward,ant,1,6100
62,997.0281982421875,62,1,62,604.5860595703125,698.016357421875,997.6317749023438,378.0370178222656,997.3709106445312,1106.5639181137085,1687599419.571983,997.8936157226562,998.26708984375,985.2490844726562,412.31866455078125,17.316184997558594,997.583251953125,cgp-large,mu+lambda,reward,ant,1,6200
