,training.fitness_3q,training.fitness_mean,_timestamp,training.fitness_1q,training.top_k_fit.top_0_fit,_runtime,training.generation,training.fitness_std,training.fitness_median,training.evaluation_time,training.top_k_fit.top_2_fit,_step,training.run_id,training.top_k_fit.top_1_fit,solver,ea,environment,seed,training.evaluation,training.top_k_reward.top_0_reward,training.top_k_reward.top_1_reward,training.top_k_reward.top_2_reward
0,21.086040496826172,71.1514663696289,1686906803.3724127,92.65221405029297,374.6109313964844,20.426485776901245,0,77.98662567138672,54.635658264160156,16.09708023071289,298.3341369628906,0,0,321.29248046875,cgp,mu+lambda,hopper,0,0,374.6109313964844,321.29248046875,298.3341369628906
1,43.65603256225586,109.7980728149414,1686906805.601669,155.9461669921875,564.4173583984375,22.655742168426514,1,97.43785095214844,83.76107788085938,1.9697725772857666,336.2941589355469,1,0,381.4075622558594,cgp,mu+lambda,hopper,0,100,564.4173583984375,381.4075622558594,336.2941589355469
2,40.63913345336914,130.15940856933594,1686906807.5978715,218.5007781982422,628.506103515625,24.651944637298584,2,128.76808166503906,94.44313049316406,1.979691982269287,386.04644775390625,2,0,541.8790283203125,cgp,mu+lambda,hopper,0,200,628.506103515625,541.8790283203125,386.04644775390625
3,56.22793960571289,247.06028747558594,1686906809.5909336,415.4259033203125,1001.2521362304688,26.64500665664673,3,212.97262573242188,198.2227783203125,1.9765454530715942,635.382080078125,3,0,983.8516235351562,cgp,mu+lambda,hopper,0,300,1001.2521362304688,983.8516235351562,635.382080078125
4,51.72510528564453,299.4581298828125,1686906811.610506,482.8212890625,1005.2131958007812,28.664579153060913,4,271.3724365234375,252.58221435546875,1.9990739822387695,997.1231689453125,4,0,1004.548095703125,cgp,mu+lambda,hopper,0,400,1005.2131958007812,1004.548095703125,997.1231689453125
5,78.97857666015625,391.0129699707031,1686906813.626326,545.9285888671875,1008.796630859375,30.680399179458618,5,323.3702697753906,424.0220947265625,1.9993605613708496,1004.4922485351562,5,0,1006.20458984375,cgp,mu+lambda,hopper,0,500,1008.796630859375,1006.20458984375,1004.4922485351562
6,51.00433349609375,421.2911376953125,1686906815.6809566,984.1502685546875,1014.7840576171875,32.73502969741821,6,409.42919921875,169.38731384277344,2.02689790725708,1006.063232421875,6,0,1011.837158203125,cgp,mu+lambda,hopper,0,600,1014.7840576171875,1011.837158203125,1006.063232421875
7,54.05844497680664,448.552490234375,1686906817.702246,998.798583984375,1015.7537841796875,34.75631904602051,7,445.9832458496094,130.355224609375,2.007080554962158,1011.8430786132812,7,0,1013.1396484375,cgp,mu+lambda,hopper,0,700,1015.7537841796875,1013.1396484375,1011.8430786132812
8,48.3652229309082,486.9352111816406,1686906819.7184784,999.1712646484375,1016.1534423828125,36.77255153656006,8,451.4742431640625,229.64779663085938,2.000704765319824,1012.8232421875,8,0,1014.3330688476562,cgp,mu+lambda,hopper,0,800,1016.1534423828125,1014.3330688476562,1012.8232421875
9,50.930030822753906,515.0062255859375,1686906821.8073187,1001.1468505859375,1019.3108520507812,38.86139178276062,9,466.02655029296875,298.1028137207031,2.0734145641326904,1014.760009765625,9,0,1017.8308715820312,cgp,mu+lambda,hopper,0,900,1019.3108520507812,1017.8308715820312,1014.760009765625
10,60.155601501464844,464.0674133300781,1686906823.8381903,1003.7708740234375,1020.23974609375,40.892263412475586,10,443.6558837890625,188.96148681640625,2.0161800384521484,1012.8472290039062,10,0,1013.1785278320312,cgp,mu+lambda,hopper,0,1000,1020.23974609375,1013.1785278320312,1012.8472290039062
11,55.828269958496094,495.1095275878906,1686906825.872424,1007.8947143554688,1019.44091796875,42.92649698257446,11,455.8416748046875,229.9939727783203,2.0192954540252686,1014.8214111328125,11,0,1015.623046875,cgp,mu+lambda,hopper,0,1100,1019.44091796875,1015.623046875,1014.8214111328125
