,_timestamp,training.run_id,training.evaluation_time,_step,training.top_k_fit.top_0_fit,training.top_k_fit.top_2_fit,training.fitness_mean,training.fitness_1q,training.fitness_3q,training.fitness_std,training.fitness_median,training.top_k_fit.top_1_fit,_runtime,training.generation,solver,ea,environment,seed
0,1687247572.4190028,9,15.33919906616211,0,299.07763671875,264.59820556640625,77.2293701171875,112.62946319580078,25.62879753112793,74.14657592773438,52.30487060546875,271.4839172363281,16.50501775741577,0,lgp,mu+lambda,hopper,9
1,1687247573.9640203,9,1.4012250900268555,1,996.197265625,310.0533752441406,140.09524536132812,224.16790771484375,59.275482177734375,122.2566146850586,104.72728729248047,319.6699523925781,18.05003523826599,1,lgp,mu+lambda,hopper,9
2,1687247575.4009516,9,1.4170417785644531,2,995.6314086914062,989.0195922851562,156.55296325683594,215.39239501953125,56.07408905029297,172.4175262451172,128.0797576904297,992.629150390625,19.486966609954834,2,lgp,mu+lambda,hopper,9
3,1687247576.839051,9,1.4236775636672974,3,994.4411010742188,991.0118408203125,175.4405059814453,223.70855712890625,56.82860565185547,205.18568420410156,119.88212585449219,993.3762817382812,20.925065994262695,3,lgp,mu+lambda,hopper,9
4,1687247578.2790143,9,1.4248332977294922,4,1000.9069213867188,993.0614013671875,233.76473999023438,239.80860900878906,62.485809326171875,269.2903137207031,167.569091796875,999.3555908203125,22.365029335021973,4,lgp,mu+lambda,hopper,9
5,1687247579.7176087,9,1.4202722311019897,5,1003.2581787109375,998.2388305664062,271.23956298828125,251.16677856445312,67.37313079833984,310.52423095703125,182.33120727539062,999.6333618164062,23.80362367630005,5,lgp,mu+lambda,hopper,9
6,1687247581.1552246,9,1.4195597171783447,6,1003.07421875,999.2023315429688,348.5378723144531,554.138671875,63.432403564453125,379.0830078125,197.43832397460938,999.7483520507812,25.241239547729492,6,lgp,mu+lambda,hopper,9
7,1687247582.5922186,9,1.4186971187591553,7,1004.1449584960938,1002.3734130859375,423.0220947265625,989.9629516601562,65.93098449707031,428.9273986816406,152.9898223876953,1003.0059204101562,26.67823362350464,7,lgp,mu+lambda,hopper,9
8,1687247584.030716,9,1.4212311506271362,8,1011.731689453125,1002.2620239257812,437.3352355957031,992.6849365234375,84.44828796386719,421.8836364746094,194.92926025390625,1003.4094848632812,28.11673092842102,8,lgp,mu+lambda,hopper,9
9,1687247585.4679248,9,1.4194543361663818,9,1008.8773193359375,1005.2832641601562,450.8249206542969,996.8370361328125,58.698280334472656,444.0449523925781,177.69326782226562,1008.8438110351562,29.553939819335938,9,lgp,mu+lambda,hopper,9
