,training.generation,training.run_id,training.fitness_1q,training.top_k_fit.top_0_fit,training.top_k_reward.top_1_reward,training.fitness_3q,training.fitness_mean,training.evaluation_time,training.top_k_fit.top_1_fit,training.fitness_median,training.top_k_fit.top_2_fit,training.top_k_reward.top_0_reward,training.top_k_reward.top_2_reward,_step,_runtime,_timestamp,training.fitness_std,solver,ea,fitness,environment,seed,training.evaluation
0,0,2,0.12433454394340515,6.826151371002197,-35.88774871826172,-0.20168209075927734,0.13243500888347626,32.231266021728516,6.604344844818115,-0.050548017024993896,2.7389373779296875,276.98876953125,-329.77423095703125,0,35.72582244873047,1687563831.1357734,1.0642844438552856,cgp-large,mu+lambda,distance,ant,2,0
1,1,2,0.5355139374732971,13.636998176574707,398.53759765625,-0.2144763320684433,0.5159140825271606,17.264171600341797,6.975878715515137,0.043532904237508774,6.40906286239624,-365.2676696777344,327.1474609375,1,53.13229966163635,1687563848.5422506,2.0194666385650635,cgp-large,mu+lambda,distance,ant,2,100
2,2,2,0.9789535999298096,8.31436824798584,-479.8435974121094,-0.14233139157295227,0.6190414428710938,17.198780059814453,8.216291427612305,0.15051758289337158,7.647071838378906,-34.02442932128906,260.3262634277344,2,70.3660798072815,1687563865.7760308,2.6767752170562744,cgp-large,mu+lambda,distance,ant,2,200
3,3,2,2.657656192779541,20.103473663330078,526.5142211914062,-0.19833573698997498,1.6283632516860962,17.02618408203125,15.769025802612305,0.29390525817871094,13.055194854736328,-171.0312957763672,-1104.734619140625,3,87.41194152832031,1687563882.8218925,3.978128433227539,cgp-large,mu+lambda,distance,ant,2,300
4,4,2,4.3575592041015625,13.784804344177246,9.91485595703125,-0.156043142080307,1.981484293937683,17.027076721191406,13.415696144104004,0.364610493183136,10.959818840026855,-596.9893188476562,-255.46820068359375,4,104.45901298522949,1687563899.868964,3.7262299060821533,cgp-large,mu+lambda,distance,ant,2,400
5,5,2,5.417180061340332,19.63431739807129,-149.74916076660156,-0.5251167416572571,2.492016077041626,17.037151336669922,14.682537078857422,0.16545972228050232,14.375788688659668,-614.3098754882812,41.99514389038086,5,121.5162262916565,1687563916.9261773,5.041263580322266,cgp-large,mu+lambda,distance,ant,2,500
6,6,2,3.768751382827759,18.275407791137695,-314.5960693359375,-0.21124541759490967,2.196842908859253,17.096038818359375,17.481189727783203,0.215557262301445,16.130144119262695,-172.21885681152344,290.93988037109375,6,138.63001680374146,1687563934.0399678,5.095846176147461,cgp-large,mu+lambda,distance,ant,2,600
7,7,2,3.4620273113250732,20.547595977783203,-220.7820281982422,-0.3576907217502594,2.328625202178955,17.120018005371094,18.62623405456543,0.21170513331890106,18.10065269470215,-408.4327392578125,-236.74937438964844,7,155.7700390815735,1687563951.17999,5.530820369720459,cgp-large,mu+lambda,distance,ant,2,700
8,8,2,4.050655841827393,17.24139976501465,-214.51893615722656,-0.2805717885494232,2.847496271133423,17.205163955688477,16.983495712280273,0.5065178871154785,15.831596374511719,-184.97666931152344,116.81774139404297,8,172.99987864494324,1687563968.4098296,5.087321758270264,cgp-large,mu+lambda,distance,ant,2,800
9,9,2,4.953269958496094,21.56437873840332,-163.75570678710938,-0.10924595594406128,2.9854674339294434,17.277225494384766,17.034727096557617,0.3238048255443573,16.782913208007812,203.26766967773438,-66.78941345214844,9,190.30140042304993,1687563985.7113514,5.594291687011719,cgp-large,mu+lambda,distance,ant,2,900
