,training.fitness_3q,training.evaluation_time,training.top_k_fit.top_1_fit,training.top_k_fit.top_2_fit,_step,training.fitness_std,training.top_k_fit.top_0_fit,training.run_id,training.fitness_1q,training.generation,training.fitness_mean,training.fitness_median,_runtime,_timestamp,solver,ea,environment,seed,training.evaluation,training.top_k_reward.top_0_reward,training.top_k_reward.top_1_reward,training.top_k_reward.top_2_reward
0,37.913856506347656,15.704099655151367,363.807373046875,362.2207336425781,0,9959.62109375,387.75604248046875,8,119.4432601928711,0,-906.7122192382812,60.74265670776367,17.163949012756348,1687200949.6862261,cgp,mu+lambda,walker2d,8,0,387.75604248046875,363.807373046875,362.2207336425781
1,53.021644592285156,2.201117515563965,456.8838195800781,348.7470703125,1,23779.935546875,1076.7725830078125,8,152.32601928710938,1,-5877.6474609375,82.74211883544922,19.509294509887695,1687200952.0315716,cgp,mu+lambda,walker2d,8,100,1076.7725830078125,456.8838195800781,348.7470703125
2,56.500404357910156,2.1940319538116455,429.5392150878906,417.5960388183594,2,139.2952880859375,1068.7864990234375,8,192.94068908691406,2,143.65380859375,93.14656066894531,21.72330069541931,1687200954.2455778,cgp,mu+lambda,walker2d,8,200,1068.7864990234375,429.5392150878906,417.5960388183594
3,58.19205093383789,2.19584321975708,991.560546875,453.7971496582031,3,164.1768035888672,1087.1658935546875,8,218.6749267578125,3,158.21482849121094,107.70854187011719,23.937808990478516,1687200956.460086,cgp,mu+lambda,walker2d,8,300,1087.1658935546875,991.560546875,453.7971496582031
4,53.25831604003906,2.1957945823669434,1001.7392578125,994.8577880859375,4,193.6418914794922,1084.0694580078125,8,255.3041534423828,4,176.71717834472656,98.96568298339844,26.152255058288574,1687200958.6745322,cgp,mu+lambda,walker2d,8,400,1084.0694580078125,1001.7392578125,994.8577880859375
5,58.05340576171875,2.19197940826416,1007.6953125,999.667724609375,5,200.70852661132812,1074.4859619140625,8,304.96392822265625,5,198.43081665039062,121.19965362548828,28.362578630447388,1687200960.8848557,cgp,mu+lambda,walker2d,8,500,1074.4859619140625,1007.6953125,999.667724609375
6,76.06865692138672,2.1906790733337402,1004.8050537109375,1002.9248657226562,6,240.68751525878906,1083.7039794921875,8,375.3246154785156,6,246.38743591308594,173.760009765625,30.572822332382202,1687200963.0950994,cgp,mu+lambda,walker2d,8,600,1083.7039794921875,1004.8050537109375,1002.9248657226562
7,61.903228759765625,2.1936779022216797,1019.3782348632812,1009.5836181640625,7,305.19781494140625,1078.3814697265625,8,432.45086669921875,7,295.7864074707031,154.77865600585938,32.78471827507019,1687200965.3069954,cgp,mu+lambda,walker2d,8,700,1078.3814697265625,1019.3782348632812,1009.5836181640625
8,67.6607666015625,2.1971943378448486,1048.4803466796875,1012.667724609375,8,9992.1201171875,1055.5888671875,8,519.5546875,8,-641.2252197265625,191.53799438476562,34.99951648712158,1687200967.5217936,cgp,mu+lambda,walker2d,8,800,1055.5888671875,1048.4803466796875,1012.667724609375
9,64.50140380859375,2.1964826583862305,1086.8927001953125,1085.60009765625,9,21873.548828125,1087.1634521484375,8,509.866455078125,9,-4669.94287109375,102.7406234741211,37.214303731918335,1687200969.7365808,cgp,mu+lambda,walker2d,8,900,1087.1634521484375,1086.8927001953125,1085.60009765625
10,72.20548248291016,2.1982219219207764,1088.08837890625,1084.44189453125,10,17134.02734375,1107.9375,8,912.212158203125,10,-2599.3486328125,150.58245849609375,39.430426359176636,1687200971.9527035,cgp,mu+lambda,walker2d,8,1000,1107.9375,1088.08837890625,1084.44189453125
11,75.15377807617188,2.1928441524505615,1089.6719970703125,1089.432861328125,11,9996.7587890625,1112.9034423828125,8,834.2055053710938,11,-612.286865234375,167.32611083984375,41.6415479183197,1687200974.163825,cgp,mu+lambda,walker2d,8,1100,1112.9034423828125,1089.6719970703125,1089.432861328125
12,59.27428436279297,2.1911633014678955,1086.6365966796875,1083.8009033203125,12,25624.322265625,1091.3953857421875,8,595.7675170898438,12,-6611.103515625,158.98379516601562,43.851317405700684,1687200976.3735945,cgp,mu+lambda,walker2d,8,1200,1091.3953857421875,1086.6365966796875,1083.8009033203125
13,65.77999877929688,2.1985924243927,1092.6298828125,1091.613037109375,13,14058.7578125,1093.441162109375,8,893.2874755859375,13,-1631.46826171875,125.13221740722656,46.06856727600098,1687200978.5908444,cgp,mu+lambda,walker2d,8,1300,1093.441162109375,1092.6298828125,1091.613037109375
14,66.54669189453125,2.1942501068115234,1099.7509765625,1093.220947265625,14,424.906005859375,1102.873779296875,8,851.8800048828125,14,360.7402648925781,102.07383728027344,48.280089139938354,1687200980.8023663,cgp,mu+lambda,walker2d,8,1400,1102.873779296875,1099.7509765625,1093.220947265625
15,67.74006652832031,2.1948232650756836,1104.810302734375,1092.806396484375,15,14059.3408203125,1112.7945556640625,8,996.112060546875,15,-1629.652099609375,102.76530456542969,50.49312973022461,1687200983.0154068,cgp,mu+lambda,walker2d,8,1500,1112.7945556640625,1104.810302734375,1092.806396484375
16,61.398902893066406,2.194359064102173,1100.6424560546875,1100.0006103515625,16,17130.111328125,1121.8575439453125,8,966.6141357421875,16,-2624.969970703125,93.65361785888672,52.7055504322052,1687200985.2278275,cgp,mu+lambda,walker2d,8,1600,1121.8575439453125,1100.6424560546875,1100.0006103515625
17,53.69755554199219,2.1970937252044678,1111.98779296875,1099.569580078125,17,23846.365234375,1116.5771484375,8,937.0848388671875,17,-5628.54052734375,99.47622680664062,54.92079305648804,1687200987.4430702,cgp,mu+lambda,walker2d,8,1700,1116.5771484375,1111.98779296875,1099.569580078125
