,training.run_id,training.fitness_1q,training.fitness_median,training.evaluation_time,training.top_k_fit.top_1_fit,_timestamp,training.top_k_fit.top_2_fit,_step,_runtime,training.fitness_3q,training.fitness_mean,training.top_k_fit.top_0_fit,training.generation,training.fitness_std,solver,ea,environment,seed,training.evaluation,training.top_k_reward.top_0_reward,training.top_k_reward.top_1_reward,training.top_k_reward.top_2_reward
0,0,42.15976333618164,-101.49290466308594,27.02591896057129,402.1859436035156,1686988375.9211056,388.1543884277344,0,27.120906591415405,-223.0269775390625,-1090.766845703125,573.7008666992188,0,9943.4912109375,cgp,mu+lambda,halfcheetah,9,0,573.7008666992188,402.1859436035156,388.1543884277344
1,0,107.19693756103516,-32.673095703125,6.597747802734375,553.4028930664062,1686988382.679302,377.543212890625,1,33.87910294532776,-136.7696533203125,-1007.6083374023438,811.2772827148438,1,9950.7890625,cgp,mu+lambda,halfcheetah,9,100,811.2772827148438,553.4028930664062,377.543212890625
2,0,518.3251953125,321.90264892578125,6.6515936851501465,974.0755004882812,1686988389.3659115,817.3173828125,2,40.565712451934814,108.8958740234375,306.9360656738281,1483.1383056640625,2,317.83709716796875,cgp,mu+lambda,halfcheetah,9,200,1483.1383056640625,974.0755004882812,817.3173828125
3,0,682.8757934570312,503.8272705078125,6.659504413604736,1950.6990966796875,1686988396.0607526,1489.9310302734375,3,47.26055359840393,126.0867691040039,-1532.1456298828125,2285.196044921875,3,14074.3818359375,cgp,mu+lambda,halfcheetah,9,300,2285.196044921875,1950.6990966796875,1489.9310302734375
4,0,1250.5107421875,554.166015625,6.6570868492126465,3089.767333984375,1686988402.7499907,2902.781005859375,4,53.94979166984558,99.19571685791016,-221.11495971679688,3354.79345703125,4,10063.125,cgp,mu+lambda,halfcheetah,9,400,3354.79345703125,3089.767333984375,2902.781005859375
5,0,1822.5419921875,914.1582641601562,6.657969951629639,3408.086181640625,1686988409.4380865,3178.7216796875,5,60.637887477874756,133.3071746826172,1109.2196044921875,3745.68798828125,5,1111.5452880859375,cgp,mu+lambda,halfcheetah,9,500,3745.68798828125,3408.086181640625,3178.7216796875
6,0,1842.14404296875,651.6663818359375,6.657865047454834,3216.8466796875,1686988416.1248431,3171.262451171875,6,67.32464408874512,238.67221069335938,1047.5911865234375,3770.4697265625,6,1066.383056640625,cgp,mu+lambda,halfcheetah,9,600,3770.4697265625,3216.8466796875,3171.262451171875
7,0,1375.2794189453125,549.3380126953125,6.651751518249512,3269.7236328125,1686988422.8066792,3269.6025390625,7,74.00648021697998,200.73484802246094,-45.167850494384766,4029.708251953125,7,10101.263671875,cgp,mu+lambda,halfcheetah,9,700,4029.708251953125,3269.7236328125,3269.6025390625
8,0,2049.469970703125,921.77294921875,6.6677565574646,3648.568359375,1686988429.5039556,3584.519287109375,8,80.70375657081604,281.4876403808594,135.50265502929688,3849.408447265625,8,10126.5576171875,cgp,mu+lambda,halfcheetah,9,800,3849.408447265625,3648.568359375,3584.519287109375
9,0,2152.85302734375,817.1883544921875,6.667203426361084,3860.3349609375,1686988436.2007587,3853.2021484375,9,87.40055966377258,250.18109130859375,-770.5941772460938,4177.60400390625,9,14226.1376953125,cgp,mu+lambda,halfcheetah,9,900,4177.60400390625,3860.3349609375,3853.2021484375
10,0,2065.7314453125,751.746337890625,6.666428565979004,3800.213134765625,1686988442.8966615,3632.399169921875,10,94.09646248817444,145.53570556640625,179.83140563964844,4146.47314453125,10,10136.814453125,cgp,mu+lambda,halfcheetah,9,1000,4146.47314453125,3800.213134765625,3632.399169921875
11,0,2124.528564453125,656.7807006835938,6.676110744476318,3833.585693359375,1686988449.5919828,3800.81103515625,11,100.79178380966187,129.22164916992188,1170.0223388671875,4091.397705078125,11,1217.1492919921875,cgp,mu+lambda,halfcheetah,9,1100,4091.397705078125,3833.585693359375,3800.81103515625
12,0,2070.082763671875,656.7337646484375,6.676833629608154,3813.2568359375,1686988456.286572,3745.4052734375,12,107.48637294769287,216.96340942382812,1165.7401123046875,3947.298583984375,12,1258.8511962890625,cgp,mu+lambda,halfcheetah,9,1200,3947.298583984375,3813.2568359375,3745.4052734375
13,0,2433.52978515625,766.1387939453125,6.680812835693359,3748.156005859375,1686988462.9823053,3686.972900390625,13,114.18210625648499,49.57697296142578,-759.4638671875,3772.662109375,13,14236.4228515625,cgp,mu+lambda,halfcheetah,9,1300,3772.662109375,3748.156005859375,3686.972900390625
14,0,2366.037109375,881.3439331054688,6.679060935974121,3921.611572265625,1686988469.6780188,3902.499755859375,14,120.87781977653503,359.7335510253906,1363.341796875,3942.187255859375,14,1280.854248046875,cgp,mu+lambda,halfcheetah,9,1400,3942.187255859375,3921.611572265625,3902.499755859375
15,0,2671.021728515625,723.6741943359375,6.678197383880615,4024.646728515625,1686988476.3715422,3937.159423828125,15,127.57134318351746,130.06637573242188,290.21697998046875,4059.3193359375,15,10179.78125,cgp,mu+lambda,halfcheetah,9,1500,4059.3193359375,4024.646728515625,3937.159423828125
16,0,2876.776123046875,931.2462768554688,6.674678802490234,3702.639892578125,1686988483.0628831,3697.634033203125,16,134.26268410682678,318.54718017578125,1485.2835693359375,3796.404541015625,16,1392.7611083984375,cgp,mu+lambda,halfcheetah,9,1600,3796.404541015625,3702.639892578125,3697.634033203125
17,0,3103.80224609375,745.8624877929688,6.676173686981201,3877.21533203125,1686988489.755127,3802.290771484375,17,140.95492792129517,420.2735290527344,535.9779663085938,3953.136474609375,17,10204.0322265625,cgp,mu+lambda,halfcheetah,9,1700,3953.136474609375,3877.21533203125,3802.290771484375
18,0,2378.8701171875,435.48541259765625,6.676738262176514,3777.7724609375,1686988496.4486964,3758.215576171875,18,147.64849734306335,-32.288604736328125,1099.9078369140625,3801.4521484375,18,1461.765380859375,cgp,mu+lambda,halfcheetah,9,1800,3801.4521484375,3777.7724609375,3758.215576171875
19,0,3308.82568359375,992.70849609375,6.675924777984619,3742.79833984375,1686988503.14057,3726.637451171875,19,154.3403708934784,124.18730926513672,1525.3690185546875,3823.89501953125,19,1556.55810546875,cgp,mu+lambda,halfcheetah,9,1900,3823.89501953125,3742.79833984375,3726.637451171875
20,0,3205.36376953125,981.1936645507812,6.678254127502441,3856.96728515625,1686988509.8357918,3789.094970703125,20,161.03559279441833,77.46002197265625,489.0750427246094,3942.46240234375,20,10212.1787109375,cgp,mu+lambda,halfcheetah,9,2000,3942.46240234375,3856.96728515625,3789.094970703125
21,0,3390.07470703125,786.2254638671875,6.674720287322998,3909.746337890625,1686988516.527537,3907.913818359375,21,167.72733807563782,341.3779296875,1607.8924560546875,4250.26513671875,21,1543.6966552734375,cgp,mu+lambda,halfcheetah,9,2100,4250.26513671875,3909.746337890625,3907.913818359375
22,0,3219.51416015625,948.5665283203125,6.676235675811768,3879.983642578125,1686988523.2213473,3871.1416015625,22,174.4211483001709,172.05331420898438,1523.9649658203125,3964.9248046875,22,1524.07470703125,cgp,mu+lambda,halfcheetah,9,2200,3964.9248046875,3879.983642578125,3871.1416015625
23,0,3427.064208984375,697.1563720703125,6.675153732299805,3976.334716796875,1686988529.913863,3891.926513671875,23,181.11366391181946,54.16484832763672,451.00701904296875,4182.01611328125,23,10219.5009765625,cgp,mu+lambda,halfcheetah,9,2300,4182.01611328125,3976.334716796875,3891.926513671875
24,0,2914.5126953125,679.734375,6.678065776824951,3955.8427734375,1686988536.6059365,3947.041015625,24,187.80573749542236,130.6620635986328,1402.4136962890625,4190.92138671875,24,1508.4813232421875,cgp,mu+lambda,halfcheetah,9,2400,4190.92138671875,3955.8427734375,3947.041015625
