,_timestamp,training.run_id,training.fitness_std,training.fitness_median,_step,_runtime,training.top_k_fit.top_0_fit,training.generation,training.fitness_mean,training.evaluation_time,training.top_k_fit.top_1_fit,training.fitness_1q,training.fitness_3q,training.top_k_fit.top_2_fit,solver,ea,fitness,environment,seed,training.evaluation,training.top_k_reward.top_0_reward,training.top_k_reward.top_1_reward,training.top_k_reward.top_2_reward
0,1687174307.1981525,0,85.08735656738281,80.21559143066406,0,20.302563428878784,492.65032958984375,0,98.93408203125,15.619820594787598,472.4395751953125,101.98079681396484,51.126277923583984,427.13275146484375,lgp,mu+lambda,reward,walker2d,0,0,492.65032958984375,472.4395751953125,427.13275146484375
1,1687174309.1073346,0,100.0346908569336,90.29051971435547,1,22.211745500564575,491.2861022949219,1,122.57063293457031,1.6489933729171753,439.781005859375,145.33404541015625,59.421424865722656,434.7207946777344,lgp,mu+lambda,reward,walker2d,0,100,491.2861022949219,439.781005859375,434.7207946777344
2,1687174310.7744675,0,128.17947387695312,94.94043731689453,2,23.878878355026245,720.4620971679688,2,139.7453155517578,1.6476118564605713,650.0355224609375,161.88735961914062,63.960044860839844,427.3971862792969,lgp,mu+lambda,reward,walker2d,0,200,720.4620971679688,650.0355224609375,427.3971862792969
3,1687174312.4436307,0,130.04335021972656,99.72955322265625,3,25.548041582107544,662.7296142578125,3,147.2379608154297,1.649627447128296,596.5906372070312,193.3465118408203,63.57343673706055,429.3354797363281,lgp,mu+lambda,reward,walker2d,0,300,662.7296142578125,596.5906372070312,429.3354797363281
4,1687174314.112646,0,173.1996307373047,114.99278259277344,4,27.2170569896698,721.5123901367188,4,190.00257873535156,1.649212121963501,678.0263671875,267.1836853027344,73.20796203613281,642.6565551757812,lgp,mu+lambda,reward,walker2d,0,400,721.5123901367188,678.0263671875,642.6565551757812
5,1687174315.7790673,0,178.42855834960938,151.17227172851562,5,28.88347816467285,773.4712524414062,5,214.4168701171875,1.646694540977478,667.0270385742188,365.2832336425781,70.43685913085938,608.5745849609375,lgp,mu+lambda,reward,walker2d,0,500,773.4712524414062,667.0270385742188,608.5745849609375
6,1687174317.447478,0,196.41653442382812,158.42214965820312,6,30.551888942718506,870.3318481445312,6,237.5133514404297,1.6483250856399536,735.5125732421875,391.878173828125,83.97078704833984,682.0427856445312,lgp,mu+lambda,reward,walker2d,0,600,870.3318481445312,735.5125732421875,682.0427856445312
7,1687174319.1144366,0,201.60560607910156,119.22145080566406,7,32.21884751319885,1015.1312866210938,7,219.27108764648438,1.6481684446334839,671.5098266601562,365.5475158691406,70.66188049316406,628.1727905273438,lgp,mu+lambda,reward,walker2d,0,700,1015.1312866210938,671.5098266601562,628.1727905273438
8,1687174320.782741,0,210.52188110351562,145.09042358398438,8,33.88715195655823,891.079833984375,8,239.3094482421875,1.6489622592926025,854.3905639648438,351.7149658203125,88.06950378417969,848.552490234375,lgp,mu+lambda,reward,walker2d,0,800,891.079833984375,854.3905639648438,848.552490234375
9,1687174322.4494927,0,225.59507751464844,135.66262817382812,9,35.553903579711914,1094.6287841796875,9,246.8455352783203,1.6464825868606567,1015.8121948242188,438.73333740234375,77.63140869140625,725.3355102539062,lgp,mu+lambda,reward,walker2d,0,900,1094.6287841796875,1015.8121948242188,725.3355102539062
10,1687174324.1173627,0,270.9209899902344,141.7765350341797,10,37.221773624420166,1029.6668701171875,10,279.63226318359375,1.648484706878662,1027.273681640625,462.4582214355469,72.81484985351562,1019.8985595703125,lgp,mu+lambda,reward,walker2d,0,1000,1029.6668701171875,1027.273681640625,1019.8985595703125
11,1687174325.7881622,0,283.0419616699219,138.40646362304688,11,38.89257311820984,1026.91748046875,11,285.4226989746094,1.6478604078292847,1020.3956909179688,441.8023681640625,78.5045166015625,1013.2059936523438,lgp,mu+lambda,reward,walker2d,0,1100,1026.91748046875,1020.3956909179688,1013.2059936523438
12,1687174327.4545524,0,283.185302734375,115.89166259765625,12,40.55896329879761,1023.1966552734375,12,285.6814270019531,1.6465531587600708,1021.6882934570312,552.1498413085938,71.41366577148438,1016.2696533203125,lgp,mu+lambda,reward,walker2d,0,1200,1023.1966552734375,1021.6882934570312,1016.2696533203125
13,1687174329.1240788,0,302.9804992675781,148.74317932128906,13,42.22848963737488,1032.405029296875,13,311.6775207519531,1.6496814489364624,1028.030517578125,544.686279296875,82.25152587890625,1005.6719970703125,lgp,mu+lambda,reward,walker2d,0,1300,1032.405029296875,1028.030517578125,1005.6719970703125
14,1687174330.7919989,0,274.37762451171875,125.75428771972656,14,43.89640974998474,1020.860595703125,14,272.7040710449219,1.6483327150344849,1009.0575561523438,481.09893798828125,79.15737915039062,1002.90185546875,lgp,mu+lambda,reward,walker2d,0,1400,1020.860595703125,1009.0575561523438,1002.90185546875
15,1687174332.4614425,0,302.780517578125,126.02520751953125,15,45.56585335731506,1031.9482421875,15,295.84375,1.6497457027435303,1022.3931274414062,471.8056640625,84.77146911621094,1015.789794921875,lgp,mu+lambda,reward,walker2d,0,1500,1031.9482421875,1022.3931274414062,1015.789794921875
