,training.top_k_healthy_reward.top_0_healthy_reward,training.run_id,training.fitness_mean,training.top_k_fit.top_1_fit,training.top_k_forward_reward.top_2_forward_reward,training.top_k_healthy_reward.top_2_healthy_reward,training.generation,training.evaluation_time,training.top_k_ctrl_reward.top_2_ctrl_reward,training.fitness_1q,training.fitness_std,training.fitness_median,training.top_k_fit.top_0_fit,training.top_k_reward.top_0_reward,_step,_runtime,_timestamp,training.top_k_forward_reward.top_1_forward_reward,training.top_k_reward.top_2_reward,training.top_k_ctrl_reward.top_1_ctrl_reward,training.top_k_forward_reward.top_0_forward_reward,training.top_k_ctrl_reward.top_0_ctrl_reward,training.top_k_healthy_reward.top_1_healthy_reward,training.fitness_3q,training.top_k_fit.top_2_fit,training.top_k_reward.top_1_reward,solver,ea,fitness,environment,seed,training.evaluation
0,814.4000244140625,3,-921.9268798828125,997.7528686523438,21.713825225830078,602.0,0,16.021703720092773,-0.8491629958152771,50.71100616455078,9959.060546875,31.583711624145508,1002.640380859375,817.3273315429688,0,19.5480318069458,1688731919.5770488,0.9379045367240906,622.864501953125,-1.70587158203125,4.75781774520874,-1.830500841140747,999.0,18.608402252197266,647.45361328125,998.2320556640625,cgp,mu+lambda-ga1,weighted-d-1-1-unhealthy_termination,walker2d,3,0
1,715.0,3,99.07308197021484,1004.7882690429688,2.214827060699463,999.0,1,2.3915622234344482,-1.703100562095642,41.460487365722656,202.57754516601562,19.5517635345459,1005.665283203125,722.7564086914062,1,22.093682527542114,1688731922.1226995,-34.004268646240234,999.5113525390625,-0.780947744846344,9.380698204040527,-1.6240185499191284,698.6000366210938,15.584346771240234,999.278564453125,663.8148803710938,cgp,mu+lambda-ga1,weighted-d-1-1-unhealthy_termination,walker2d,3,100
2,999.0,3,-855.8697509765625,1000.449951171875,3.3252484798431396,999.0,2,2.4021081924438477,-2.586817979812622,136.51217651367188,9966.720703125,47.22829055786133,1002.7770385742188,1003.73388671875,2,24.528481245040894,1688731924.5574982,4.9190545082092285,999.73828125,-1.7166141271591187,6.64050817489624,-1.906854271888733,999.0,18.723791122436523,1000.0049438476562,1002.2025756835938,cgp,mu+lambda-ga1,weighted-d-1-1-unhealthy_termination,walker2d,3,200
3,999.0,3,-10839.8857421875,1001.8985595703125,63.56672286987305,968.4000244140625,3,2.388157606124878,-1.9637240171432495,123.82201385498047,31346.3203125,46.904640197753906,1002.219482421875,1005.42724609375,3,26.950788974761963,1688731926.979806,5.301948547363281,1030.0029296875,-0.7916483283042908,8.324402809143066,-1.8967756032943726,857.4000244140625,21.379779815673828,999.2537231445312,861.9107666015625,cgp,mu+lambda-ga1,weighted-d-1-1-unhealthy_termination,walker2d,3,300
4,818.7999877929688,3,-706.7447509765625,1005.1741943359375,14.571070671081543,999.0,4,2.40419864654541,-1.7413675785064697,480.50616455078125,9985.3115234375,126.09387969970703,1007.2177124023438,820.55078125,4,29.39491319656372,1688731929.4239302,8.46001148223877,1011.8295288085938,-0.9028727412223816,3.4731979370117188,-1.7225321531295776,983.2000122070312,44.134376525878906,1003.2000122070312,990.7572631835938,cgp,mu+lambda-ga1,weighted-d-1-1-unhealthy_termination,walker2d,3,400
5,999.0,3,-2643.00341796875,1006.0126953125,10.204756736755371,999.0,5,2.4345004558563232,-1.9153791666030884,504.7451477050781,17125.548828125,141.11856079101562,1007.7835693359375,1010.6227416992188,5,31.900946855545044,1688731931.9299638,14.54465389251709,1007.2896728515625,-1.733162760734558,14.334650039672852,-2.711895227432251,999.0,54.045318603515625,1004.207275390625,1011.8113403320312,cgp,mu+lambda-ga1,weighted-d-1-1-unhealthy_termination,walker2d,3,500
6,999.0,3,-7822.39111328125,1011.199951171875,13.541986465454102,999.0,6,2.403569459915161,-2.7147462368011475,94.50080871582031,27183.478515625,44.37067413330078,1011.8455810546875,1014.4400634765625,6,34.335450649261475,1688731934.3644676,19.781997680664062,1009.8274536132812,-1.744552493095398,16.352766036987305,-0.912775993347168,999.0,23.199003219604492,1003.8468627929688,1017.03759765625,cgp,mu+lambda-ga1,weighted-d-1-1-unhealthy_termination,walker2d,3,600
7,999.0,3,290.4925842285156,1006.5631713867188,15.889841079711914,999.0,7,2.3921334743499756,-2.7134246826171875,401.5240478515625,380.63006591796875,84.81583404541016,1022.3489990234375,1027.6466064453125,7,36.76123642921448,1688731936.7902534,41.519168853759766,1012.1767578125,-2.3848743438720703,29.574506759643555,-0.927872359752655,864.7999877929688,41.24543762207031,1001.9751586914062,903.9343872070312,cgp,mu+lambda-ga1,weighted-d-1-1-unhealthy_termination,walker2d,3,700
8,975.4000244140625,3,284.8567199707031,1013.7738647460938,13.191191673278809,999.0,8,2.4135210514068604,-2.7220633029937744,380.64453125,361.7209777832031,93.33102416992188,1023.405517578125,997.7048950195312,8,39.23521685600281,1688731939.2642338,20.842382431030273,1009.4689331054688,-0.9126288294792175,23.4285945892334,-1.1237459182739258,999.0,43.73377990722656,1002.34765625,1018.9298706054688,cgp,mu+lambda-ga1,weighted-d-1-1-unhealthy_termination,walker2d,3,800
9,999.0,3,250.75827026367188,1017.6385498046875,21.466962814331055,999.0,9,2.3969786167144775,-2.0328972339630127,328.5023498535156,352.864990234375,75.21009826660156,1021.4935302734375,1029.0872802734375,9,41.66733717918396,1688731941.6963542,8.948824882507324,1018.4342041015625,-0.8028656244277954,31.198816299438477,-1.1117757558822632,878.2000122070312,37.2193717956543,1006.1239013671875,886.345703125,cgp,mu+lambda-ga1,weighted-d-1-1-unhealthy_termination,walker2d,3,900
