,training.generation,training.fitness_median,training.evaluation_time,training.top_k_fit.top_0_fit,training.run_id,training.fitness_1q,training.fitness_3q,training.fitness_std,training.top_k_fit.top_2_fit,_runtime,_timestamp,training.fitness_mean,training.top_k_fit.top_1_fit,_step,solver,ea,environment,seed
0,0,59.76216125488281,15.221370697021484,288.97210693359375,0,111.77177429199219,34.5846061706543,74.71263885498047,233.2093505859375,16.28136396408081,1686908871.222781,77.02655792236328,274.496826171875,0,cgp,mu+lambda,hopper,1
1,1,88.02975463867188,2.024972677230835,443.6185607910156,0,142.84474182128906,44.80284881591797,78.1492919921875,266.049072265625,18.451599836349487,1686908873.3930168,96.86128997802734,267.2899169921875,1,cgp,mu+lambda,hopper,1
2,2,157.49517822265625,2.0311338901519775,388.414794921875,0,220.13812255859375,56.587005615234375,94.880615234375,310.7862243652344,20.5024836063385,1686908875.4439006,147.85360717773438,355.9918518066406,2,cgp,mu+lambda,hopper,1
3,3,154.07272338867188,2.031527519226074,419.60205078125,0,214.63034057617188,52.88334274291992,104.26113891601562,359.4035339355469,22.55146360397339,1686908877.4928806,145.96206665039062,377.60845947265625,3,cgp,mu+lambda,hopper,1
4,4,187.1175079345703,2.0248749256134033,457.1871337890625,0,268.1015930175781,70.17686462402344,105.74557495117188,367.3436584472656,24.594778299331665,1686908879.5361953,180.382568359375,405.6971740722656,4,cgp,mu+lambda,hopper,1
5,5,127.36671447753906,2.0252153873443604,421.38079833984375,0,277.7545166015625,45.70688247680664,125.8376235961914,382.274169921875,26.639174222946167,1686908881.5805912,158.6164093017578,412.8752136230469,5,cgp,mu+lambda,hopper,1
6,6,181.76119995117188,2.0293898582458496,441.29437255859375,0,298.6439208984375,49.28385543823242,134.37937927246094,411.5016784667969,28.687886714935303,1686908883.6293037,180.62417602539062,420.8338928222656,6,cgp,mu+lambda,hopper,1
7,7,216.93280029296875,2.029343843460083,772.4228515625,0,316.0518493652344,59.8170051574707,9972.2978515625,477.9783935546875,30.734142541885376,1686908885.6755595,-789.3836059570312,581.2905883789062,7,cgp,mu+lambda,hopper,1
8,8,217.62728881835938,2.0319254398345947,719.0658569335938,0,404.3482971191406,53.76551055908203,9975.126953125,509.41705322265625,32.783517599105835,1686908887.7249346,-763.9381713867188,543.2427978515625,8,cgp,mu+lambda,hopper,1
9,9,94.3936538696289,2.018839120864868,1004.4053955078125,0,396.4129943847656,50.277381896972656,9974.017578125,782.2174072265625,34.81744027137756,1686908889.7588573,-784.5489501953125,813.2955322265625,9,cgp,mu+lambda,hopper,1
