,training.top_k_reward.top_1_reward,_step,_runtime,training.run_id,training.fitness_3q,training.fitness_median,training.evaluation_time,training.top_k_fit.top_1_fit,_timestamp,training.fitness_1q,training.top_k_fit.top_2_fit,training.top_k_reward.top_0_reward,training.generation,training.fitness_std,training.fitness_mean,training.top_k_fit.top_0_fit,training.top_k_reward.top_2_reward,solver,ea,fitness,environment,seed,training.evaluation
0,19.900684356689453,0,17.337224006652832,4,-0.9482491612434387,1.2459551095962524,16.054195404052734,20.156784057617188,1687357403.351078,1.5551975965499878,19.75748062133789,138.00811767578125,0,7.125533103942871,0.9016470313072205,50.00294494628906,51.80508804321289,cgp,mu+lambda,distance,hopper,4,0
1,284.8780517578125,1,19.58858060836792,4,0.7022905349731445,1.3403222560882568,2.103684663772583,15.74590015411377,1687357405.6024346,3.2516794204711914,15.324448585510254,4084.760986328125,1,4.980886459350586,2.4424948692321777,28.54433250427246,-448.7428894042969,cgp,mu+lambda,distance,hopper,4,100
2,240.6905975341797,2,21.70517134666443,4,-1.2939085960388184,1.9898043870925903,2.0951738357543945,42.61004638671875,1687357407.7190254,7.503732204437256,41.323829650878906,770.6400146484375,2,14.78844165802002,2.3298072814941406,53.0007438659668,-149.67408752441406,cgp,mu+lambda,distance,hopper,4,200
3,-535.7940063476562,3,23.81803011894226,4,-1.5542912483215332,1.877105951309204,2.0927298069000244,33.792659759521484,1687357409.8318841,9.76296615600586,33.458274841308594,257.6522521972656,3,12.843567848205566,4.1932477951049805,56.69487380981445,378.52490234375,cgp,mu+lambda,distance,hopper,4,300
4,290.1747131347656,4,25.936302661895752,4,-1.2466673851013184,2.692229747772217,2.100717544555664,85.94579315185547,1687357411.9501567,10.405096054077148,44.40056228637695,261.8410949707031,4,19.734142303466797,6.206550121307373,126.3958740234375,-477.43316650390625,cgp,mu+lambda,distance,hopper,4,400
5,2247.248779296875,5,28.051292181015015,4,-2.4568450450897217,3.7352066040039062,2.096553087234497,83.47297668457031,1687357414.0651462,11.316262245178223,66.99817657470703,-486.6368408203125,5,22.160066604614258,6.339981555938721,97.04667663574219,488.215576171875,cgp,mu+lambda,distance,hopper,4,500
6,752.9650268554688,6,30.166282653808594,4,-0.88038569688797,2.15008544921875,2.0959272384643555,83.44676971435547,1687357416.1801367,8.72295093536377,74.49319458007812,15503.6748046875,6,20.982330322265625,5.496855735778809,93.6800537109375,242.7235565185547,cgp,mu+lambda,distance,hopper,4,600
7,355.73681640625,7,32.28364825248718,4,-2.058903694152832,2.4905478954315186,2.0989222526550293,52.01578903198242,1687357418.2975023,9.72994327545166,47.52299880981445,-8.180136680603027,7,14.751568794250488,6.340618133544922,59.27729415893555,-103.55736541748047,cgp,mu+lambda,distance,hopper,4,700
8,671.9658203125,8,34.40165138244629,4,-0.8594968318939209,2.062134265899658,2.101370096206665,74.05154418945312,1687357420.4155054,11.296469688415527,43.71044921875,739.55810546875,8,19.63875389099121,6.045402526855469,122.23235321044922,271.6881103515625,cgp,mu+lambda,distance,hopper,4,800
9,869.8658447265625,9,36.517563581466675,4,-2.0203940868377686,1.557326078414917,2.0976994037628174,42.765316009521484,1687357422.5314176,9.491620063781738,41.02130126953125,201.4011688232422,9,13.391334533691406,3.54412579536438,47.10991287231445,3495.03369140625,cgp,mu+lambda,distance,hopper,4,900
10,371.7350769042969,10,38.6361825466156,4,-0.5661777257919312,1.6776223182678223,2.1006667613983154,75.34675598144531,1687357424.6500366,7.0731096267700195,52.15763854980469,196.80319213867188,10,17.577791213989258,5.668488502502441,107.24055480957031,1823.8543701171875,cgp,mu+lambda,distance,hopper,4,1000
11,1699.7254638671875,11,40.755425453186035,4,-1.5428247451782227,2.3340766429901123,2.1015665531158447,47.35353469848633,1687357426.7692795,11.510536193847656,45.00593948364258,1891.7142333984375,11,20.456998825073242,6.105959415435791,144.17237854003906,323.9964599609375,cgp,mu+lambda,distance,hopper,4,1100
