,training.fitness_1q,training.top_k_fit.top_1_fit,training.run_id,training.generation,training.evaluation_time,training.fitness_3q,training.fitness_std,training.top_k_fit.top_2_fit,_timestamp,_runtime,training.fitness_mean,training.fitness_median,training.top_k_fit.top_0_fit,_step,solver,ea,fitness,environment,seed,training.evaluation,training.top_k_reward.top_0_reward,training.top_k_reward.top_1_reward,training.top_k_reward.top_2_reward
0,83.7947769165039,395.97406005859375,0,0,15.354723930358887,23.813203811645508,107.1346206665039,385.2378234863281,1686915085.387178,16.396565914154053,74.14961242675781,54.17008972167969,862.5732421875,0,cgp,mu+lambda,reward,hopper,4,0,862.5732421875,395.97406005859375,385.2378234863281
1,154.7572021484375,382.7419128417969,0,1,1.9865291118621826,53.642826080322266,91.43050384521484,341.86614990234375,1686915087.5350828,18.54447078704834,108.81809997558594,81.00556945800781,391.278564453125,1,cgp,mu+lambda,reward,hopper,4,100,391.278564453125,382.7419128417969,341.86614990234375
2,236.9537811279297,687.5065307617188,0,2,1.9876976013183594,39.95466232299805,157.75045776367188,669.1903686523438,1686915089.5573406,20.566728591918945,149.09933471679688,101.57185363769531,707.63427734375,2,cgp,mu+lambda,reward,hopper,4,200,707.63427734375,687.5065307617188,669.1903686523438
3,243.27655029296875,496.82452392578125,0,3,2.01285982131958,56.7401008605957,138.30496215820312,435.6656799316406,1686915091.60433,22.613718032836914,150.5115203857422,98.18522644042969,605.0035400390625,3,cgp,mu+lambda,reward,hopper,4,300,605.0035400390625,496.82452392578125,435.6656799316406
4,233.15342712402344,470.1239929199219,0,4,2.0155863761901855,53.54563522338867,153.15328979492188,402.53778076171875,1686915093.6533017,24.662689685821533,144.95933532714844,109.23003387451172,711.02197265625,4,cgp,mu+lambda,reward,hopper,4,400,711.02197265625,470.1239929199219,402.53778076171875
5,298.5372314453125,1116.146484375,0,5,2.006112813949585,46.94180679321289,220.21932983398438,784.7706909179688,1686915095.6886027,26.697990655899048,188.7765655517578,143.59027099609375,1119.080078125,5,cgp,mu+lambda,reward,hopper,4,500,1119.080078125,1116.146484375,784.7706909179688
6,204.44894409179688,609.95361328125,0,6,2.0116336345672607,52.27753448486328,142.3175811767578,463.2425231933594,1686915097.729864,28.739251852035522,137.13674926757812,100.10140991210938,641.62548828125,6,cgp,mu+lambda,reward,hopper,4,600,641.62548828125,609.95361328125,463.2425231933594
7,242.89747619628906,547.4487915039062,0,7,2.0073435306549072,50.169761657714844,206.0826873779297,411.7214050292969,1686915099.7670517,30.776439666748047,122.75701141357422,113.9959716796875,611.1182250976562,7,cgp,mu+lambda,reward,hopper,4,700,611.1182250976562,547.4487915039062,411.7214050292969
8,221.296875,610.1664428710938,0,8,2.0148732662200928,39.064231872558594,152.80897521972656,552.2669067382812,1686915101.8073263,32.8167142868042,149.8441619873047,98.10292053222656,718.3680419921875,8,cgp,mu+lambda,reward,hopper,4,800,718.3680419921875,610.1664428710938,552.2669067382812
9,314.35491943359375,559.6161499023438,0,9,2.0187206268310547,68.23452758789062,164.6168975830078,519.1312866210938,1686915103.8478405,34.85722851753235,199.63491821289062,187.60906982421875,792.8567504882812,9,cgp,mu+lambda,reward,hopper,4,900,792.8567504882812,559.6161499023438,519.1312866210938
10,235.75772094726562,908.3515625,0,10,2.023275136947632,23.76555061340332,226.10531616210938,641.44873046875,1686915105.8905334,36.89992141723633,153.1178741455078,88.47154235839844,1401.9166259765625,10,cgp,mu+lambda,reward,hopper,4,1000,1401.9166259765625,908.3515625,641.44873046875
11,331.6932067871094,928.5165405273438,0,11,2.014742851257324,54.169105529785156,219.1247100830078,847.5192260742188,1686915107.9228504,38.93223834037781,196.16769409179688,127.17406463623047,946.2261352539062,11,cgp,mu+lambda,reward,hopper,4,1100,946.2261352539062,928.5165405273438,847.5192260742188
12,337.1118469238281,1544.0,0,12,2.021923065185547,31.402053833007812,309.2118835449219,1462.6859130859375,1686915109.959898,40.96928596496582,219.80433654785156,109.0568618774414,1701.59326171875,12,cgp,mu+lambda,reward,hopper,4,1200,1701.59326171875,1544.0,1462.6859130859375
13,264.1066589355469,1096.9036865234375,0,13,2.0188958644866943,38.05210494995117,253.96124267578125,818.4163208007812,1686915111.9948454,43.00423336029053,184.24876403808594,117.49995422363281,1251.0936279296875,13,cgp,mu+lambda,reward,hopper,4,1300,1251.0936279296875,1096.9036865234375,818.4163208007812
14,219.0396728515625,1359.05810546875,0,14,2.022259473800659,28.474367141723633,275.1186828613281,652.479736328125,1686915114.0337243,45.04311227798462,162.96009826660156,97.43954467773438,2064.210693359375,14,cgp,mu+lambda,reward,hopper,4,1400,2064.210693359375,1359.05810546875,652.479736328125
15,340.501220703125,3301.16796875,0,15,2.0179781913757324,67.72435760498047,511.0213317871094,1088.620361328125,1686915116.066477,47.075865030288696,272.5910339355469,122.0827865600586,3713.363525390625,15,cgp,mu+lambda,reward,hopper,4,1500,3713.363525390625,3301.16796875,1088.620361328125
16,267.53704833984375,1255.946533203125,0,16,2.023906946182251,38.490882873535156,248.7627716064453,786.3173828125,1686915118.106025,49.11541295051575,191.9505615234375,132.27056884765625,1582.1134033203125,16,cgp,mu+lambda,reward,hopper,4,1600,1582.1134033203125,1255.946533203125,786.3173828125
17,245.08253479003906,679.8938598632812,0,17,2.01944899559021,41.02515411376953,243.47068786621094,678.7600708007812,1686915120.1407084,51.15009641647339,185.8175811767578,129.024658203125,1915.8126220703125,17,cgp,mu+lambda,reward,hopper,4,1700,1915.8126220703125,679.8938598632812,678.7600708007812
18,259.8644714355469,1280.1142578125,0,18,2.050912380218506,55.204795837402344,237.12503051757812,786.6412963867188,1686915122.2363875,53.2457754611969,195.28880310058594,109.4464340209961,1354.1815185546875,18,cgp,mu+lambda,reward,hopper,4,1800,1354.1815185546875,1280.1142578125,786.6412963867188
