,training.top_k_fit.top_0_fit,training.top_k_fit.top_1_fit,training.top_k_forward_reward.top_0_forward_reward,training.top_k_forward_reward.top_1_forward_reward,training.fitness_3q,training.generation,training.fitness_std,training.fitness_mean,training.fitness_median,training.top_k_reward.top_1_reward,training.top_k_reward.top_2_reward,training.top_k_ctrl_reward.top_0_ctrl_reward,_step,training.fitness_1q,training.top_k_healthy_reward.top_0_healthy_reward,training.top_k_healthy_reward.top_2_healthy_reward,training.top_k_fit.top_2_fit,training.top_k_reward.top_0_reward,training.top_k_ctrl_reward.top_1_ctrl_reward,training.top_k_ctrl_reward.top_2_ctrl_reward,training.top_k_forward_reward.top_2_forward_reward,training.top_k_healthy_reward.top_1_healthy_reward,_runtime,_timestamp,training.run_id,training.evaluation_time,solver,ea,fitness,environment,seed,training.evaluation
0,95.27233123779297,8.471202850341797,83.31148529052734,-0.5642654299736023,-35.340999603271484,0,35.498592376708984,-30.044185638427734,-18.583297729492188,130.35354614257812,75.95833587646484,-0.2724400460720062,0,-9.278465270996094,139.0,85.80000305175781,-1.7513657808303833,222.0390167236328,-0.28221604228019714,-0.1681162267923355,-9.673558235168457,131.1999969482422,24.05756139755249,1688570537.3127484,0,16.07370376586914,cgp,mu+lambda-ga,weighted-i-1-1-unhealthy_termination,walker2d,0,0
1,46.75752639770508,39.010459899902344,62.72532272338867,53.57184982299805,-15.136466979980469,1,16.66339874267578,-11.537808418273926,-7.754466533660889,175.13296508789062,132.78477478027344,-0.41798773407936096,1,-4.775644302368164,114.5999984741211,114.20000457763672,20.804710388183594,176.9073486328125,-0.2388819456100464,-0.3414026200771332,18.926130294799805,121.80000305175781,26.54329490661621,1688570539.798482,0,2.2127318382263184,cgp,mu+lambda-ga,weighted-i-1-1-unhealthy_termination,walker2d,0,100
2,152.31607055664062,128.5372772216797,106.10408782958984,88.34801483154297,-31.60346221923828,2,41.484127044677734,-17.124149322509766,-9.084090232849121,283.22222900390625,180.89901733398438,-0.5645367503166199,2,-3.959277391433716,278.8000183105469,118.5999984741211,77.2180404663086,384.3395690917969,-0.32580700516700745,-0.3205440044403076,62.619537353515625,195.1999969482422,28.785637855529785,1688570542.040825,0,2.2075541019439697,cgp,mu+lambda-ga,weighted-i-1-1-unhealthy_termination,walker2d,0,200
3,160.37582397460938,145.00889587402344,159.24217224121094,87.26860046386719,-22.999521255493164,3,51.65276336669922,-11.34752082824707,-12.737855911254883,341.2201232910156,214.57029724121094,-0.46387749910354614,3,-3.1915581226348877,326.6000061035156,156.8000030517578,125.02464294433594,485.3783264160156,-0.44847002625465393,-0.2646239101886749,58.034912109375,254.40000915527344,31.029229879379272,1688570544.284417,0,2.2096714973449707,cgp,mu+lambda-ga,weighted-i-1-1-unhealthy_termination,walker2d,0,300
4,164.7486114501953,162.15664672851562,139.9521942138672,129.72198486328125,-22.91213035583496,4,53.966278076171875,-5.315122604370117,-10.535147666931152,395.5148010253906,476.1845703125,-0.5908515453338623,4,-2.9531407356262207,262.8000183105469,315.8000183105469,157.5673828125,402.161376953125,-0.4071741998195648,-0.466387003660202,160.85098266601562,266.20001220703125,33.26491355895996,1688570546.5201006,0,2.202516555786133,cgp,mu+lambda-ga,weighted-i-1-1-unhealthy_termination,walker2d,0,400
5,212.61505126953125,203.5579376220703,148.6850128173828,120.6309814453125,-20.772748947143555,5,85.36306762695312,19.052108764648438,-9.835542678833008,323.1468200683594,765.4529418945312,-0.5437328219413757,5,72.23304748535156,223.8000030517578,648.6000366210938,176.06573486328125,371.9412841796875,-0.6842058897018433,-1.262320876121521,118.11512756347656,203.1999969482422,35.50368046760559,1688570548.7588675,0,2.2046384811401367,cgp,mu+lambda-ga,weighted-i-1-1-unhealthy_termination,walker2d,0,500
6,173.9745330810547,170.08416748046875,172.36557006835938,172.61497497558594,-21.016742706298828,6,88.73200988769531,25.136987686157227,-9.183578491210938,422.8742370605469,477.8966979980469,-0.4964330792427063,6,138.01625061035156,311.0,308.3999938964844,169.31935119628906,482.869140625,-0.5407238006591797,-0.4149168133735657,169.9115447998047,250.8000030517578,37.74124503135681,1688570550.996432,0,2.203795909881592,cgp,mu+lambda-ga,weighted-i-1-1-unhealthy_termination,walker2d,0,600
7,222.23411560058594,171.71400451660156,210.85887145996094,163.31173706054688,-17.2435302734375,7,93.58755493164062,31.065292358398438,-7.343104362487793,445.4557189941406,464.1247253417969,-0.29692259430885315,7,145.1322784423828,218.40000915527344,295.8000183105469,169.1620330810547,428.96197509765625,-0.6560835838317871,-0.43598055839538574,168.76083374023438,282.8000183105469,39.979615688323975,1688570553.2348027,0,2.203997850418091,cgp,mu+lambda-ga,weighted-i-1-1-unhealthy_termination,walker2d,0,700
8,191.8351287841797,177.87440490722656,145.33914184570312,167.62718200683594,-17.253231048583984,8,88.41339874267578,33.04836654663086,-7.006179332733154,472.931396484375,465.72314453125,-0.6293609142303467,8,148.0421142578125,191.60000610351562,301.8000183105469,171.6884765625,336.3097229003906,-0.49579334259033203,-0.5213183760643005,164.44447326660156,305.8000183105469,42.21587824821472,1688570555.4710653,0,2.202059507369995,cgp,mu+lambda-ga,weighted-i-1-1-unhealthy_termination,walker2d,0,800
9,211.41921997070312,190.44268798828125,244.54519653320312,83.45369720458984,-21.7554988861084,9,86.2196273803711,23.539762496948242,-9.48698616027832,414.3438415527344,451.7442932128906,-0.29364868998527527,9,79.07987976074219,181.8000030517578,277.0,184.611572265625,426.05157470703125,-0.3098376989364624,-0.5005356669425964,175.2447967529297,331.20001220703125,44.45764923095703,1688570557.7128363,0,2.2067556381225586,cgp,mu+lambda-ga,weighted-i-1-1-unhealthy_termination,walker2d,0,900
10,302.2997131347656,208.91221618652344,295.5810546875,241.31333923339844,-32.12381362915039,10,102.60779571533203,26.743871688842773,-10.104915618896484,411.84259033203125,392.1007080078125,-0.5492929816246033,10,146.6573486328125,205.8000030517578,244.1999969482422,191.8040771484375,500.8317565917969,-0.2707562744617462,-0.4386879503726959,148.33941650390625,170.8000030517578,46.716267585754395,1688570559.9714546,0,2.2273683547973633,cgp,mu+lambda-ga,weighted-i-1-1-unhealthy_termination,walker2d,0,1000
