,training.run_id,training.fitness_3q,training.top_k_fit.top_2_fit,training.fitness_1q,training.generation,training.evaluation_time,_step,training.fitness_median,training.top_k_fit.top_0_fit,training.top_k_reward.top_0_reward,training.top_k_reward.top_1_reward,_runtime,_timestamp,training.fitness_std,training.fitness_mean,training.top_k_fit.top_1_fit,training.top_k_reward.top_2_reward,solver,ea,fitness,environment,seed,training.evaluation
0,1,165.40335083007812,336.44482421875,252.1521453857422,0,41.06122589111328,0,202.95394897460938,340.9183044433594,241.75018310546875,194.3506622314453,44.63419699668884,1687715417.380679,14029.53515625,-1794.148193359375,337.6282958984375,276.95947265625,cgp-large,mu+lambda,reward,humanoid,1,0
1,1,168.30885314941406,340.3368835449219,263.0784912109375,1,20.56444549560547,1,214.45614624023438,471.0904235839844,328.92095947265625,354.3494567871094,65.33845043182373,1687715438.0849323,17096.36328125,-2786.582763671875,347.6108093261719,340.3368835449219,cgp-large,mu+lambda,reward,humanoid,1,100
2,1,231.55264282226562,399.0814514160156,317.8646240234375,2,20.73146629333496,2,277.390625,498.1094055175781,298.75250244140625,315.8893127441406,86.08756470680237,1687715458.8340466,17106.203125,-2730.6630859375,454.32110595703125,275.9053955078125,cgp-large,mu+lambda,reward,humanoid,1,200
3,1,190.35595703125,423.183349609375,326.8822326660156,3,20.54676628112793,3,260.556884765625,494.615234375,466.05767822265625,277.3153381347656,106.65142774581909,1687715479.3979096,14037.103515625,-1741.9532470703125,464.4148254394531,460.09295654296875,cgp-large,mu+lambda,reward,humanoid,1,300
4,1,233.34762573242188,498.2812194824219,329.41632080078125,4,20.706186294555664,4,282.11962890625,652.4705810546875,481.0182189941406,692.832275390625,127.37452125549316,1687715500.1210032,9978.78515625,-716.2391357421875,531.6700439453125,392.2823791503906,cgp-large,mu+lambda,reward,humanoid,1,400
5,1,241.4256134033203,484.21148681640625,350.9393310546875,5,20.394418716430664,5,288.4986572265625,608.5243530273438,373.7111511230469,538.6422119140625,147.78639721870422,1687715520.532879,85.38568115234375,301.27117919921875,509.47509765625,715.443603515625,cgp-large,mu+lambda,reward,humanoid,1,500
6,1,233.77308654785156,494.66436767578125,360.18353271484375,6,20.719470977783203,6,276.76605224609375,539.9736938476562,539.9736938476562,257.014404296875,168.52323246002197,1687715541.2697144,90.0661849975586,298.91448974609375,512.5394897460938,507.782470703125,cgp-large,mu+lambda,reward,humanoid,1,600
7,1,243.5684356689453,480.91693115234375,372.6196594238281,7,20.420387268066406,7,274.7456359863281,513.9343872070312,494.31219482421875,354.4232482910156,188.96151638031006,1687715561.7079983,9980.4677734375,-699.5493774414062,498.6749572753906,547.4054565429688,cgp-large,mu+lambda,reward,humanoid,1,700
8,1,240.03189086914062,612.66162109375,413.4396667480469,8,20.712589263916016,8,303.1357116699219,636.0654296875,362.353515625,708.7078247070312,209.69256448745728,1687715582.4390464,9983.068359375,-676.2891845703125,615.966064453125,398.0505065917969,cgp-large,mu+lambda,reward,humanoid,1,800
9,1,255.5435791015625,588.195556640625,410.6188659667969,9,20.50844955444336,9,317.658203125,618.0895385742188,583.693603515625,607.3917236328125,230.2198531627655,1687715602.966335,111.09182739257812,338.14801025390625,600.318115234375,562.5933837890625,cgp-large,mu+lambda,reward,humanoid,1,900
