,training.generation,training.fitness_mean,_timestamp,training.fitness_1q,training.fitness_3q,training.top_k_fit.top_0_fit,_step,training.fitness_median,training.evaluation_time,training.fitness_std,training.top_k_fit.top_1_fit,_runtime,training.run_id,training.top_k_fit.top_2_fit,solver,ea,environment,seed
0,0,59.57317352294922,1686925525.6495419,78.55638122558594,22.34173011779785,244.87034606933594,0,45.782371520996094,15.676294326782227,57.06187438964844,244.7926788330078,16.86118793487549,0,227.22438049316406,cgp,mu+lambda,hopper,9
1,1,93.4368896484375,1686925527.8404636,131.99241638183594,46.04018020629883,284.555419921875,1,74.59780883789062,2.048293113708496,61.34751510620117,232.24644470214844,19.052109718322754,0,225.5623779296875,cgp,mu+lambda,hopper,9
2,2,114.47025299072266,1686925529.900166,168.42393493652344,54.46736145019531,418.0050354003906,2,103.2506103515625,2.046290874481201,82.78108978271484,298.1649475097656,21.111812114715576,0,280.70416259765625,cgp,mu+lambda,hopper,9
3,3,126.26789093017578,1686925531.9660923,217.39979553222656,49.8093376159668,378.3229064941406,3,101.59590148925781,2.052507162094116,101.29662322998047,325.8411865234375,23.177738428115845,0,291.0381164550781,cgp,mu+lambda,hopper,9
4,4,151.1001739501953,1686925534.0288556,230.43466186523438,65.56539154052734,443.572509765625,4,132.74276733398438,2.0500171184539795,107.43985748291016,417.5906982421875,25.240501642227173,0,374.7044677734375,cgp,mu+lambda,hopper,9
5,5,168.92503356933594,1686925536.0913842,256.91851806640625,68.57283020019531,441.82708740234375,5,136.27854919433594,2.048340082168579,122.60383605957031,433.8763732910156,27.303030252456665,0,428.4222412109375,cgp,mu+lambda,hopper,9
6,6,179.86293029785156,1686925538.1545188,278.9349060058594,62.222015380859375,461.517822265625,6,153.98049926757812,2.0485174655914307,130.69094848632812,448.4360656738281,29.366164922714233,0,440.73150634765625,cgp,mu+lambda,hopper,9
7,7,192.14027404785156,1686925540.2166965,303.6359558105469,76.73886108398438,824.0596313476562,7,144.06614685058594,2.0486440658569336,150.64193725585938,529.6356811523438,31.428342580795288,0,499.42864990234375,cgp,mu+lambda,hopper,9
8,8,181.11187744140625,1686925542.281722,293.2438049316406,54.14097213745117,1001.9710083007812,8,127.21341705322266,2.051569700241089,172.4561309814453,745.0040893554688,33.49336814880371,0,458.6365966796875,cgp,mu+lambda,hopper,9
9,9,194.62220764160156,1686925544.341354,329.52215576171875,59.97571563720703,1002.2089233398438,9,119.39955139160156,2.0455613136291504,189.18170166015625,763.291259765625,35.55299997329712,0,636.6506958007812,cgp,mu+lambda,hopper,9
10,10,198.46771240234375,1686925546.4031017,351.7357482910156,37.23677062988281,1004.2678833007812,10,117.88381958007812,2.0473575592041016,204.39813232421875,974.47314453125,37.614747762680054,0,868.976318359375,cgp,mu+lambda,hopper,9
11,11,225.5188446044922,1686925548.4664161,362.7249755859375,41.35143280029297,1001.7019653320312,11,131.67892456054688,2.048480987548828,238.24465942382812,997.5128173828125,39.678062200546265,0,860.92138671875,cgp,mu+lambda,hopper,9
12,12,223.78968811035156,1686925550.636036,329.533203125,55.32151412963867,1000.6452026367188,12,118.03213500976562,2.1549932956695557,231.2768096923828,996.6126098632812,41.84768199920654,0,777.5186767578125,cgp,mu+lambda,hopper,9
13,13,264.19683837890625,1686925552.7884524,388.2921447753906,64.90690612792969,998.4310302734375,13,130.00538635253906,2.138030529022217,282.21990966796875,995.62451171875,44.00009846687317,0,994.6213989257812,cgp,mu+lambda,hopper,9
14,14,271.64019775390625,1686925554.9229522,379.6454162597656,49.11004638671875,1015.9832763671875,14,135.95526123046875,2.1195573806762695,303.8649597167969,1000.2706909179688,46.13459825515747,0,995.6773071289062,cgp,mu+lambda,hopper,9
15,15,357.9015808105469,1686925557.0463483,750.950439453125,47.323455810546875,1016.464111328125,15,163.81854248046875,2.110074996948242,365.0198669433594,1002.2710571289062,48.257994413375854,0,1001.093505859375,cgp,mu+lambda,hopper,9
