,training.top_k_fit.top_0_fit,training.top_k_reward.top_1_reward,_runtime,_timestamp,training.run_id,training.fitness_3q,training.fitness_median,training.top_k_reward.top_2_reward,training.generation,training.fitness_std,training.fitness_mean,training.top_k_fit.top_1_fit,training.top_k_fit.top_2_fit,_step,training.fitness_1q,training.top_k_reward.top_0_reward,training.evaluation_time,solver,ea,fitness,environment,seed,training.evaluation
0,12.302085876464844,25.375518798828125,16.965002059936523,1687353133.037199,2,-1.153189778327942,0.11403900384902954,86.85389709472656,0,3.410142660140991,0.04192588850855827,7.227181911468506,6.2626471519470215,0,1.3305281400680542,256.669677734375,15.79843521118164,cgp,mu+lambda,distance,hopper,2,0
1,12.344728469848633,235.42242431640625,19.196505308151245,1687353135.2687023,2,-0.09046542644500732,0.8965243101119995,126.176025390625,1,2.2652506828308105,0.9823112487792969,8.608729362487793,5.8587212562561035,1,1.5058104991912842,87.08792114257812,2.085003137588501,cgp,mu+lambda,distance,hopper,2,100
2,41.81065368652344,122.16487884521484,21.306245803833008,1687353137.3784428,2,-0.4775703549385071,1.8543901443481445,101.38194274902344,2,6.736661434173584,2.232461452484131,15.052090644836426,14.410608291625977,2,5.350966453552246,649.1568603515625,2.088071346282959,cgp,mu+lambda,distance,hopper,2,200
3,35.7872314453125,76.63533782958984,23.40873384475708,1687353139.4809308,2,1.1181066036224365,4.069724082946777,94.30401611328125,3,9.585249900817871,5.200137615203857,32.302974700927734,32.08842086791992,3,9.683492660522461,154.66371154785156,2.0828068256378174,cgp,mu+lambda,distance,hopper,2,300
4,46.71392059326172,140.15045166015625,25.51158308982849,1687353141.58378,2,-1.1427448987960815,1.4277377128601074,14.409980773925781,4,8.526907920837402,3.2912309169769287,38.364315032958984,27.92676544189453,4,6.824225902557373,94.20263671875,2.0814003944396973,cgp,mu+lambda,distance,hopper,2,400
5,44.65907669067383,250.18157958984375,27.632320880889893,1687353143.7045178,2,-0.4264998137950897,1.815737247467041,-31.440658569335938,5,11.51282024383545,4.509955406188965,36.05973434448242,35.45304489135742,5,8.17276382446289,469.5149841308594,2.0959300994873047,cgp,mu+lambda,distance,hopper,2,500
6,69.88941192626953,9680.4228515625,29.759587287902832,1687353145.8317842,2,-0.8327842950820923,1.4229971170425415,-17.91016387939453,6,14.418960571289062,3.752659797668457,53.62326431274414,38.71728515625,6,7.59963846206665,118.11880493164062,2.1054511070251465,cgp,mu+lambda,distance,hopper,2,600
7,60.210262298583984,100.7223129272461,31.886818647384644,1687353147.9590156,2,-1.2467093467712402,4.770557403564453,-15.267980575561523,7,15.20358657836914,6.071461200714111,59.72458267211914,56.60605239868164,7,11.872142791748047,419.83746337890625,2.1039700508117676,cgp,mu+lambda,distance,hopper,2,700
8,95.7331314086914,102.89720153808594,34.00922083854675,1687353150.0814178,2,-1.404157042503357,3.8828115463256836,83.86686706542969,8,16.16912269592285,6.701944828033447,60.73527526855469,48.45832061767578,8,13.511895179748535,144.96229553222656,2.100839376449585,cgp,mu+lambda,distance,hopper,2,800
9,74.49246215820312,91.05095672607422,36.13462042808533,1687353152.2068174,2,-1.8627216815948486,1.4374873638153076,664.68212890625,9,16.96306037902832,5.484935283660889,64.0243911743164,58.04334259033203,9,7.616580486297607,1839.0755615234375,2.1025452613830566,cgp,mu+lambda,distance,hopper,2,900
