,_step,training.generation,training.fitness_std,training.fitness_mean,training.top_k_fit.top_2_fit,_runtime,training.evaluation_time,training.top_k_fit.top_0_fit,training.top_k_reward.top_0_reward,_timestamp,training.run_id,training.fitness_1q,training.top_k_fit.top_1_fit,training.fitness_3q,training.fitness_median,training.top_k_reward.top_1_reward,training.top_k_reward.top_2_reward,solver,ea,fitness,environment,seed,training.evaluation
0,0,0,0.6147595643997192,0.33761268854141235,1.3933237791061401,44.38476848602295,40.85591125488281,1.5185215473175049,226.8587188720703,1687653514.0448005,1,0.7808119058609009,1.4755216836929321,0.0,0.37500572204589844,340.5333557128906,220.97909545898438,cgp-large,mu+lambda,distance,humanoid,1,0
1,1,1,0.5177701711654663,0.6588822603225708,1.728578805923462,65.08257150650024,20.488201141357422,2.5537631511688232,151.34327697753906,1687653534.7426035,1,0.9724666476249695,2.450420618057251,0.3640657365322113,0.6153274774551392,195.1220245361328,182.64578247070312,cgp-large,mu+lambda,distance,humanoid,1,100
2,2,2,0.5206130146980286,0.6775308847427368,1.8752552270889282,85.82101631164551,20.696043014526367,2.5653390884399414,139.06451416015625,1687653555.4810483,1,0.9428625106811523,2.269416093826294,0.3922659158706665,0.6118770241737366,159.9490203857422,208.09962463378906,cgp-large,mu+lambda,distance,humanoid,1,200
3,3,3,0.6515775322914124,0.7038923501968384,1.8265324831008911,106.40708255767822,20.522823333740234,3.139880418777466,227.39346313476562,1687653576.0671146,1,1.108020305633545,2.37241268157959,0.28645849227905273,0.6114857196807861,144.67562866210938,183.694091796875,cgp-large,mu+lambda,distance,humanoid,1,300
4,4,4,0.5823619365692139,0.7621471881866455,1.8698266744613647,127.14338278770447,20.70345687866211,2.5172982215881348,204.5069122314453,1687653596.8034148,1,1.0732861757278442,2.4280142784118652,0.38499099016189575,0.7095071077346802,222.92567443847656,255.15150451660156,cgp-large,mu+lambda,distance,humanoid,1,400
5,5,5,0.6596150994300842,0.866558313369751,2.2664453983306885,147.60418248176575,20.437427520751953,3.8516228199005127,194.10354614257812,1687653617.2642145,1,1.2048152685165405,2.780315399169922,0.5103610754013062,0.7934854030609131,377.68988037109375,208.73292541503906,cgp-large,mu+lambda,distance,humanoid,1,500
6,6,6,0.705387532711029,0.7492702603340149,2.5491435527801514,168.36577200889587,20.72022819519043,3.228240728378296,302.330078125,1687653638.025804,1,1.160507321357727,2.578557252883911,0.2769660949707031,0.5424926280975342,203.21180725097656,203.55874633789062,cgp-large,mu+lambda,distance,humanoid,1,600
7,7,7,0.7595071196556091,0.8732787370681763,2.806370496749878,188.8367838859558,20.41143798828125,3.007819175720215,265.8163757324219,1687653658.496816,1,1.2882024049758911,2.955756902694702,0.46265557408332825,0.8131513595581055,338.8244323730469,305.6412658691406,cgp-large,mu+lambda,distance,humanoid,1,700
8,8,8,0.7442799806594849,0.8846798539161682,2.610238552093506,209.5657103061676,20.6783447265625,2.896976947784424,209.6345977783203,1687653679.2257423,1,1.4079127311706543,2.6206703186035156,0.4200279712677002,0.8079515695571899,145.35818481445312,209.88059997558594,cgp-large,mu+lambda,distance,humanoid,1,800
9,9,9,0.7796092629432678,0.6752548217773438,2.1659305095672607,230.10216307640076,20.50762939453125,2.7771365642547607,129.8690948486328,1687653699.762195,1,1.1647119522094727,2.3184783458709717,0.16817422211170197,0.636321485042572,141.67208862304688,268.0851135253906,cgp-large,mu+lambda,distance,humanoid,1,900
10,10,10,0.8095972537994385,0.892876386642456,2.3193700313568115,250.84341025352478,20.682666778564453,3.016268491744995,292.0544738769531,1687653720.5034423,1,1.616080403327942,2.8099777698516846,0.35751402378082275,0.827160120010376,203.10299682617188,214.2410430908203,cgp-large,mu+lambda,distance,humanoid,1,1000
11,11,11,0.8564059734344482,0.8924117684364319,2.9062204360961914,271.38867712020874,20.485509872436523,3.4314260482788086,261.7427978515625,1687653741.0487092,1,1.2332148551940918,3.0512735843658447,0.3746025562286377,0.8662081956863403,229.86843872070312,150.45201110839844,cgp-large,mu+lambda,distance,humanoid,1,1100
12,12,12,0.7873772382736206,0.8562048077583313,2.2390692234039307,291.89651322364807,20.469816207885742,2.898665428161621,778.7363891601562,1687653761.5565453,1,1.3709880113601685,2.6213526725769043,0.338037371635437,0.8102787733078003,259.5543212890625,200.45021057128906,cgp-large,mu+lambda,distance,humanoid,1,1200
13,13,13,0.8664366006851196,0.8582420349121094,2.8036303520202637,312.48857164382935,20.575679779052734,3.3054165840148926,144.74029541015625,1687653782.1486037,1,1.2812327146530151,3.2451512813568115,0.4431154131889343,0.8766318559646606,150.45208740234375,144.434814453125,cgp-large,mu+lambda,distance,humanoid,1,1300
14,14,14,0.9066169261932373,0.8444896340370178,3.054628849029541,333.02479434013367,20.521381378173828,3.7009317874908447,566.76318359375,1687653802.6848264,1,1.2131760120391846,3.581507921218872,0.32933685183525085,0.815588653087616,624.6859741210938,290.4078369140625,cgp-large,mu+lambda,distance,humanoid,1,1400
15,15,15,0.7765392661094666,0.8666300177574158,2.9045803546905518,353.4982702732086,20.457382202148438,3.660356044769287,435.32562255859375,1687653823.1583023,1,1.201992392539978,3.019893169403076,0.4253259003162384,0.7048497200012207,251.6047821044922,563.2874755859375,cgp-large,mu+lambda,distance,humanoid,1,1500
16,16,16,0.9356548190116882,0.8119897246360779,2.8973445892333984,374.03249979019165,20.51740264892578,3.2469499111175537,177.64353942871094,1687653843.6925318,1,1.0721534490585327,3.1320369243621826,0.3670681416988373,0.7337089776992798,183.57809448242188,178.1729736328125,cgp-large,mu+lambda,distance,humanoid,1,1600
