,training.fitness_mean,training.evaluation_time,training.top_k_fit.top_2_fit,_timestamp,training.generation,training.fitness_std,training.top_k_fit.top_1_fit,_runtime,training.run_id,training.fitness_1q,training.top_k_fit.top_0_fit,_step,training.fitness_3q,training.fitness_median,solver,ea,fitness,environment,seed,training.evaluation,training.top_k_reward.top_0_reward,training.top_k_reward.top_1_reward,training.top_k_reward.top_2_reward
0,-914.388916015625,15.725502967834473,356.6217956542969,1687198721.5768874,0,9958.826171875,431.40374755859375,16.799086332321167,7,87.95034790039062,436.6335754394531,0,36.98725128173828,62.02777862548828,cgp,mu+lambda,reward,walker2d,7,0,436.6335754394531,431.40374755859375,356.6217956542969
1,89.73731231689453,2.1604092121124268,356.059814453125,1687198723.9246697,1,89.45303344726562,358.25390625,19.14686870574951,7,132.96005249023438,428.2705383300781,1,29.945280075073242,51.012611389160156,cgp,mu+lambda,reward,walker2d,7,100,428.2705383300781,358.25390625,356.059814453125
2,173.32481384277344,2.181872844696045,517.0700073242188,1687198726.1246002,2,169.9639434814453,977.3218383789062,21.34679913520813,7,224.92681884765625,1012.26904296875,2,60.81772994995117,127.48124694824219,cgp,mu+lambda,reward,walker2d,7,200,1012.26904296875,977.3218383789062,517.0700073242188
3,-786.6697998046875,2.1863842010498047,994.1559448242188,1687198728.3290021,3,9973.7783203125,999.3843383789062,23.551201105117798,7,284.7394714355469,1034.3409423828125,3,56.63684844970703,152.98464965820312,cgp,mu+lambda,reward,walker2d,7,300,1034.3409423828125,999.3843383789062,994.1559448242188
4,234.52267456054688,2.1785664558410645,1006.3474731445312,1687198730.537098,4,246.65655517578125,1006.6515502929688,25.759296894073486,7,358.83319091796875,1025.4794921875,4,60.86077880859375,125.20088195800781,cgp,mu+lambda,reward,walker2d,7,400,1025.4794921875,1006.6515502929688,1006.3474731445312
5,276.87451171875,2.1742136478424072,1005.7999877929688,1687198732.7391145,5,276.57080078125,1012.55224609375,27.961313486099243,7,422.6499328613281,1026.935546875,5,68.29560089111328,146.83782958984375,cgp,mu+lambda,reward,walker2d,7,500,1026.935546875,1012.55224609375,1005.7999877929688
6,-705.4126586914062,2.1747231483459473,1016.1964721679688,1687198734.9417493,6,9984.2822265625,1023.2652587890625,30.16394829750061,7,453.1134033203125,1028.140869140625,6,68.54380798339844,138.77439880371094,cgp,mu+lambda,reward,walker2d,7,600,1028.140869140625,1023.2652587890625,1016.1964721679688
7,304.97027587890625,2.1744296550750732,1028.0894775390625,1687198737.1443644,7,364.8111877441406,1028.6566162109375,32.36656332015991,7,451.2264404296875,1031.450927734375,7,44.262229919433594,92.63720703125,cgp,mu+lambda,reward,walker2d,7,700,1031.450927734375,1028.6566162109375,1028.0894775390625
8,355.5701904296875,2.1778059005737305,1028.44677734375,1687198739.348564,8,403.88470458984375,1028.909912109375,34.57076287269592,7,833.230224609375,1033.4117431640625,8,53.19768524169922,96.18275451660156,cgp,mu+lambda,reward,walker2d,7,800,1033.4117431640625,1028.909912109375,1028.44677734375
9,-651.2818603515625,2.178149700164795,1029.8345947265625,1687198741.5549228,9,9992.3154296875,1034.60693359375,36.777121782302856,7,480.17315673828125,1034.9981689453125,9,65.84139251708984,143.78158569335938,cgp,mu+lambda,reward,walker2d,7,900,1034.9981689453125,1034.60693359375,1029.8345947265625
10,316.00311279296875,2.17415452003479,1032.30224609375,1687198743.7568212,10,368.864013671875,1034.23291015625,38.97902011871338,7,476.6397399902344,1034.5252685546875,10,67.19990539550781,96.00859069824219,cgp,mu+lambda,reward,walker2d,7,1000,1034.5252685546875,1034.23291015625,1032.30224609375
11,355.2703552246094,2.1750118732452393,1033.3118896484375,1687198745.9600055,11,395.89794921875,1034.572998046875,41.182204484939575,7,549.3751220703125,1041.0526123046875,11,55.295066833496094,134.97402954101562,cgp,mu+lambda,reward,walker2d,7,1100,1041.0526123046875,1034.572998046875,1033.3118896484375
12,395.5885925292969,2.1736936569213867,1033.2525634765625,1687198748.1610732,12,424.2320861816406,1033.408935546875,43.38327217102051,7,1006.65576171875,1033.6236572265625,12,55.52773666381836,123.99140930175781,cgp,mu+lambda,reward,walker2d,7,1200,1033.6236572265625,1033.408935546875,1033.2525634765625
13,419.4021911621094,2.1745059490203857,1036.126708984375,1687198750.3632274,13,436.4769592285156,1036.34716796875,45.585426330566406,7,1021.9140014648438,1072.6678466796875,13,65.04086303710938,116.74636840820312,cgp,mu+lambda,reward,walker2d,7,1300,1072.6678466796875,1036.34716796875,1036.126708984375
